"filename" "sentence" "value"
moi vais prendre tous les cubes!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.95.txt.223" "chi_Adrien_3.95.txt" "un âne!
je t'ai fait mal?
attends attends!
moi vais te donner." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_4.2.txt.44" "chi_Adrien_4.2.txt" "t'as fait attends je vais demander à Milky s'il a fait." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_4.2.txt.58" "chi_Adrien_4.2.txt" "toi y'a des tracteurs et et quelque chose!
ah ça ça ça!
ça ça!
ça ça ça!
ah je veux voir!
on va le regarder!
va le regarder!
attends- tends- tends on fait un jeu!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_4.32.txt.126" "chi_Adrien_4.32.txt" "vais ranger ça.
hé regarde!
regarde comment c'est fait!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anae_3.57.txt.209" "chi_Anae_3.57.txt" "regarde ils sont tous petits mais requins ça a des dents toutes petites!
et.
mais non regarde ils sont tous petits yyy il il peut pas me manger!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anae_3.57.txt.230" "chi_Anae_3.57.txt" "c'est quoi?
attends on va partir par là!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anaé_3.47.txt.94" "chi_Anaé_3.47.txt" "mais ça c'est c'est.
ah oui!
on peut le mettre!
on peut l'enlever?
ah oui là!
non là!
oui oui!
ouais sa langue!
et le petit sac!
y a quoi dedans?
et on l'accroche!
et là voilà!
un joli sac!
on l'accrocher comme ça!
mais je je veux plus les mettre je veux les mettre dans sa pochette!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anaé_3.47.txt.156" "chi_Anaé_3.47.txt" "allez le crocodile il va dedans!
yyy non parce que toi tu as eu un crocodile et l'aure part de.
de galette pour vous!
et va la couper Aliyah elle va avoir un petit bout et tu auras pas la fève!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_3.41.txt.274" "chi_Antoine_3.41.txt" "tu as vu?
attends il faut défaire." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_4.67.txt.192" "chi_Antoine_4.67.txt" "maman j'ai trouvé le scotch!
attends va là bas!
va va là bas je vais l'accrocher tout seul!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_5.41.txt.303" "chi_Antoine_5.41.txt" "donc elle a lancé xxx et il a vu le monsieur qu'elle était prisonnier c'est pour ça qu'il pouvait elle pouvait pas tirer." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_5.41.txt.420" "chi_Antoine_5.41.txt" "et puis il m'a dit merci petit entre entre et le petit voulait pas parce qu'il avait peur alors il donna du caca et il s'enfuit tout de suite." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_5.61.txt.149" "chi_Antoine_5.61.txt" "pourquoi tu as dit oh bravo?
ha ha.
oh non xx.
oui xxx d'autres endroits on en aura peut être besoin." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_3.63.txt.192" "chi_Julie_3.63.txt" "ouais ça va ça va.
allez ça va .
tu viens on va choisir les autres trucs qu'on qu'on voulait prendre?" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_3.63.txt.273" "chi_Julie_3.63.txt" "ils doivent avancer.
y en avait un deuxième jaune yyy alors je l'ai pris." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_4.74.txt.133" "chi_Julie_4.74.txt" "après quand ils veulent prendre un livre ils ils la laissent là et le lendemain matin ils vont la remettre là.
on a //.
ceux qui ceux qui étaient déjà filmé ils ont pas bien rangé la ferme hein." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_4.74.txt.514" "chi_Julie_4.74.txt" "alors lui le poulain ben ce qu'il va faire puisque c'était pas doux ce ce qu'il avait fait ben il va dormir là encore." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_5.85.txt.258" "chi_Julie_5.85.txt" "c'est ma marraine qui me l'avait offert.
et j'ai dû le prendre chez madame Nathalie." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Léonard_2.92.txt.232" "chi_Léonard_2.92.txt" "pourquoi t'as cru que c'était fini?
et non en fait ça va commencer!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.37.txt.370" "chi_Madeleine_2.37.txt" "il pleure parce que il a mangé la soupe de deBoucle d or.
yyy il yy il sauta bas du lit.
par la fenêtre!
une fois Boucle d or hum hum il l'attrapa pas!
et ce petit ours il était bien gentil." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.45.txt.299" "chi_Madeleine_2.45.txt" "z@fs avais .
z@fs avais .
zə@fs vais te montrer te montrer là où z@fs ai tombée." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.6.txt.221" "chi_Madeleine_2.6.txt" "hum z@fs ai dit à Martine qu'elle peut s'asseoirici." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.68.txt.331" "chi_Madeleine_2.68.txt" "attends z@fs ai fait des trous mince //.
regarde vais faire des trous voilà." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.79.txt.139" "chi_Madeleine_2.79.txt" "attends je vais lui donner mon sapin parce qu'il a pas eu desapin." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.79.txt.360" "chi_Madeleine_2.79.txt" "tiens tu peux prendre ce ciseau là parce que toi tu es tu as des grandes mains." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.89.txt.88" "chi_Madeleine_2.89.txt" "laisse moi!
moi je veux pas manger!
qui a laissé ça?
qui a laissé ça comme ça?
maman elle a dit qu'elle est méchante elle voulait pas que je joue avec eux." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.97.txt.8" "chi_Madeleine_2.97.txt" "yyy que toi tu m'avais dit que je que que tu me filmais a@fs quand j'étais en train de jouer." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.97.txt.378" "chi_Madeleine_2.97.txt" "ils ont eu plein de petits marcassins et c'est lui qui qui était mort.
et ils eurent plein de petits marcassins!
dans le potage!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_3.25.txt.116" "chi_Madeleine_3.25.txt" "mais Côme il est tombé mais heureusement pour pas qu'il qu'il fasse mal et ben il avait unoreiller." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_3.25.txt.199" "chi_Madeleine_3.25.txt" "maman tu l'as trouvé maman?
oui mais .
dans .
attends je vais chercher." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_3.25.txt.227" "chi_Madeleine_3.25.txt" "je mets le fil doré?
tiens le fil?
ouais je //.
mais il faudra faire un noeud!
là je fais une autre forme." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_3.25.txt.264" "chi_Madeleine_3.25.txt" "attends j'en ai mis je voulais mettre une orange." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_3.52.txt.1" "chi_Madeleine_3.52.txt" "parce que y a un chien qui avait parce que hum y a Madeline qui était tombée dans la Seine et.
et y a le chien qui lui a sauvé la vie parce que il il l'a." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_3.82.txt.68" "chi_Madeleine_3.82.txt" "hum oui elle est allée chercher c'était un enfant qui yyy lui avait mis son chapeau." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.18" "chi_Madeleine_4.15.txt" "faudrait peut être que je fasse attention!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.207" "chi_Madeleine_4.15.txt" "oui mais quel jouet!
bah oui mais toi tu sais rien dire parce que tu venais de naître aujourd'hui!
et tu es attention regarde là!
mais là vous étiez dans votre berceau hein!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.241" "chi_Madeleine_4.15.txt" "celle qui est née en premier on va lui mettre euh Marie un.
ça c'était l'heure!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.308" "chi_Madeleine_4.15.txt" "elle est juste là ça pourrait faire la crèche là!
parce que y a une table et des chaises!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.324" "chi_Madeleine_4.15.txt" "en fait on faisait un jeu et alterner y a un monsieur qui nous a aidés à apprendre à alterner." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.59.txt.256" "chi_Madeleine_4.59.txt" "un que ça sent pas mauvais?
hop et demain ça va yy le petit euh chose pour nettoyer ça va servir.
et ça sera pas celui là que j'ai pris." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.59.txt.296" "chi_Madeleine_4.59.txt" "mais attends il faut que il qui étaient capables de prendre des assiettes fragiles." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.84.txt.230" "chi_Madeleine_4.84.txt" "attends non j'aurais dû relier comme ça!
parce que regarde lui il a une patte là et ça là lui là et lui là." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.09.txt.15" "chi_Madeleine_5.09.txt" "c'était que Blandine est venue me voir et elle m'a demandé pourquoi tu pleures de rassembler toutes les affaires." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.09.txt.121" "chi_Madeleine_5.09.txt" "hé hé bon allez qu'est ce que je pourrais vous faire?" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.43.txt.282" "chi_Madeleine_5.43.txt" "y avait écrit madame Martine peut être que.
oui mais y avait pas le nom de famille." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.43.txt.311" "chi_Madeleine_5.43.txt" "oh maman tu as fait tomber //.
et c'était à toi.
tu dois en repousser." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.43.txt.381" "chi_Madeleine_5.43.txt" "je suis venue hier on m'avait j'étais venue hier on m'avait dit que je devais revenir aujourd'hui." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.87.txt.16" "chi_Madeleine_5.87.txt" "et puis lui comme il aime bien les pompiers le matin il a voulu faire euh il voulait faire quelque chose." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_5.87.txt.468" "chi_Madeleine_5.87.txt" "ça ferait bizarre enfin si euh y avait euh un autre et puis euh .
et puis euh en fait il est né et puis y a Julie déjà." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_6.99.txt.301" "chi_Madeleine_6.99.txt" "parce que si il m'allait pas j'aurais pas enlever l'étiquette mais là comme il me va très bien." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_6.99.txt.373" "chi_Madeleine_6.99.txt" "parce que c'était un vélo et comme euh l'année comme samedi ils peuvent pas me le donner parce qu'on sera dans le train pour aller au ski." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Theophile_4.94.txt.94" "chi_Theophile_4.94.txt" "elle avait fait quoi?
et ça je vais le mettre où?
tiens ça sera à la maison." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Theophile_4.94.txt.219" "chi_Theophile_4.94.txt" "xxx attends fais voir qu'est ce que tu as fait?" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Theophile_5.82.txt.86" "chi_Theophile_5.82.txt" "mais non attends on essaie on pourrait la mettre là." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Theophile_5.82.txt.252" "chi_Theophile_5.82.txt" "avec xxx ah tiens.
euh oui!
non je l'ai pas lu.
xxx non mon insi@c mondiale!
oh la la!
oh mais tu m'as tout cassé Antoine tu es méchant!
que j'avais pas le droit." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Theophile_5.82.txt.297" "chi_Theophile_5.82.txt" "je vais le dire à papa!
mais allez relis xx!
non mais!
ouais mais pourquoi tu as dit gnagnagna@o?
et quand il boit son caca ." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_2.77.txt.114" "chi_Théophile_2.77.txt" "vais te mettre en bas!
est où tombé est où yy." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_2.99.txt.11" "chi_Théophile_2.99.txt" "il a fait une bêtise!
oh l'enlever!
est gros!
regardez mes dessins!
regardez dessins!
regardez ça yy.
oh eh y a ballon dessus là!
yyy yy." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_3.6.txt.123" "chi_Théophile_3.6.txt" "regardez ə@fs l'ai trouvé c'est c'est il était accroché il avait une petite brosse il s'est accroché par le gant la xxx." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_3.6.txt.129" "chi_Théophile_3.6.txt" "non suis pas une star!
regardez j'ai eu un doudou avec un coeur là bas!
et veux le prendre." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_3.83.txt.52" "chi_Théophile_3.83.txt" "attends moi veux faire le.
hé moi je l'ai fait pas deux déjà!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_4.14.txt.46" "chi_Théophile_4.14.txt" "je crois qu'il a dit il voulait dire hamac." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_4.14.txt.79" "chi_Théophile_4.14.txt" "peux y aller?
le homard!
nous tu sais on a mangé un homard." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_4.14.txt.87" "chi_Théophile_4.14.txt" "maman avant tu.
en fait tu croyais que ça piquait pas en fait ils ont tu croyais que ils avaient enlevé les pinces et ils ont pas enlevé les pinces." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_4.32.txt.202" "chi_Théophile_4.32.txt" "oh mon ordiateur je vais appuyer partout .
oh oh mais sauf que tu as mis sur la souris là!
mais il faudrait faire un trou là." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.4.txt.74" "chi_Adrien_2.4.txt" "mais non!
est là est là!
apporte ça!
pousser vélo!
est là oh oh!
prends ça prends ça!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.47.txt.103" "chi_Adrien_2.47.txt" "x@pm veux pain!
par terre!
est là!
x@pm veux!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.7.txt.49" "chi_Adrien_2.7.txt" "x@pm pâtes!
allez maman!
allez allez allez maman!
al- allez!
oh allez!
yyy yyy yyy yyy yyy." 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.7.txt.51" "chi_Adrien_2.7.txt" "a cassé ça!
attends attends attends attends!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.94.txt.15" "chi_Adrien_2.94.txt" "c'est@pm tombé!
attends attends!
ah non non non!
x@pm dessous!
a côté!
attends attends attends tends tends tends!
oh non sans déconner!
sans déconner!
y'a des sous y'a des sous!
des sous!
non non non sous!
non sous!
non sous!
x@pm ouvre!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.94.txt.23" "chi_Adrien_2.94.txt" "x@pm mets dedans!
fait tomber!
attends attends pas maintenant!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.04.txt.162" "chi_Adrien_3.04.txt" "mets tourne- toi papa!
tourne tourne!
tourne papa!
là là papa tourne là!
mets là mets là!
allez allez tourner!
tourner là encore!
tourner là!
tourner là!
papa tourne l'autre côté!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.04.txt.170" "chi_Adrien_3.04.txt" "non non non enlever ça!
xxx enlever!
xxx enlève!
x@pm enlève!
et voilà elle est là!
allez yyy yyy." 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.11.txt.25" "chi_Adrien_3.11.txt" "x@pm peux yyy là?
je peux aller là!
là du froid!
veux du froid!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.11.txt.28" "chi_Adrien_3.11.txt" "elle est bonne!
va sortir!
yyy yyy." 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.11.txt.72" "chi_Adrien_3.11.txt" "je mets là!
x@pm x@pm veux accrocher!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.11.txt.114" "chi_Adrien_3.11.txt" "yyy yyy yyy.
au revoir!
attends pardon!
qu'est-ce qui se passe?
ça clignote!
la tour eiffel!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.11.txt.119" "chi_Adrien_3.11.txt" "vais dehors!
aller dehors!
non ouvre!
ouvre ouvre!
non non non!
non non allez!
non pas yyy." 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.2.txt.57" "chi_Adrien_3.2.txt" "maman maman maman!
est pas gentil papa!
attends ah!
non c'est maman!
papa yyy!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.2.txt.110" "chi_Adrien_3.2.txt" "c'est l'index!
attends tends tends!
si moi je connais les noms!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.3" "chi_Adrien_3.28.txt" "t'as vu Akemi?
non non non!
non fais pas!
qu'est-ce que c'est ça?
non elle s'en va pas!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.45" "chi_Adrien_3.28.txt" "ecris écris x@pm prénom là!
allez dessine maman!
oui et pa!
et le ça!
le nom dessus!
non le ça!
ça attends attends!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.47" "chi_Adrien_3.28.txt" "oh dessine!
yyy yyy dessus!
écris Adrien!
dessine le ça!
a dessiné!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.49" "chi_Adrien_3.28.txt" "écris le non pas ça!
ça y est!
dessine le nom à moi!
attends dessine!
dessine le nom à moi!
dessine le nom dessine!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.62" "chi_Adrien_3.28.txt" "veux faire tout seul!
hop on croise!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.74" "chi_Adrien_3.28.txt" "je veux x@pm manger!
des pâtes!
veux manger!
x@pm veux un oeuf!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.89" "chi_Adrien_3.28.txt" "ouvre ça!
attends ouvrir!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.28.txt.91" "chi_Adrien_3.28.txt" "oh super!
yyy le oeuf!
t'as vu?
si c'est bon!
veux encore un oeuf!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.37.txt.8" "chi_Adrien_3.37.txt" "c'est papa!
non assis là!
et moi!
non veux enlever ça!
si veux enlever ça!
enlever ça!
non veux enlever ça!
x@pm veux enlever ça!
aïe aïe aïe!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.37.txt.43" "chi_Adrien_3.37.txt" "yyy couteau!
t'as vu?
t'as vu?
t'as vu?
oui t'as vu!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.37.txt.52" "chi_Adrien_3.37.txt" "x@pm veux enlever enlever ça!
non jette pas ça!
yyy yyy as vu l'école?" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt" "chi_Adrien_3.45.txt" "attends veux attends veux mettre!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.1" "chi_Adrien_3.45.txt" "attends veux mettre veux mettre!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.2" "chi_Adrien_3.45.txt" "ah ça!
as vu?
pour le soleil!
le soleil!
le touche pas ! @.
non pas l'étaler!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.16" "chi_Adrien_3.45.txt" "attends veux aller dans la chambre avec papa avec.
avec la Naomi!
là ici!
non ça!
avec les voitures!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.41" "chi_Adrien_3.45.txt" "l'a mis oh x@pm vais le mettre là-bas!
a mis là-bas!
et c'est mon c'est mon lit!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.56" "chi_Adrien_3.45.txt" "non il conduit si il conduit!
pas sorti sorti potiron!
fermer la porte!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.79" "chi_Adrien_3.45.txt" "t'as vu c'est sale c'est pour couper!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.88" "chi_Adrien_3.45.txt" "elle a fait!
vais dessiner à papa!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.91" "chi_Adrien_3.45.txt" "veux dessiner ici!
sa bouche!
ses yeux!
et ses ses ça!
c'est ses c'est tes cheveux!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.92" "chi_Adrien_3.45.txt" "le nez!
t'as vu?
non c'est c'est des jambes!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.98" "chi_Adrien_3.45.txt" "yyy je vais effacer!
a fait une tête!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.112" "chi_Adrien_3.45.txt" "veux ça!
pas c'est effacer pas!
t'as vu?
je sais pas!
attends yyy yyy yyy yyy." 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.134" "chi_Adrien_3.45.txt" "vais vais casser là vais casser!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.143" "chi_Adrien_3.45.txt" "hé maman!
attends x@pm veux manger ça!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.144" "chi_Adrien_3.45.txt" "ça y est!
attends oui!
a mangé tout ça!
maman a mangé tout ça!
maman mangé tout ça le pain!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.154" "chi_Adrien_3.45.txt" "si il est dedans!
attends attends!
attends là-bas!
attends la bois la bois pas!
si la vois pas!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.68.txt.3" "chi_Adrien_3.68.txt" "non veux moi je voulais voir papa et voulais bouh à papa!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.68.txt.4" "chi_Adrien_3.68.txt" "attends je veux enlever le yyy dans le lit yyy yyy." 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.68.txt.5" "chi_Adrien_3.68.txt" "je veux enlever!
attends attends!" 3
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.68.txt.9" "chi_Adrien_3.68.txt" "fait gâté papa?
pas le gâté yyy yyy yyy yyy attends!
non veux pas casser la tête!" 3
