deuxième	ADJ	deuxième
tu	PRO:cls	tu
vois/	MLT	<unknown>
ils	PRO:cls	il
sont	VER:pres	être
beaux	ADJ	beau
les	DET:def	le
chiens	NOM	chien
qu'	KON	que
on	PRO:cls	on
voit	VER:pres	voir
là	ADV	là
les	DET:def	le
chiots	NOM	chiot
et	KON	et
voilà	FNO	voilà
les	DET:def	le
chiots	NOM	chiot
bon	INT	bon
ben	INT	ben
voilà	FNO	voilà
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
tout	DET:pre	tout
le	DET:def	le
livre	NOM	livre
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
lire	VER:infi	lire
.	NAM	<unknown>
ouais	FNO	ouais
je	PRO:cls	je
vais	VER:pres	aller
te	PRO:clo	te
le	PRO:clo	le
lire	VER:infi	lire
