par	PRP	par
vous	PRO:cls	vous
voulez	VER:pres	vouloir
que	KON	que
je	PRO:cls	je
vous	PRO:clo	vous
dise	VER:subp	dire
d'	PRP	un
habitude	NOM	habitude
vous	PRO:cls	vous
vous	PRO:clo	vous
engueulez	VER:pres	engueuler
mais	KON	mais
engueulez	VER:impe	engueuler
vous	PRO:clo	vous
là	ADV	là
merde	INT	merde
euh	INT	euh
bah	INT	bah
d'	PRP	un
habitude	NOM	habitude
non	FNO	non
pas	ADV	pas
d'	PRP	un
engueulade	NOM	engueulade
rien	PRO:ind	rien
c'	PRO:cls	ce
est	VER:pres	être
chaud	ADJ	chaud
on	PRO:cls	on
se	PRO:clo	se
brûle	VER:pres	brûler
déjà	ADV	déjà
donc	ADV	donc
on	PRO:cls	on
se	PRO:clo	se
brûle	VER:pres	brûler
et	KON	et
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
ai	VER:pres	avoir
que	KON	que
trois	NUM	@card@
minutes	NOM	minute
là	ADV	là
et	KON	et
il	PRO:cls	il
prend	VER:pres	prendre
il	PRO:cls	il
prend	VER:pres	prendre
les	DET:def	le
odeurs	NOM	odeur
aussi	ADV	aussi
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
demain	ADV	demain
tu	PRO:cls	tu
as	VER:pres	avoir
partiel	ADJ	partiel
de	PRP	de
quoi	INT	quoi
histoire	NOM	histoire
de	PRP	de
la	DET:def	le
musique	NOM	musique
tu	PRO:cls	tu
fais	VER:pres	faire
ça	PRO:ton	ça
histoire	NOM	histoire
de	PRP	de
la	DET:def	le
musique	NOM	musique
ouais	FNO	ouais
quel	DET:int	quel
rapport	NOM	rapport
avec	PRP	avec
le	DET:def	le
français	NOM	français
rien	PRO:ind	rien
du	PRP:det	du
tout	ADV	tout
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
option	NOM	option
pour	PRP	pour
changer	VER:infi	changer
de	PRP	de
euh	INT	euh
tous	DET:pre	tout
les	DET:def	le
cours	NOM	cours
de	PRP	de
tous	DET:pre	tout
les	DET:def	le
cours	NOM	cours
de	PRP	de
grammaire	NOM	grammaire
pourris	ADJ	pourri
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
amérique	ADJ	<unknown>
quoi	INT	quoi
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
histoire	NOM	histoire
de	PRP	de
l'	DET:def	le
amérique	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
histoire	NOM	histoire
de	PRP	de
la	DET:def	le
musique	NOM	musique
histoire	NOM	histoire
de	PRP	de
la	DET:def	le
musique	NOM	musique
musique	NOM	musique
ah	INT	ah
la	DET:def	le
musique	NOM	musique
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
amérique	NOM	<unknown>
que	KON	que
j'	PRO:cls	je
avais	AUX:impf	avoir
compris	VER:pper	comprendre
moi	PRO:ton	moi
Joe	NAM	<unknown>
Dassin	NAM	<unknown>
et	KON	et
ce	DET:dem	ce
matin	NOM	matin
ça	PRO:cls	ça
a	AUX:pres	avoir
été	VER:pper	être
euh	INT	euh
tes	DET:pos	ton
partiels	NOM	partiel
de	PRP	de
ce	DET:dem	ce
matin	NOM	matin
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
du	PRP:det	du
boulot	NOM	boulot
le	DET:def	le
chinois	NOM	chinois
ouais	FNO	ouais
ouais	FNO	ouais
tu	PRO:cls	tu
as	AUX:pres	avoir
bien	ADV	bien
réussis	VER:pper	réussir
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
de	PRP	de
quinze	NUM	@card@
c'	PRO:cls	ce
est	VER:pres	être
marrant	ADJ	marrant
parce	TRC	parce
que	KON	que
euh	INT	euh
tu	PRO:cls	tu
parles	VER:pres	parler
d'	PRP	un
histoire	NOM	histoire
de	PRP	de
la	DET:def	le
musique	NOM	musique
on	PRO:cls	on
a	AUX:pres	avoir
regardé	VER:pper	regarder
un	DET:ind	un
reportage	NOM	reportage
hier	ADV	hier
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
première	ADJ	premier
fois	NOM	fois
qu'	KON	que
ils	PRO:cls	il
entendaient	VER:impf	entendre
une	DET:ind	un
chanson	NOM	chanson
avec	PRP	avec
une	DET:ind	un
guitare	NOM	guitare
et	KON	et
tout	DET:pre	tout
ça	PRO:ton	ça
hein	INT	hein
ah	INT	ah
oui	FNO	oui
mais	KON	mais
c'	PRO:cls	ce
était	VER:impf	être
les	DET:def	le
papous	NOM	papou
avec	PRP	avec
zazou	NOM	zazou
avec	PRP	avec
roh	NOM	<unknown>
avec	PRP	avec
Zazie	NAM	<unknown>
franchement	ADV	franchement
c'	PRO:cls	ce
était	VER:impf	être
génial	ADJ	génial
mais	KON	mais
non	FNO	non
ils	PRO:cls	il
chantent	VER:pres	chanter
eux	PRO:ton	eux
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
bouton	NOM	bouton
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
premiere	NOM	<unknown>
fois	NOM	fois
qu'	KON	que
ils	PRO:cls	il
se	PRO:clo	se
voyaient	VER:impf	voir
ils	PRO:cls	il
chantent	VER:pres	chanter
ils	PRO:cls	il
ne	ADV	ne
se	PRO:clo	se
sont	AUX:pres	être
jamais	ADV	jamais
vu	VER:pper	voir
ils	PRO:cls	il
n'	ADV	ne
avaient	AUX:impf	avoir
pas	ADV	pas
de	PRP	de
miroirs	NOM	miroir
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
papous	NOM	papou
dans	PRP	dans
la	DET:def	le
jungle	NOM	jungle
et	KON	et
alors	ADV	alors
ils	PRO:cls	il
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
d'	PRP	un
usines	NOM	usine
pour	PRP	pour
faire	VER:infi	faire
des	DET:ind	un
miroirs	NOM	miroir
xxx	NOM	<unknown>
bah	INT	bah
ils	PRO:cls	il
sont	VER:pres	être
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
voyage	NOM	voyage
en	PRP	en
terre	NOM	terre
inconnue	ADJ	inconnu
hum	FNO	hum
et	KON	et
eh	INT	eh
ils	PRO:cls	il
sont	AUX:pres	être
revenus	VER:pper	revenir
leurs	DET:pos	leur
montrer	VER:infi	montrer
le	DET:def	le
film	NOM	film
qu'	KON	que
il	PRO:cls	il
avaient	AUX:impf	avoir
euh	INT	euh
filmé	VER:pper	filmer
et	KON	et
là	ADV	là
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
vus	VER:pper	voir
et	KON	et
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
vus	VER:pper	voir
pour	PRP	pour
la	DET:def	le
première	ADJ	premier
fois	NOM	fois
alors	ADV	alors
je	PRO:cls	je
vais	VER:pres	aller
être	VER:infi	être
gentil	ADJ	gentil
avec	PRP	avec
vous	PRO:ton	vous
elle	PRO:cls	elle
s'	PRO:clo	se
en	PRO:clo	en
fout	VER:pres	foutre
elle	PRO:cls	elle
veut	VER:pres	vouloir
simplement	ADV	simplement
vous	PRO:clo	vous
faire	VER:infi	faire
parler	VER:infi	parler
hum	FNO	hum
je	PRO:cls	je
sais	VER:pres	savoir
nan	ADJ	<unknown>
je	PRO:cls	je
touve	VER:pres	<unknown>
ça	PRO:ton	ça
intéressant	ADJ	intéressant
bah	INT	bah
ça	PRO:cls	ça
fait	VER:pres	faire
rien	PRO:ind	rien
alors	ADV	alors
la	DET:def	le
question	NOM	question
était	VER:impf	être
xxx	NOM	<unknown>
comment	PRO:int	comment
le	DET:def	le
gars	NOM	gars
s'	PRO:clo	se
est	AUX:pres	être
reconnu	VER:pper	reconnaître
ouais	FNO	ouais
comment	PRO:int	comment
il	PRO:cls	il
a	AUX:pres	avoir
su	VER:pper	savoir
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
lui	PRO:ton	lui
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
ne	ADV	ne
s'	PRO:clo	se
était	AUX:impf	être
jamais	ADV	jamais
vu	VER:pper	voir
bah	INT	bah
ouais	FNO	ouais
au	PRP:det	au
son	NOM	son
de	PRP	de
sa	DET:pos	son
voix	NOM	voix
peut-être	ADV	peut-être
non	FNO	non
non	FNO	non
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
ben	INT	ben
bah	INT	bah
non	FNO	non
parce	TRC	parce
que	KON	que
euh	INT	euh
le	DET:def	le
seul	ADJ	seul
que	KON	que
euh	INT	euh
je	PRO:cls	je
connaissais	VER:impf	connaître
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
que	KON	que
je	PRO:cls	je
connaissais	VER:impf	connaître
pas	ADV	pas
je	PRO:cls	je
connaissais	VER:impf	connaître
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
et	KON	et
le	DET:def	le
seul	ADJ	seul
que	KON	que
je	PRO:cls	je
ne	ADV	ne
connaissais	VER:impf	connaître
pas	ADV	pas
ça	PRO:cls	ça
pouvait	VER:impf	pouvoir
être	VER:infi	être
que	KON	que
moi	PRO:ton	moi
le	DET:def	le
papou	NOM	papou
tu	PRO:cls	tu
sais	VER:pres	savoir
qui	PRO:rel	qui
a	AUX:pres	avoir
dit	VER:pper	dire
ça	PRO:ton	ça
le	DET:def	le
papou	NOM	papou
pas	ADV	pas
pas	ADV	pas
mal	ADV	mal
hein	INT	hein
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
drôle	ADJ	drôle
ça	PRO:cls	ça
a	VER:pres	avoir
du	DET:par	du
leur	PRO:clo	lui
faire	VER:infi	faire
bizarre	ADJ	bizarre
quand	KON	quand
même	ADV	même
rien	PRO:ind	rien
que	KON	que
de	PRP	de
voir	VER:infi	voir
une	DET:ind	un
télé	NOM:trc	télévision
eh	INT	eh
et	KON	et
en	PRP	en
Ethiopie	NOM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
ah	INT	ah
une	DET:ind	un
famille	NOM	famille
ohlala	ADJ	<unknown>
ils	PRO:cls	il
ont	VER:pres	avoir
euh	INT	euh
roh	NOM	<unknown>
la	DET:def	le
classe	NOM	classe
le	DET:def	le
gars	NOM	gars
ils	PRO:cls	il
ont	AUX:pres	avoir
mis	VER:pper	mettre
un	DET:ind	un
drap	NOM	drap
et	KON	et
puis	KON	puis
avec	PRP	avec
un	DET:ind	un
un	DET:ind	un
projecteur	NOM	projecteur
un	DET:ind	un
retro-projecteur	NOM	<unknown>
un	DET:ind	un
projecteur	NOM	projecteur
vidéo	ADJ	vidéo
ouais	FNO	ouais
ouais	FNO	ouais
hum	FNO	hum
dans	PRP	dans
la	DET:def	le
hutte	NOM	hutte
la	DET:def	le
hutte	NOM	hutte
sur	PRP	sur
pilotis	NOM	pilotis
tu	PRO:cls	tu
sais	VER:pres	savoir
toute	ADV	tout
en	PRP	en
hauteur	NOM	hauteur
tout	ADV	tout
en	PRP	en
haut	NOM	haut
euh	INT	euh
des	DET:ind	un
arbres	NOM	arbre
quand	KON	quand
Za-	NAM	<unknown>
Zazie	NAM	<unknown>
y	PRO:clo	y
a	AUX:pres	avoir
été	AUX:pper	être
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
première	ADJ	premier
blanche	ADJ	blanc
qu'	KON	que
ils	PRO:cls	il
voyaient	VER:impf	voir
première	ADJ	premier
femme	NOM	femme
blanche	ADJ	blanc
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
ouais	FNO	ouais
ouais	FNO	ouais
et	KON	et
franchement	ADV	franchement
c'	PRO:cls	ce
est	VER:pres	être
faut	VER:pres	falloir
que	KON	que
j'	PRO:cls	je
évite	VER:pres	éviter
de	PRP	de
sortir	VER:infi	sortir
des	DET:ind	un
blagues	NOM	blague
douteuses	ADJ	douteux
alors	ADV	alors
non	FNO	non
non	FNO	non
mais	KON	mais
pourquoi	PRO:int	pourquoi
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
des	DET:ind	un
blagues	NOM	blague
et	KON	et
bah	INT	bah
je	PRO:cls	je
suis	AUX:pres	être
enregistrée	VER:pper	enregistrer
hein	INT	hein
hein	INT	hein
je	PRO:cls	je
suis	AUX:pres	être
enregistrée	VER:pper	enregistrer
tu	PRO:cls	tu
vas	VER:pres	aller
le	PRO:clo	le
restranscrire	VER:infi	<unknown>
ton	DET:pos	ton
rire	NOM	rire
ouais	FNO	ouais
je	PRO:cls	je
vais	VER:pres	aller
mettre	VER:infi	mettre
entre	PRP	entre
petits	ADJ	petit
guillemets	NOM	guillemet
rire	VER:infi	rire
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
hein	INT	hein
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
l'	DET:def	le
émission	NOM	émission
hier	ADV	hier
hum	FNO	hum
ah	INT	ah
ouais	FNO	ouais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
je	PRO:cls	je
suis	VER:pres	être
pas	ADV	pas
je	PRO:cls	je
suis	VER:pres	être
pas	ADV	pas
fanne	NOM	<unknown>
de	PRP	de
l'	DET:def	le
émission	NOM	émission
là	ADV	là
oh	INT	oh
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
c'	PRO:cls	ce
est	VER:pres	être
beau	ADJ	beau
mais	KON	mais
euh	INT	euh
oh	INT	oh
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
chouette	ADJ	chouette
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
ça	PRO:cls	ça
me	PRO:clo	me
saoule	VER:pres	saouler
au	PRP:det	au
bout	NOM	bout
d'	PRP	un
un	DET:ind	un
moment	NOM	moment
ah	INT	ah
bon	INT	bon
xxx	NOM	<unknown>
oh	INT	oh
non	FNO	non
oh	INT	oh
là	ADV	là
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
il	PRO:cls	il
était	VER:impf	être
dans	PRP	dans
l'	DET:def	le
Himalaya	NAM	<unknown>
mais	KON	mais
il	PRO:cls	il
ne	ADV	ne
voit	VER:pres	voir
rien	PRO:ind	rien
bah	INT	bah
ouais	FNO	ouais
mais	KON	mais
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
ça	PRO:ton	ça
ouais	FNO	ouais
et	KON	et
euh	INT	euh
Himalaya	NAM	<unknown>
quand	KON	quand
il	PRO:cls	il
est	AUX:pres	être
arrivé	VER:pper	arriver
oh	INT	oh
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
à	PRP	à
l'	DET:def	le
himalaya	ADJ	<unknown>
je	PRO:cls	je
suis	VER:pres	être
sûre	ADJ	sûr
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
profité	VER:pper	profiter
de	PRP	de
la	DET:def	le
vue	NOM	vue
ça	PRO:cls	ça
devait	VER:impf	devoir
être	VER:infi	être
génial	ADJ	génial
mais	KON	mais
non	FNO	non
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
mis	VER:pper	mettre
dans	PRP	dans
un	DET:ind	un
frigo	NOM	frigo
et	KON	et
ils	PRO:cls	il
lui	PRO:clo	lui
ont	AUX:pres	avoir
fait	VER:pper	faire
croire	VER:infi	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
là-bas	ADV	là-bas
tu	PRO:cls	tu
sais	VER:pres	savoir
ouais	FNO	ouais
grave	ADJ	grave
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
mis	VER:pper	mettre
au	PRP:det	au
dessus	ADV	dessus
des	DET:ind	un
ils	PRO:cls	il
l'	PRO:clo	le
ont	VER:pres	avoir
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
enmené	VER:pper	<unknown>
dans	PRP	dans
les	DET:def	le
Vosges	NAM	Vosges
il	PRO:cls	il
ressent	VER:pres	ressentir
il	PRO:cls	il
ressent	VER:pres	ressentir
des	DET:ind	un
choses	NOM	chose
que	KON	que
personnes	NOM	personne
ne	ADV	ne
euh	INT	euh
ne	ADV	ne
peut	VER:pres	pouvoir
prévoir	VER:infi	prévoir
il	PRO:cls	il
ne	ADV	ne
voyait	VER:impf	voir
pas	ADV	pas
la	DET:def	le
rivière	NOM	rivière
il	PRO:cls	il
dit	VER:pres	dire
y	PRO:clo	y
y	PRO:clo	y
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
tient	VER:pres	tenir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
rivière	NOM	rivière
pas	ADV	pas
loin	ADV	loin
han	ADJ	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
Legolas	NOM	<unknown>
non	FNO	non
non	FNO	non
mais	KON	mais
hum	FNO	hum
le	DET:def	le
le	DET:def	le
soleil	NOM	soleil
est	VER:pres	être
rouge	ADJ	rouge
beaucoup	ADV	beaucoup
de	PRP	de
sans	PRP	sans
a	AUX:pres	avoir
dû	VER:pper	devoir
couler	VER:infi	couler
cette	DET:dem	ce
nuit	NOM	nuit
quoi	INT	quoi
non	FNO	non
c'	PRO:cls	ce
était	VER:impf	être
vachement	ADV	vachement
bien	ADV	bien
putain	INT	putain
Gilbert	NAM	Gilbert
Montagné	NAM	<unknown>
à	PRP	à
l'	DET:def	le
Himalaya	NAM	<unknown>
hum	FNO	hum
puré	VER:pper	<unknown>
dans	PRP	dans
l'	DET:def	le
Himalaya	NAM	<unknown>
ils	PRO:cls	il
auraient	AUX:cond	avoir
dû	VER:pper	devoir
m'	PRO:clo	me
envoyer	VER:infi	envoyer
à	PRP	à
sa	DET:pos	son
place	NOM	place
mais	KON	mais
moi	PRO:ton	moi
c'	PRO:cls	ce
était	VER:impf	être
les	DET:def	le
trucs	NOM	truc
euh	INT	euh
Sissi	ADJ	<unknown>
là	ADV	là
ils	PRO:cls	il
voulaient	VER:impf	vouloir
le	PRO:clo	le
paumer	VER:infi	paumer
Cissé	VER:pper	<unknown>
alors	ADV	alors
la	DET:def	le
cissé	NOM	<unknown>
euh	INT	euh
c'	PRO:cls	ce
était	AUX:impf	être
Cissé	VER:pper	<unknown>
hum	FNO	hum
non	FNO	non
Cissé	NAM	<unknown>
euh	INT	euh
un	DET:ind	un
père	NOM	père
de	PRP	de
famile	NOM	<unknown>
éthiopien	ADJ	éthiopien
qui	PRO:rel	qui
le	DET:def	le
nom	NOM	nom
du	PRP:det	du
monsieur	NOM	monsieur
le	DET:def	le
footballeur	NOM	footballeur
non	FNO	non
non	FNO	non
non	FNO	non
il	PRO:cls	il
a	AUX:pres	avoir
appri	VER:pper	<unknown>
à	PRP	à
lire	VER:infi	lire
à	PRP	à
quarante	NUM	@card@
trois	NUM	@card@
ans	NOM	an
c'	PRO:cls	ce
était	VER:impf	être
Adriana	NOM	<unknown>
Karembeu	NAM	<unknown>
qui	PRO:rel	qui
est	AUX:pres	être
partie	VER:pper	partir
dans	PRP	dans
une	NUM	@card@
euh	INT	euh
tribu	NOM	tribu
d'	PRP	un
éthiopie	NOM	<unknown>
euh	INT	euh
qui	PRO:rel	qui
vit	VER:pres	vivre
a	VER:pres	avoir
quatre	NUM	@card@
mille	NUM	@card@
mètre	NOM	mètre
d'	PRP	un
altitude	NOM	altitude
et	KON	et
euh	INT	euh
et	KON	et
le	DET:def	le
monsieur	NOM	monsieur
qui	PRO:rel	qui
l'	PRO:clo	le
hébergait	VER:impf	<unknown>
c'	PRO:cls	ce
était	AUX:impf	être
Cissé	VER:pper	<unknown>
les	DET:def	le
parents	NOM	parent
forcent	VER:subp	forcer
les	DET:def	le
enfants	NOM	enfant
à	PRP	à
se	PRO:clo	se
marier	VER:infi	marier
ouais	FNO	ouais
les	DET:def	le
filles	NOM	fille
se	PRO:clo	se
mariaient	VER:impf	marier
à	PRP	à
douze	NUM	@card@
ans	NOM	an
ils	PRO:cls	il
les	PRO:clo	le
marient	VER:pres	marier
à	PRP	à
douze	NUM	@card@
ans	NOM	an
là-bas	ADV	là-bas
il	PRO:clsi	il
l'	PRO:clo	le
a	AUX:pres	avoir
fait	VER:pper	faire
lui	PRO:ton	lui
avec	PRP	avec
sa	DET:pos	son
fille	NOM	fille
eh	INT	eh
sa	DET:pos	son
plus	ADV	plus
vieille	ADJ	vieux
fille	NOM	fille
mais	KON	mais
pour	PRP	pour
lui	PRO:ton	lui
mais	KON	mais
après	ADV	après
une	DET:ind	un
fois	NOM	fois
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
lu	VER:pper	lire
plein	ADV	plein
de	PRP	de
chose	NOM	chose
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
j'	PRO:cls	je
ai	AUX:pres	avoir
enterré	VER:pper	enterrer
ma	DET:pos	mon
fille	NOM	fille
vivante	ADJ	vivant
quoi	INT	quoi
il	PRO:cls	il
a	AUX:pres	avoir
appri	VER:pper	<unknown>
à	PRP	à
lire	VER:infi	lire
après	ADV	après
et	KON	et
quand	KON	quand
il	PRO:cls	il
a	AUX:pres	avoir
appri	VER:pper	<unknown>
à	PRP	à
lire	VER:infi	lire
ah	INT	ah
ça	PRO:cls	ça
lui	PRO:clo	lui
a	AUX:pres	avoir
donné	VER:pper	donner
une	DET:ind	un
ouverture	NOM	ouverture
d'	PRP	un
esprit	NOM	esprit
qui	PRO:rel	qui
fait	VER:pres	faire
que	KON	que
il	PRO:cls	il
a	VER:pres	avoir
lit	NOM	lit
lu	VER:pper	lire
les	DET:def	le
droits	NOM	droit
de	PRP	de
l'	DET:def	le
homme	NOM	homme
il	PRO:cls	il
a	AUX:pres	avoir
lu	VER:pper	lire
euh	INT	euh
tout	DET:pre	tout
ça	PRO:ton	ça
et	KON	et
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
rendu	VER:pper	rendre
compte	NOM	compte
de	PRP	de
la	DET:def	le
bêtises	NOM	bêtise
qu'	KON	que
il	PRO:cls	il
avait	AUX:impf	avoir
fait	VER:pper	faire
d'	PRP	un
avoir	AUX:infi	avoir
marié	VER:pper	marier
sa	DET:pos	son
fille	NOM	fille
à	PRP	à
douze	NUM	@card@
ans	NOM	an
j'	PRO:cls	je
enterre	VER:pres	enterrer
ma	DET:pos	mon
fille	NOM	fille
ouais	FNO	ouais
mais	KON	mais
mais	KON	mais
et	KON	et
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
je	PRO:cls	je
me	PRO:clo	me
rend	VER:pres	rendre
compte	NOM	compte
que	KON	que
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
enterré	VER:pper	enterrer
vivante	ADJ	vivant
et	KON	et
il	PRO:cls	il
a	AUX:pres	avoir
pas	ADV	pas
fait	VER:pper	faire
pareil	ADJ	pareil
pour	PRP	pour
la	DET:def	le
pour	PRP	pour
la	DET:def	le
deuxième	ADJ	deuxième
ouais	FNO	ouais
pour	PRP	pour
la	DET:def	le
deuxième	ADJ	deuxième
et	KON	et
il	PRO:clsi	il
se	PRO:clo	se
bat	VER:pres	battre
euh	INT	euh
dans	PRP	dans
son	DET:pos	son
village	NOM	village
et	KON	et
puis	KON	puis
dans	PRP	dans
tous	DET:pre	tout
les	DET:def	le
villages	NOM	village
alentours	NOM	alentour
pour	PRP	pour
euh	INT	euh
ne	ADV	ne
plus	ADV	plus
que	KON	que
les	DET:def	le
les	DET:def	le
pères	NOM	père
euh	INT	euh
marient	VER:pres	marier
enfin	ADV	enfin
vendent	VER:pres	vendre
quoi	INT	quoi
enfin	ADV	enfin
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
elle	PRO:cls	elle
sont	AUX:pres	être
vendues	VER:pper	vendre
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
ou	KON	ou
moins	ADV	moins
vendu	VER:pper	vendre
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
principe	NOM	principe
archaïque	ADJ	archaïque
avec	PRP	avec
la	DET:def	le
dotte	NOM	<unknown>
xxx	NOM	<unknown>
parce	TRC	parce
que	KON	que
pendant	PRP	pendant
dix	NUM	@card@
ans	NOM	an
il	PRO:cls	il
a	VER:pres	avoir
euh	INT	euh
reçu	VER:pper	recevoir
euh	INT	euh
des	DET:ind	un
cadeaux	NOM	cadeau
de	PRP	de
la	DET:def	le
famille	NOM	famille
du	PRP:det	du
marié	NOM	marié
pendant	PRP	pendant
dix	NUM	@card@
ans	NOM	an
ils	PRO:cls	il
reçoivent	VER:pres	recevoir
euh	INT	euh
des	DET:ind	un
cadeaux	NOM	cadeau
et	KON	et
euh	INT	euh
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
et	KON	et
tu	PRO:cls	tu
vend	VER:pres	vendre
ton	DET:pos	ton
gosse	NOM	gosse
et	KON	et
sa	DET:pos	son
deuxième	ADJ	deuxième
fille	NOM	fille
eh	INT	eh
il	PRO:clsi	il
l'	PRO:clo	le
a	VER:pres	avoir
euh	INT	euh
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
demandé	VER:pper	demander
de	PRP	de
