bon	INT	bon
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
administratif	ADJ	administratif
ou	KON	ou
euh	INT	euh
sur	PRP	sur
le	DET:def	le
terrain	NOM	terrain
quoi	INT	quoi
j'	PRO:cls	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
dire	VER:infi	dire
et	KON	et
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
coché	VER:pper	cocher
donc	ADV	donc
les	DET:def	le
annonces	NOM	annonce
qui	PRO:rel	qui
pouvaient	VER:impf	pouvoir
m'	PRO:clo	me
intéresser	VER:infi	intéresser
et	KON	et
donc	ADV	donc
en	PRP	en
Lorraine	NAM	Lorraine
et	KON	et
un	DET:ind	un
jour	NOM	jour
euh	INT	euh
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
reçu	VER:pper	recevoir
un	DET:ind	un
mail	NOM	mail
comme	KON	comme
quoi	INT	quoi
euh	INT	euh
une	DET:ind	un
session	NOM	session
de	PRP	de
recrutement	NOM	recrutement
de	PRP	de
conducteurs	NOM	conducteur
de	PRP	de
train	NOM	train
était	AUX:impf	être
ouverte	VER:pper	ouvrir
donc	ADV	donc
pour	PRP	pour
la	DET:def	le
région	NOM	région
Lorraine	NAM	Lorraine
donc	ADV	donc
euh	INT	euh
à	PRP	à
cette	DET:dem	ce
annonce	NOM	annonce
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
y	PRO:clo	y
ai	AUX:pres	avoir
répondu	VER:pper	répondre
en	PRP	en
écrivant	VER:ppre	écrire
une	DET:ind	un
petite	ADJ	petit
lettre	NOM	lettre
de	PRP	de
motivation	NOM	motivation
euh	INT	euh
sur	PRP	sur
le	DET:def	le
site	NOM	site
de	PRP	de
quinze	NUM	@card@
lignes	NOM	ligne
environ	ADV	environ
voilà	FNO	voilà
donc	ADV	donc
euh	INT	euh
un	DET:ind	un
mois	NOM	mois
après	ADV	après
j'	PRO:cls	je
ai	AUX:pres	avoir
été	AUX:pper	être
donc	ADV	donc
euh	INT	euh
recontacté	VER:pper	recontacter
donc	ADV	donc
apparemment	ADV	apparemment
euh	INT	euh
la	DET:def	le
lettre	NOM	lettre
de	PRP	de
motivation	NOM	motivation
avait	AUX:impf	avoir
fait	VER:pper	faire
sion	NOM	<unknown>
avait	AUX:impf	avoir
fait	VER:pper	faire
son	DET:pos	son
effet	NOM	effet
puisque	KON	puisque
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
été	AUX:pper	être
rappelé	VER:pper	rappeler
un	DET:ind	un
matin	NOM	matin
et	KON	et
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
proposé	VER:pper	proposer
euh	INT	euh
donc	ADV	donc
un	DET:ind	un
petit	ADJ	petit
entretien	NOM	entretien
téléphonique	ADJ	téléphonique
d'	PRP	un
abord	NOM	abord
donc	ADV	donc
euh	INT	euh
sur	PRP	sur
euh	INT	euh
mes	DET:pos	mon
motivations	NOM	motivation
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
simplement	ADV	simplement
à	PRP	à
répéter	VER:infi	répéter
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
dans	PRP	dans
la	DET:def	le
lettre	NOM	lettre
de	PRP	de
ouais	FNO	ouais
motivation	NOM	motivation
voilà	FNO	voilà
et	KON	et
ensuite	ADV	ensuite
euh	INT	euh
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
proposé	VER:pper	proposer
donc	ADV	donc
un	DET:ind	un
-vous	PRO:clo	vous
rendez	VER:pres	rendre
pour	PRP	pour
une	DET:ind	un
journée	NOM	journée
de	PRP	de
recrutement	NOM	recrutement
donc	ADV	donc
euh	INT	euh
à	PRP	à
Paris	NAM	Paris
voilà	FNO	voilà
et	KON	et
pour	PRP	pour
passer	VER:infi	passer
des	DET:ind	un
tests	NOM	test
ah	INT	ah
ouais	FNO	ouais
passer	VER:infi	passer
des	DET:ind	un
tests	NOM	test
et	KON	et
l'	DET:def	le
hébergement	NOM	hébergement
c'	PRO:cls	ce
était	VER:impf	être
à	PRP	à
toi	PRO:ton	toi
à	PRP	à
le	PRO:clo	le
trouver	VER:infi	trouver
ou	KON	ou
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
qui	PRO:rel	qui
te	PRO:clo	te
l'	PRO:clo	le
a	AUX:pres	avoir
trouvé	VER:pper	trouver
alors	ADV	alors
euh	INT	euh
oui	FNO	oui
ça	PRO:cls	ça
a	AUX:pres	avoir
été	VER:pper	être
le	DET:def	le
le	DET:def	le
problème	NOM	problème
le	DET:def	le
premier	ADJ	premier
problème	NOM	problème
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
trouver	VER:infi	trouver
un	DET:ind	un
logement	NOM	logement
à	PRP	à
Paris	NAM	Paris
ouais	FNO	ouais
pas	ADV	pas
évident	ADJ	évident
donc	ADV	donc
sa-	VER:simp	<unknown>
sachant	VER:ppre	savoir
que	KON	que
euh	INT	euh
j-	TRC	j-
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
fallu	VER:pper	falloir
trois	NUM	@card@
jours	NOM	jour
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
trouver	VER:infi	trouver
euh	INT	euh
trois	NUM	@card@
jours	NOM	jour
quand	KON	quand
même	ADV	même
oui	FNO	oui
trois	NUM	@card@
jours	NOM	jour
avant	ADV	avant
j'	PRO:cls	je
ai	AUX:pres	avoir
été	AUX:pper	être
appelé	VER:pper	appeler
avant	PRP	avant
la	DET:def	le
session	NOM	session
de	PRP	de
recrutement	NOM	recrutement
donc	ADV	donc
euh	INT	euh
pour	PRP	pour
trouver	VER:infi	trouver
un	DET:ind	un
hôtel	NOM	hôtel
à	PRP	à
Paris	NAM	Paris
en	PRP	en
trois	NUM	@card@
jours	NOM	jour
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
compliqué	VER:pper	compliquer
donc	ADV	donc
euh	INT	euh
finalement	ADV	finalement
donc	ADV	donc
euh	INT	euh
même	ADV	même
en	PRP	en
les	PRO:clo	le
rappelant	VER:ppre	rappeler
euh	INT	euh
pour	PRP	pour
savoir	VER:infi	savoir
si	KON	si
ils	PRO:cls	il
avaient	VER:impf	avoir
pas	ADV	pas
des	DET:ind	un
solutions	NOM	solution
d'	PRP	un
hébergement	NOM	hébergement
donc	ADV	donc
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
répond-	VER:pper	<unknown>
donc	ADV	donc
je	PRO:cls	je
les	PRO:clo	le
ai	AUX:pres	avoir
rappelés	VER:pper	rappeler
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
dit	VER:pper	dire
non	FNO	non
que	KON	que
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
à	PRP	à
nous	PRO:ton	nous
de	PRP	de
euh	INT	euh
nous	PRO:clo	nous
débrouiller	VER:infi	débrouiller
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
euh	INT	euh
la	DET:def	le
solution	NOM	solution
euh	INT	euh
qui	PRO:rel	qui
s'	PRO:clo	se
est	VER:pres	être
euh	INT	euh
comment	PRO:int	comment
qui	PRO:rel	qui
s'	PRO:clo	se
est	AUX:pres	être
présentée	VER:pper	présenter
finalement	ADV	finalement
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
euh	INT	euh
bah	INT	bah
la	DET:def	le
famille	NOM	famille
quoi	INT	quoi
donc	ADV	donc
j'	PRO:cls	je
avais	VER:impf	avoir
de	PRP	de
la	DET:def	le
ah	INT	ah
famille	NOM	famille
donc	ADV	donc
sur	PRP	sur
Paris	NAM	Paris
donc	ADV	donc
euh	INT	euh
du	PRP:det	du
côté	NOM	côté
de	PRP	de
ma	DET:pos	mon
belle-mère	NOM	<unknown>
qui	PRO:rel	qui
pouvait	VER:impf	pouvoir
m'	PRO:clo	me
héberger	VER:infi	héberger
là-bas	ADV	là-bas
pour	PRP	pour
euh	INT	euh
une	DET:ind	un
nuit	NOM	nuit
ouais	FNO	ouais
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
mal	ADV	mal
fin	NOM	fin
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
quoi	INT	quoi
parce	TRC	parce
que	KON	que
les	DET:def	le
recrutements	NOM	recrutement
euh	INT	euh
les	DET:def	le
tests	NOM	test
commençaient	VER:impf	commencer
fallait	VER:impf	falloir
se-	TRC	<unknown>
être	VER:infi	être
à	PRP	à
Paris	NAM	Paris
à	PRP	à
sept	NUM	@card@
heures	NOM	heure
quarante-cinq	NUM	@card@
donc	ADV	donc
euh	INT	euh
partir	VER:infi	partir
le	DET:def	le
matin	NOM	matin
ça	PRO:cls	ça
fait	VER:pres	faire
un	DET:ind	un
peu	NOM	peu
tôt	ADV	tôt
depuis	ADV	depuis
ici	ADV	ici
donc	ADV	donc
voilà	FNO	voilà
euh	INT	euh
ouais	FNO	ouais
pas	ADV	pas
mal	ADV	mal
voilà	FNO	voilà
ouais	FNO	ouais
quand	KON	quand
t'	PRO:clo	te
es	AUX:pres	être
hébergé	VER:pper	héberger
déjà	ADV	déjà
par	PRP	par
de	PRP	de
la	DET:def	le
famille	NOM	famille
c'	PRO:cls	ce
est	VER:pres	être
déjà	ADV	déjà
un	DET:ind	un
bon	ADJ	bon
point	NOM	point
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
c'	PRO:cls	ce
est	VER:pres	être
déjà	ADV	déjà
moins	ADV	moins
stressant	ADJ	stressant
euh	INT	euh
à	PRP	à
Paris	NAM	Paris
surtout	ADV	surtout
à	PRP	à
Paris	NAM	Paris
si	KON	si
on	PRO:cls	on
connait	VER:impf	<unknown>
pas	ADV	pas
de	PRP	de
trop	ADV	trop
Paris	NAM	Paris
oui	FNO	oui
voilà	FNO	voilà
et	KON	et
puis	KON	puis
euh	INT	euh
surtout	ADV	surtout
Paris	NAM	Paris
euh	INT	euh
ouais-ais	NOM	<unknown>
s-surtout	ADV	<unknown>
quand	KON	quand
on	PRO:cls	on
y	PRO:clo	y
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
capitale	NOM	capitale
voila	VER:simp	voiler
donc	ADV	donc
euh	INT	euh
quand	KON	quand
on	PRO:cls	on
connait	VER:impf	<unknown>
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
vrai	ADJ	vrai
sac	NOM	sac
de	PRP	de
noeuds	NOM	noeud
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
euh	INT	euh
et	KON	et
grâce	ADV	grâce
à	PRP	à
donc	ADV	donc
euh	INT	euh
cette	DET:dem	ce
dame	NOM	dame
donc	ADV	donc
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
hébergé	VER:pper	héberger
j'	PRO:cls	je
ai	AUX:pres	avoir
ai	AUX:pres	avoir
pu	VER:pper	pouvoir
donc	ADV	donc
d'	PRP	un
abord	NOM	abord
ben	INT	ben
visiter	VER:infi	visiter
Paris	NAM	Paris
quand	KON	quand
je	PRO:cls	je
suis	AUX:pres	être
arrivé	VER:pper	arriver
donc	ADV	donc
j'	PRO:cls	je
y	PRO:clo	y
ai	AUX:pres	avoir
été	VER:pper	être
-en	NOM	<unknown>
en	PRP	en
train	NOM	train
oui	FNO	oui
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
déplacé	VER:pper	déplacer
en	PRP	en
en	PRP	en
train	NOM	train
et	KON	et
tous	DET:pre	tout
mes	DET:pos	mon
comment	PRO:int	comment
tous	DET:pre	tout
mes	DET:pos	mon
j'	PRO:cls	je
avais	AUX:impf	avoir
demandé	VER:pper	demander
pour	PRP	pour
les	DET:def	le
pour	PRP	pour
les	PRO:clo	le
comment	PRO:int	comment
pour	PRP	pour
les	DET:def	le
transports	NOM	transport
euh	INT	euh
si	KON	si
la	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
pouvait	VER:impf	pouvoir
faire	VER:infi	faire
quelque	ADJ	<unknown>
chose	NOM	chose
et	KON	et
donc	ADV	donc
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
oui	FNO	oui
si	KON	si
on	PRO:cls	on
prenait	VER:impf	prendre
le	DET:def	le
train	NOM	train
tout	PRO:ind	tout
était	AUX:impf	être
remboursé	VER:pper	rembourser
donc	ADV	donc
mes	DET:pos	mon
trajets	NOM	trajet
en	PRP	en
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
donc	ADV	donc
euh	INT	euh
jusqu'	PRP	jusque
à	PRP	à
Paris	NAM	Paris
ont	AUX:pres	avoir
été	AUX:pper	être
remboursés	VER:pper	rembourser
intégralement	ADV	intégralement
voilà	FNO	voilà
donc	ADV	donc
je	PRO:cls	je
suis	AUX:pres	être
arrivé	VER:pper	arriver
donc	ADV	donc
la	DET:def	le
veille	NOM	veille
euh	INT	euh
là-bas	ADV	là-bas
euh	INT	euh
dans	PRP	dans
l'	DET:def	le
après-midi	NOM	après-midi
donc	ADV	donc
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
donc	ADV	donc
euh	INT	euh
bah	INT	bah
j'	PRO:cls	je
ai	AUX:pres	avoir
retrouvé	VER:pper	retrouver
donc	ADV	donc
euh	INT	euh
la	DET:def	le
dame	NOM	dame
qui	PRO:rel	qui
m'	PRO:clo	me
hébergeait	VER:impf	héberger
quoi	INT	quoi
et	KON	et
euh	INT	euh
comment	PRO:int	comment
bah	INT	bah
j'	PRO:cls	je
ai	VER:pres	avoir
donc	ADV	donc
euh	INT	euh
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
proposé	VER:pper	proposer
déjà	ADV	déjà
de	PRP	de
visiter	VER:infi	visiter
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
Paris	NAM	Paris
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
vu	VER:pper	voir
donc	ADV	donc
euh	INT	euh
bah	INT	bah
la	DET:def	le
première	ADJ	premier
chose	NOM	chose
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
vue	VER:pper	voir
bah	INT	bah
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
la	DET:def	le
Tour	NOM	tour
Eiffel	NOM	<unknown>
parce	TRC	parce
que	KON	que
bon	INT	bon
j'	PRO:cls	je
avais	AUX:impf	avoir
jamais	ADV	jamais
été	VER:pper	être
donc	ADV	donc
voilà	FNO	voilà
ouais	FNO	ouais
j'	PRO:cls	je
ai	AUX:pres	avoir
vu	VER:pper	voir
aussi	ADV	aussi
le	DET:def	le
Sacré	ADJ	sacré
Coeur	NOM	coeur
et	KON	et
puis	KON	puis
ben	INT	ben
aussi	ADV	aussi
comprendre	VER:infi	comprendre
comment	PRO:int	comment
fonctionne	VER:pres	fonctionner
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
le	DET:def	le
métro	NOM	métro
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
assez	ADV	assez
simple	ADJ	simple
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
des	DET:ind	un
jeux	NOM	jeu
de	PRP	de
couleurs	NOM	couleur
et	KON	et
de	PRP	de
chiffres	NOM	chiffre
mais	KON	mais
bon	INT	bon
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
compliquer	VER:infi	compliquer
pour	PRP	pour
les	DET:def	le
gens	NOM	gens
qui	PRO:rel	qui
connaissent	VER:pres	connaître
pas	ADV	pas
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
quand	KON	quand
on	PRO:cls	on
connait	VER:impf	<unknown>
pas	ADV	pas
euh	INT	euh
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quelques	DET:ind	quelque
trucs	NOM	truc
à	PRP	à
avoir	VER:infi	avoir
quand	KON	quand
même	ADV	même
ouais	FNO	ouais
voilà	FNO	voilà
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
voilà	FNO	voilà
oui	FNO	oui
je	PRO:cls	je
comprends	VER:pres	comprendre
bien	ADV	bien
voilà	FNO	voilà
donc	ADV	donc
et	KON	et
par	PRP	par
contre	PRP	contre
tes	DET:pos	ton
tests	NOM	test
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
difficile	ADJ	difficile
alors	ADV	alors
oui	FNO	oui
mes	DET:pos	mon
tests	NOM	test
donc	ADV	donc
euh	INT	euh
après	ADV	après
la	DET:def	le
donc	ADV	donc
après	ADV	après
la	DET:def	le
nuit	NOM	nuit
donc	ADV	donc
euh	INT	euh
le	DET:def	le
lendemain	NOM	lendemain
donc	ADV	donc
levé	VER:pper	lever
de	PRP	de
bonne	ADJ	bon
heure	NOM	heure
donc	ADV	donc
euh	INT	euh
métro	NOM	métro
et	KON	et
arrivé	VER:pper	arriver
donc	ADV	donc
sur	PRP	sur
place	NOM	place
pour	PRP	pour
les	DET:def	le
tests	NOM	test
donc	ADV	donc
euh	INT	euh
bah	INT	bah
je	PRO:cls	je
suis	AUX:pres	être
arrivé	VER:pper	arriver
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
on	PRO:cls	on
arrive	VER:pres	arriver
dans	PRP	dans
un	DET:ind	un
bâtiment	NOM	bâtiment
on	PRO:cls	on
donne	VER:pres	donner
sa	DET:pos	son
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
on	PRO:cls	on
nous	PRO:clo	nous
donne	VER:pres	donner
un	DET:ind	un
petit	ADJ	petit
badge	NOM	badge
et	KON	et
quand	KON	quand
on	PRO:cls	on
veut	VER:pres	vouloir
ressortir	VER:infi	ressortir
on	PRO:cls	on
redonne	VER:pres	redonner
sa	DET:pos	son
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
enfin	ADV	enfin
on	PRO:cls	on
redonne	VER:pres	redonner
son	DET:pos	son
badge	NOM	badge
et	KON	et
on	PRO:cls	on
récupère	VER:pres	récupérer
la	DET:def	le
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
et	KON	et
voilà	FNO	voilà
donc	ADV	donc
alors	ADV	alors
pour	PRP	pour
les	DET:def	le
tests	NOM	test
donc	ADV	donc
on	PRO:cls	on
nous	PRO:clo	nous
fait	VER:pres	faire
attendre	VER:infi	attendre
donc	ADV	donc
d'	PRP	un
abord	NOM	abord
dans	PRP	dans
une	DET:ind	un
salle	NOM	salle
donc	ADV	donc
on	PRO:cls	on
a	VER:pres	avoir
euh	INT	euh
donc	ADV	donc
euh	INT	euh
on	PRO:cls	on
était	VER:impf	être
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
une	DET:ind	un
trentaine	NOM	trentaine
donc	ADV	donc
apparemment	ADV	apparemment
donc	ADV	donc
euh	INT	euh
toute	DET:ind	tout
façon	NOM	façon
je	PRO:cls	je
me	PRO:clo	me
doutais	VER:impf	douter
bien	ADV	bien
que	KON	que
je	PRO:cls	je
devais	VER:impf	devoir
pas	ADV	pas
être	VER:infi	être
tout	PRO:ind	tout
seul	ADJ	seul
évidemment	ADV	évidemment
parce	TRC	parce
que	KON	que
sinon	ADV	sinon
ça	PRO:cls	ça
servirait	VER:cond	servir
à	PRP	à
rien	PRO:ind	rien
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
on	PRO:cls	on
nous	PRO:clo	nous
a	AUX:pres	avoir
fait	VER:pper	faire
patienter	VER:infi	patienter
un	DET:ind	un
petit	ADJ	petit
moment	NOM	moment
donc	ADV	donc
euh	INT	euh
ensuite	ADV	ensuite
on	PRO:cls	on
nous	PRO:clo	nous
a	VER:pres	avoir
on	PRO:cls	on
nous	PRO:clo	nous
a	AUX:pres	avoir
tous	PRO:ind	tout
réuni	VER:pper	réunir
devant	PRP	devant
dans	PRP	dans
une	DET:ind	un
salle	NOM	salle
avec	PRP	avec
des	DET:ind	un
ordinateurs	NOM	ordinateur
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
dans	PRP	dans
cette	DET:dem	ce
salle	NOM	salle
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
dame	NOM	dame
qui	PRO:rel	qui
nous	PRO:clo	nous
a	AUX:pres	avoir
expliqué	VER:pper	expliquer
donc	ADV	donc
le	DET:def	le
déroulement	NOM	déroulement
un	DET:ind	un
peu	NOM	peu
de	PRP	de
la	DET:def	le
journée	NOM	journée
hum	FNO	hum
hum	FNO	hum
et	KON	et
donc	ADV	donc
elle	PRO:cls	elle
nous	PRO:clo	nous
a	VER:pres	avoir
d'	DET:ind	un
abord	NOM	abord
demandé	VER:pper	demander
donc	ADV	donc
nos	DET:pos	notre
diplômes	NOM	diplôme
donc	ADV	donc
et	KON	et
et	KON	et
de	PRP	de
de	PRP	de
rédiger	VER:infi	rédiger
donc	ADV	donc
en	PRP	en
cinq	NUM	@card@
minutes	NOM	minute
euh	INT	euh
pareil	ADV	pareil
nos	DET:pos	notre
motivations	NOM	motivation
en	PRP	en
écrivant	VER:ppre	écrire
donc	ADV	donc
euh	INT	euh
nom	NOM	nom
prénom	NOM	prénom
mot-	NOM	<unknown>
euh	INT	euh
adresse	NOM	adresse
tout	DET:pre	tout
ça	PRO:ton	ça
numéro	NOM	numéro
de	PRP	de
téléphone	NOM	téléphone
ah	INT	ah
cinq	NUM	@card@
minutes	NOM	minute
ça	PRO:cls	ça
fait	VER:pres	faire
court	ADJ	court
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
bah	INT	bah
faut	VER:pres	falloir
faut	VER:pres	falloir
ah	INT	ah
oui	FNO	oui
ah	INT	ah
ben	INT	ben
j'	PRO:cls	je
ai	AUX:pres	avoir
faut	VER:pres	falloir
speeder	NOM	<unknown>
quoi	INT	quoi
il	PRO:cls	il
fallait	VER:impf	falloir
pile	ADV	pile
cinq	NUM	@card@
minutes	NOM	minute
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
remplir	VER:infi	remplir
hein	INT	hein
on	PRO:cls	on
n'	ADV	ne
avait	VER:impf	avoir
pas	ADV	pas
une	DET:ind	un
minute	NOM	minute
de	PRP	de
plus	ADV	plus
euh	INT	euh
pour	PRP	pour
se	PRO:clo	se
relire	VER:infi	relire
ou	KON	ou
donc	ADV	donc
en	PRP	en
même	ADJ	même
temps	NOM	temps
ça	PRO:cls	ça
servait	VER:impf	servir
de	PRP	de
test	NOM	test
euh	INT	euh
d'	PRP	un
orthographe	NOM	orthographe
ouais	FNO	ouais
voir	VER:infi	voir
s'	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
de	PRP	de
la	DET:def	le
rapidité	NOM	rapidité
voilà	FNO	voilà
et	KON	et
puis	KON	puis
euh	INT	euh
voilà	FNO	voilà
donc	ADV	donc
si	KON	si
on	PRO:cls	on
sait	VER:pres	savoir
bien	ADV	bien
s'	PRO:clo	se
exprimer	VER:infi	exprimer
aussi	ADV	aussi
ouais	FNO	ouais
ouais	FNO	ouais
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
ça	PRO:ton	ça
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
le	DET:def	le
premier	ADJ	premier
test	NOM	test
euh	INT	euh
ensuite	ADV	ensuite
euh	INT	euh
c'	PRO:cls	ce
et-	TRC	<unknown>
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
les	DET:def	le
tests	NOM	test
euh	INT	euh
donc	ADV	donc
toujours	ADV	toujours
tous	PRO:ind	tout
ensemble	ADV	ensemble
donc	ADV	donc
on	PRO:cls	on
nous	PRO:clo	nous
a	AUX:pres	avoir
refait	VER:pper	refaire
patienter	VER:infi	patienter
encore	ADV	encore
pendant	PRP	pendant
peut-être	ADV	peut-être
une	DET:ind	un
demi-heure	NOM	demi-heure
