pro	quelque+chose
v:exist	il+y+a
n	moins
prep:art	de
n	monde
prep	dans
det&PL	les
n	ruche
prep	au+niveau+de
det&FEM&SING	la
co	euh
prep	de
det&FEM&SING	la
prep	de
det&FEM&SING	la
n	résistance
prep	à
det&FEM&SING	la
n	fin
det&PL	des
n	hiver
PCT	.
adv	enfin
det&PL	les
det&PL	les
n	population
v:exist	être
adv:neg	plus
n	faible
conj	et+puis
prep	comme
pro:subj&MASC	il
v:mdl&IMPF	aller
v-INF	prendre
det:poss&FEM&SING	sa
n	retrait
pro:subj&MASC	il
v:aux	avoir
adv:neg	pas
v-PP	prendre
prep:art	de
n	initiative
conj	pour
co	euh
prep	pour
v-INF	augmenter
det&MASC&SING	le
n	nombre
prep:art	de
n	ruche
PCT	.
conj	et
pro:subj	on
v	penser
conj	que
det&FEM&SING	la
n	cause
pro:dem	ça
adv	peut+être
pro:dem	ça
PCT	.
conj	mais
v	dire
conj	que
v:exist	c'est
v-PP	lier
adv	certainement
prep	à
det&PL	des
det&PL	des
n	problème
prep:art	de
n	traitement
co	hein
PCT	.
prep	comme
det&PL	les
n	ruche
v:exist	être
prep	dans
det&PL	des
n	zone
adj	agricole
pro:rel	où
v:exist	il+y+a
det:dem&PL	ces
n	traitement
v:exist	il+y+a
det&PL	des
n	champ
co	euh
pro:rel	qui
v:mdl	pouvoir
v:aux&INF	être
v-PP	concerner
prep	par
det:dem&PL	ces
?	traitements–là
PCT	.
conj	mais
pro:subj	on
?	s–
v	dire
prep	comme
pro:subj	on
v:exist	être
prep	dans
?	u–
det&FEM&SING	une
n	phase
prep:art	de
n	baisse
prep	de
prep:art	de
n	production
pro:subj	on
v:aux	avoir
adv	moins
prep:art	de
n	ruche
pro:subj	on
pro:subj	on
v:aux	avoir
v-PP	laisser
v:mdllex-INF	faire
PCT	.
adv	d'accord
adv:yn	oui
conj	mais
det&MASC&SING	du
n	moment
conj	que
det&PL	les
n	abeille
v	mourir
pro:subj	vous
adv	aussi
adv	enfin
prep:art	en
pro:subj	vous
v	perdre
det&PL	les
?	l–
det&FEM&SING	la
n	production
PCT	.
conj	et+puis
adv:place	après
adv:int	comment
pro:dem	ça
v:mdl	aller
pro:refl	se
?	p–
v:mdl	aller
pro:refl	se
v-INF	passer
prep	par+rapport+à
det&SING	le/la
n	argent
PCT	.
co	ben
v:exist	il+y+a
v:exist	il+y+a
n	moins
prep	de
v	dire
conj	qu'
v:exist	il+y+a
v:exist	il+y+a
?	d–
v:exist	il+y+a
v:exist	il+y+a
det&FEM&SING	une
n	baisse
prep	de
det&FEM&SING	la
n	production
prep:art	au
n	niveau
adj-MASC	national
PCT	.
conj	mais
pro:subj	nous
co	euh
co	ben
prep	comme
det:poss&MASC&SING	mon
n	père
v:aux	avoir
v-PP	prendre
det:poss&FEM&SING	sa
n	retrait
v:exist	c'est
det:poss&FEM&SING	sa
n	retrait
pro:rel	qui
v	compenser
det&FEM&SING	la
n	production
PCT	.
adv	d'accord
PCT	.
conj	et
pro&SING	moi
pro:subj	je
v:aux&IMPF	avoir
adv:neg	pas
adv	beaucoup
prep:art	de
n	ruche
pro&SING	lui
det:poss&MASC&SING	mon
n	père
v-IMPF	vendre
det:poss&MASC&SING	mon
n	miel
PCT	.
co	hum
?	,
co	hein
pro&SING	moi
pro:subj	je
v:mdl	aller
v-INF	continuer
adv	un+peu
prep	à
prep	en
v:mdllex-INF	faire
conj	mais
v:exist	c'est
adv:neg	pas
adv	beaucoup
prep:art	de
n	ruche
adv	bon
PCT	.
prep	comme
det:poss&PL	mes
n	ruche
v:exist	être
prep	à
adj:num	cent
n	kilomètre
adv	maintenant
adv	de
conj	d'où
conj	d'où
pro:subj	on
v	habiter
PCT	.
pro:subj	on
v:aux	avoir
pro:subj	on
pro:subj	on
pro:refl	se
pro:y	en
v	occuper
n	moins
v	dire
conj	et
pro:subj	on
v:aux	avoir
v-PP	laisser
adv	un+petit+peu
v:mdllex-INF	faire
PCT	.
conj	mais
pro:subj	on
v:aux	avoir
v-PP	remarquer
det&FEM&SING	une
n	baisse
prep	de
det&FEM&SING	la
n	population
det&PL	des
n	abeille
PCT	.
adv	d'accord
adv:yn	oui
conj	mais
pro:subj	tu
pro:refl	te
pro:y	en
v	occuper
adv	quand+même
det:gen&MASC	tous
det&PL	les
n	année
PCT	.
pro:subj	on
pro:refl	se
pro:y	en
v	occuper
co	euh
prep:art	au
n	printemps
conj	parce+que
v:exist	c'est
adv:place	là
conj	qu'
pro:subj&MASC	il
v:mdl	falloir
PCT	.
?	pen–
adj	pendant
det&SING	le/la
n	hiver
adv:place	là
prep	comme
adv	actuellement
pro:subj	on
pro:refl	se
pro:y	en
v	occuper
adv	pratiquement
adv:neg	pas
conj	et
prep:art	au
n	printemps
co	euh
?	i–
pro:subj&MASC	il
v:mdl	falloir
v-INF	commencer
prep	à
pro:refl	se
pro:y	en
v-INF	occuper
PCT	.
pro:subj	on
pro:subj	on
pro:refl	se
pro:y	en
v	occuper
conj	puis
pro:subj&MASC	il
v:mdl	falloir
v-INF	nettoyer
det&MASC&SING	le
det&MASC&SING	le
det&MASC&SING	le
n	terrain
pro:rel	où
v:exist	être
det&PL	les
n	abeille
co	euh
PCT	.
co	hum
co	hum
PCT	.
v-INF	préparer
co	euh
co	ben
v-INF	vider
det&PL	les
n	ruche
pro:rel	qui
v:aux	être
v&PP-FEM	mourir
prep	pendant
det&SING	le/la
n	hiver
PCT	.
co	euh
v-INF	nettoyer
det&PL	les
n	plancher
det&PL	des
n	ruche
pro:rel	qui
v	rester
co	euh
PCT	.
v	dire
conj	qu'
v:exist	il+y+a
det&MASC&SING	un
n	travail
co	euh
pro:rel	qui
v	commencer
prep:art	au
n	printemps
conj	et
co	ben
pro:subj	je
pro:obj&MASC&SING	le
v:mdllex-FUT	faire
prep	pendant
det&PL	les
n	vacance
prep	de
n:prop	Pâques
PCT	.
conj	et
pro:dem	ça
adj	dur
adv	combien
prep:art	de
n	temps
det:poss&MASC&SING	ton
n	travail
PCT	.
co	ah
co	ben
v:exist	c'est
adj	compatible
prep	avec
det:poss&MASC&SING	mon
n	travail
co	hein
v:exist	c'est
det&MASC&SING	un
PCT	.
adv	donc
?	dis–
v	dire
conj	qu'
v:exist	il+y+a
v:exist	il+y+a
det&PL	des
n	apiculteur
pro:rel	qui
v:mdl	faire
pro:dem	ça
prep:art	à
n	plein
n	temps
PCT	.
conj	mais
det:poss&MASC&SING	mon
n	travail
pro:subj	on
v:mdl	pouvoir
adv:neg	pas
pro:obj&MASC&SING	le
v-INF	chiffrer
prep:art	en
n	temps
v:exist	c'est
prep	par
n	période
PCT	.
v:exist	il+y+a
det&PL	des
n	période
prep:art	de
n	travail
conj	et+puis
pro:subj	on
v:mdl	pouvoir
pro:obj&MASC&SING	le
v:mdl-INF	faire
adv	plus
conj	ou
adv	moins
adv	bien
PCT	.
v:exist	il+y+a
v:poss&PP	avoir
det&PL	des
n	période
pro:rel	où
pro:subj	je
v-IMPF	passer
adv:neg	plus
prep:art	de
n	temps
conj	parce+que
det&MASC&SING	le
n	terrain
pro:subj	je
pro:obj&MASC&SING	le
v-IMPF	nettoyer
prep:art	de
n	façon
adj	impeccable
PCT	.
co	euh
v:exist	il+y+a
v:poss&PP	avoir
prep	dans
prep	comme
det:dem&PL	ces
adj-FEM	dernier
n	année
pro:rel	où
pro:subj	je
v-IMPF	nettoyer
adv	moins
adv	bien
det&MASC&SING	le
n	terrain
conj	alors
det&MASC&SING	le
n	temps
PCT	.
on	pff
v:exist	c'est
adj	difficile
co	euh
prep	de
v-INF	dire
co	euh
adv	bon
pro:subj&MASC	il
v:mdllex	falloir
prep:art	au
n	printemps
v-INF	nettoyer
det&MASC&SING	le
n	terrain
pro:subj&MASC	il
v:mdl	falloir
v-INF	compter
n	bon
det&FEM&SING	une
n	journée
prep:art	de
n	travail
prep:art	de
n	terrain
prep	pour
v-INF	nettoyer
det&MASC&SING	le
n	terrain
PCT	.
co	euh
on	pff
det&FEM&SING	une
det&FEM&SING	une
conj	ou
adj:num	deux
n	journée
prep:art	de
n	travail
prep	pour
v-INF	préparer
co	euh
det&PL	les
n	ruche
det&PL	les
?	nettoy–
v-INF	nettoyer
det&PL	les
n	plancher
v-INF	vider
det&PL	les
n	ruche
n	mort
PCT	.
v	mettre
n	deux
n	jour
prep:art	de
n	travail
adv	bon
pro:subj	on
v:mdl	pouvoir
v-INF	dire
num	trois
conj	ou
adj:num	quatre
n	jour
prep:art	de
n	travail
prep:art	au
n	printemps
PCT	.
adv	d'accord
conj	et
adv:place	après
PCT	.
prep:art	au
n	printemps
PCT	.
adv:yn	oui
conj	et
adv:place	après
prep	en
n	fait
conj	que
pro:subj	tu
v:aux	avoir
conj	que
pro:subj	tu
v:aux	avoir
v-PP	vider
det&PL	les
det&PL	les
n	ruche
adv:place	là
conj	et
pro:subj	tu
n	as
adv	tout
v:mdl	faire
PCT	.
co	euh
pro:dem	ça
pro:refl	te
v-PP	produire
adv	exactement
adv	combien
adv	de
prep:art	de
n	pot
prep:art	des
?	,
prep:art	de
n	bac
prep:art	de
n	miel
PCT	.
pro:subj	tu
v:mdl	savoir
adv:neg	pas
adv	exactement
adv	à
adv	peu^adv|peu+
adv:place	près
adv	combien
pro:subj	tu
v:aux	avoir
prep:art	par
n	an
PCT	.
co	euh
adv:yn	oui
adv	enfin
prep:art	au
n	niveau
n	travail
v:exist	il+y+a
adv	encore
prep:art	de
adj-MASC	autre^adj|autre
n	chose
prep	à
v:mdllex-INF	faire
adv:place	après
PCT	.
co	ah
adv	d'accord
PCT	.
co	euh
v:exist	il+y+a
v:exist	il+y+a
prep:art	de
adj-MASC	autre^adj|autre
n	chose
adv	même
prep	dans
det&PL	les
prep	à
prep	à
v:mdllex-INF	faire
adv:place	après
PCT	.
conj	sinon
prep	au+niveau+de
det&FEM&SING	la
n	production
pro:dem	ça
adv	peut+être
prep:art	de
num	dix
prep:art	à
num	dix
adj:num	dix
n	quinze
n	kilo
co	euh
prep:art	de
n	miel
prep:art	par
n	an
prep:art	par
n	ruche
PCT	.
v:exist	c'est
adv	à
adv	peu^adv|peu+
adv:place	près
det&FEM&SING	la
det&FEM&SING	la
det&FEM&SING	la
n	quantité
prep:art	de
n	miel
conj	qu'
pro:subj	on
v:mdl	pouvoir
v:mdllex-INF	faire
prep	dans
det:poss	notre
n	région
PCT	.
adv	d'accord
PCT	.
conj	parce+que
det&FEM&SING	la
det&FEM&SING	la
n	quantité
prep:art	de
n	miel
v-PP	produire
v	dépendre
adv	bon
adv	ben
prep	de
det&FEM&SING	la
n	colonie
prep	de
det&FEM&SING	la
n	ruche
?	elle–même
PCT	.
conj	si
pro:subj&FEM	elle
v:exist	être
n	dynamique
conj	ou
adv:neg	pas
conj	si
det&FEM&SING	la
n	rein
v:exist	être
adj	jeune
conj	si
pro:subj&FEM	elle
v	pondre
adv	beaucoup
prep:art	de
n	oeuf
det&FEM&SING	la
n	ruche
v-FUT	produire
adv:neg	plus
PCT	.
pro:dem	ça
v	dépendre
det&MASC&SING	du
n	temps
pro:dem	ça
v	dépendre
prep	de
det&FEM&SING	la
n	situation
det&PL	des
n	rucher
pro:subj	nous
prep	dans
det:poss	notre
n	région
pro:subj	on
v:mdl	faire
adv:neg	pas
det&PL	des
n	récolte
adj	extraordinaire
PCT	.
adv:yn	oui
adv:yn	oui
?	est–ce
conj	que
pro:subj	tu
v:mdl	pouvoir
pro:refl	me
v-INF	dire
conj	qu'
?	est–ce
conj	que
v:exist	c'est
det&FEM&SING	une
n	ruche
conj	parce+que
pro&SING	moi
pro:subj	je
v	comprendre
adv:neg	pas
PCT	.
conj	alors
det&FEM&SING	la
n	ruche
co	euh
det&FEM&SING	la
n	ruche
conj	donc
v:aux	c'est
v-PP	former
prep	de
det&SING	le/la
n	habitation
conj	qu'
pro:subj	on
pro	leur
v-PASS	construire^v|construire
PCT	.
v	dire
conj	que
adv:place	là
v:aux	c'est
co	ben
v:exist	c'est
pro:subj	nous
pro:rel	qui
pro:obj&PL	les
v:aux	avoir
v-PP	fabriquer
co	hein
conj	et
co	euh
conj	et
adv:neg	plus
det&PL	les
n	abeille
pro:rel	qui
v:exist	être
prep	à
det&SING	le/la
n	intérieur
PCT	.
conj	alors
pro:subj	tu
v:mdl	vouloir
v:mdllex&INF	savoir
co	euh
prep	sur
det&FEM&SING	la
n	population
prep	sur
det&FEM&SING	la
det&FEM&SING	la
n	ruche
?	elle–même
conj	parce+que
v:exist	il+y+a
adj	différent
n	sort
prep:art	de
n	ruche
PCT	.
?	n–
n	oui
prep	sur
det&FEM&SING	la
n	ruche
?	elle–même
pro:subj&FEM	elle
v:exist	être
prep:art	en
adj	fait
adv	en
pro:int	quoi
pro:subj&FEM	elle
v:exist	être
prep:art	au
adj	fait
adv	en
pro:rel	quoi
pro:y	en
v:mdl	faire
PCT	.
co	euh
det&PL	les
n	nôtre
v:aux	être
adj	fait
adv	en
adv	comment
v:aux	c'est
det:dem&MASC&SING	ce
n	bois
v:exist	c'est
co	euh
det&MASC&SING	du
n	peuplier
PCT	.
adv	bon
pro:subj	je
v	croire
conj	que
v:exist	il+y+en+a
adv	beaucoup
adv	en+général
pro:rel	qui
v:exist	être
adj	fait
prep:art	en
n	sapin
PCT	.
conj	mais
det&PL	les
n	nôtre
v:aux	être
adj	fait
prep:art	en
n	peuplier
adv	bon
det:poss&MASC&SING	mon
n	père
v-IMPF	connaître
det&MASC&SING	un
?	grand–père
pro:rel	qui
v-IMPF	scier
det&PL	des
n	peuplier
PCT	.
pro:subj&MASC	il
pro:y	en
v:mdllex-IMPF	faire
det&PL	des
n	planche
conj	alors
pro:subj	nous
pro:subj	on
v:aux	avoir
v:mdllex-PP	faire
det&PL	les
det&PL	les
n	ruche
prep	avec
det:dem&PL	ces
det:dem&PL	ces
?	planches–là
PCT	.
adv	d'accord
PCT	.
conj	et
PCT	.
conj	et
pro:subj	tu
v:mdl	pouvoir
adv:neg	pas
v-INF	calculer
det&FEM&SING	la
n	quantité
det&PL	des
n	abeille
pro:rel	qui
pro:refl	se
v	trouver
prep	dans
det&FEM&SING	la
prep	dans
det&FEM&SING	la
n	ruche
PCT	.
co	ben
pro:subj	on
pro:obj&MASC&SING	le
v:mdl	savoir
v:exist	il+y+a
adv:neg	pas
det&FEM&SING	la
adj	même
co	euh
v:exist	il+y+a
adv:neg	pas
det&MASC&SING	le
adj	même
n	nombre
prep:art	de
n	abeille
prep:art	en
n	hiver
conj	qu'
prep:art	au
n	printemps
PCT	.
prep:art	en
n	hiver
adj-MASC	bon
det&PL	les
det&PL	les
n	abeille
co	euh
v	hiberner
PCT	.
co	euh
pro:subj&FEM	elles
v	manger
det&MASC&SING	le
n	miel
conj	qu'
pro:subj&FEM	elles
v:aux	avoir
v-PP	mettre
prep:art	en
n	réserve
prep	pour
v-INF	maintenir
det&FEM&SING	une
n	température
co	euh
adj	suffisant
conj	pour+que
pro:subj&FEM	elles
v:mdl	pouvoir
v-INF	survivre
PCT	.
conj	parce+que
conj	si
pro:subj&MASC	il
v:mdl-IMPF	faire
adv	trop
adj	froid
pro:subj&FEM	elles
v:aux&COND	être
v-PP	engourdir
conj	et
det&PL	les
n	abeille
v&COND	mourir
conj	donc
prep:art	en
n	hiver
pro:subj&FEM	elles
v	manger
det&MASC&SING	le
n	miel
PCT	.
conj	donc
pro:subj&FEM	elles
v:exist	être
adv	peu^adv|peu+
adj-FEM	nombreux
prep:art	en
n	hiver
pro:subj	je
v:mdl	savoir
adv:neg	pas
n	combien
pro:subj&FEM	elles
v:mdl	pouvoir
v:exist&INF	être
co	euh
pro:subj	je
v:mdl	savoir
adv:neg	pas
PCT	.
v	dire
conj	que
pro:subj	je
?	sui–
pro:dem	ça
adv	peut+être
num	cinq
num	mille
adj:num	dix
n	mille
n	abeille
prep	pendant
det&SING	le/la
n	hiver
conj	alors+que
prep:art	au
PCT	.
adv	d'accord
PCT	.
n	printemps
pro:dem	ça
v:mdl	pouvoir
v-INF	monter
prep	à
adj:num	soixante
n	mille
PCT	.
co	ah
n:prop	O
PCT	.
n:prop	K
PCT	.
pro:dem	ça
v	monter
prep	à
adj:num	soixante
n	mille
conj	parce+que
det&FEM&SING	la
n	rein
PCT	.
co	euh
det&FEM&SING	la
n	rein
v:exist	c'est
adv	plutôt
det&FEM&SING	la
n-FEM	me
det&PL	des
n	abeille
v:exist	c'est
det&FEM&SING	la
adj	seul
n	femelle
prep	de
det&FEM&SING	la
n	ruche
PCT	.
co	euh
v:exist	il+y+a
v:exist	il+y+a
det&PL	des
n	mâle
det&FEM&SING	la
n	rein
conj	et+puis
det&PL	les
n	abeille
pro:subj	on
v:mdl	pouvoir
v-INF	dire
v:exist	c'est
det&PL	des
n	neutre
det&PL	des
det&PL	des
n-FEM	ouvrier
pro:rel	qui
v:mdl	aller
v-INF	travailler
PCT	.
adv	d'accord
PCT	.
conj	donc
det&FEM&SING	la
det&FEM&SING	la
n	rein
v:exist	c'est
det&FEM&SING	la
n-FEM	me
pro:subj&FEM	elle
v	pondre
det&PL	des
n	oeuf
pro:subj&FEM	elle
v	pondre
adv	énormément
PCT	.
?	el–
pro:subj&FEM	elle
v	passer
det:gen&MASC	tout
det:poss&MASC&SING	son
n	temps
prep	à
v-INF	pondre
co	euh
det&FEM&SING	une
n	fo^n|fois
det&MASC&SING	le
n	printemps
PCT	.
adv	d'accord
PCT	.
conj	et
conj	dès+que
det&PL	les
adj	jeune
n	abeille
v	naître
adv:place	là
v:exist	il+y+a
det&FEM&SING	une
adj	fort
n	population
pro:rel	qui
v:mdl	aller
v-INF	travailler
PCT	.
conj	et
det&FEM&SING	la
n	ruche
adv	finalement
v:exist	c'est
adv	un+peu
det&SING	le/la
n	unité
det&SING	le/la
n	unité
v:exist	c'est
prep	pour
pro:dem	ça
pro:subj	tu
pro:refl	me
v-IMPF	poser
det&FEM&SING	la
n	question
conj	qu'
?	est–ce
conj	que
v:exist	c'est
det&FEM&SING	une
n	ruche
PCT	.
pro:subj	on
v	compter
adv:neg	plus
det&FEM&SING	la
n	ruche
conj	que
det&SING	le/la
n	abeille
conj	parce+que
det&SING	le/la
n	abeille
det:gen&FEM	toute
adj	seul
co	euh
adv:neg	ne
v	compter
adv:neg	pas
PCT	.
co	euh
det&SING	le/la
n	unité
v:exist	c'est
det&FEM&SING	la
n	ruche
adv	bon
prep	avec
det&MASC&SING	un
n	rôle
prep	plus
n	important
prep	pour
det&FEM&SING	la
n-FEM	me
adv:place	là
conj	qu'
pro:subj	on
v	appeler
det&FEM&SING	la
n	rein
PCT	.
co	hum
PCT	.
conj	et
v	dire
conj	que
det&FEM&SING	la
det&FEM&SING	la
?	la–
det&SING	le/la
n	abeille
v	dire
pro:subj&FEM	elle
v:mdl	aller
pro:subj&FEM	elle
pro:subj&FEM	elle
v	passer
det:poss&MASC&SING	son
n	temps
prep:art	au
n	printemps
conj	et
pro:y	en
n	été
conj	mais
adv	surtout
prep:art	au
n	printemps
prep:art	au
n	moment
pro:rel	où
v:exist	il+y+a
adv	beaucoup
prep:art	de
n	fleur
PCT	.
conj	mais
pro:subj&FEM	elle
v	mourir
adv:neg	pas
pro:subj&FEM	elle
v	mourir
PCT	.
prep	à
v-INF	récolter
det&MASC&SING	le
n	miel
PCT	.
adv:neg	pas
det&FEM&SING	la
det&FEM&SING	la
det&FEM&SING	la
?	vei–
co	hum
n	rein
PCT	.
co	euh
det&FEM&SING	la
det&FEM&SING	la
conj	alors
det&SING	le/la
n	abeille
pro:rel	qui
v	naître
prep:art	en
n	fin
prep	de
n	saison
prep:art	en
n	automne
v:mdl	aller
v-INF	passer
det:gen&MASC	tout
det&SING	le/la
n	hiver
PCT	.
conj	mais
det&FEM&SING	une
n	abeille
pro:rel	qui
v	naître
prep:art	au
n	printemps
co	euh
pro:subj	je
v	croire
n	avoir
v&PP-MASC	voir
conj	qu'
pro:subj&FEM	elle
v&PASS	vivre^v|voir
prep:art	en
n	moyenne
co	euh
adv	à
adv	peu^adv|peu+
adv:place	près
adj:num	trois
n	semaine
PCT	.
adv	d'accord
PCT	.
co	euh
conj	parce+que
pro:subj&FEM	elle
v	mourir
co	euh
prep	par
n	accident
prep	pendant
det:poss&MASC&SING	son
n	travail
PCT	.
prep	pendant
conj	qu'
pro:subj&FEM	elle
v:mdllex	aller
prep	sur
det&PL	les
n	fleur
co	euh
v:exist	il+y+a
det:gen&FEM	toutes
n	sort
det:gen&FEM	toutes
n	sort
prep:art	de
n	cause
pro:rel	qui
v:mdl	faire
conj	qu'
pro:subj&FEM	elle
v:mdl	pouvoir
v&INF	mourir
v-PP	manger
prep	par
det&MASC&SING	un
n	oiseau
co	euh
PCT	.
adv	d'accord
PCT	.
conj	et+puis
pro:subj&FEM	elle
pro:subj&FEM	elle
pro:subj&FEM	elle
v	travailler
conj	donc
pro:subj&FEM	elle
pro:refl	se
v	fatiguer
adv:neg	plus
adv	donc
det&FEM&SING	une
n	abeille
pro:rel	qui
v	naître
prep:art	au
n	printemps
v:mdl	aller
v-INF	vivre
adj:num	trois
n	semaine
PCT	.
conj	et
det&FEM&SING	une
n	abeille
pro:rel	qui
v	naître
co	euh
prep	comme
pro:subj	je
pro:refl	te
v-IMPF	dire
prep	à
adv	en
adv	à
prep	à
det&SING	le/la
n	automne
v:mdl	aller
v-INF	passer
det:gen&MASC	tout
det&SING	le/la
n	hiver
prep	à
v-INF	manger
co	euh
det&MASC&SING	le
n	miel
prep	à
v-INF	maintenir
det&FEM&SING	une
n	température
adj	constant
prep	à
adv	ne
adv	rien
v:mdl-INF	faire
adv	à
adv	à
v-INF	survivre
PCT	.
n:prop	O
PCT	.
n:prop	K
PCT	.
conj	et
det&MASC&SING	du
n	coup
conj	quand
pro&SING	toi
pro:subj	tu
v	enlever
det:gen&MASC	tout
det&MASC&SING	le
n	miel
prep	dans
det&PL	les
n	ruche
prep:art	par
n	exemple
prep:art	au
n	printemps
conj	et
pro:subj	tu
v	arriver
prep	à
adv	combien
v:aux&INF	ravoir
prep:art	par
n	exemple
det&FEM&SING	la
n	quantité
det&PL	les
n	bac
det:gen&MASC	tout
pro:dem	ça
co	euh
adv	à
adv	peu^adv|peu+
adv:place	près
PCT	.
det&FEM&SING	la
?	qu–
det&FEM&SING	la
n	quantité
prep:art	de
n	miel
PCT	.
adv:yn	oui
det&FEM&SING	la
n	quantité
prep:art	de
n	miel
prep:art	par
n	bac
prep:art	par
n	exemple
PCT	.
?	p–
prep:art	par
n	bac
conj	qu'
?	est–ce
conj	que
pro:subj	tu
v	appeler
det&MASC&SING	un
n	bac
PCT	.
adv:yn	oui
co	euh
det&MASC&SING	le
det&MASC&SING	le
n	pot
prep:art	par
n	pot
det&MASC&SING	le
n	pot
conj	que
pro:subj	tu
v	vendre
pro:subj	tu
v	voir
PCT	.
?	***
PCT	.
pro:subj	tu
pro:refl	te
v	souvenir
det&PL	les
n	pot
conj	que
pro:subj	tu
v	vendre
prep	comme
pro:dem	ça
PCT	.
adv:yn	oui
pro:subj	on
?	v–
pro:subj	on
v	vendre
det&PL	des
n	pot
prep	de
det&MASC&SING	un
n	kilo
PCT	.
adv:place	voilà
prep	à
det&FEM&SING	la
n	kilo
PCT	.
conj	mais
det&FEM&SING	la
?	r–
det&FEM&SING	la
n	quantité
co	euh
prep	par
PCT	.
adv:yn	oui
adj-FEM	global
PCT	.
prep	par
prep:art	par
n	ruche
pro:rel	où
det&MASC&SING	le
prep:art	au
adj-MASC	total
PCT	.
adv:yn	oui
prep:art	au
adj-MASC	total
adv:yn	ouais
PCT	.
conj	alors
pro:subj	nous
pro:dem	ça
pro:dem	ça
v	dépendre
co	euh
det&SING	le/la
n	année
adj-FEM	dernier
n	combien
v:exist&IMPF	c'est
pro:subj	je
pro:refl	me
pro:y	en
v	rappeler
adv	même
adv	plus
PCT	.
v:exist	c'est
det:poss&MASC&SING	mon
n	père
pro:rel	qui
v	tenir
det&FEM&SING	la
n	comptabilité
det&MASC&SING	du
n	miel
PCT	.
co	euh
pro:subj	nous
v:exist	c'est
adv	alors
?	la–
det&SING	le/la
n	année
n-FEM	dernier
pro:subj	on
v:aux	avoir
prep	de
det&SING	le/la
n	ordre
adv	de
n	deux
n	cent
n	kilo
PCT	.
adj:num	deux
n	cent
n	kilo
prep:art	de
