ouh	INT	ouh
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
plus	ADV	plus
vous	PRO:cls	vous
êtes	VER:pres	être
d'	PRP	un
accord	NOM	accord
toutes	DET:pre	tout
les	DET:def	le
deux	NUM	@card@
.	NOM	<unknown>
oui	FNO	oui
hum	FNO	hum
alors	ADV	alors
dites-	TRC	<unknown>
moi	PRO:ton	moi
pourquoi	PRO:int	pourquoi
.	NAM	<unknown>
pourquoi	PRO:int	pourquoi
vous	PRO:cls	vous
ne	ADV	ne
seriez	VER:cond	être
pas	ADV	pas
quelqu'un	PRO:ind	quelqu'un
d'	DET:ind	un
autre	ADJ	autre
.	NOM:sig	<unknown>
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
envie	NOM	envie
de	PRP	de
changer	VER:infi	changer
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
n'	ADV	ne
as	VER:pres	avoir
pas	ADV	pas
envie	NOM	envie
de	PRP	de
changer	VER:infi	changer
.	NAM	<unknown>
non	FNO	non
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
avec	PRP	avec
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
dire	VER:infi	dire
.	NAM	<unknown>
oui	FNO	oui
donc	ADV	donc
toi	PRO:ton	toi
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
si	KON	si
tu	PRO:cls	tu
t'	PRO:clo	te
appelais	VER:impf	appeler
Isabelle	ADJ	isabelle
.	NAM	<unknown>
non	FNO	non
ben	INT	ben
si	KON	si
attends	VER:impe	attendre
si	KON	si
tu	PRO:cls	tu
t'	PRO:clo	te
appelais	VER:impf	appeler
Isabelle	ADJ	isabelle
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
serais	VER:cond	être
quand	KON	quand
même	ADV	même
toi	PRO:ton	toi
.	NAM	<unknown>
euh	INT	euh
oui	FNO	oui
ouais	FNO	ouais
pourquoi	PRO:int	pourquoi
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
toi	PRO:ton	toi
.	NAM	<unknown>
comment	PRO:int	comment
on	PRO:cls	on
peut	VER:pres	pouvoir
se	PRO:clo	se
décrire	VER:infi	décrire
.	VER:infi	<unknown>
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
on	PRO:cls	on
a	AUX:pres	avoir
appris	VER:pper	apprendre
une	DET:ind	un
chose	NOM	chose
ensemble	ADV	ensemble
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
notre	DET:pos	notre
prénom	NOM	prénom
qui	PRO:rel	qui
fait	VER:pres	faire
que	KON	que
ben	INT	ben
on	PRO:cls	on
est	VER:pres	être
soi	PRO:ton	soi
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
voilà	FNO	voilà
hein	INT	hein
.	NAM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
pourrais	VER:cond	pouvoir
m'	PRO:clo	me
appeler	VER:infi	appeler
Isabelle	ADJ	isabelle
hein	INT	hein
.	NAM	<unknown>
et	KON	et
ben	INT	ben
je	PRO:cls	je
serais	AUX:cond	être
toujours	ADV	toujours
moi	PRO:ton	moi
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
sauf	PRP	sauf
que	KON	que
je	PRO:cls	je
m'	PRO:clo	me
appelerais	VER:cond	<unknown>
pas	ADV	pas
Christine	NOM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
hein	INT	hein
.	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
changerait	VER:cond	changer
.	NAM	<unknown>
ça	PRO:cls	ça
changerait	VER:cond	changer
que	KON	que
si	KON	si
on	PRO:cls	on
change	VER:pres	changer
et	KON	et
qu'	KON	que
on	PRO:cls	on
change	VER:pres	changer
tout	PRO:ind	tout
et	KON	et
ben	INT	ben
on	PRO:cls	on
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
les	DET:def	le
mêmes	ADJ	même
cheveux	NOM	cheveu
ah	INT	ah
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
si	KON	si
je	PRO:cls	je
m'	PRO:clo	me
appelerais	VER:cond	<unknown>
Isabelle	ADJ	isabelle
j'	PRO:cls	je
aurais	AUX:cond	avoir
pas	ADV	pas
les	DET:def	le
mêmes	ADJ	même
cheveux	NOM	cheveu
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
crois	VER:pres	croire
ça	PRO:cls	ça
.	VER:cond	<unknown>
hum	FNO	hum
ouais	FNO	ouais
.	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
ouais	FNO	ouais
.	NAM	<unknown>
et	KON	et
on	PRO:cls	on
n'	ADV	ne
aura	VER:futu	avoir
pas	ADV	pas
la	DET:def	le
même	ADJ	même
tête	NOM	tête
et	KON	et
on	PRO:cls	on
n'	ADV	ne
aurait	AUX:cond	avoir
pas	ADV	pas
la	DET:def	le
même	ADJ	même
tête	NOM	tête
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
on	PRO:cls	on
serait	VER:cond	être
quelqu'un	PRO:ind	quelqu'un
d'	PRP	un
autre	ADJ	autre
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
vous	PRO:cls	vous
êtes	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
me	PRO:clo	me
dire	VER:infi	dire
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
on	PRO:cls	on
serait	VER:cond	être
quelqu'un	PRO:ind	quelqu'un
d'	PRP	un
autre	ADJ	autre
d'	PRP	un
accord	NOM	accord
à	PRP	à
qui	PRO:rel	qui
on	PRO:cls	on
donne	VER:pres	donner
des	DET:ind	un
noms	NOM	nom
.	NAM	<unknown>
aux	PRP:det	au
personnes	NOM	personne
aux	PRP:det	au
personnes	NOM	personne
et	KON	et
puis	KON	puis
.	NAM	<unknown>
ben	INT	ben
sinon	ADV	sinon
quand	KON	quand
on	PRO:cls	on
est	VER:pres	être
bébés	NOM	bébé
la	DET:def	le
maman	NOM	maman
elle	PRO:cls	elle
sait	VER:pres	savoir
déjà	ADV	déjà
son	DET:pos	son
nom	NOM	nom
et	KON	et
ben	INT	ben
on	PRO:cls	on
peut	VER:pres	pouvoir
déjà	ADV	déjà
le	PRO:clo	le
savoir	VER:infi	savoir
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
qu'	KON	que
on	PRO:cls	on
donne	VER:pres	donner
vous	PRO:cls	vous
savez	VER:pres	savoir
quand	KON	quand
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
donne	VER:pres	donner
le	DET:def	le
nom	NOM	nom
à	PRP	à
une	DET:ind	un
personne	NOM	personne
.	NAM	<unknown>
non	FNO	non
non	FNO	non
ben	INT	ben
quand	KON	quand
on	PRO:cls	on
quand	KON	quand
on	PRO:cls	on
naît	VER:pres	naître
quand	KON	quand
on	PRO:cls	on
naît	VER:pres	naître
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
quand	KON	quand
on	PRO:cls	on
quand	KON	quand
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
naissance	NOM	naissance
ben	INT	ben
moi	PRO:ton	moi
ma	DET:pos	mon
maman	NOM	maman
elle	PRO:cls	elle
a	VER:pres	avoir
un	DET:ind	un
bébé	NOM	bébé
dans	PRP	dans
son	DET:pos	son
ventre	NOM	ventre
elle	PRO:cls	elle
sait	VER:pres	savoir
déjà	ADV	déjà
comment	PRO:int	comment
il	PRO:cls	il
va	VER:pres	aller
s'	PRO:clo	se
appeler	VER:infi	appeler
et	KON	et
ben	INT	ben
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
voulais	VER:impf	vouloir
dire	VER:infi	dire
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
exactement	ADV	exactement
ce	PRO:dem	ce
à	PRP	à
quoi	INT	quoi
je	PRO:cls	je
pensais	VER:impf	penser
et	KON	et
ben	INT	ben
ma	DET:pos	mon
maman	NOM	maman
quand	KON	quand
quand	KON	quand
elle	PRO:cls	elle
était	VER:impf	être
petite	ADJ	petit
et	KON	et
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
était	VER:impf	être
dans	PRP	dans
son	DET:pos	son
ventre	NOM	ventre
et	KON	et
elle	PRO:cls	elle
sait	VER:pres	savoir
elle	PRO:cls	elle
savait	VER:impf	savoir
déjà	ADV	déjà
comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
Olga	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
qui	PRO:rel	qui
.	VER:pres	<unknown>
ma	DET:pos	mon
maman	NOM	maman
ah	INT	ah
oui	FNO	oui
et	KON	et
ben	INT	ben
oui	FNO	oui
ta	DET:pos	ton
maman	NOM	maman
et	KON	et
après	ADV	après
elle	PRO:cls	elle
a	AUX:pres	avoir
fait	VER:pper	faire
un	DET:ind	un
bébé	NOM	bébé
oui	FNO	oui
c'	PRO:cls	ce
était	VER:impf	être
Alex	NOM	<unknown>
après	ADV	après
c'	PRO:cls	ce
était	VER:impf	être
moi	PRO:ton	moi
d'	PRP	un
accord	NOM	accord
oui	FNO	oui
donc	ADV	donc
en	PRO:clo	en
fait	VER:pres	faire
vous	PRO:cls	vous
avez	VER:pres	avoir
raison	NOM	raison
moi	PRO:ton	moi
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
trompée	VER:pper	tromper
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
on	PRO:cls	on
donnait	VER:impf	donner
un	DET:ind	un
nom	NOM	nom
aux	PRP:det	au
enfants	NOM	enfant
quand	KON	quand
ils	PRO:cls	il
naissaient	VER:impf	naître
mais	KON	mais
vous	PRO:ton	vous
vous	PRO:cls	vous
m'	PRO:clo	me
avez	AUX:pres	avoir
dit	VER:pper	dire
non	FNO	non
on	PRO:cls	on
leur	PRO:clo	lui
donne	VER:pres	donner
déjà	ADV	déjà
un	DET:ind	un
nom	NOM	nom
avant	ADV	avant
quand	KON	quand
ils	PRO:cls	il
sont	VER:pres	être
encore	ADV	encore
dans	PRP	dans
le	DET:def	le
ventre	NOM	ventre
de	PRP	de
la	DET:def	le
maman	NOM	maman
oui	FNO	oui
parce	TRC	parce
que	KON	que
ma	DET:pos	mon
maman	NOM	maman
elle	PRO:cls	elle
m'	PRO:clo	me
a	VER:pres	avoir
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
quand	KON	quand
j'	PRO:cls	je
ai	VER:pres	avoir
quand	KON	quand
j'	PRO:cls	je
avais	VER:impf	avoir
cinq	NUM	@card@
ans	NOM	an
et	KON	et
ben	INT	ben
elle	PRO:cls	elle
m'	PRO:clo	me
avait	AUX:impf	avoir
dit	VER:pper	dire
que	KON	que
je	PRO:cls	je
savais	VER:impf	savoir
déjà	ADV	déjà
ton	DET:pos	ton
nom	NOM	nom
quand	KON	quand
tu	PRO:cls	tu
étais	VER:impf	être
petite	ADJ	petit
ouais	FNO	ouais
même	ADV	même
plus	ADV	plus
que	KON	que
petite	ADJ	petit
petite	ADJ	petit
comme	KON	comme
ça	PRO:ton	ça
hum	FNO	hum
tu	PRO:cls	tu
veux	VER:pres	vouloir
dire	VER:infi	dire
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
ben	INT	ben
tu	PRO:cls	tu
m'	PRO:clo	me
as	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
ta	DET:pos	ton
maman	NOM	maman
elle	PRO:cls	elle
attendait	VER:impf	attendre
un	DET:ind	un
bébé	NOM	bébé
oui	FNO	oui
et	KON	et
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
le	DET:def	le
nom	NOM	nom
du	PRP:det	du
bébé	NOM	bébé
.	NAM	<unknown>
Lucas	NAM	<unknown>
Lucas	NAM	<unknown>
donc	ADV	donc
elle	PRO:cls	elle
sait	VER:pres	savoir
déjà	ADV	déjà
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
garçon	NOM	garçon
oui	FNO	oui
et	KON	et
en	PRP	en
plus	ADV	plus
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
deux	NUM	@card@
Lucas	NOM	<unknown>
j'	PRO:cls	je
en	PRO:clo	en
connais	VER:pres	connaître
où	PRO:int	où
/c-ç-/	MLT	<unknown>
.	NOM:sig	<unknown>
un	DET:ind	un
ah	INT	ah
ben	INT	ben
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ce	PRO:cls	ce
sera	VER:futu	être
les	DET:def	le
mêmes	ADJ	même
.	NAM	<unknown>
non	FNO	non
non	FNO	non
je	PRO:cls	je
crois	VER:pres	croire
pas	ADV	pas
non	FNO	non
je	PRO:cls	je
suis	VER:pres	être
même	ADV	même
sûre	ADJ	sûr
que	KON	que
non	FNO	non
hein	INT	hein
.	NAM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
aussi	ADV	aussi
pourquoi	PRO:int	pourquoi
ça	PRO:cls	ça
sera	VER:futu	être
pas	ADV	pas
les	DET:def	le
mêmes	ADJ	même
.	NOM	<unknown>
parce	TRC	parce
ils	PRO:cls	il
ont	VER:pres	avoir
pas	ADV	pas
m-	TRC	m-
ils	PRO:cls	il
é-	TRC	é-
ils	PRO:cls	il
étaient	AUX:impf	être
pas	ADV	pas
nés	VER:pper	naître
en	PRP	en
même	ADJ	même
temps	NOM	temps
ouais	FNO	ouais
et	KON	et
puis	KON	puis
à	PRP	à
votre	DET:pos	votre
avis	NOM	avis
.	NAM	<unknown>
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
est	VER:pres	être
déjà	ADV	déjà
grand	ADJ	grand
et	KON	et
lui	PRO:ton	lui
il	PRO:cls	il
est	VER:pres	être
déjà	ADV	déjà
petit	ADJ	petit
ouais	FNO	ouais
ça	PRO:cls	ça
/veutpeut/	MLT	<unknown>
pas	ADV	pas
être	VER:infi	être
les	DET:def	le
mêmes	ADJ	même
hum	FNO	hum
on	PRO:cls	on
est	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
oui	FNO	oui
donc	ADV	donc
on	PRO:cls	on
a	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
on	PRO:cls	on
donnait	VER:impf	donner
des	DET:ind	un
noms	NOM	nom
vous	PRO:cls	vous
avez	AUX:pres	avoir
dit	VER:pper	dire
qu'	KON	que
on	PRO:cls	on
donnait	VER:impf	donner
des	DET:ind	un
noms	NOM	nom
aux	PRP:det	au
enfants	NOM	enfant
avant	ADV	avant
même	ADJ	même
qu'	KON	que
ils	PRO:cls	il
naissent	VER:pres	naître
quand	KON	quand
ils	PRO:cls	il
sont	VER:pres	être
encore	ADV	encore
dans	PRP	dans
le	DET:def	le
ventre	NOM	ventre
de	PRP	de
leurs	DET:pos	leur
mamans	NOM	maman
mamans	NOM	maman
mamans	NOM	maman
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
donne	VER:pres	donner
des	DET:ind	un
noms	NOM	nom
à	PRP	à
d'	DET:ind	un
autres	ADJ	autre
choses	NOM	chose
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
aux	PRP:det	au
chiens	NOM	chien
et	KON	et
aux	PRP:det	au
chats	NOM	chat
ouais	FNO	ouais
aux	PRP:det	au
chiens	NOM	chien
et	KON	et
aux	PRP:det	au
chats	NOM	chat
et	KON	et
ben	INT	ben
moi	PRO:ton	moi
mon	DET:pos	mon
chat	NOM	chat
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
Nougat	NOM	nougat
comment	PRO:int	comment
Nougat	NOM	nougat
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
ben	INT	ben
moi	PRO:ton	moi
ma	DET:pos	mon
mamie	NOM	mamie
et	KON	et
mon	DET:pos	mon
papi	NOM	papi
ils	PRO:cls	il
avaient	AUX:impf	avoir
un	DET:ind	un
chien	NOM	chien
mais	KON	mais
il	PRO:cls	il
est	AUX:pres	être
mort	VER:pper	mourir
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
Spooky	NAM	<unknown>
Spooky	NAM	<unknown>
.	NAM	<unknown>
et	KON	et
ma	DET:pos	mon
mamie	NOM	mamie
et	KON	et
mon	DET:pos	mon
papi	NOM	papi
avant	ADV	avant
ils	PRO:cls	il
avaient	AUX:impf	avoir
un	DET:ind	un
chien	NOM	chien
il	PRO:cls	il
est	AUX:pres	être
pas	ADV	pas
mort	VER:pper	mourir
mais	KON	mais
ils	PRO:cls	il
l'	PRO:clo	le
ont	AUX:pres	avoir
perdu	VER:pper	perdre
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
enfui	VER:pper	se enfuir
.	NAM	<unknown>
oui	FNO	oui
ouais	FNO	ouais
ben	INT	ben
moi	PRO:ton	moi
j'	PRO:cls	je
avais	VER:impf	avoir
un	DET:ind	un
chat	NOM	chat
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
un	DET:ind	un
qui	PRO:rel	qui
s'	PRO:clo	se
appelait	VER:impf	appeler
/CharlyCharlie/	MLT	<unknown>
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
j'	PRO:cls	je
ai	VER:pres	avoir
une	DET:ind	un
chatte	NOM	chatte
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
xxx	NOM	<unknown>
hum	FNO	hum
et	KON	et
j'	PRO:cls	je
ai	VER:pres	avoir
/eu/	MLT	<unknown>
un	DET:ind	un
chat	NOM	chat
qui	PRO:rel	qui
s'	PRO:clo	se
appellait	VER:impf	<unknown>
Diogène	NOM	diogène
c'	PRO:cls	ce
est	VER:pres	être
beau	ADJ	beau
Diogène	NOM	diogène
ouais	FNO	ouais
et	KON	et
maintenant	ADV	maintenant
et	KON	et
ben	INT	ben
Diogène	NOM	diogène
est	AUX:pres	être
mort	VER:pper	mourir
donc	ADV	donc
on	PRO:cls	on
attend	VER:pres	attendre
d'	PRP	un
avoir	VER:infi	avoir
un	DET:ind	un
.	NOM:sig	<unknown>
des	DET:ind	un
autres	ADJ	autre
petits	ADJ	petit
chats	NOM	chat
qui	PRO:rel	qui
vont	VER:pres	aller
bientôt	ADV	bientôt
naître	VER:infi	naître
mais	KON	mais
on	PRO:cls	on
leur	PRO:clo	lui
pas	ADV	pas
encore	ADV	encore
donné	VER:pper	donner
de	PRP	de
nom	NOM	nom
hum	FNO	hum
.	NAM	<unknown>
il	PRO:cls	il
faut	VER:pres	falloir
savoir	VER:infi	savoir
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
Gédéon	NAM	<unknown>
Gédéon	NAM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
ouais	FNO	ouais
il	PRO:cls	il
veut	VER:pres	vouloir
ouais	FNO	ouais
d'	PRP	un
abord	NOM	abord
savoir	VER:infi	savoir
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
