ok	FNO	ok
ça	PRO:ton	ça
j'	PRO:cls	je
avais	AUX:impf	avoir
posé	VER:pper	poser
une	DET:ind	un
question	NOM	question
à	PRP	à
la	DET:def	le
maîtresse	NOM	maîtresse
que	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
je	PRO:cls	je
la	PRO:clo	le
connaissais	VER:impf	connaître
bien	ADV	bien
la	DET:def	le
réponse	NOM	réponse
parce	TRC	parce
oui	FNO	oui
parce	TRC	parce
que	KON	que
hum	FNO	hum
en	PRO:clo	en
fait	VER:pres	faire
j'	PRO:cls	je
ai	VER:pres	avoir
j'	PRO:cls	je
avais	VER:impf	avoir
un	DET:ind	un
petit	ADJ	petit
trou	NOM	trou
/de	MLT	<unknown>
mémoirenoir/	MLT	<unknown>
ah	INT	ah
d'	PRP	un
accord	NOM	accord
tu	PRO:cls	tu
t'	PRO:clo	te
en	PRO:clo	en
rappelais	VER:impf	rappeler
plus	ADV	plus
oui	FNO	oui
mais	KON	mais
après	ADV	après
quand	KON	quand
on	PRO:cls	on
me	PRO:clo	me
l'	PRO:clo	le
avait	AUX:impf	avoir
dit	VER:pper	dire
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelais	VER:impf	rappeler
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
ouais	FNO	ouais
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
euh	INT	euh
vous	PRO:cls	vous
posez	VER:pres	poser
parfois	ADV	parfois
des	DET:ind	un
questions	NOM	question
dont	PRO:rel	dont
vous	PRO:cls	vous
savez	VER:pres	savoir
que	KON	que
vous	PRO:cls	vous
n'	ADV	ne
aurez	VER:futu	avoir
pas	ADV	pas
la	DET:def	le
réponse	NOM	réponse
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
hum	FNO	hum
hum	FNO	hum
alors	ADV	alors
qu-	TRC	qu-
quoi	INT	quoi
par	PRP	par
exemple	NOM	exemple
.	NAM	<unknown>
xxx	NOM	<unknown>
euh	INT	euh
hum	FNO	hum
ouais	FNO	ouais
quand	KON	quand
je	PRO:cls	je
pose	VER:pres	poser
une	DET:ind	un
question	NOM	question
euh	INT	euh
hum	FNO	hum
de	PRP	de
quel	DET:int	quel
genre	NOM	genre
.	NAM	<unknown>
de	PRP	de
hum	FNO	hum
de	PRP	de
hum	FNO	hum
euh	INT	euh
un	DET:ind	un
genre	NOM	genre
euh	INT	euh
hum	FNO	hum
hum	FNO	hum
un	DET:ind	un
genre	NOM	genre
de	PRP	de
quelque	NOM	<unknown>
chose	NOM	chose
hum	FNO	hum
un	DET:ind	un
un	DET:ind	un
genre	NOM	genre
de	PRP	de
quelque	NOM	<unknown>
chose	NOM	chose
où	PRO:rel	où
-tu	PRO:cls	tu
vas	VER:pres	aller
en	PRP	en
vacances	NOM	vacances
par	PRP	par
exemple	NOM	exemple
.	NAM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
ah	INT	ah
oui	FNO	oui
pas	ADV	pas
moi	PRO:ton	moi
ouais	FNO	ouais
et	KON	et
la	DET:def	le
personne	NOM	personne
à	PRP	à
qui	PRO:rel	qui
tu	PRO:cls	tu
poses	VER:pres	poser
la	DET:def	le
question	NOM	question
elle	PRO:cls	elle
le	PRO:clo	le
sait	VER:pres	savoir
.	NAM	<unknown>
euh	INT	euh
oui	FNO	oui
ouais	FNO	ouais
.	NAM	<unknown>
elle	PRO:cls	elle
te	PRO:clo	te
répond	VER:pres	répondre
alors	ADV	alors
.	NOM:sig	<unknown>
ouais	FNO	ouais
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
à	PRP	à
part	NOM	part
souvent	ADV	souvent
non	FNO	non
non	FNO	non
souvent	ADV	souvent
on	PRO:cls	on
me	PRO:clo	me
répond	VER:pres	répondre
pas	ADV	pas
ben	INT	ben
moi	PRO:ton	moi
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
ne	ADV	ne
euh	INT	euh
je	PRO:cls	je
demande	VER:pres	demander
au	PRP:det	au
maître	NOM	maître
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
comprends	VER:pres	comprendre
pas	ADV	pas
trop	ADV	trop
l'	DET:def	le
exercice	NOM	exercice
et	KON	et
il	PRO:clsi	il
m'	PRO:clo	me
explique	VER:pres	expliquer
ouais	FNO	ouais
et	KON	et
qu'	KON	que
est-c-	TRC	<unknown>
et	KON	et
après	ADV	après
prise	NOM	prise
de	PRP	de
courant	NOM	courant
et	KON	et
après	ADV	après
ben	INT	ben
j'	PRO:cls	je
ai	AUX:pres	avoir
compris	VER:pper	comprendre
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
vous	PRO:cls	vous
posez	VER:pres	poser
pas	ADV	pas
des	DET:ind	un
questions	NOM	question
à	PRP	à
des	DET:ind	un
gens	NOM	gens
dont	PRO:rel	dont
vous	PRO:cls	vous
savez	VER:pres	savoir
qu'	KON	que
ils	PRO:cls	il
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
la	DET:def	le
réponse	NOM	réponse
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
non	FNO	non
euh	INT	euh
si	KON	si
si	KON	si
on	PRO:cls	on
va	VER:pres	aller
à	PRP	à
l'	DET:def	le
école	NOM	école
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	AUX:pres	être
fait	VER:pper	faire
pour	PRP	pour
apprendre	VER:infi	apprendre
et	KON	et
xxx	NOM	<unknown>
oui	FNO	oui
mais	KON	mais
euh	INT	euh
si	KON	si
par	PRP	par
exemple	NOM	exemple
je	PRO:cls	je
te	PRO:clo	te
tu	PRO:cls	tu
me	PRO:clo	me
demandes	VER:pres	demander
si	KON	si
moi	PRO:ton	moi
je	PRO:cls	je
vous	PRO:clo	vous
demandais	VER:impf	demander
combien	PRO:int	combien
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
d'	DET:ind	un
étoiles	NOM	étoile
dans	PRP	dans
le	DET:def	le
ciel	NOM	ciel
.	NAM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
xxx	NOM	<unknown>
et	KON	et
ce	PRO:dem	ce
que	KON	que
quelqu'un	PRO:ind	quelqu'un
sait	VER:pres	savoir
.	NOM:sig	<unknown>
personne	PRO:ind	personne
ou	KON	ou
quand	KON	quand
et	KON	et
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
si	KON	si
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
tu	PRO:cls	tu
sais	VER:pres	savoir
combien	PRO:int	combien
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
d'	DET:ind	un
étoiles	NOM	étoile
dans	PRP	dans
le	DET:def	le
ciel	NOM	ciel
.	NAM	<unknown>
pas	ADV	pas
d'	PRP	un
étoile	NOM	étoile
mais	KON	mais
de	PRP	de
personnes	NOM	personne
de	PRP	de
¤T¤	NAM	¤T¤
ah	INT	ah
d'	PRP	un
accord	NOM	accord
oui	FNO	oui
dix	NUM	@card@
mille	NUM	@card@
cent	NUM	@card@
dix	NUM	@card@
mille	NUM	@card@
cent	NUM	@card@
c'	PRO:cls	ce
est	VER:pres	être
d'	PRP	un
accord	NOM	accord
j'	PRO:cls	je
ai	AUX:pres	avoir
appris	VER:pper	apprendre
ça	PRO:ton	ça
chez	PRP	chez
Madame	NOM	Madame
¤N¤	NAM	¤N¤
oui	FNO	oui
mais	KON	mais
alors	ADV	alors
si	KON	si
je	PRO:cls	je
vous	PRO:clo	vous
demande	VER:pres	demander
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
une	DET:ind	un
question	NOM	question
dont	PRO:rel	dont
on	PRO:cls	on
connaît	VER:pres	connaître
pas	ADV	pas
la	DET:def	le
réponse	NOM	réponse
.	NAM	<unknown>
hein	INT	hein
.	NAM	<unknown>
comme	KON	comme
par	PRP	par
exemple	NOM	exemple
euh	INT	euh
à	PRP	à
l'	DET:def	le
école	NOM	école
je	PRO:cls	je
demande	VER:pres	demander
et	KON	et
pour	PRP	pour
tricher	VER:infi	tricher
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
la	DET:def	le
réponse	NOM	réponse
.	NAM	<unknown>
ben	INT	ben
vu	VER:pper	voir
que	KON	que
le	DET:def	le
peut-être	ADV	peut-être
il	PRO:cls	il
sait	VER:pres	savoir
pas	ADV	pas
ben	INT	ben
ben	INT	ben
il	PRO:cls	il
peut	VER:pres	pouvoir
pas	ADV	pas
me	PRO:clo	me
dire	VER:infi	dire
la	DET:def	le
réponse	NOM	réponse
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
sait	VER:pres	savoir
pas	ADV	pas
et	KON	et
ben	INT	ben
voilà	FNO	voilà
oui	FNO	oui
donc	ADV	donc
des	DET:ind	un
fois	NOM	fois
on	PRO:cls	on
pose	VER:pres	poser
des	DET:ind	un
questions	NOM	question
et	KON	et
on	PRO:cls	on
sait	VER:pres	savoir
qu'	PRO:int	quoi
/ilsil/	MLT	<unknown>
a	VER:pres	avoir
pas	ADV	pas
il	PRO:cls	il
on	PRO:cls	on
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
la	DET:def	le
réponse	NOM	réponse
comme	KON	comme
par	PRP	par
exemple	NOM	exemple
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
manges	VER:pres	manger
ce	DET:dem	ce
soir	NOM	soir
.	NAM	<unknown>
et	KON	et
ben	INT	ben
il	PRO:cls	il
oui	FNO	oui
il	PRO:cls	il
dit	VER:pres	dire
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
euh	INT	euh
vu	VER:pper	voir
que	KON	que
.	NAM	<unknown>
et	KON	et
euh	INT	euh
sa	DET:pos	son
mère	NOM	mère
elle	PRO:cls	elle
lui	PRO:clo	lui
a	AUX:pres	avoir
pas	ADV	pas
dit	VER:pper	dire
ben	INT	ben
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
ma	DET:pos	mon
mère	NOM	mère
ça	PRO:ton	ça
hum	FNO	hum
elle	PRO:cls	elle
sait	VER:pres	savoir
jamais	ADV	jamais
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
doit	VER:pres	devoir
manger	VER:infi	manger
tout	DET:pre	tout
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
trouve	VER:pres	trouver
c'	PRO:cls	ce
est	VER:pres	être
kebab	NOM	<unknown>
voilà	FNO	voilà
tout	DET:pre	tout
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
trouve	VER:pres	trouver
et	KON	et
tu	PRO:cls	tu
aimes	VER:pres	aimer
pas	ADV	pas
le	DET:def	le
kebab	NOM	<unknown>
.	NAM	<unknown>
ouais	FNO	ouais
si	KON	si
j'	PRO:cls	je
adore	VER:pres	adorer
ça	PRO:ton	ça
mais	KON	mais
pas	ADV	pas
tous	DET:pre	tout
les	DET:def	le
soirs	NOM	soir
.	NAM	<unknown>
mais	KON	mais
e-	TRC	e-
elle	PRO:cls	elle
m'	PRO:clo	me
en	PRO:clo	en
fait	VER:pres	faire
manger	VER:infi	manger
euh	INT	euh
alors	ADV	alors
à	PRP	à
la	DET:def	le
force	NOM	force
euh	INT	euh
oui	FNO	oui
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
assez	ADV	assez
.	VER:pper	<unknown>
oui	FNO	oui
mais	KON	mais
ça	PRO:cls	ça
fait	VER:pres	faire
plus	ADV	plus
longtemps	ADV	longtemps
qu'	KON	que
on	PRO:cls	on
n'	ADV	ne
en	PRO:clo	en
a	AUX:pres	avoir
pas	ADV	pas
mangé	VER:pper	manger
xxx	NOM	<unknown>
ah	INT	ah
peut-être	ADV	peut-être
que	KON	que
ce	DET:dem	ce
soir	NOM	soir
tu	PRO:cls	tu
vas	VER:pres	aller
manger	VER:infi	manger
kebab	NOM	<unknown>
mais	KON	mais
euh	INT	euh
non	FNO	non
ma	DET:pos	mon
mère	NOM	mère
e-	TRC	e-
non	FNO	non
elle	PRO:cls	elle
veut	VER:pres	vouloir
pas	ADV	pas
elle	PRO:cls	elle
préfère	VER:pres	préférer
aller	VER:infi	aller
dans	PRP	dans
une	DET:ind	un
pizzeria	NOM	pizzeria
vu	VER:pper	voir
que	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
une	DET:ind	un
copine	NOM	copine
qui	PRO:rel	qui
travaille	VER:pres	travailler
dans	PRP	dans
une	DET:ind	un
pizzeria	NOM	pizzeria
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
mon	DET:pos	mon
père	NOM	père
euh	INT	euh
il	PRO:cls	il
à	PRP	à
l'	DET:def	le
Inter	NOM	inter
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quand	KON	quand
même	ADV	même
dans	PRP	dans
une	DET:ind	un
rue	NOM	rue
qui	PRO:rel	qui
monte	VER:pres	monter
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
nouvelle	ADJ	nouveau
pizzeria	NOM	pizzeria
ça	PRO:cls	ça
fait	VER:pres	faire
depuis	ADV	depuis
longtemps	ADV	longtemps
et	KON	et
m-	TRC	m-
et	KON	et
moi	PRO:ton	moi
souvent	ADV	souvent
je	PRO:cls	je
mange	VER:pres	manger
là-bas	ADV	là-bas
quand	KON	quand
on	PRO:cls	on
quand	KON	quand
ma	DET:pos	mon
mère	NOM	mère
elle	PRO:cls	elle
a	AUX:pres	avoir
pas	ADV	pas
dit	VER:pper	dire
tu	PRO:cls	tu
as	AUX:pres	avoir
mangé	VER:pper	manger
quoi	INT	quoi
?	NAM	<unknown>
mais	KON	mais
quand	KON	quand
moi	PRO:ton	moi
aussi	ADV	aussi
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
les	DET:def	le
magasins	NOM	magasin
par	PRP	par
exemple	NOM	exemple
le	DET:def	le
dimanche	NOM	dimanche
ma	DET:pos	mon
mère	NOM	mère
elle	PRO:cls	elle
sait	VER:pres	savoir
pas	ADV	pas
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
va	VER:pres	aller
manger	VER:infi	manger
et	KON	et
ben	INT	ben
elle	PRO:cls	elle
a	VER:pres	avoir
rien	PRO:ind	rien
dans	PRP	dans
le	DET:def	le
frigo	NOM	frigo
et	KON	et
quand	KON	quand
les	DET:def	le
magasins	NOM	magasin
ils	PRO:cls	il
sont	AUX:pres	être
fermés	VER:pper	fermer
d'	PRP	un
accord	NOM	accord
elle	PRO:cls	elle
dit	VER:pres	dire
tiens	INT	tiens
on	PRO:cls	on
va	VER:pres	aller
aller	VER:infi	aller
euh	INT	euh
chez	PRP	chez
ma	DET:pos	mon
copine	NOM	copine
prendre	VER:infi	prendre
des	DET:ind	un
pizzas	NOM	pizza
hum	FNO	hum
oui	FNO	oui
ben	INT	ben
moi	PRO:ton	moi
aussi	ADV	aussi
ma	DET:pos	mon
mère	NOM	mère
quand	KON	quand
elle	PRO:cls	elle
fait	VER:pres	faire
pas	ADV	pas
à	PRP	à
manger	VER:infi	manger
elle	PRO:cls	elle
passe	VER:pres	passer
le	DET:def	le
kebab	NOM	<unknown>
ou	KON	ou
on	PRO:cls	on
va	VER:pres	aller
au	PRP:det	au
Buffalo	NOM	buffalo
Grill	NOM	grill
ah	INT	ah
et	KON	et
voilà	FNO	voilà
euh	INT	euh
la	DET:def	le
pizzeria	NOM	pizzeria
hum	FNO	hum
xxx	NOM	<unknown>
au	PRP:det	au
Pizza	NOM	pizza
xxx	NOM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
au	PRP:det	au
Mac	NOM	mac
Do	NOM	do
j'	PRO:cls	je
adore	VER:pres	adorer
les	DET:def	le
pizzas	NOM	pizza
xxx	NOM	<unknown>
et	KON	et
comme	KON	comme
ça	PRO:ton	ça
comme	KON	comme
ça	PRO:ton	ça
on	PRO:cls	on
trouve	VER:pres	trouver
on	PRO:cls	on
trouve	VER:pres	trouver
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
veut	VER:pres	vouloir
manger	VER:infi	manger
ça	PRO:ton	ça
nous	PRO:ton	nous
ouais	FNO	ouais
.	NAM	<unknown>
évite	VER:pres	éviter
de	PRP	de
faire	VER:infi	faire
à	PRP	à
manger	VER:infi	manger
et	KON	et
ben	INT	ben
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
eux	PRO:ton	eux
qui	PRO:rel	qui
préparent	VER:pres	préparer
à	PRP	à
v-	TRC	v-
à	PRP	à
m-	TRC	m-
à	PRP	à
manger	VER:infi	manger
hum	FNO	hum
xxx	NOM	<unknown>
et	KON	et
nos	DET:pos	notre
parents	NOM	parent
hum	FNO	hum
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
mieux	ADV	mieux
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
parce	TRC	parce
que	KON	que
ma	DET:pos	mon
mère	NOM	mère
elle	PRO:cls	elle
est	VER:pres	être
très	ADV	très
fainéante	ADJ	fainéant
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
fainéante	ADJ	fainéant
mais	KON	mais
hum	FNO	hum
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
comment	PRO:int	comment
dire	VER:infi	dire
xxx	NOM	<unknown>
xxx	NOM	<unknown>
les	DET:def	le
pizzas	NOM	pizza
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
l'	DET:def	le
entrée	NOM	entrée
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
les	DET:def	le
les	DET:def	le
légumes	NOM	légume
à	PRP	à
volonté	NOM	volonté
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tout	PRO:ind	tout
après	ADV	après
au	PRP:det	au
dessert	NOM	dessert
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
euh	INT	euh
euh	INT	euh
des	DET:ind	un
genres	NOM	genre
de	PRP	de
glace	NOM	glace
Malabar	ADJ	malabar
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
choses	NOM	chose
bien	ADV	bien
vous	PRO:cls	vous
allez	VER:pres	aller
euh	INT	euh
enregistrer	VER:infi	enregistrer
c'	PRO:cls	ce
est	VER:pres	être
où	PRO:int	où
.	NOM:sig	<unknown>
que	KON	que
ça	PRO:ton	ça
où	PRO:rel	où
.	VER:cond	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
en	PRP	en
train	NOM	train
d'	PRP	un
enregistrer	VER:infi	enregistrer
oui	FNO	oui
mais	KON	mais
xxx	NOM	<unknown>
xxx	NOM	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vos	DET:pos	votre
parents	NOM	parent
va	VER:pres	aller
le	PRO:clo	le
voir	VER:infi	voir
.	VER:infi	<unknown>
l'	PRO:clo	le
entendre	VER:infi	entendre
?	NAM	<unknown>
s'	KON	si
ils	PRO:cls	il
oui	FNO	oui
le	PRO:clo	le
demandent	VER:pres	demander
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
ah	INT	ah
si	KON	si
vous	PRO:cls	vous
voulez	VER:pres	vouloir
pas	ADV	pas
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
vous	PRO:ton	vous
qui	PRO:rel	qui
décidez	VER:pres	décider
j'	PRO:cls	je
aime	VER:pres	aimer
pas	ADV	pas
me	PRO:clo	me
faire	VER:infi	faire
entendre	VER:infi	entendre
ouais	FNO	ouais
ben	INT	ben
voilà	FNO	voilà
je	PRO:cls	je
le	PRO:clo	le
garde	VER:pres	garder
pour	PRP	pour
moi	PRO:ton	moi
ben	INT	ben
moi	PRO:ton	moi
après	ADV	après
je	PRO:cls	je
le	PRO:clo	le
garde	VER:pres	garder
pour	PRP	pour
moi	PRO:ton	moi
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
pour	PRP	pour
moi	PRO:ton	moi
ah	INT	ah
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
xxx	NOM	<unknown>
ça	PRO:cls	ça
fera	VER:futu	faire
des	DET:ind	un
souvenirs	NOM	souvenir
xxx	NOM	<unknown>
oui	FNO	oui
quelle	DET:int	quel
heure	NOM	heure
.	NAM	<unknown>
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
la	DET:def	le
montre	NOM	montre
alors	ADV	alors
xxx	NOM	<unknown>
on	PRO:cls	on
va	VER:pres	aller
encore	ADV	encore
dis-	TRC	<unknown>
euh	INT	euh
et	KON	et
là	ADV	là
je	PRO:cls	je
voulais	VER:impf	vouloir
re-	TRC	re-
