comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
les	DET:def	le
choses	NOM	chose
de	PRP	de
la	DET:def	le
vie	NOM	vie
.	NAM	<unknown>
ben	INT	ben
euh	INT	euh
l'	DET:def	le
amitié	NOM	amitié
euh	INT	euh
l'	DET:def	le
amour	NOM	amour
euh	INT	euh
l'	DET:def	le
expérience	NOM	expérience
d'	PRP	un
accord	NOM	accord
xxx	NOM	<unknown>
tout	DET:pre	tout
ça	PRO:ton	ça
d'	PRP	un
accord	NOM	accord
et	KON	et
toi	PRO:ton	toi
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
alors	ADV	alors
que	KON	que
tu	PRO:cls	tu
aimerais	VER:cond	aimer
faire	VER:infi	faire
plus	ADV	plus
tard	ADV	tard
.	VER:simp	<unknown>
ben	INT	ben
hum	FNO	hum
monitrice	NOM	monitrice
euh	INT	euh
de	PRP	de
euh	INT	euh
de	PRP	de
chevaux	NOM	cheval
d'	PRP	un
accord	NOM	accord
tu	PRO:cls	tu
tu	PRO:cls	tu
fréquentes	VER:pres	fréquenter
déjà	ADV	déjà
des	DET:ind	un
chevaux	NOM	cheval
.	NAM	<unknown>
euh	INT	euh
oui	FNO	oui
oui	FNO	oui
je	PRO:cls	je
fais	VER:pres	faire
de	PRP	de
l'	DET:def	le
équitation	NOM	équitation
oui	FNO	oui
ouais	FNO	ouais
donc	ADV	donc
tu	PRO:cls	tu
sais	VER:pres	savoir
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
que	KON	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
faire	VER:infi	faire
ça	PRO:ton	ça
hum	FNO	hum
toi	PRO:ton	toi
?	NAM	<unknown>
et	KON	et
et	KON	et
euh	INT	euh
donc	ADV	donc
tu	PRO:cls	tu
penses	VER:pres	penser
euh	INT	euh
comme	KON	comme
tu	PRO:cls	tu
as	AUX:pres	avoir
dit	VER:pper	dire
plus	ADV	plus
ça	PRO:ton	ça
à	PRP	à
bien	ADV	bien
travailler	VER:infi	travailler
pour	PRP	pour
faire	VER:infi	faire
ça	PRO:ton	ça
que	KON	que
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
de	PRP	de
jouer	VER:infi	jouer
de	PRP	de
hum	FNO	hum
hein	INT	hein
.	NAM	<unknown>
hum	FNO	hum
donc	ADV	donc
tu	PRO:cls	tu
tu	PRO:cls	tu
fais	VER:pres	faire
tu	PRO:cls	tu
préfères	VER:pres	préférer
euh	INT	euh
penser	VER:infi	penser
à	PRP	à
euh	INT	euh
plus	ADV	plus
à	PRP	à
quand	KON	quand
tu	PRO:cls	tu
seras	VER:futu	être
grande	ADJ	grand
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
quand	KON	quand
quand	KON	quand
on	PRO:cls	on
sera	VER:futu	être
grand	ADJ	grand
?	NAM	<unknown>
quand	KON	quand
vous	PRO:cls	vous
serez	VER:futu	être
grandes	ADJ	grand
.	NAM	<unknown>
hum	FNO	hum
quand	KON	quand
on	PRO:cls	on
aura	VER:futu	avoir
dix-huit	NUM	@card@
ans	NOM	an
ah	INT	ah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
donc	ADV	donc
à	PRP	à
à	PRP	à
dix-huit	NUM	@card@
ans	NOM	an
on	PRO:cls	on
est	VER:pres	être
grand	ADJ	grand
.	NAM	<unknown>
ben	INT	ben
on	PRO:cls	on
prend	VER:pres	prendre
ses	DET:pos	son
responsabilités	NOM	responsabilité
on	PRO:cls	on
est	VER:pres	être
euh	INT	euh
on	PRO:cls	on
est	VER:pres	être
adolescent	ADJ	adolescent
ouais	FNO	ouais
mais	KON	mais
non	FNO	non
alors	ADV	alors
a-	TRC	a-
adulte	NOM	adulte
ou	KON	ou
adolescent	NOM	adolescent
.	NAM	<unknown>
adulte	NOM	adulte
ah	INT	ah
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
on	PRO:cls	on
est	VER:pres	être
adolescent	ADJ	adolescent
vers	PRP	vers
douze	NUM	@card@
treize	NUM	@card@
ans	NOM	an
on	PRO:cls	on
est	VER:pres	être
on	PRO:cls	on
est	VER:pres	être
adulte	ADJ	adulte
quand	KON	quand
on	PRO:cls	on
a	VER:pres	avoir
dix-huit	NUM	@card@
ans	NOM	an
oui	FNO	oui
donc	ADV	donc
à	PRP	à
dix-huit	NUM	@card@
ans	NOM	an
normalement	ADV	normalement
tu	PRO:cls	tu
dis	VER:pres	dire
on	PRO:cls	on
prend	VER:pres	prendre
ses	DET:pos	son
responsabilités	NOM	responsabilité
.	NAM	<unknown>
oui	FNO	oui
donc	ADV	donc
on	PRO:cls	on
fait	VER:pres	faire
quoi	PRO:int	quoi
?	NAM	<unknown>
on	PRO:cls	on
peut	VER:pres	pouvoir
se	PRO:clo	se
débrouiller	VER:infi	débrouiller
tout	ADV	tout
seul	ADJ	seul
.	NAM	<unknown>
euh	INT	euh
non	FNO	non
mais	KON	mais
en	PRP	en
fait	NOM	fait
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
si	KON	si
on	PRO:cls	on
fait	VER:pres	faire
de	DET:ind	un
grosses	ADJ	gros
bêtises	NOM	bêtise
nous	PRO:ton	nous
on	PRO:cls	on
assume	VER:pres	assumer
c'	PRO:cls	ce
est	VER:pres	être
nous	PRO:ton	nous
ah	INT	ah
oui	FNO	oui
là	ADV	là
au	PRP:det	au
niveau	NOM	niveau
de	PRP	de
la	DET:def	le
loi	NOM	loi
oui	FNO	oui
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sûr	ADJ	sûr
et	KON	et
maintenant	ADV	maintenant
dans	PRP	dans
la	DET:def	le
vie	NOM	vie
à	PRP	à
dix-huit	NUM	@card@
ans	NOM	an
on	PRO:cls	on
vit	VER:pres	vivre
où	PRO:int	où
encore	ADV	encore
.	VER:simp	<unknown>
à	PRP	à
la	DET:def	le
maison	NOM	maison
avec	PRP	avec
les	DET:def	le
parents	NOM	parent
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
souvent	ADV	souvent
quand	KON	quand
même	ADV	même
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
hein	INT	hein
?	NOM:sig	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
oui	FNO	oui
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
déjà	ADV	déjà
un	DET:ind	un
travail	NOM	travail
?	NAM	<unknown>
euh	INT	euh
non	FNO	non
un	DET:ind	un
métier	NOM	métier
.	NAM	<unknown>
pas	ADV	pas
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
pas	ADV	pas
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
hein	INT	hein
?	NAM	<unknown>
donc	ADV	donc
euh	INT	euh
on	PRO:cls	on
est	VER:pres	être
adulte	ADJ	adulte
mais	KON	mais
tout	PRO:ind	tout
au	PRP:det	au
début	NOM	début
peut-être	ADV	peut-être
?	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
ouais	FNO	ouais
alors	ADV	alors
quand	KON	quand
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
penserez	VER:futu	penser
que	KON	que
vous	PRO:cls	vous
serez	VER:futu	être
euh	INT	euh
ben	INT	ben
quand	KON	quand
tu	PRO:cls	tu
assumeras	VER:futu	assumer
toutes	DET:pre	tout
tes	DET:pos	ton
responsabilités	NOM	responsabilité
.	NAM	<unknown>
peut-être	ADV	peut-être
à	PRP	à
vingt-et-un	NUM	@card@
ans	NOM	an
peut-être	ADV	peut-être
plus	ADV	plus
tard	ADV	tard
alors	ADV	alors
.	VER:simp	<unknown>
oui	FNO	oui
ouais	FNO	ouais
donc	ADV	donc
ça	PRO:cls	ça
dépend	VER:pres	dépendre
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
euh	INT	euh
ben	INT	ben
euh	INT	euh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
?	NOM:sig	<unknown>
ben	INT	ben
déjà	ADV	déjà
avoir	VER:infi	avoir
un	DET:ind	un
métier	NOM	métier
oui	FNO	oui
euh	INT	euh
ouais	FNO	ouais
d'	PRP	un
avoir	VER:infi	avoir
une	DET:ind	un
vie	NOM	vie
oui	FNO	oui
des	DET:ind	un
enfants	NOM	enfant
déjà	ADV	déjà
à	PRP	à
vingt-et-un	NUM	@card@
ans	NOM	an
.	NAM	<unknown>
ouais	FNO	ouais
hum	FNO	hum
peut-être	ADV	peut-être
hum	FNO	hum
hein	INT	hein
?	NAM	<unknown>
ouais	FNO	ouais
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
toi	PRO:ton	toi
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
du	DET:par	du
tout	PRO:ind	tout
?	NOM:sig	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
aucune	DET:ind	aucun
idée	NOM	idée
.	NAM	<unknown>
ben	INT	ben
euh	INT	euh
j'	PRO:cls	je
ai	VER:pres	avoir
peut-être	ADV	peut-être
une	DET:ind	un
idée	NOM	idée
en	PRP	en
fait	NOM	fait
j'	PRO:cls	je
ai	VER:pres	avoir
plusieurs	DET:ind	plusieurs
idées	NOM	idée
mais	KON	mais
euh	INT	euh
dis	VER:pres	dire
voir	VER:infi	voir
lesquelles	PRO:rel	lequel
.	NAM	<unknown>
ben	INT	ben
écrivain	NOM	écrivain
euh	INT	euh
actrice	NOM	actrice
euh	INT	euh
chanteuse	ADJ	chanteur
plein	ADV	plein
de	PRP	de
trucs	NOM	truc
comme	KON	comme
ça	PRO:ton	ça
xxx	NOM	<unknown>
dans	PRP	dans
l'	DET:def	le
art	NOM	art
.	NAM	<unknown>
j'	PRO:cls	je
aimerais	VER:cond	aimer
être	AUX:infi	être
connue	VER:pper	connaître
d'	PRP	un
accord	NOM	accord
tu	PRO:cls	tu
aimerais	VER:cond	aimer
être	AUX:infi	être
connue	VER:pper	connaître
?	NAM	<unknown>
et	KON	et
alors	ADV	alors
.	VER:simp	<unknown>
ça	PRO:cls	ça
t'	PRO:clo	te
apporterait	VER:cond	apporter
quoi	INT	quoi
si	KON	si
tu	PRO:cls	tu
étais	AUX:impf	être
connue	VER:pper	connaître
.	NAM	<unknown>
ben	INT	ben
en	PRP	en
fait	NOM	fait
euh	INT	euh
hum	FNO	hum
j'	PRO:cls	je
aimerais	VER:cond	aimer
que	KON	que
les	DET:def	le
gens	NOM	gens
à	PRP	à
la	DET:def	le
télé	NOM:trc	télévision
me	PRO:clo	me
regardent	VER:pres	regarder
pour	PRP	pour
euh	INT	euh
savoir	VER:infi	savoir
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
vis	VER:pres	vivre
j'	PRO:cls	je
aimerais	VER:cond	aimer
créer	VER:infi	créer
aussi	ADV	aussi
une	DET:ind	un
association	NOM	association
pour	PRP	pour
protéger	VER:infi	protéger
la	DET:def	le
nature	NOM	nature
d'	PRP	un
accord	NOM	accord
ah	INT	ah
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
deux	NUM	@card@
choses	NOM	chose
différentes	ADJ	différent
oui	FNO	oui
et	KON	et
tu	PRO:cls	tu
hum	FNO	hum
prends	VER:impe	prendre
des	DET:ind	un
cours	NOM	cours
de	PRP	de
chant	NOM	chant
.	NAM	<unknown>
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
prends	VER:pres	prendre
des	DET:ind	un
cours	NOM	cours
de	PRP	de
chant	NOM	chant
.	NAM	<unknown>
non	FNO	non
ben	INT	ben
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
commences	VER:pres	commencer
oui	FNO	oui
ben	INT	ben
oui	FNO	oui
mais	KON	mais
à	PRP	à
la	DET:def	le
fin	NOM	fin
d'	PRP	un
année	NOM	année
on	PRO:cls	on
va	VER:pres	aller
faire	VER:infi	faire
un	DET:ind	un
spectacle	NOM	spectacle
alors	ADV	alors
ouais	FNO	ouais
on	PRO:cls	on
va	VER:pres	aller
chanter	VER:infi	chanter
euh	INT	euh
avec	PRP	avec
/Michèle	MLT	<unknown>
Michelle/	MLT	<unknown>
Bernard	NOM	<unknown>
xxx	NOM	<unknown>
une	DET:ind	un
chanteuse	NOM	chanteuse
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
oui	FNO	oui
elle	PRO:ton	elle
elle	PRO:cls	elle
est	AUX:pres	être
déjà	ADV	déjà
venue	VER:pper	venir
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
et	KON	et
elle	PRO:cls	elle
vous	PRO:clo	vous
apprend	VER:pres	apprendre
à	PRP	à
chanter	VER:infi	chanter
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
vraiment	ADV	vraiment
elle	PRO:ton	elle
qui	PRO:rel	qui
nous	PRO:clo	nous
apprend	VER:pres	apprendre
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
autre	ADJ	autre
fille	NOM	fille
ah	INT	ah
d'	PRP	un
accord	NOM	accord
et	KON	et
euh	INT	euh
et	KON	et
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
la	DET:def	le
fin	NOM	fin
de	PRP	de
l'	DET:def	le
année-là	NOM	<unknown>
?	NAM	<unknown>
quand	KON	quand
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
exactement	ADV	exactement
.	ADJ	<unknown>
samedi	NOM	samedi
ah	INT	ah
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
xxx	NOM	<unknown>
oui	FNO	oui
donc	ADV	donc
tu	PRO:cls	tu
es	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
demain	ADV	demain
.	NOM:sig	<unknown>
hum	FNO	hum
oui	FNO	oui
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
demain	ADV	demain
soir	NOM	soir
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
vous	PRO:cls	vous
avez	AUX:pres	avoir
déjà	ADV	déjà
répété	VER:pper	répéter
plusieurs	DET:ind	plusieurs
fois	NOM	fois
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
depuis	PRP	depuis
le	DET:def	le
début	NOM	début
de	PRP	de
l'	DET:def	le
année	NOM	année
pratiquement	ADV	pratiquement
ah	INT	ah
ouais	FNO	ouais
et	KON	et
vous	PRO:cls	vous
le	PRO:clo	le
faites	VER:pres	faire
où	PRO:int	où
le	DET:def	le
spectacle	NOM	spectacle
.	NAM	<unknown>
à	PRP	à
à	PRP	à
l'	DET:def	le
espace	NOM	espace
culturel	ADJ	culturel
de	PRP	de
Rombas	NOM:sig	<unknown>
d'	PRP	un
accord	NOM	accord
hier	ADV	hier
j'	PRO:cls	je
ai	AUX:pres	avoir
été	VER:pper	être
à	PRP	à
un	DET:ind	un
spectacle	NOM	spectacle
à	PRP	à
l'	DET:def	le
espace	NOM	espace
culturel	ADJ	culturel
de	PRP	de
Rombas	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
collège	NOM	collège
bon	INT	bon
ils	PRO:cls	il
font	VER:pres	faire
beaucoup	ADV	beaucoup
de	PRP	de
spectacles	NOM	spectacle
ah	INT	ah
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
collège	NOM	collège
qui	PRO:rel	qui
faisait	VER:impf	faire
son	DET:pos	son
hum	FNO	hum
spectacle	NOM	spectacle
hier	ADV	hier
soir	NOM	soir
hum	FNO	hum
vous	PRO:cls	vous
avez	VER:pres	avoir
des	DET:ind	un
grands	ADJ	grand
frères	NOM	frère
et	KON	et
des	DET:ind	un
grandes	ADJ	grand
soeurs	NOM	soeur
.	NAM	<unknown>
oui	FNO	oui
qui	PRO:rel	qui
sont	VER:pres	être
au	PRP:det	au
collège	NOM	collège
.	NAM	<unknown>
non	FNO	non
pas	ADV	pas
ici	ADV	ici
ah	INT	ah
d'	PRP	un
accord	NOM	accord
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
une	DET:ind	un
soeur	NOM	soeur
de	PRP	de
trente-deux	NUM	@card@
ans	NOM	an
qui	PRO:rel	qui
oui	FNO	oui
vit	VER:pres	vivre
euh	INT	euh
au	PRP:det	au
Sud	NOM	sud
de	PRP	de
la	DET:def	le
France	NAM	France
et	KON	et
une	DET:ind	un
petite	ADJ	petit
qui	PRO:rel	qui
a	VER:pres	avoir
trois	NUM	@card@
ans	NOM	an
d'	PRP	un
accord	NOM	accord
et	KON	et
xxx	NOM	<unknown>
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
une	DET:ind	un
petite	ADJ	petit
soeur	NOM	soeur
elle	PRO:cls	elle
a	VER:pres	avoir
quatre	NUM	@card@
ans	NOM	an
ah	INT	ah
oui	FNO	oui
oui	FNO	oui
elle	PRO:cls	elle
est	VER:pres	être
toute	ADV	tout
hum	FNO	hum
petite	ADJ	petit
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
donc	ADV	donc
tu	PRO:cls	tu
es	VER:pres	être
l'	DET:def	le
aînée	NOM	aînée
toi	PRO:ton	toi
.	NAM	<unknown>
hum	FNO	hum
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
effectivement	ADV	effectivement
Elfie	VER:impe	<unknown>
elle	PRO:ton	elle
elle	PRO:cls	elle
dit	VER:pres	dire
qu'	KON	que
elle	PRO:cls	elle
préfère	VER:pres	préférer
se	PRO:clo	se
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
sur	PRP	sur
sa	DET:pos	son
vie	NOM	vie
de	PRP	de
maintenant	ADV	maintenant
hum	FNO	hum
hum	FNO	hum
et	KON	et
pas	ADV	pas
sur	PRP	sur
la	DET:def	le
vie	NOM	vie
de	PRP	de
plus	ADV	plus
tard	ADV	tard
hein	INT	hein
?	NAM	<unknown>
et	KON	et
euh	INT	euh
elle	PRO:cls	elle
dit	VER:pres	dire
aussi	ADV	aussi
au	PRP:det	au
début	NOM	début
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
vous	PRO:cls	vous
m'	PRO:clo	me
avez	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
elle	PRO:cls	elle
parle	VER:pres	parler
pas	ADV	pas
beaucoup	ADV	beaucoup
hum	FNO	hum
alors	ADV	alors
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
donc	ADV	donc
un	DET:ind	un
Simon	NOM	<unknown>
hein	INT	hein
?	NAM	<unknown>
qu'	KON	que
elle	PRO:cls	elle
aime	VER:pres	aimer
pas	ADV	pas
beaucoup	ADV	beaucoup
qui	PRO:rel	qui
dit	VER:pres	dire
que	KON	que
ouais	FNO	ouais
étant	VER:ppre	être
donné	VER:pper	donner
que	KON	que
elle	PRO:cls	elle
ne	ADV	ne
parle	VER:pres	parler
presque	ADV	presque
jamais	ADV	jamais
peut-être	ADV	peut-être
qu'	KON	que
elle	PRO:cls	elle
n'	ADV	ne
existe	VER:pres	exister
pas	ADV	pas
pour	PRP	pour
de	PRP	de
vrai	ADJ	vrai
hum	FNO	hum
hum	FNO	hum
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
en	PRO:clo	en
pensez	VER:pres	penser
.	NAM	<unknown>
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
on	PRO:cls	on
peut	VER:pres	pouvoir
pas	ADV	pas
elle	PRO:cls	elle
existe	VER:pres	exister
/vueuh/	MLT	<unknown>
qu'	KON	que
on	PRO:cls	on
la	PRO:clo	le
voit	VER:pres	voir
que	KON	que
elle	PRO:ton	elle
elle	PRO:cls	elle
a	VER:pres	avoir
elle	PRO:ton	elle
elle	PRO:cls	elle
pense	VER:pres	penser
euh	INT	euh
elle	PRO:cls	elle
arrive	VER:pres	arriver
à	PRP	à
penser	VER:infi	penser
elle	PRO:cls	elle
a	VER:pres	avoir
tout	PRO:ind	tout
d'	PRP	un
une	DET:ind	un
être	VER:infi	être
humain	ADJ	humain
d'	PRP	un
une	DET:ind	un
être	VER:infi	être
humain	ADJ	humain
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
que	KON	que
les	DET:def	le
êtres	NOM	être
humains	ADJ	humain
qui	PRO:rel	qui
existent	VER:pres	exister
?	NAM	<unknown>
ils	PRO:cls	il
sont	VER:pres	être
vivants	ADJ	vivant
.	NAM	<unknown>
non	FNO	non
non	FNO	non
euh	INT	euh
qui	PRO:rel	qui
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
est	VER:pres	être
vivant	ADJ	vivant
encore	ADV	encore
.	VER:simp	<unknown>
les	DET:def	le
animaux	NOM	animal
les	DET:def	le
arbres	NOM	arbre
les	DET:def	le
fleurs	NOM	fleur
euh	INT	euh
xxx	NOM	<unknown>
ouais	FNO	ouais
oui	FNO	oui
les	DET:def	le
animaux	NOM	animal
donc	ADV	donc
on	PRO:cls	on
va	VER:pres	aller
dire	VER:infi	dire
les	DET:def	le
plantes	NOM	plante
hum	FNO	hum
hum	FNO	hum
les	DET:def	le
animaux	NOM	animal
les	DET:def	le
êtres	NOM	être
euh	INT	euh
les	DET:def	le
êtres	NOM	être
humains	ADJ	humain
.	NAM	<unknown>
oui	FNO	oui
hum	FNO	hum
et	KON	et
euh	INT	euh
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
ils	PRO:cls	il
pensent	VER:pres	penser
.	NAM	<unknown>
non	FNO	non
les	DET:def	le
animaux	NOM	animal
.	NAM	<unknown>
si	KON	si
je	PRO:cls	je
pense	VER:pres	penser
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
ben	INT	ben
oui	FNO	oui
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
pense	VER:pres	penser
les	DET:def	le
animaux	NOM	animal
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
je	PRO:cls	je
pense	VER:pres	penser
vu	VER:pper	voir
que	KON	que
quand	KON	quand
ils	PRO:cls	il
font	VER:pres	faire
euh	INT	euh
l'	DET:def	le
action	NOM	action
euh	INT	euh
on	PRO:cls	on
doit	VER:pres	devoir
la	PRO:clo	le
penser	VER:infi	penser
oui	FNO	oui
vraiment	ADV	vraiment
?	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
et	KON	et
alors	ADV	alors
à	PRP	à
ton	DET:pos	ton
avis	NOM	avis
.	NAM	<unknown>
ben	INT	ben
tu	PRO:cls	tu
as	VER:pres	avoir
des	DET:ind	un
animaux	NOM	animal
chez	PRP	chez
toi	PRO:ton	toi
.	NAM	<unknown>
