hop	INT	hop
bien	ADV	bien
en	PRP	en
avoir	VER:infi	avoir
pour	PRP	pour
regarder	VER:infi	regarder
les	DET:def	le
étoiles	NOM	étoile
et	KON	et
ça	PRO:ton	ça
aussi	ADV	aussi
d'	PRP	un
ailleurs	ADV	ailleurs
ouh	INT	ouh
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
dangereux	ADJ	dangereux
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
couture	NOM	couture
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
la	DET:def	le
couture	NOM	couture
.	NAM	<unknown>
oui	FNO	oui
eh	INT	eh
ben	INT	ben
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
tu	PRO:cls	tu
sais	VER:pres	savoir
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
microscope	NOM	microscope
et	KON	et
ça	PRO:ton	ça
aussi	ADV	aussi
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
docteur	NOM	docteur
.	NAM	<unknown>
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
tous	DET:pre	tout
les	DET:def	le
euh	INT	euh
tous	DET:pre	tout
tous	DET:pre	tout
les	DET:def	le
euh	INT	euh
tout	DET:pre	tout
les	DET:def	le
ustensiles	NOM	ustensile
dont	PRO:rel	dont
tu	PRO:cls	tu
as	VER:pres	avoir
besoin	NOM	besoin
pour	PRP	pour
le	DET:def	le
microscope	NOM	microscope
tu	PRO:cls	tu
as	VER:pres	avoir
euh	INT	euh
ouais	FNO	ouais
tu	PRO:cls	tu
regardes	VER:pres	regarder
comme	KON	comme
ça	PRO:ton	ça
xxx	NOM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
comme	KON	comme
dans	PRP	dans
Basile	NOM	<unknown>
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
dans	PRP	dans
Basile	NOM	<unknown>
?	NAM	<unknown>
dans	PRP	dans
Basile	NOM	<unknown>
de	PRP	de
.	NAM	<unknown>
Baker	NOM	<unknown>
street	ADJ	<unknown>
.	NAM	<unknown>
hum	FNO	hum
la	DET:def	le
dessin	NOM	dessin
animé	VER:pper	animer
de	PRP	de
Walt	NAM	<unknown>
Disney	NAM	<unknown>
.	NAM	<unknown>
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
xxx	NOM	<unknown>
et	KON	et
ils	PRO:cls	il
sont	VER:pres	être
xxx	NOM	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
encore	ADV	encore
fini	VER:pper	finir
d'	PRP	un
enregistrer	VER:infi	enregistrer
non	FNO	non
mais	KON	mais
on	PRO:cls	on
peut	VER:pres	pouvoir
arrêter	VER:infi	arrêter
toutes	DET:ind	tout
façons	NOM	façon
après	PRP	après
ouf	NOM	ouf
xxx	NOM	<unknown>
xxx	NOM	<unknown>
non	FNO	non
j'	PRO:cls	je
attends	VER:pres	attendre
que	KON	que
ce	PRO:dem	ce
soit	VER:subp	être
jusqu'	PRP	jusque
à	PRP	à
la	DET:def	le
fin	NOM	fin
oh	INT	oh
ben	INT	ben
non	FNO	non
parce	TRC	parce
si	KON	si
on	PRO:cls	on
attend	VER:pres	attendre
jusqu'	PRP	jusque
à	PRP	à
la	DET:def	le
fin	NOM	fin
on	PRO:cls	on
devra	VER:futu	devoir
attendre	VER:infi	attendre
euh	INT	euh
peut-être	ADV	peut-être
une	DET:ind	un
heure	NOM	heure
et	KON	et
demi	NOM	demi
tu	PRO:cls	tu
te	PRO:clo	te
rends	VER:pres	rendre
compte	NOM	compte
une	DET:ind	un
heure	NOM	heure
et	KON	et
demie	NOM	demi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
beaucoup	ADV	beaucoup
.	ADJ	<unknown>
ah	INT	ah
ben	INT	ben
oui	FNO	oui
là	ADV	là
on	PRO:cls	on
vient	VER:pres	venir
de	PRP	de
faire	VER:infi	faire
cinq	NUM	@card@
minutes	NOM	minute
oh	INT	oh
je	PRO:cls	je
vais	VER:pres	aller
attendre	VER:infi	attendre
jusqu'	PRP	jusque
à	PRP	à
six	NUM	@card@
