bonjour	FNO	bonjour
lit	NOM	lit
pour	PRP	pour
chacun	PRO:ind	chacun
.	NOM:sig	<unknown>
hum	FNO	hum
ah	INT	ah
d'	PRP	un
accord	NOM	accord
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
leurs	DET:pos	leur
chaussures-là	NOM	<unknown>
ils	PRO:cls	il
ont	AUX:pres	avoir
laissé	VER:pper	laisser
leurs	DET:pos	leur
chaussures	NOM	chaussure
euh	INT	euh
par	PRP	par
terre	NOM	terre
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
regarde	VER:impe	regarder
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
petite	ADJ	petit
souris	NOM	souris
ah	INT	ah
oui	FNO	oui
elle	PRO:cls	elle
est	AUX:pres	être
cachée	VER:pper	cacher
caché	VER:pper	cacher
une	DET:ind	un
dent	NOM	dent
ils	PRO:cls	il
cachent	VER:pres	cacher
leurs	DET:pos	leur
dents	NOM	dent
sous	PRP	sous
l'	DET:def	le
oreiller	NOM	oreiller
comme	KON	comme
nous	PRO:ton	nous
on	PRO:cls	on
fait	VER:pres	faire
.	NAM	<unknown>
non	FNO	non
il	PRO:cls	il
cache	VER:pres	cacher
une	DET:ind	un
dent	NOM	dent
parce	TRC	parce
que	KON	que
il	PRO:cls	il
veut	VER:pres	vouloir
pas	ADV	pas
qu'	KON	que
on	PRO:cls	on
la	PRO:clo	le
prend	VER:pres	prendre
ben	INT	ben
non	FNO	non
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
ça	PRO:ton	ça
l'	DET:def	le
histoire	NOM	histoire
la	DET:def	le
petite	ADJ	petit
souris	NOM	souris
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
on	PRO:cls	on
perd	VER:pres	perdre
une	DET:ind	un
dent	NOM	dent
ils	PRO:cls	il
la	PRO:clo	le
mettent	VER:pres	mettre
sous	PRP	sous
l'	DET:def	le
oreiller	NOM	oreiller
et	KON	et
la	DET:def	le
petite	ADJ	petit
souris	NOM	souris
la	DET:def	le
nuit	NOM	nuit
elle	PRO:cls	elle
passe	VER:pres	passer
pour	PRP	pour
euh	INT	euh
donner	VER:infi	donner
un	DET:ind	un
petit	ADJ	petit
bonbon	NOM	bonbon
ou	KON	ou
euh	INT	euh
ben	INT	ben
tu	PRO:cls	tu
as	VER:pres	avoir
qu'	KON	que
à	PRP	à
lire	VER:infi	lire
ah	INT	ah
ben	INT	ben
oui	FNO	oui
je	PRO:cls	je
vais	VER:pres	aller
lire	VER:infi	lire
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
alors	ADV	alors
une	DET:ind	un
petite	ADJ	petit
souris	NOM	souris
appelée	VER:pper	appeler
autrefois	ADV	autrefois
Didi	ADJ	<unknown>
Bonbon	NOM	bonbon
mais	KON	mais
à	PRP	à
présent	NOM	présent
qu'	KON	que
elle	PRO:cls	elle
avait	AUX:impf	avoir
grandi	VER:pper	grandir
simplement	ADV	simplement
Didi	VER:pper	<unknown>
son	DET:pos	son
métier	NOM	métier
était	VER:impf	être
de	PRP	de
chercher	VER:infi	chercher
les	DET:def	le
dents	NOM	dent
que	KON	que
les	DET:def	le
petits	ADJ	petit
lapins	NOM	lapin
pe-	TRC	<unknown>
perdaient	VER:impf	perdre
pour	PRP	pour
le	PRO:clo	le
remplacer	VER:infi	remplacer
par	PRP	par
de	DET:ind	un
petits	ADJ	petit
cadeaux	NOM	cadeau
tu	PRO:cls	tu
vois	VER:pres	voir
?	NAM	<unknown>
qu'	KON	que
elle	PRO:cls	elle
fabriquait	VER:impf	fabriquer
elle-même	PRO:ton	elle-même
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
formidable	ADJ	formidable
métier	NOM	métier
pour	PRP	pour
une	DET:ind	un
souris	NOM	souris
et	KON	et
toi	PRO:ton	toi
alors	ADV	alors
quand	KON	quand
tu	PRO:cls	tu
perds	VER:pres	perdre
tes	DET:pos	ton
dents	NOM	dent
tu	PRO:cls	tu
mets	VER:pres	mettre
ta	DET:pos	ton
t-	TRC	t-
t-	TRC	t-
ta	DET:pos	ton
dent	NOM	dent
sous	PRP	sous
l'	DET:def	le
oreiller	NOM	oreiller
.	NAM	<unknown>
non	FNO	non
je	PRO:cls	je
la	PRO:clo	le
mets	VER:pres	mettre
sur	PRP	sur
euh	INT	euh
sur	PRP	sur
ma	DET:pos	mon
sur	PRP	sur
ma	DET:pos	mon
table	NOM	table
sur	PRP	sur
ta	DET:pos	ton
table	NOM	table
et	KON	et
elle	PRO:cls	elle
passe	VER:pres	passer
euh	INT	euh
.	NAM	<unknown>
oui	FNO	oui
elle	PRO:cls	elle
me	PRO:clo	me
elle	PRO:cls	elle
m-	TRC	m-
en	PRP	en
plus	ADV	plus
.	VER:simp	<unknown>
quand	KON	quand
quand	KON	quand
quand	KON	quand
je	PRO:cls	je
dormais	VER:impf	dormir
pas	ADV	pas
une	DET:ind	un
fois	NOM	fois
elle	PRO:cls	elle
est	AUX:pres	être
passée	VER:pper	passer
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
tiré	VER:pper	tirer
la	DET:def	le
petite	ADJ	petit
queue	NOM	queue
tu	PRO:cls	tu
as	AUX:pres	avoir
tiré	VER:pper	tirer
la	DET:def	le
petite	ADJ	petit
queue	NOM	queue
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
/l'avoir	VER:infi	<unknown>
la	DET:def	le
voir/	NOM	<unknown>
.	NAM	<unknown>
hum	FNO	hum
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
hum	FNO	hum
et	KON	et
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
t'	PRO:clo	te
a	AUX:pres	avoir
apporté	VER:pper	apporter
alors	ADV	alors
.	VER:simp	<unknown>
ben	INT	ben
elle	PRO:cls	elle
m'	PRO:clo	me
a	VER:pres	avoir
ap-	TRC	ap-
elle	PRO:cls	elle
m'	PRO:clo	me
a	VER:pres	avoir
appo-	TRC	<unknown>
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
apporté	VER:pper	apporter
une	DET:ind	un
pièce	NOM	pièce
en	PRP	en
chocolat	NOM	chocolat
une	DET:ind	un
pièce	NOM	pièce
en	PRP	en
chocolat	NOM	chocolat
.	NAM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
oui	FNO	oui
gentille	ADJ	gentil
hein	INT	hein
?	NAM	<unknown>
alors	ADV	alors
.	VER:simp	<unknown>
une	DET:ind	un
fois	NOM	fois
qu'	KON	que
elle	PRO:cls	elle
avait	AUX:impf	avoir
fait	VER:pper	faire
sa	DET:pos	son
petite	ADJ	petit
récolte	NOM	récolte
de	PRP	de
dents	NOM	dent
tantôt	ADV	tantôt
chez	PRP	chez
les	DET:def	le
uns	NOM	un
tantôt	ADV	tantôt
chez	PRP	chez
les	DET:def	le
autres	ADJ	autre
elle	PRO:cls	elle
s'	PRO:clo	se
en	PRO:clo	en
retournait	VER:impf	retourner
chez	PRP	chez
elle	PRO:ton	elle
portant	NOM	portant
à	PRP	à
l'	DET:def	le
épaule	NOM	épaule
son	DET:pos	son
précieux	NOM	précieux
petit	ADJ	petit
sac	NOM	sac
jaune	ADJ	jaune
rempli	NOM	rempli
d'	PRP	un
ivoire	NOM	ivoire
wouah	INT	wouah
c'	PRO:cls	ce
est	VER:pres	être
là	ADV	là
sa	DET:pos	son
maison	NOM	maison
c'	PRO:cls	ce
est	VER:pres	être
sa	DET:pos	son
maison	NOM	maison
là	ADV	là
.	VER:simp	<unknown>
oui	FNO	oui
regarde	VER:impe	regarder
l'	DET:def	le
oeil	NOM	oeil
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
gros	ADJ	gros
rat	NOM	rat
oh	INT	oh
alors	ADV	alors
tu	PRO:cls	tu
as	VER:pres	avoir
qu'	KON	que
à	PRP	à
li-	NOM	<unknown>
un	DET:ind	un
soir	NOM	soir
alors	ADV	alors
qu'	KON	que
elle	PRO:cls	elle
confectionnait	VER:impf	confectionner
bien	ADV	bien
tranquillement	ADV	tranquillement
les	DET:def	le
cadeaux	NOM	cadeau
qu'	KON	que
elle	PRO:cls	elle
leur	PRO:clo	lui
a-	TRC	a-
qu'	KON	que
elle	PRO:cls	elle
allait	VER:impf	aller
livrer	VER:infi	livrer
le	DET:def	le
lendemain	NOM	lendemain
à	PRP	à
la	DET:def	le
famille	NOM	famille
Petitpois	NOM	<unknown>
un	DET:ind	un
rat	NOM	rat
mal	ADV	mal
attentionné	VER:pper	attentionner
jeta	VER:simp	jeter
un	DET:ind	un
coup	NOM	coup
d'	PRP	un
oeil	NOM	oeil
par	PRP	par
la	DET:def	le
fenêtre	NOM	fenêtre
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
rat	NOM	rat
alors	ADV	alors
.	VER:simp	<unknown>
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
plus	ADV	plus
gros	ADJ	gros
qu'	KON	que
une	DET:ind	un
souris	NOM	souris
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
.	NAM	<unknown>
eh	INT	eh
regarde	VER:impe	regarder
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
crochet	NOM	crochet
au	PRP:det	au
bout	NOM	bout
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
crochet	NOM	crochet
au	PRP:det	au
bout	NOM	bout
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
crochet	NOM	crochet
au	PRP:det	au
bout	NOM	bout
.	NAM	<unknown>
hum	FNO	hum
et	KON	et
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
veut	VER:pres	vouloir
attraper	VER:infi	attraper
.	NAM	<unknown>
eh	INT	eh
ben	INT	ben
le	DET:def	le
sac	NOM	sac
qui	PRO:rel	qui
est	VER:pres	être
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
pour	PRP	pour
les	DET:def	le
dents	NOM	dent
pour	PRP	pour
attraper	VER:infi	attraper
les	DET:def	le
dents	NOM	dent
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
tu	PRO:cls	tu
as	VER:pres	avoir
qu'	KON	que
à	PRP	à
lire	VER:infi	lire
il	PRO:cls	il
fit	VER:simp	faire
le	DET:def	le
tour	NOM	tour
de	PRP	de
la	DET:def	le
maison	NOM	maison
attendit	VER:simp	attendre
que	KON	que
Didi	NAM	<unknown>
s'	PRO:clo	se
endorme	VER:subp	se endormir
et	KON	et
s'	PRO:clo	se
empara	VER:simp	se emparer
du	PRP:det	du
sac	NOM	sac
de	PRP	de
dents	NOM	dent
de	PRP	de
la	DET:def	le
petite	ADJ	petit
souris	NOM	souris
que	KON	que
-il	PRO:clsi	il
pouvait	VER:impf	pouvoir
bien	ADV	bien
faire	VER:infi	faire
d'	PRP	un
un	DET:ind	un
sac	NOM	sac
de	PRP	de
dents	NOM	dent
de	PRP	de
lapin	NOM	lapin
.	NOM:sig	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
donner	VER:infi	donner
une	DET:ind	un
réponse	NOM	réponse
à	PRP	à
ça	PRO:ton	ça
.	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
ben	INT	ben
.	NAM	<unknown>
qui	PRO:rel	qui
va	VER:pres	aller
en	PRO:clo	en
faire	VER:infi	faire
de	PRP	de
ces	DET:dem	ce
dents	NOM	dent
.	NAM	<unknown>
eh	INT	eh
ben	INT	ben
tu	PRO:cls	tu
regardes	VER:pres	regarder
il	PRO:clsi	il
il	PRO:clsi	il
va	VER:pres	aller
les	PRO:clo	le
prendre	VER:infi	prendre
et	KON	et
il	PRO:cls	il
va	VER:pres	aller
les	PRO:clo	le
offrir	VER:infi	offrir
à	PRP	à
sa	DET:pos	son
femme	NOM	femme
il	PRO:cls	il
va	VER:pres	aller
les	PRO:clo	le
offrir	VER:infi	offrir
à	PRP	à
sa	DET:pos	son
femme	NOM	femme
.	NAM	<unknown>
hum	FNO	hum
alors	ADV	alors
là	ADV	là
attends	VER:impe	attendre
et	KON	et
bien	ADV	bien
vous	PRO:cls	vous
ne	ADV	ne
devinerez	VER:futu	deviner
jamais	ADV	jamais
c'	PRO:cls	ce
était	VER:impf	être
pour	PRP	pour
les	PRO:clo	le
offrir	VER:infi	offrir
à	PRP	à
sa	DET:pos	son
femme	NOM	femme
comme	KON	comme
bijou	NOM	bijou
et	KON	et
pour	PRP	pour
décorer	VER:infi	décorer
leur	DET:pos	leur
maison	NOM	maison
ben	INT	ben
dis-donc	NOM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
raison	NOM	raison
en	PRP	en
plus	ADV	plus
et	KON	et
/il	MLT	<unknown>
décore	VER:pres	décorer
ils	PRO:cls	il
décorent/	MLT	<unknown>
toute	DET:pre	tout
la	DET:def	le
maison	NOM	maison
avec	PRP	avec
les	DET:def	le
dents	NOM	dent
de	PRP	de
lait	NOM	lait
des	DET:ind	un
petits	ADJ	petit
lapins	NOM	lapin
ben	INT	ben
elle	PRO:cls	elle
veut	VER:pres	vouloir
plus	ADV	plus
lui	PRO:clo	lui
en	PRO:clo	en
donner	VER:infi	donner
maintenant	ADV	maintenant
elle	PRO:cls	elle
veut	VER:pres	vouloir
plus	ADV	plus
lui	PRO:ton	lui
en	PRP	en
donner	VER:infi	donner
.	NAM	<unknown>
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
Didi	NAM	<unknown>
qui	PRO:rel	qui
s'	PRO:clo	se
était	AUX:impf	être
réveillé	VER:pper	réveiller
et	KON	et
avait	AUX:impf	avoir
suivi	VER:pper	suivre
le	DET:def	le
rat	NOM	rat
vint	VER:simp	venir
simplement	ADV	simplement
reprendre	VER:infi	reprendre
son	DET:pos	son
petit	ADJ	petit
sac	NOM	sac
jaune	ADJ	jaune
et	KON	et
laissant	VER:ppre	laisser
les	DET:def	le
deux	NUM	@card@
rats	NOM	rat
ronfler	VER:infi	ronfler
comme	KON	comme
des	DET:ind	un
cochons	NOM	cochon
dans	PRP	dans
/leur	NOM	<unknown>
lit	VER:pres	lire
leurs	DET:pos	leur
lits/	NOM	<unknown>
aux	PRP:det	au
draps	NOM	drap
sales	ADJ	sale
elle	PRO:cls	elle
retourna	VER:simp	retourner
chez	PRP	chez
elle	PRO:ton	elle
sans	PRP	sans
faire	VER:infi	faire
d'	PRP	un
histoire	NOM	histoire
et	KON	et
ça	PRO:cls	ça
enregistre	VER:pres	enregistrer
ta	DET:pos	ton
voix	NOM	voix
.	NAM	<unknown>
oui	FNO	oui
ta	DET:pos	ton
voix	NOM	voix
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
la	DET:def	le
tienne	PRO:pos	tien
aussi	ADV	aussi
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
après	ADV	après
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
se	PRO:clo	se
passe	VER:pres	passer
là	ADV	là
.	ADJ	<unknown>
ben	INT	ben
là	ADV	là
elle	PRO:cls	elle
met	VER:pres	mettre
à	PRP	à
chacun	PRO:ind	chacun
un	DET:ind	un
petit	ADJ	petit
cadeau	NOM	cadeau
oui	FNO	oui
et	KON	et
et	KON	et
après	ADV	après
elle	PRO:cls	elle
s'	PRO:clo	se
en	PRO:clo	en
va	VER:pres	aller
elle	PRO:cls	elle
s'	PRO:clo	se
en	PRO:clo	en
va	VER:pres	aller
pour	PRP	pour
pas	ADV	pas
que	KON	que
qu'	KON	que
on	PRO:cls	on
les	PRO:clo	le
voit	VER:pres	voir
hum	FNO	hum
ok	FNO	ok
d'	PRP	un
accord	NOM	accord
avant	PRP	avant
le	PRO:clo	le
lever	VER:infi	lever
du	PRP:det	du
jour	NOM	jour
elle	PRO:cls	elle
fit	VER:simp	faire
sa	DET:pos	son
tournée	NOM	tournée
de	PRP	de
cadeaux	NOM	cadeau
comme	KON	comme
si	KON	si
de	PRP	de
rien	PRO:ind	rien
n'	ADV	ne
était	VER:impf	être
chaque	DET:ind	chaque
lapin	NOM	lapin
eut	AUX:simp	avoir
son	DET:pos	son
petit	ADJ	petit
cadeau	NOM	cadeau
eut	AUX:simp	avoir
son	DET:pos	son
petit	ADJ	petit
cadeau	NOM	cadeau
car	NOM	car
heureusement	ADV	heureusement
aucune	DET:ind	aucun
dent	NOM	dent
ne	ADV	ne
manquait	VER:impf	manquer
ah	INT	ah
ouais	FNO	ouais
alors	ADV	alors
là	ADV	là
.	VER:simp	<unknown>
alors	ADV	alors
le	DET:def	le
gros	ADJ	gros
rat	NOM	rat
i-	TRC	i-
il	PRO:cls	il
essaie	VER:pres	essayer
de	PRP	de
d'	PRP	un
aller	VER:infi	aller
chercher	VER:infi	chercher
quelque	ADV	<unknown>
.	VER:simp	<unknown>
il	PRO:cls	il
est	VER:pres	être
prêt	ADJ	prêt
à	PRP	à
lui	PRO:clo	lui
voler	VER:infi	voler
quelque	ADJ	<unknown>
chose	NOM	chose
mais	KON	mais
en	PRO:clo	en
fait	VER:pres	faire
il	PRO:clsi	il
arrive	VER:pres	arriver
pas	ADV	pas
tu	PRO:cls	tu
as	VER:pres	avoir
qu'	KON	que
à	PRP	à
lire	VER:infi	lire
de	PRP	de
retour	NOM	retour
chez	PRP	chez
elle	PRO:ton	elle
qui	PRO:rel	qui
-elle	NAM	<unknown>
vit	VER:pres	vivre
près	ADV	près
de	PRP	de
sa	DET:pos	son
maison	NOM	maison
.	NAM	<unknown>
le	DET:def	le
vilain	ADJ	vilain
rat	NOM	rat
pret	NOM	<unknown>
à	PRP	à
lui	PRO:clo	lui
voler	VER:infi	voler
à	PRP	à
nouveau	ADJ	nouveau
quelque	ADJ	<unknown>
chose	NOM	chose
et	KON	et
Monsieur	NOM	monsieur
le	DET:def	le
Rat	NOM	rat
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
fais	VER:pres	faire
là	ADV	là
-elle	ADJ	<unknown>
demanda-t	NOM	<unknown>
.	NAM	<unknown>
le	DET:def	le
rat	NOM	rat
un	DET:ind	un
peu	NOM	peu
gêné	VER:pper	gêner
lui	PRO:ton	lui
raconta	VER:simp	raconter
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
savait	VER:impf	savoir
déja	ADV	déjà
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ma	DET:pos	mon
femme	NOM	femme
-il	PRO:clsi	il
dit	VER:pres	dire
elle	PRO:cls	elle
raffole	VER:pres	raffoler
de	PRP	de
bijoux	NOM	bijou
je	PRO:cls	je
n'	ADV	ne
y	PRO:clo	y
peux	VER:pres	pouvoir
rien	PRO:ind	rien
elle	PRO:cls	elle
m'	PRO:clo	me
oblige	VER:pres	obliger
à	PRP	à
voler	VER:infi	voler
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
ressemble	VER:pres	ressembler
à	PRP	à
des	DET:ind	un
bijoux	NOM	bijou
sinon	ADV	sinon
je	PRO:cls	je
suis	AUX:pres	être
puni	VER:pper	punir
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
très	ADV	très
gentil	ADJ	gentil
ça	PRO:ton	ça
hein	INT	hein
.	NAM	<unknown>
et	KON	et
après	ADV	après
.	VER:simp	<unknown>
et	KON	et
après	ADV	après
vous	PRO:cls	vous
imaginez	VER:pres	imaginer
dans	PRP	dans
quel	DET:int	quel
embarras	NOM	embarras
je	PRO:cls	je
me	PRO:clo	me
trouve	VER:pres	trouver
je	PRO:cls	je
préfèrerais	VER:cond	<unknown>
voler	VER:infi	voler
quelque	ADJ	<unknown>
chose	NOM	chose
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
du	PRP:det	du
fromage	NOM	fromage
par	PRP	par
exemple	NOM	exemple
mais	KON	mais
voilà	FNO	voilà
ce	PRO:dem	ce
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
veut	VER:pres	vouloir
des	DET:ind	un
bijoux	NOM	bijou
des	PRP:det	du
dents	NOM	dent
des	PRP:det	du
perles	NOM	perle
enfin	ADV	enfin
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
brille	VER:pres	briller
eh	INT	eh
bien	ADV	bien
je	PRO:cls	je
te	PRO:clo	te
propose	VER:pres	proposer
quelque	ADV	<unknown>
chose	NOM	chose
lui	PRO:clo	lui
dit	VER:pres	dire
la	DET:def	le
petite	ADJ	petit
souris	NOM	souris
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
va	VER:pres	aller
lui	PRO:clo	lui
proposer	VER:infi	proposer
.	VER:infi	<unknown>
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
tu	PRO:cls	tu
veux	VER:pres	vouloir
pas	ADV	pas
me	PRO:clo	me
raconter	VER:infi	raconter
un	DET:ind	un
petit	ADJ	petit
si	KON	si
peu	NOM	peu
.	NAM	<unknown>
elle	PRO:cls	elle
va	VER:pres	aller
elle	PRO:cls	elle
va	VER:pres	aller
lui	PRO:clo	lui
proposer	VER:infi	proposer
d'	PRP	un
aller	VER:infi	aller
au	PRP:det	au
marché	NOM	marché
au	PRP:det	au
marché	NOM	marché
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
ils	PRO:cls	il
firent	VER:simp	faire
un	DET:ind	un
marché	NOM	marché
Didi	NAM	<unknown>
lui	PRO:clo	lui
fournirait	VER:cond	fournir
autant	ADV	autant
qu'	KON	que
il	PRO:clsi	il
voudrait	VER:cond	vouloir
de	PRP	de
dents	NOM	dent
de	PRP	de
lapin	NOM	lapin
après	ADV	après
tout	ADV	tout
elle	PRO:cls	elle
n'	ADV	ne
en	PRO:clo	en
faisait	VER:impf	faire
rien	PRO:ind	rien
contre	PRP	contre
des	DET:ind	un
cadeaux	NOM	cadeau
bien	ADV	bien
plus	ADV	plus
gros	ADJ	gros
que	KON	que
ceux	PRO:dem	celui
qu'	PRO:rel	que
elle	PRO:cls	elle
était	VER:impf	être
capable	ADJ	capable
de	PRP	de
fabriquer	VER:infi	fabriquer
elle-même	PRO:ton	elle-même
marché	NOM	marché
conclu	VER:pper	conclure
dit	VER:pper	dire
le	DET:def	le
rat	NOM	rat
et	KON	et
ils	PRO:cls	il
séparèrent	VER:simp	séparer
assez	ADV	assez
bons	ADJ	bon
amis	NOM	ami
ils	PRO:cls	il
se	PRO:clo	se
séparèrent	VER:simp	séparer
a-	TRC	a-
assez	ADV	assez
bons	ADJ	bon
amis	NOM	ami
alors	ADV	alors
donc	ADV	donc
là	ADV	là
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
va	VER:pres	aller
se	PRO:clo	se
passer	VER:infi	passer
après	ADV	après
.	VER:simp	<unknown>
xxx	NOM	<unknown>
eh	INT	eh
ben	INT	ben
eh	INT	eh
ben	INT	ben
il	PRO:cls	il
va	VER:pres	aller
i-	TRC	i-
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
lapin	NOM	lapin
qui	PRO:rel	qui
va	VER:pres	aller
se	PRO:clo	se
lever	VER:infi	lever
oui	FNO	oui
mais	KON	mais
mais	KON	mais
il	PRO:cls	il
v-	TRC	v-
il	PRO:cls	il
va	VER:pres	aller
