adv:place	voilà
v:exist	être
adv:neg	plus
adj	grand
conj	qu'
n:prop	Anaïs
PCT	.
co	ah
pro:subj&FEM	elle
v:exist	être
adv	plus
n	grand
v:exist	c'est
pro&MASC	tout
v:exist	c'est
det&FEM&SING	la
adj	seul
n	différence
PCT	?
PCT	.
prep	en
pro:int	quoi
det&PL	les
n	enfant
pro:subj&MASC	ils
v:mdl	pouvoir
v:exist&INF	être
adj	différent
PCT	?
PCT	.
prep	par
det:poss	leurs
n	taille
pro:subj	tu
pro:refl	me
v:aux	avoir
v-PP	dire
conj	et+puis
prep	par
pro:int	quoi
PCT	?
PCT	.
prep	par
co	euh
det:poss	leurs
n	âge
PCT	.
adv:yn	oui
co	hein
PCT	?
prep	par
pro:int	quoi
adv	encore
PCT	?
pro:subj	tu
v:mdl	savoir
adv:neg	pas
PCT	?
adv:yn	non
PCT	.
conj	alors
adv	maintenant
pro:subj	je
adv	si
prep	par
n	exemple
pro:subj	tu
pro:refl	te
v-IMPF	appeler
adv:neg	pas
n:prop	Anaïs
PCT	.
co	hein
PCT	?
conj	si
pro:subj	tu
pro:refl	te
v-IMPF	appeler
n:prop	Caroline
?	est–ce
conj	que
pro:subj	tu
v:exist&COND	être
det&FEM&SING	la
adj	même
adj	petit
n	fille
PCT	?
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
PCT	?
v:exist	c'est
adj	vrai
PCT	?
pro:dem	ça
v-COND	changer
adv:neg	pas
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
pro:subj	tu
v:exist	être
adj	sûr
PCT	?
conj	et
pro&SING	toi
pro:rel	qu'
?	est–ce
conj	que
pro:subj	tu
pro:y	en
v	penser
PCT	?
PCT	.
conj	si
pro&SING	toi
pro:subj	tu
pro:refl	te
v-IMPF	appeler
adv:neg	pas
n:prop	Cassiopé
?	est–ce
conj	que
pro:subj	tu
v:exist&COND	être
n	pareille
PCT	?
PCT	.
adv:yn	non
PCT	.
adv:yn	non
PCT	?
pro:rel	qu'
?	est–ce
pro:rel	qui
v-COND	changer
PCT	?
PCT	.
co	euh
det&MASC&SING	le
n	nom
PCT	.
adv:yn	ouais
prep	à
n	part
det&MASC&SING	le
n	nom
PCT	?
pro:subj	tu
v:mdl	savoir
adv:neg	pas
PCT	?
PCT	.
adv:yn	non
PCT	.
pro&SING	moi
pro:subj	je
pro:refl	me
v	appeler
n:prop	Christine
conj	et
conj	si
pro:subj	je
pro:refl	me
v-IMPF	appeler
co	euh
n:prop	Catherine
PCT	.
?	est–ce
conj	que
pro:subj	je
v:exist&COND	être
adv	toujours
pro&SING	moi
PCT	?
PCT	.
pro:subj	je
v:mdl	savoir
adv:neg	pas
PCT	.
pro:subj	tu
v:mdl	savoir
adv:neg	pas
PCT	?
conj	et
pro&SING	toi
pro:subj	tu
v:mdl	savoir
adv:neg	pas
adv:yn	non
adv:neg	plus
PCT	?
adv:yn	non
prep	à
pro:int	qui
pro:subj	on
v	donner
det&PL	des
n	nom
PCT	?
PCT	.
pro:int	qui
v:exist	c'est
pro:int	qui
pro:subj	vous
v:aux	avoir
v-PP	donner
det:poss	votre
n	nom
PCT	?
PCT	.
det:poss	notre
n	papa
conj	et
det:poss	notre
n	maman
PCT	.
adv:yn	ouais
adv:int	quand
PCT	?
PCT	.
conj	quand
pro:subj	on
v:exist	être
adj	né
PCT	.
det&FEM&SING	la
n	naissance
PCT	.
adv:yn	ouais
conj	quand
pro:subj	on
v:exist&IMPF	être
adj	né
conj	quand
pro:subj	vous
v:exist	être
adj	né
PCT	.
conj	alors
pro:subj	on
v	donner
det&PL	des
n	nom
det	aux
n	bébé
adv	d'accord
PCT	?
co	hum
PCT	.
adv:yn	oui
PCT	?
pro:subj	vous
v:poss	avoir
det&PL	des
n	frère
conj	et
n	soeur
PCT	?
adv:yn	oui
pro:subj	je
v:aux	avoir
conj	qu'
det&MASC&SING	un
n	frère
conj	et
conj	et
adj:num	cinq
n	soeur
PCT	.
pro:subj	tu
v:poss	avoir
adj:num	cinq
n	soeur
PCT	?
adv:yn	oui
PCT	.
on	ouh
pro:obj&FEM&SING	la
det&FEM&SING	la
conj	et
pro&SING	toi
PCT	?
pro:subj	je
v:poss	avoir
det&MASC&SING	un
n	frère
conj	et
det&FEM&SING	une
adj	petit
n	soeur
PCT	.
adv	d'accord
adv	donc
pro:subj	tu
?	t–
pro:subj&FEM	elle
v:exist	être
adj	petit
n	petit
adv:int	comment
PCT	?
PCT	.
co	euh
pro:subj&FEM	elle
v:poss	avoir
adj:num	six
n	an
PCT	.
adj:num	six
n	an
pro:subj	tu
pro:refl	te
v	rappeler
conj	quand
pro:subj&FEM	elle
v:exist	être
adj	né
PCT	?
adv:yn	non
pro:subj	tu
v:aux&IMPF	être
adv	trop
adj	petit
pro&SING	toi
PCT	?
pro&SING	moi
pro:subj	je
pro:refl	me
v	rappeler
v:exist&IMPF	c'est
det&MASC&SING	le
conj	quand
co	euh
det:poss&SING	ma
n	soeur
pro:subj&FEM	elle
v:exist	être
adj	né
PCT	.
det:gen	quelle
n	âge
pro:subj&FEM	elle
v:aux	avoir
adv	maintenant
PCT	?
pro:subj&FEM	elle
v:poss	avoir
adj:num	trois
n	an
conj	et
n	demi
PCT	.
co	ah
adv:yn	oui
conj	donc
pro:subj	tu
?	***
PCT	.
pro&MASC	un
adv	bientôt
conj	et
n	demi
conj	et
pro:subj&FEM	elle
v:exist	être
adj	né
PCT	.
pro:subj&FEM	elle
v:aux	être
v&PP	naître
det&MASC&SING	le
?	vingt–trois
n	décembre
PCT	.
adv:yn	oui
conj	donc
?	***
pro:subj	tu
v:mdl	pouvoir
pro:refl	te
pro:y	en
v-INF	rappeler
adv	effectivement
PCT	.
pro:subj	tu
v:aux&IMPF	être
adv	assez
adj	grand
adv	déjà
co	hein
PCT	?
pro:subj	je
v:poss&IMPF	avoir
adj:num	cinq
n	an
conj	quand
pro:subj&FEM	elle
v:exist	être
adj	né
PCT	.
adv:yn	ouais
conj	donc
pro:subj	tu
pro:refl	te
pro:y	en
v	rappeler
PCT	?
conj	alors
PCT	.
co	hum
PCT	.
conj	quand
?	est–ce
conj	qu'
pro:subj&MASC	ils
pro&SING	lui
v:aux	avoir
v-PP	donner
pro:subj	tu
pro:refl	te
pro:y	en
v	rappeler
conj	quand
det:poss&PL	tes
n	parent
PCT	.
pro:subj&MASC	ils
pro&SING	lui
v:aux	avoir
v-PP	donner
det:poss&MASC&SING	son
n	nom
PCT	?
PCT	.
co	ben
conj	quand
co	ben
v:exist	c'est
det:poss&SING	ma
n-FEM	me
pro:rel	qui
pro&SING	lui
v:aux	avoir
v-PP	donner
PCT	.
conj	et
conj	quand
det:poss&MASC&SING	mon
n	père
conj	et
conj	et
pro:subj	nous
pro:subj	on
v:aux	être
v-PP	arriver
PCT	.
det:poss&SING	ma
n-FEM	me
pro:subj&FEM	elle
v:aux	avoir
v-PASS	dire^v|dire
pro:subj&FEM	elle
pro:refl	se
v	appeler
n:prop	Stella
PCT	.
adv:place	voilà
adv	d'accord
v:exist	c'est
prep	comme
pro:dem	ça
conj	qu'
pro:subj	on
v	donner
det&PL	des
n	nom
co	hein
PCT	?
?	est–ce
conj	qu'
pro:subj	on
v	donner
det&PL	des
n	nom
conj	qu'
det	aux
n	bébé
PCT	?
PCT	.
adv:yn	non
PCT	.
adv:yn	non
pro:subj	on
v	donner
PCT	.
prep	à
pro:int	qui
PCT	?
PCT	.
det	aux
n&SING-PL	animal^n|animal
adv	aussi
PCT	.
adv:yn	oui
co	ah
adv:yn	oui
adv:yn	oui
det:gen	quel
n&SING-PL	animal^n|animal
PCT	?
det:gen&MASC	tous
det&PL	les
n&SING-PL	animal^n|animal
PCT	?
PCT	.
adv:yn	non
adv:neg	pas
pro&MASC	tous
PCT	.
prep	à
pro:int	qui
pro:subj	on
v	donner
det	aux
n	petit
det&PL	des
adj	petit
n	nom
PCT	?
PCT	.
det	aux
n-MASC	chien
det	aux
n	chat
det	aux
prep	à
PCT	.
co	hein
PCT	?
prep	à
det:gen&MASC	tous
det&PL	les
n	chat
conj	et
det:gen&MASC	tous
det&PL	les
n-MASC	chien
PCT	?
PCT	.
det	aux
n	lapin
PCT	.
det	aux
n	lapin
adv:yn	oui
PCT	.
det	aux
det	aux
n-PL	cheval
adv	parfois
PCT	.
conj	quand
conj	alors
PCT	?
prep	à
PCT	.
co	ben
PCT	.
det:gen&MASC	tous
det&PL	les
n-PL	cheval
PCT	?
adv:yn	non
pro:y	il+y+en
conj	que
pro:dem	ça
conj	qu'
pro:subj	on
adv:neg	ne
v	appeler
adv:neg	pas
PCT	.
conj	ou
conj	qu'
pro:subj	on
pro:obj&PL	les
v	appeler
adv:neg	pas
prep	par
det:poss	leurs
n	prénom
PCT	.
adv:yn	ouais
v:exist	c'est
pro:int&PL	lesquels
?	ceux–là
PCT	?
pro:subj	on
?	***
det&MASC&SING	le
n	prénom
v:exist	c'est
?	c–
pro:dem&PL	celui
conj	qu'
pro:subj	on
PCT	.
pro:dem&PL	celui
pro:rel	qui
v:mdl	vouloir
pro:rel	qui
v:mdl	vouloir
adv:neg	pas
conj	que
det:poss	leurs
n-PL	cheval
PCT	.
pro:subj&MASC	ils
?	v–
pro:subj&MASC	ils
pro:subj&MASC	ils
?	v–
pro:dem	ça
pro:subj&MASC	ils
v:aux	être
v-PP	appeler
PCT	.
adv:yn	ouais
adv	sûrement
pro:subj	tu
v:poss	avoir
det&PL	des
n&SING-PL	animal^n|animal
prep	chez
pro&SING	toi
PCT	?
adv:yn	oui
det&MASC&SING	un
n	chat
PCT	.
pro:subj	tu
v:poss	avoir
det&MASC&SING	un
n	chat
PCT	?
pro&SING	moi
pro:subj	je
v:poss	avoir
det&MASC&SING	un
n	chat
conj	et
det&MASC&SING	un
n-MASC	chien
conj	et
pro:subj	on
v:aux	avoir
PCT	.
?	***
PCT	.
adj:num	trois
n	oisillon
?	***
conj	que
det:poss&SING	ma
n-FEM	me
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
adv:yn	oui
PCT	.
conj	pour+que
pro:subj	on
det&PL	les
n	garde
pro:subj&MASC	ils
v:exist	être
det:gen&MASC	tous
adj	petit
PCT	.
det&PL	les
n	oisillon
PCT	?
adv:yn	oui
pro:subj&MASC	ils
v:exist	être
det:gen&MASC	tous
adj	petit
prep	comme
pro:dem	ça
PCT	.
conj	et
?	est–ce
conj	que
pro:subj	vous
pro	leur
v:aux&IMPF	avoir
v-PP	donner
det&PL	des
n	nom
PCT	?
PCT	.
adv	ben
adv:neg	pas
adv	encore
pro:subj	on
v:mdl	savoir
adv:neg	pas
PCT	.
pro:subj	vous
v:mdl	savoir
adv:neg	pas
pro:int	quoi
PCT	?
pro:subj	on
v:mdl	savoir
adv:neg	pas
det:poss	leurs
n	nom
adv	encore
PCT	.
?	***
PCT	.
v:exist	c'est
det:poss&MASC&SING	mon
n	frère
pro:rel	qui
pro:obj&PL	les
v:aux	avoir
v-PP	trouver
prep	avec
det:poss&MASC&SING	son
n	copain
n:prop	Nathan
PCT	.
adv	d'accord
conj	et
pro&SING	toi
det:poss&MASC&SING	ton
n	chat
pro:subj&MASC	il
pro:refl	se
v	appeler
adv:int	comment
PCT	?
n:prop	Pépette
PCT	.
n:prop	Pépette
PCT	?
pro&SING	moi
det:poss&MASC&SING	mon
n	chat
pro:subj&FEM	elle
v:poss	avoir
adj:num	quatre
n	chaton
PCT	.
adv	d'accord
PCT	.
conj	et
pro:subj&FEM	elle
pro:refl	se
v	appeler
n:prop	Châtaigne
PCT	.
adv	d'accord
adv	donc
pro:subj	on
v	donner
det&PL	des
n	nom
pro:subj	vous
v	voir
pro:subj	on
v:aux	avoir
v-PP	trouver
conj	qu'
pro:subj	on
v-IMPF	donner
det&PL	des
n	nom
det	aux
n	bébé
PCT	.
co	hum
PCT	.
conj	et
pro:subj	on
v	donner
conj	aussi
det&PL	des
n	nom
PCT	.
conj	et
det:poss&MASC&SING	mon
n-MASC	chien
pro:subj&MASC	il
pro:refl	se
v	appeler
n:prop	Taulard
PCT	.
n:prop	Taulard
conj	et
pro:subj	on
v	donner
conj	aussi
det&PL	des
n	nom
det	aux
adj-MASC	animal
PCT	.
adv	mais
adj	juste
det&PL	les
adj-MASC	animal
prep	avec
pro:int	qui
pro:subj	on
v&PASS	vivre^v|voir
pro:subj	on
v	donner
adv:neg	pas
det&PL	des
n	nom
co	euh
PCT	.
conj	mais
v:exist	c'est
det&PL	des
n	fo^n|fois
PCT	.
co	ben
adv:yn	ouais
pro:subj	on
v	donner
adv:neg	pas
det&MASC&SING	un
adj	petit
n	nom
det	aux
n	éléphant
co	hein
PCT	?
pro:subj	tu
v:poss	avoir
n	raison
PCT	.
conj	parce+que
pro:subj	on
pro:obj&PL	les
v	connaître
adv:neg	pas
PCT	.
pro&SING	moi
n:prop	Céline
pro:subj&FEM	elle
v:aux	avoir
pro:subj&FEM	elle
v:aux	avoir
v-PP	acheter
det&PL	des
n-PL	cheval
pro:subj&FEM	elle
v:poss	avoir
adv	plein
prep:art	de
n	écurie
v-PP	remplir
prep:art	de
n-PL	cheval
PCT	.
conj	et
adj	juste
prep:art	à+côté+de
det&MASC&SING	un
adj	autre
n	écurie
v:exist	il+y+a
adv	encore
adj:num	deux
n-PL	cheval
PCT	.
conj	donc
adv:place	là
det&PL	les
det&PL	les
?	chevaux–là
pro:subj&MASC	ils
v:poss	avoir
det&PL	des
n	nom
PCT	?
co	hum
conj	et
pro:subj&FEM	elle
det&PL	les
?	av–
conj	et
pro:subj&FEM	elle
pro:y	en
v:aux&IMPF	avoir
v-PP	appeler
det&MASC&SING	un
n:prop	Jupiter
PCT	.
adv:yn	oui
conj	parce
conj	que
conj	si
pro:subj&MASC	ils
v:exist	être
prep	dans
det&FEM&SING	la
n	nature
det&PL	les
n-PL	cheval
pro:subj	on
pro	leur
v	donner
adv:neg	pas
prep:art	de
adj	petit
n	nom
PCT	.
co	hein
PCT	?
pro:subj	vous
v:exist	être
adv	d'accord
PCT	?
co	hum
PCT	.
co	hein
PCT	?
conj	alors
n:prop	Elfie
pro:subj&FEM	elle
adj	dit
adv	que
pro:subj&FEM	elle
v:poss	avoir
det&MASC&SING	un
n	secret
PCT	.
pro:rel	qu'
pro:subj&FEM	elle
v	oser
adv:neg	pas
?	deman–
v-INF	poser
det&PL	des
n	question
conj	parce+que
pro:subj&FEM	elle
v:poss	avoir
n	peur
PCT	.
?	***
PCT	.
?	***
PCT	.
prep	de
v-INF	demander
adv:yn	ouais
conj	et
conj	puisque
pro:subj&FEM	elle
v:aux	avoir
conj	parce+que
pro:subj&FEM	elle
pro:refl	se
v-PASS	dire^v|dire
conj	que
conj	si
pro:subj&FEM	elle
v	demander
PCT	.
det&PL	les
pro	autres
pro:subj&MASC	ils
v:mdl	aller
v&INF	croire
conj	qu'
pro:subj&FEM	elle
adv:neg	ne
v:mdl	savoir
adv	rien
PCT	.
pro:subj	vous
pro:subj	vous
v	oser
v-INF	poser
det&PL	des
n	question
PCT	?
adv:yn	oui
pro&SING	moi
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
adv:yn	ouais
PCT	.
adv:yn	ouais
PCT	?
pro:subj	je
v	demander
prep	à
det:poss&PL	mes
n	frère
conj	et
prep:art	à
?	m–
prep	à
det:poss&MASC&SING	mon
?	***
PCT	.
conj	et
prep	à
det:poss&PL	mes
prep	à
det:poss&PL	mes
n	soeur
PCT	.
adv:yn	oui
conj	et
pro&SING	toi
pro:subj	tu
v	oser
v-INF	poser
det&PL	des
n	question
PCT	?
adv:yn	ouais
PCT	.
pro:int	où
pro:dem	ça
prep	à
pro:int	qui
PCT	?
prep	à
det:poss&MASC&SING	mon
n	frère
conj	et
det:poss&SING	ma
?	p–
n	soeur
PCT	.
adv:yn	ouais
conj	et
pro:y	en
v	classer
adv	aussi
PCT	?
conj	ou
pro:subj	tu
v	oser
adv:neg	pas
adv	trop
prep:art	en
n	classe
PCT	?
PCT	.
pro&SING	moi
pro:subj	je
v	oser
prep:art	en
n	classe
pro:subj	je
v	demander
prep	à
n:prop	Mathieu
conj	quand
pro:subj	on
v:exist	être
?	***
PCT	.
adv:yn	ouais
conj	et
pro&SING	toi
pro:subj	tu
v	oser
prep:art	en
n	classe
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
pro:subj	tu
v	oser
adv:neg	pas
adv	trop
PCT	?
pro:subj	tu
v:exist	être
adv	un+peu
prep	comme
n:prop	Elfie
PCT	?
co	hein
PCT	?
pro:subj&FEM	elle
v:exist	être
adv	un+peu
adj	timide
n:prop	Elfie
PCT	?
adv:yn	oui
PCT	?
conj	et
pro&SING	toi
adv	aussi
PCT	?
adv:yn	oui
PCT	?
conj	alors
PCT	.
conj	comme
pro:subj&FEM	elle
v	oser
adv:neg	pas
adv	trop
v-INF	poser
prep:art	de
n	question
conj	et
conj	qu'
pro:subj&FEM	elle
v:exist	être
adv	assez
adj	timide
PCT	.
v:exist	il+y+a
det&MASC&SING	un
n	garçon
prep	dans
det:poss&FEM&SING	sa
n	classe
pro:rel	qui
pro:refl	se
v	appeler
n:prop	Simon
pro:rel	qui
v:aux	avoir
v-PP	dire
PCT	.
n:prop	Elfie
adv:neg	ne
v	parler
adv	presque
adv	jamais
?	peut–être
conj	qu'
pro:subj&FEM	elle
adv:neg	ne
v	exister
adv:neg	pas
prep	pour
prep:art	de
n	vrai
PCT	.
pro:rel	qu'
?	est–ce
conj	que
pro:subj	vous
v	penser
prep	de
pro:dem	ça
PCT	?
v:exist	c'est
adv	possible
pro:dem	ça
PCT	?
PCT	.
co	ben
adv:yn	oui
adv:yn	non
PCT	.
adv:yn	ouais
?	explique–moi
PCT	.
v:exist	c'est
adv:neg	pas
conj	parce+que
pro:subj&FEM	elle
v	parler
adv:neg	pas
adv	beaucoup
pro:rel	que
pro:subj&FEM	elle
v	exister
adv:neg	pas
PCT	.
co	hum
PCT	.
pro:y	il+y+en
v:poss	avoir
pro:rel	qui
v	exister
conj	mais
adv	mais
adv	mais
adv	même
adv	si
pro:subj&MASC	ils
v	parler
adv:neg	pas
adv	beaucoup
PCT	.
adv	d'accord
pro:subj	tu
v:exist	être
adv	d'accord
prep	avec
pro:dem	ça
PCT	?
?	***
PCT	.
adv:yn	oui
PCT	?
prep	comme
n:prop	Stella
conj	quand
pro:subj&FEM	elle
v:exist&IMPF	être
n	petit
conj	et
conj	qu'
pro:subj&FEM	elle
v:mdllex&IMPF	aller
prep	à
det&FEM&SING	la
n	maternelle
prep	de
n:prop	Rombas
PCT	.
adv	maintenant
pro:subj&FEM	elle
v:exist	être
prep	à
n:prop	Clouange
pro:subj	je
v:aux	avoir
adv:neg	pas
v&PP-MASC	voir
pro:subj&FEM	elle
prep:art	de
pro:subj&FEM	elle
v-IMPF	parler
adv:neg	pas
adv	trop
PCT	.
adv:yn	ouais
PCT	.
v&PP-MASC	voir
conj	qu'
pro:subj&FEM	elle
v:poss&IMPF	avoir
n	peur
PCT	.
adv	d'accord
conj	mais
pro:subj&FEM	elle
v-IMPF	exister
adv	quand+même
PCT	?
co	hum
PCT	.
conj	alors
?	est–ce
conj	qu'
v:exist	il+y+a
pro:int	qui
?	est–ce
pro:rel	qui
v	exister
prep:art	en
v:mdllex	faire
prep	sur
det&FEM&SING	la
n:prop	Terre
PCT	?
PCT	.
det&PL	les
n	gens
PCT	.
det&PL	les
n	gens
PCT	.
det&PL	les
n&SING-PL	animal^n|animal
PCT	.
det&PL	les
n&SING-PL	animal^n|animal
PCT	.
adv:yn	ouais
det&PL	les
n&SING-PL	animal^n|animal
?	est–ce
conj	que
prep	pour
pro:subj	vous
v-INF	exister
pro:dem	ça
v:mdl	vouloir
v-INF	dire
v-INF	vivre
PCT	?
PCT	.
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
conj	alors+que
?	est–ce
pro:rel	qui
v&PASS	vivre^v|voir
adv	encore
prep	sur
det&FEM&SING	la
n:prop	Terre
PCT	?
pro:subj	on
v:aux	avoir
v-PP	dire
det&PL	les
n	gens
det&PL	les
adj-MASC	animal
PCT	.
det&PL	les
n	payeur^n|pays
PCT	.
det&PL	les
n	payeur^n|pays
pro:dem	ça
v&PASS	vivre^v|voir
det&PL	les
n	payeur^n|pays
PCT	?
PCT	.
co	hum
adv:yn	non
PCT	.
co	ah
PCT	.
det&PL	les
n	arbre
PCT	.
det&PL	les
n	arbre
adv:yn	ouais
det&PL	les
n	arbre
PCT	.
v:exist	il+y+a
conj	aussi
det&PL	les
n	fleur
conj	quand
pro:subj	on
pro:obj&PL	les
v	arroser
pro:subj&FEM	elles
v	grandir
PCT	.
adv:yn	oui
conj	donc
co	euh
conj	donc
conj	quand
pro:subj	on
v-PASS	grandir
pro:subj	on
v&PASS	vivre^v|voir
PCT	?
PCT	.
co	hum
PCT	.
adv:yn	ouais
PCT	?
pro:subj	on
v:mdl	pouvoir
v-INF	dire
pro:dem	ça
prep	comme
pro:dem	ça
PCT	?
adv:yn	ouais
PCT	.
conj	quand
pro:subj	on
v-PASS	grandir
pro:subj	on
v&PASS	vivre^v|voir
adv	d'accord
PCT	.
adv	même
prep	dans
det&MASC&SING	le
n	ventre
prep	de
det:poss	notre
n	maman
adv:yn	oui
?	,
pro:subj	on
v&PASS	vivre^v|voir
PCT	.
adv:yn	oui
conj	alors
conj	et
pro:dem	ça
pro:dem	ça
v&PASS	vivre^v|voir
pro:dem	ça
PCT	?
det:poss&MASC&SING	mon
?	***
PCT	.
co	euh
adv:yn	non
PCT	.
adv:yn	non
conj	parce+que
pro:subj&MASC	il
v-PASS	grandir
adv:neg	pas
co	hein
PCT	?
conj	alors
PCT	.
co	hum
PCT	.
co	euh
det&PL	les
n	voiture
pro:dem	ça
v&PASS	vivre^v|voir
PCT	?
PCT	.
adv:yn	non
PCT	.
adv:yn	non
PCT	.
adv:yn	non
v&PP-MASC	voir
conj	que
pro:dem	ça
v-PASS	grandir
adv:neg	pas
PCT	.
adv	d'accord
PCT	.
v:exist	c'est
prep	comme
adv	si
pro:subj	on
v:mdllex	faire
prep	comme
det&PL	des
?	limousines
conj	parce
conj	que
PCT	.
?	***
co	euh
adv:int	pourquoi
det&PL	les
?	limousines
PCT	?
co	hein
PCT	?
v:exist	il+y+a
conj	que
det&PL	les
?	limousines
conj	quand
pro:subj	on
pro:obj&PL	les
v:mdllex	faire
pro:subj&FEM	elles
pro:subj&FEM	elles
?	,
conj	et
adv:place	là
co	euh
PCT	.
v:exist	c'est
det&PL	les
adv	plus
det&PL	les
?	limousines
v:exist	c'est
det&PL	les
adv	plus
adj	grand
n	voiture
PCT	.
adv:yn	ouais
conj	mais
?	est–ce
conj	qu'
pro:subj&FEM	elles
v	vivre
det&PL	les
?	limousines
PCT	?
adv:yn	non
PCT	.
adv:yn	non
adv	d'accord
adv	donc
pro:subj	on
v:exist	être
adv	d'accord
v:exist	il+y+a
pro:obj&PL	les
v:exist	il+y+a
det&PL	les
n	gens
pro:rel	qui
v	vivre
PCT	.
co	hum
PCT	.
v:exist	il+y+a
det&PL	les
adj-MASC	animal
conj	et+puis
v:exist	il+y+a
det&PL	les
n	plant
adv	d'accord
PCT	?
adv:yn	ouais
PCT	.
conj	alors
conj	donc
pro:subj&MASC	ils
v	exister
?	ceux–là
adv	même
adv	si
pro:subj&MASC	ils
v	parler
adv:neg	pas
PCT	.
co	hum
adv:yn	oui
PCT	.
co	bon
pro:subj	nous
pro:subj	on
v	parler
PCT	.
adv:yn	oui
PCT	.
det&PL	les
adj-MASC	animal
pro:subj&MASC	ils
v	parler
conj	ou
adv:neg	pas
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
adv:yn	non
PCT	?
co	eh
co	ben
co	euh
v:exist	c'est
adj	juste
conj	si
pro:subj	on
v:mdl	vouloir
conj	qu'
pro:subj&MASC	ils
v	parler
v:mdl	falloir
?	commprendre
det:poss	leur
n	langage
PCT	.
adv	d'accord
adv	donc
pro:subj&MASC	ils
v:poss	avoir
det&MASC&SING	un
n	langage
adv	quand+même
PCT	?
