dimanche	NOM	dimanche
.	NAM	<unknown>
il	PRO:cls	il
prend	VER:pres	prendre
avec	PRP	avec
sa	DET:pos	son
trompe	NOM	trompe
tu	PRO:cls	tu
sais	VER:pres	savoir
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
est	VER:pres	être
.	ADJ	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
une	DET:ind	un
noisette	NOM	noisette
une	DET:ind	un
noisette	NOM	noisette
exactement	ADV	exactement
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
noisette	NOM	noisette
et	KON	et
alors	ADV	alors
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
voit	VER:pres	voir
là	ADV	là
.	NOM:sig	<unknown>
une	DET:ind	un
cabane	NOM	cabane
eh	INT	eh
ouais	FNO	ouais
une	DET:ind	un
cabane	NOM	cabane
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
dedans	ADV	dedans
.	NOM:sig	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
est	VER:pres	être
à	PRP	à
quatre	NUM	@card@
pattes	NOM	patte
dedans	ADV	dedans
.	VER:simp	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
.	VER:impf	<unknown>
la	DET:def	le
fille	NOM	fille
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
la	DET:def	le
fille	NOM	fille
.	NAM	<unknown>
Flore	NOM	flore
.	NAM	<unknown>
mm	NOM	<unknown>
et	KON	et
là	ADV	là
regarde	VER:impe	regarder
voir	VER:infi	voir
ce	PRO:dem	ce
qui	PRO:rel	qui
grimpe	VER:pres	grimper
un	DET:ind	un
écureuil	NOM	écureuil
un	DET:ind	un
écureuil	NOM	écureuil
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
mais	KON	mais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
Séphir	NOM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
le	DET:def	le
singe	NOM	singe
il	PRO:cls	il
grimpe	VER:pres	grimper
après	ADV	après
l'	DET:def	le
écureuil	NOM	écureuil
pour	PRP	pour
le	PRO:clo	le
trouver	VER:infi	trouver
mm	NOM	<unknown>
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quoi	INT	quoi
d'	PRP	un
autre	ADJ	autre
sur	PRP	sur
l'	DET:def	le
image	NOM	image
dis	VER:pres	dire
moi	PRO:ton	moi
voir	VER:infi	voir
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
un	DET:ind	un
renard	NOM	renard
ah	INT	ah
un	DET:ind	un
renard	NOM	renard
oh	INT	oh
et	KON	et
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
renard	NOM	renard
.	NAM	<unknown>
regarde	VER:impe	regarder
voir	VER:infi	voir
il	PRO:cls	il
attrape	VER:pres	attraper
ah	INT	ah
ouais	FNO	ouais
il	PRO:cls	il
attrape	VER:pres	attraper
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
comment	PRO:int	comment
on	PRO:cls	on
appelle	VER:pres	appeler
ça	PRO:cls	ça
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
un	DET:ind	un
faisan	NOM	faisan
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
faisan	NOM	faisan
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
gros	ADJ	gros
oiseau	NOM	oiseau
mais	KON	mais
oui	FNO	oui
ah	INT	ah
bah	INT	bah
euh	INT	euh
quoi	INT	quoi
un	DET:ind	un
chevreuil	NOM	chevreuil
mais	KON	mais
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
exactement	ADV	exactement
ça	PRO:ton	ça
un	DET:ind	un
chevreuil	NOM	chevreuil
et	KON	et
lui	PRO:ton	lui
ouais	FNO	ouais
et	KON	et
là	ADV	là
alors	ADV	alors
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
le	DET:def	le
papa	NOM	papa
.	NAM	<unknown>
ça	PRO:cls	ça
s'	PRO:clo	se
appelle	VER:pres	appeler
un	DET:ind	un
cerf	NOM	cerf
hein	INT	hein
.	NAM	<unknown>
et	KON	et
le	DET:def	le
bébé	NOM	bébé
.	NAM	<unknown>
euh	INT	euh
Bambi	VER:pper	<unknown>
ouais	FNO	ouais
Bambi	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
petit	ADJ	petit
faon	NOM	faon
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
Bambi	NOM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
raison	NOM	raison
oh	INT	oh
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
xxx	NOM	<unknown>
mm	NOM	<unknown>
oh	INT	oh
un	DET:ind	un
un	DET:ind	un
sanglier	NOM	sanglier
ouais	FNO	ouais
exactement	ADV	exactement
et	KON	et
regarde	VER:impe	regarder
là	ADV	là
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
.	NOM:sig	<unknown>
hum	FNO	hum
un	DET:ind	un
blaireau	NOM	blaireau
oui	FNO	oui
et	KON	et
ça	PRO:cls	ça
.	VER:cond	<unknown>
un	DET:ind	un
m-	TRC	m-
un	DET:ind	un
un	DET:ind	un
marcassin	NOM	marcassin
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
bébé	NOM	bébé
hein	INT	hein
du	PRP:det	du
sanglier	NOM	sanglier
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
coquilles	NOM	coquille
d'	PRP	un
oeufs	NOM	oeuf
si	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
coquilles	NOM	coquille
d'	PRP	un
oeufs	NOM	oeuf
qui	PRO:rel	qui
est	AUX:pres	être
cassé	VER:pper	casser
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
quoi	INT	quoi
.	NAM	<unknown>
hum	FNO	hum
des	DET:ind	un
petits	ADJ	petit
bébés	NOM	bébé
des	DET:ind	un
petits	ADJ	petit
bébés	NOM	bébé
d-	TRC	d-
des	DET:ind	un
petits	ADJ	petit
bébés	NOM	bébé
crapauds	NOM	crapaud
crapauds	NOM	crapaud
.	NAM	<unknown>
oh	INT	oh
mais	KON	mais
non	FNO	non
mais	KON	mais
ça	PRO:cls	ça
regarde	VER:pres	regarder
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
coquilles	NOM	coquille
d'	PRP	un
oeufs	NOM	oeuf
d'	PRP	un
oiseaux	NOM	oiseau
hum	FNO	hum
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
un	DET:ind	un
petit	ADJ	petit
oiseau	NOM	oiseau
et	KON	et
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
Flore	NOM	flore
qui	PRO:rel	qui
l'	PRO:clo	le
a	VER:pres	avoir
en	PRP	en
main	NOM	main
le	DET:def	le
petit	ADJ	petit
oiseau	NOM	oiseau
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
un	DET:ind	un
petit	ADJ	petit
merle	NOM	merle
ça	PRO:ton	ça
tout	ADV	tout
noir	ADJ	noir
hum	FNO	hum
.	NAM	<unknown>
oh	INT	oh
non	FNO	non
non	FNO	non
.	NAM	<unknown>
oh	INT	oh
il	PRO:cls	il
tombe	VER:pres	tomber
les	DET:def	le
couleurs	NOM	couleur
ah	INT	ah
ouais	FNO	ouais
et	KON	et
là	ADV	là
ils	PRO:cls	il
sont	VER:pres	être
de	PRP	de
retour	NOM	retour
chez	PRP	chez
eux	PRO:ton	eux
et	KON	et
euh	INT	euh
Zéphir	NAM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
tomber	VER:infi	tomber
toutes	DET:pre	tout
les	DET:def	le
peintures	NOM	peinture
hum	FNO	hum
ils	PRO:cls	il
sont	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
peindre	VER:infi	peindre
et	KON	et
ils	PRO:cls	il
peignent	VER:pres	peigner|peindre
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
de	PRP	de
la	DET:def	le
l-	TRC	l-
les	DET:def	le
alors	ADV	alors
bah	INT	bah
lui	PRO:ton	lui
il	PRO:cls	il
peint	VER:pres	peindre
un	DET:ind	un
arbre	NOM	arbre
hein	INT	hein
et	KON	et
lui	PRO:ton	lui
il	PRO:cls	il
peint	VER:pres	peindre
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
une	DET:ind	un
une	DET:ind	un
feuille	NOM	feuille
hum	FNO	hum
rouge	NOM	rouge
hein	INT	hein
la	DET:def	le
feuille	NOM	feuille
parce	TRC	parce
que	KON	que
les	DET:def	le
feuilles	NOM	feuille
en	PRP	en
automne	NOM	automne
elles	PRO:cls	elle
sont	VER:pres	être
rouges	ADJ	rouge
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
les	DET:def	le
arbres	NOM	arbre
maintenant	ADV	maintenant
ils	PRO:cls	il
sont	VER:pres	être
plus	ADV	plus
verts	ADJ	vert
.	NAM	<unknown>
ils	PRO:cls	il
sont	VER:pres	être
de	PRP	de
toutes	DET:pre	tout
les	DET:def	le
couleurs	NOM	couleur
les	DET:def	le
arbres	NOM	arbre
maintenant	ADV	maintenant
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
dehors	ADV	dehors
?	NAM	<unknown>
hum	FNO	hum
eh	INT	eh
euh	INT	euh
mm	NOM	<unknown>
par	PRP	par
exemple	NOM	exemple
euh	INT	euh
regarde	VER:impe	regarder
les	DET:def	le
xxx	NOM	<unknown>
oh	INT	oh
ça	PRO:ton	ça
tu	PRO:cls	tu
connais	VER:pres	connaître
bien	ADV	bien
les	DET:def	le
quoi	INT	quoi
.	NAM	<unknown>
xxx	NOM	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
hache	NOM	hache
ça	PRO:ton	ça
oui	FNO	oui
pour	PRP	pour
couper	VER:infi	couper
du	PRP:det	du
bois	NOM	bois
et	KON	et
avec	PRP	avec
quoi	INT	quoi
on	PRO:cls	on
peut	VER:pres	pouvoir
couper	VER:infi	couper
du	PRP:det	du
bois	NOM	bois
aussi	ADV	aussi
.	VER:simp	<unknown>
avec	PRP	avec
avec	PRP	avec
xxx	NOM	<unknown>
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
?	NOM:sig	<unknown>
regarde	VER:impe	regarder
là	ADV	là
ce	DET:dem	ce
que-	NOM	<unknown>
Alexandre	NOM	<unknown>
et	KON	et
Pomme	NOM	pomme
ils	PRO:cls	il
ont	VER:pres	avoir
euh	INT	euh
une	DET:ind	un
scie	NOM	scie
une	DET:ind	un
scie	NOM	scie
ouais	FNO	ouais
exactement	ADV	exactement
ils	PRO:cls	il
ont	VER:pres	avoir
une	DET:ind	un
scie	NOM	scie
pour	PRP	pour
couper	VER:infi	couper
un	DET:ind	un
gros	ADJ	gros
bout	NOM	bout
de	PRP	de
bois	NOM	bois
il	PRO:cls	il
faut	VER:pres	falloir
une	DET:ind	un
grosse	ADJ	gros
scie	NOM	scie
hein	INT	hein
et	KON	et
euh	INT	euh
mm	NOM	<unknown>
là	ADV	là
regarde	VER:impe	regarder
regarde	VER:impe	regarder
lui	PRO:ton	lui
il	PRO:cls	il
fait	VER:pres	faire
quoi	PRO:int	quoi
lui	PRO:ton	lui
.	NAM	<unknown>
il	PRO:cls	il
tire	VER:pres	tirer
à	PRP	à
l'	DET:def	le
arc	NOM	arc
hein	INT	hein
il	PRO:cls	il
tire	VER:pres	tirer
à	PRP	à
l'	DET:def	le
arc	NOM	arc
pour	PRP	pour
euh	INT	euh
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
si	KON	si
il	PRO:cls	il
veut	VER:pres	vouloir
peut	VER:pres	pouvoir
être	VER:infi	être
attraper	VER:infi	attraper
un	DET:ind	un
oiseau	NOM	oiseau
euh	INT	euh
ou	KON	ou
quelque	ADJ	<unknown>
chose	NOM	chose
euh	INT	euh
il	PRO:cls	il
va	VER:pres	aller
tirer	VER:infi	tirer
à	PRP	à
l'	DET:def	le
arc	NOM	arc
et	KON	et
puis	KON	puis
voilà	FNO	voilà
donc	ADV	donc
là	ADV	là
ils	PRO:cls	il
reviennent	VER:pres	revenir
chez	PRP	chez
eux	PRO:ton	eux
à	PRP	à
la	DET:def	le
maison	NOM	maison
comme	KON	comme
toi	PRO:ton	toi
quand	KON	quand
tu	PRO:cls	tu
vas	VER:pres	aller
dans	PRP	dans
le	DET:def	le
bois	NOM	bois
avec	PRP	avec
ton	DET:pos	ton
papa	NOM	papa
et	KON	et
ton	DET:pos	ton
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
fais	VER:pres	faire
quand	KON	quand
tu	PRO:cls	tu
vas	VER:pres	aller
avec	PRP	avec
eux	PRO:ton	eux
.	NAM	<unknown>
moi	PRO:ton	moi
retour	NOM	retour
ouais	FNO	ouais
tu	PRO:cls	tu
retournes	VER:pres	retourner
mais	KON	mais
d'	PRP	un
abord	NOM	abord
quand	KON	quand
tu	PRO:cls	tu
es	VER:pres	être
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
.	NAM	<unknown>
vois	VER:pres	voir
des	DET:ind	un
sangliers	NOM	sanglier
tu	PRO:cls	tu
vois	VER:pres	voir
des	DET:ind	un
sangliers	NOM	sanglier
.	NAM	<unknown>
et	KON	et
tu	PRO:cls	tu
les	PRO:clo	le
chasses	VER:pres	chasser
.	NAM	<unknown>
tu	PRO:cls	tu
tires	VER:pres	tirer
avec	PRP	avec
le	DET:def	le
fusil	NOM	fusil
toi	PRO:ton	toi
.	NAM	<unknown>
mais	KON	mais
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
ton	DET:pos	ton
.	NOM:sig	<unknown>
hum	FNO	hum
mais	KON	mais
toi	PRO:ton	toi
tu	PRO:cls	tu
tires	VER:pres	tirer
pas	ADV	pas
au	PRP:det	au
fusil	NOM	fusil
.	NAM	<unknown>
non	FNO	non
oh	INT	oh
non	FNO	non
pourquoi	PRO:int	pourquoi
.	NAM	<unknown>
pourquoi	PRO:int	pourquoi
toi	PRO:ton	toi
tu	PRO:cls	tu
tires	VER:pres	tirer
pas	ADV	pas
au	PRP:det	au
fusil	NOM	fusil
.	NAM	<unknown>
mais	KON	mais
nan	NOM	<unknown>
moi	PRO:ton	moi
en	PRO:clo	en
a	VER:pres	avoir
moi	PRO:ton	moi
en	PRO:clo	en
a	VER:pres	avoir
l-	TRC	l-
l-	TRC	l-
moi	PRO:ton	moi
en	PRO:clo	en
a	VER:pres	avoir
quatre	NUM	@card@
tu	PRO:cls	tu
as	VER:pres	avoir
quatre	NUM	@card@
quoi	INT	quoi
fusils	NOM	fusil
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
as	VER:pres	avoir
quatre	NUM	@card@
fusils	NOM	fusil
toi	PRO:ton	toi
hein	INT	hein
mais	KON	mais
toi	PRO:ton	toi
tu	PRO:cls	tu
tires	VER:pres	tirer
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
dangereux	ADJ	dangereux
si	KON	si
toi	PRO:ton	toi
tu	PRO:cls	tu
tires	VER:pres	tirer
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
de	PRP	de
mon	DET:pos	mon
ah	INT	ah
d'	PRP	un
accord	NOM	accord
et	KON	et
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
peur	NOM	peur
.	NAM	<unknown>
si	KON	si
le	DET:def	le
sanglier	NOM	sanglier
il	PRO:cls	il
vient	VER:pres	venir
trop	ADV	trop
vite	ADV	vite
.	VER:simp	<unknown>
non	FNO	non
non	FNO	non
bon	INT	bon
alors	ADV	alors
qu-	TRC	qu-
quand	KON	quand
il	PRO:cls	il
court	VER:pres	courir
moi	PRO:ton	moi
moi	PRO:ton	moi
mis	VER:pper	mettre
et	KON	et
poum	NOM	<unknown>
tu	PRO:cls	tu
mets	VER:pres	mettre
deux	NUM	@card@
cartouches	NOM	cartouche
et	KON	et
poum	NOM	<unknown>
oui	FNO	oui
ah	INT	ah
bon	INT	bon
bah	INT	bah
alors	ADV	alors
et	KON	et
tu	PRO:cls	tu
vois	VER:pres	voir
des	DET:ind	un
ours	NOM	ours
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
aussi	ADV	aussi
.	VER:simp	<unknown>
non	FNO	non
tu	PRO:cls	tu
vois	VER:pres	voir
pas	ADV	pas
d'	PRP	un
ours	NOM	ours
oh	INT	oh
bah	INT	bah
alors	ADV	alors
voilà	FNO	voilà
et	KON	et
oui	FNO	oui
le	DET:def	le
livre	NOM	livre
on	PRO:cls	on
a	AUX:pres	avoir
fini	VER:pper	finir
avec	PRP	avec
le	DET:def	le
livre	NOM	livre
et	KON	et
euh	INT	euh
alors	ADV	alors
justement	ADV	justement
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
raconte	VER:impe	raconter
moi	PRO:ton	moi
encore	ADV	encore
si	KON	si
tu	PRO:cls	tu
vois	VER:pres	voir
les	DET:def	le
champignons	NOM	champignon
euh	INT	euh
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
oui	FNO	oui
et	KON	et
tu	PRO:cls	tu
vois	VER:pres	voir
aussi	ADV	aussi
des	DET:ind	un
petits	ADJ	petit
lapins	NOM	lapin
.	NAM	<unknown>
quelle	DET:int	quel
couleur	NOM	couleur
ils	PRO:cls	il
sont	VER:pres	être
les	DET:def	le
lapins	NOM	lapin
.	NAM	<unknown>
euh	INT	euh
mm	NOM	<unknown>
euh	INT	euh
mm	NOM	<unknown>
roux	ADJ	roux
roux	ADJ	roux
ah	INT	ah
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
roux	ADJ	roux
hein	INT	hein
les	DET:def	le
renards	NOM	renard
aussi	ADV	aussi
ils	PRO:cls	il
sont	VER:pres	être
roux	ADJ	roux
les	DET:def	le
lapins	NOM	lapin
les	DET:def	le
les	DET:def	le
renards	NOM	renard
hein	INT	hein
et	KON	et
euh	INT	euh
mm	NOM	<unknown>
sinon	ADV	sinon
euh	INT	euh
et	KON	et
alors	ADV	alors
à	PRP	à
l'	DET:def	le
école	NOM	école
.	NAM	<unknown>
comment	PRO:int	comment
ça	PRO:cls	ça
se	PRO:clo	se
passe	VER:pres	passer
à	PRP	à
l'	DET:def	le
école	NOM	école
ça	PRO:cls	ça
va	VER:pres	aller
à	PRP	à
l'	DET:def	le
école	NOM	école
.	NAM	<unknown>
hum	FNO	hum
très	ADV	très
bien	ADV	bien
très	ADV	très
bien	ADV	bien
oh	INT	oh
bah	INT	bah
alors	ADV	alors
si	KON	si
ça	PRO:cls	ça
va	VER:pres	aller
très	ADV	très
bien	ADV	bien
et	KON	et
ta	DET:pos	ton
maîtresse	NOM	maîtresse
elle	PRO:cls	elle
est	VER:pres	être
gentille	ADJ	gentil
.	NAM	<unknown>
oui	FNO	oui
comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
encore	ADV	encore
dis	INT	dis
moi	PRO:ton	moi
.	NAM	<unknown>
Véronique	NOM	véronique
Véronique	NOM	véronique
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
bon	INT	bon
j'	PRO:cls	je
avais	AUX:impf	avoir
oublié	VER:pper	oublier
hein	INT	hein
pff	INT	pff
j'	PRO:cls	je
ai	AUX:pres	avoir
oublié	VER:pper	oublier
et	KON	et
et	KON	et
tu	PRO:cls	tu
fais	VER:pres	faire
de	PRP	de
la	DET:def	le
musique	NOM	musique
alors	ADV	alors
.	VER:simp	<unknown>
ta	DET:pos	ton
maman	NOM	maman
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
tu	PRO:cls	tu
fais	VER:pres	faire
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
euh	INT	euh
mm	NOM	<unknown>
euh	INT	euh
mm	NOM	<unknown>
des	PRP:det	du
danses	NOM	danse
des	PRP:det	du
danses	NOM	danse
ah	INT	ah
ouais	FNO	ouais
des	DET:ind	un
danses	NOM	danse
des	PRP:det	du
rondes	NOM	ronde
et	KON	et
tout	DET:pre	tout
ça	PRO:ton	ça
avec	PRP	avec
de	PRP	de
la	DET:def	le
super	ADJ	super
musique	NOM	musique
hein	INT	hein
.	NAM	<unknown>
