pro&MASC	un
det	aux
n	personne
PCT	.
adv:yn	ouais
PCT	.
pro:rel	qu'
det	aux
n	personne
PCT	?
conj	et
det	aux
adj-MASC	animal
PCT	.
det	aux
n&SING-PL	animal^n|animal
adv	aussi
PCT	.
prep	à
det:gen&MASC	tous
det&PL	les
adj-MASC	animal
PCT	?
adv:yn	non
PCT	.
co	hum
co	hum
PCT	.
prep	à
pro:int	qui
PCT	?
PCT	.
adv	enfin
pro:subj	on
v:mdl	aller
v-INF	dire
det&PL	des
n	nom
PCT	.
prep	comme
det&PL	des
n	prénom
co	hein
PCT	?
prep	à
pro:int	qui
pro:subj	on
v	donner
det&PL	des
n	prénom
PCT	?
det	aux
n-MASC	chien
det	aux
n	chat
PCT	.
prep	à
det&FEM&SING	la
n	tortue
det	aux
n	serpent
PCT	.
n	hamster
PCT	.
adv:yn	oui
det	aux
n	hamster
PCT	.
det	aux
n	écureuil
PCT	.
pro:subj	tu
v	donner
det&PL	des
n	nom
det	aux
n	écureuil
pro&SING	toi
PCT	?
adv:yn	oui
PCT	.
v:exist	c'est
adj	vrai
PCT	?
adv:yn	oui
PCT	.
pro:subj	on
v	donner
det&PL	des
n	nom
prep	à
det:gen&MASC	tous
det&PL	les
n	écureuil
PCT	?
adv:yn	non
pro:dem&PL	celui
conj	qu'
pro:subj	on
v:aux	avoir
prep	chez
pro:subj	nous
PCT	.
adv:neg	pas
pro:dem&PL	celui
pro:rel	qui
v:exist	être
PCT	.
?	est–ce
conj	que
pro:subj	tu
n	as
PCT	.
det:gen&MASC	tout
pro:dem	ça
prep	chez
pro&SING	toi
PCT	?
adv:yn	non
PCT	.
pro:subj	je
v:aux	avoir
conj	qu'
det&MASC&SING	un
n	écureuil
PCT	.
pro:subj	tu
v:poss	avoir
det&MASC&SING	un
n	écureuil
PCT	?
adv:yn	oui
PCT	.
pro:subj&MASC	il
pro:refl	se
v	appeler
adv:int	comment
adv	alors
PCT	?
n:prop	Kitty
PCT	.
n:prop	Kitty
PCT	?
conj	et
pro:subj&MASC	il
v&PASS	vivre^v|voir
prep	dans
pro:rel	quoi
adv	enfin
co	euh
PCT	?
prep	dans
det&FEM&SING	une
adj	grand
n	cage
prep:art	pour
n	oiseau
PCT	.
co	ah
adv:yn	oui
PCT	.
conj	et
pro:subj&MASC	il
v	sortir
det&PL	des
n	fo^n|fois
PCT	.
prep	de
det&FEM&SING	la
n	cage
PCT	?
adv:yn	non
pro:subj	on
det&MASC&SING	le
n	laisse
prep	à
det&SING	le/la
n	intérieur
PCT	.
conj	et
pro:subj	tu
v:aux	avoir
adv	déjà
v&PP-MASC	voir
pro&SING	toi
PCT	.
det&MASC&SING	un
n	écureuil
prep	chez
pro	quelqu'un
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
conj	parce
conj	que
det&MASC&SING	un
co	hum
det&MASC&SING	un
co	euh
PCT	.
det&MASC&SING	un
n&SING-SING	animal
pro:rel	qui
v:exist	être
prep	dans
det&FEM&SING	la
n	nature
PCT	.
adv:yn	ouais
co	ben
adv:yn	oui
PCT	.
conj	et
conj	et
pro:subj&MASC	il
pro:subj&MASC	il
pro:subj&MASC	il
v:aux	être
v-PP	apprivoiser
PCT	?
PCT	.
co	euh
pro:subj	je
v:mdl	savoir
adv:neg	pas
PCT	.
pro:dem&SING	ce/ces
?	est–à–dire
conj	que
pro:subj	tu
v:mdl	pouvoir
pro:obj&SING	le/la
?	ap–
PCT	.
adv	enfin
?	*
PCT	.
conj	si
pro:subj	tu
pro:obj&SING	le/la
v	appeler
pro:subj&MASC	il
v:mdl	venir
PCT	.
conj	ou
pro:subj&MASC	il
v	reconnaître
det:poss&MASC&SING	son
n	nom
PCT	.
conj	ou
adv:neg	pas
det&MASC&SING	du
PCT	.
adv:yn	non
PCT	.
adv	tout
PCT	?
adv:yn	non
PCT	?
adv:yn	non
PCT	?
conj	donc
pro:subj&MASC	il
v:exist	être
adv	un+peu
adj	sauvage
adv	quand+même
PCT	?
adv:yn	oui
PCT	.
adv	d'accord
PCT	.
pro:subj	on
v:mdl	aller
v-INF	attendre
conj	que
det&FEM&SING	la
?	***
PCT	.
adv:place	voilà
adj-MASC	bon
adv	alors
n:prop	Elfie
PCT	.
pro:subj&FEM	elle
v	parler
adv	d'abord
prep	de
pro:dem	ça
PCT	.
conj	et+puis
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
pro:rel	qu'
pro:subj&FEM	elle
v:poss	avoir
det&MASC&SING	un
n	secret
PCT	.
pro:rel	qu'
?	est–ce
conj	que
v:exist	c'est
PCT	.
det:poss&MASC&SING	son
n	secret
PCT	?
PCT	.
pro:subj	vous
pro:subj	vous
v	rappeler
PCT	.
prep	de
pro:int	ce+que
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	?
pro:rel	qu'
pro:subj&FEM	elle
v:mdl	savoir
adv	rien
PCT	.
pro:rel	qu'
pro:subj&FEM	elle
v:mdl	savoir
adv	rien
PCT	.
conj	et
?	est–ce
conj	que
pro:subj	vous
v	penser
adv	vraiment
conj	qu'
pro:subj&FEM	elle
adv:neg	ne
v:mdl	savoir
adv	rien
PCT	?
conj	si
pro:subj&FEM	elle
v-PASS	dire^v|dire
det:gen	quelque
PCT	.
co	hum
PCT	.
n	chose
PCT	.
adv:yn	ouais
PCT	.
pro:subj&FEM	elle
v:mdl	savoir
adv:int	comment
pro:subj&FEM	elle
pro:refl	se
v	appeler
PCT	.
adv:int	comment
det:poss&PL	ses
n	copine
pro:refl	se
v	appeler
PCT	.
adv:int	comment
det:poss&FEM&SING	sa
n	famille
pro:subj&FEM	elle
pro:refl	se
v	appeler
PCT	.
co	ben
adv:yn	oui
conj	et
det:dem&MASC&SING	ce
PCT	.
conj	et
conj	et
conj	et
pro:subj&FEM	elle
v:mdl	savoir
PCT	.
adv:yn	oui
PCT	.
pro:rel	qu'
pro:subj&FEM	elle
adv:neg	ne
v:mdl	savoir
adv	rien
PCT	.
adv:yn	oui
pro:subj&FEM	elle
v:mdl	savoir
conj	qu'
pro:subj&FEM	elle
adv:neg	ne
v:mdl	savoir
adv	rien
PCT	.
pro:dem	ça
pro:dem&SING	ce/ces
adv:int	est+ce+que
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
conj	et
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv	surtout
conj	que
PCT	.
pro:subj&FEM	elle
v:poss	avoir
n	peur
prep	de
v-INF	poser
det&PL	des
n	question
PCT	.
v:exist	c'est
adv	un+peu
?	commme
pro	tout+le+monde
PCT	.
adv	parfois
pro:subj	on
adv:neg	ne
v	oser
adv:neg	pas
PCT	.
adv:yn	ouais
PCT	.
conj	et
pro&SING	toi
pro:dem	ça
pro:refl	te
v	arriver
prep	de
adv	ne
adv:neg	pas
v-INF	oser
PCT	?
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
PCT	.
det:gen	quelle
n	question
prep:art	par
n	exemple
PCT	?
co	hum
PCT	.
conj	ou
adv:int	quand
PCT	?
PCT	.
conj	ou
prep	dans
det:gen	quelle
n	circonstance
PCT	?
PCT	.
pro:subj	je
v:mdl	savoir
adv:neg	pas
PCT	.
?	***
conj	et
pro:subj	tu
v:mdl	savoir
adv:neg	pas
PCT	?
co	hum
PCT	.
pro:subj	tu
pro:refl	te
v	rappeler
adv:neg	plus
PCT	.
conj	quand
pro:subj	tu
v:aux	avoir
adv:neg	pas
v-PP	oser
v-INF	poser
det&FEM&SING	une
n	question
PCT	?
conj	et
pro&SING	toi
PCT	?
co	ben
co	ben
conj	quand
det&FEM&SING	la
n	question
pro:subj&FEM	elle
v:exist	être
adv	un+peu
adj	gênant
PCT	.
prep:art	par
n	exemple
PCT	.
adv:yn	ouais
PCT	.
conj	ou
prep:art	par
n	exemple
co	euh
PCT	.
adv:int	quand
PCT	.
adv:int	quand
PCT	.
conj	quand
?	***
adj	gênant
conj	puis
co	euh
PCT	.
conj	quand
pro:subj	on
adv:neg	ne
v:aux	avoir
adv:neg	pas
adv	vraiment
?	enviede
pro:obj&FEM&SING	la
v-INF	poser
PCT	.
adv:yn	ouais
PCT	.
conj	parce
conj	que
PCT	.
prep:art	des
n	fo^n|fois
pro:subj	on
v:poss	avoir
det:gen&MASC	tout
adv	simplement
adv:neg	pas
n	envie
conj	et
adv:place	voilà
PCT	.
adv:place	voilà
conj	et
pro:subj&FEM	elle
pro:subj&FEM	elle
v	oser
adv:neg	pas
PCT	.
pro:subj&FEM	elle
v	oser
adv:neg	pas
PCT	.
conj	donc
pro:subj&FEM	elle
v	parler
adv:neg	pas
adv	beaucoup
PCT	.
conj	et
conj	donc
n:prop	Simon
conj	qu'
pro:subj&FEM	elle
v	aimer
adv:neg	pas
adv	beaucoup
co	hein
PCT	?
PCT	.
pro:subj&MASC	il
v-PASS	dire^v|dire
PCT	.
det&MASC&SING	un
n	moment
v-PP	donner
?	peu–
PCT	.
?	peut–être
co	euh
conj	que
n:prop	Elfie
adv:neg	ne
v	exister
adv:neg	pas
PCT	.
adv:yn	oui
?	peut–être
conj	qu'
pro:subj&FEM	elle
adv:neg	ne
v	exister
n	pas
adv	parce
conj	qu'
pro:subj&FEM	elle
v-PASS	dire^v|dire
adv	rien
PCT	.
conj	alors+que
?	est–ce
conj	que
pro:subj	vous
v	penser
prep	de
pro:int	ce+que
v-PASS	dire^v|dire
n:prop	Simon
PCT	?
co	euh
PCT	.
co	euh
v:exist	c'est
adj	faux
PCT	.
v:exist	c'est
adj	faux
PCT	.
pro:subj&MASC	il
v	exister
adv	réellement
PCT	.
adv:yn	ouais
PCT	.
pro:dem	ça
v:mdl	vouloir
v-INF	dire
pro:int	quoi
v-INF	exister
adv	réellement
PCT	?
adv	ben
conj	qu'
pro:subj&FEM	elle
v&PASS	vivre^v|voir
PCT	.
pro:subj&FEM	elle
v	marcher
co	euh
prep	sur
co	euh
det&FEM&SING	la
n	terre
co	euh
pro:subj&FEM	elle
PCT	.
adv:yn	ouais
PCT	.
v	respirer
det:poss	notre
n	air
PCT	.
adv:yn	oui
PCT	.
pro:subj&FEM	elle
v	prendre
det&PL	des
n	chose
PCT	.
adv:yn	ouais
PCT	.
pro:subj&FEM	elle
v	regarder
det&PL	des
n	chose
PCT	.
pro:subj&FEM	elle
v	parler
PCT	.
pro:subj&FEM	elle
v	parler
adv:yn	ouais
PCT	.
conj	alors
pro:subj	tu
n	as
adj	dit
pro:subj&FEM	elle
v	parler
PCT	.
conj	donc
det:gen&MASC	tous
det&PL	les
n	tout
?	c–
adv	tout
pro:rel	ce+qui
v&PASS	vivre^v|voir
PCT	.
pro:dem	ça
v	parler
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	.
conj	alors
PCT	.
pro:subj	tu
?	*
co	hum
PCT	.
adv:int	comment
pro:subj	on
v:mdl	pouvoir
co	euh
PCT	.
conj	donc
v:exist	c'est
adj	sûr
conj	que
pro:subj	nous
pro:subj	on
v&PASS	vivre^v|voir
conj	et
pro:subj	on
v	parler
PCT	.
?	est–ce
conj	qu'
pro:subj&MASC	il
v:exist	il+y+a^v:exist|y+a
det&PL	des
n	chose
pro:rel	qui
v	vivre
adv:neg	pas
conj	et
pro:rel	qui
v	parler
PCT	?
PCT	.
co	hum
adv:yn	non
PCT	.
adv:yn	non
PCT	.
?	est–ce
conj	qu'
pro:subj&MASC	il
v:exist	il+y+a^v:exist|y+a
det&PL	des
n	chose
pro:rel	qui
v	parler
adv:neg	pas
conj	et
pro:rel	qui
v	vivre
PCT	?
co	hum
PCT	.
adv:yn	oui
PCT	.
pro:int	quoi
prep	par
n	exemple
PCT	?
PCT	.
prep	de
det&SING	le/la
n	air
?	***
det&MASC&SING	un
n	arbre
PCT	.
adv:yn	ouais
PCT	.
conj	que
pro:dem	ça
v&PASS	vivre^v|voir
PCT	.
adv:yn	oui
adv:yn	oui
det&PL	les
n	plant
adv:yn	ouais
PCT	.
conj	puis
PCT	.
det&PL	les
n	plant
adv	et+puis
PCT	.
co	hum
PCT	.
conj	et
det&MASC&SING	un
n	bébé
PCT	.
conj	quand
pro:subj&MASC	il
v	naître
pro:subj&MASC	il
v	parler
adv:neg	pas
adv	encore
PCT	.
adv	exactement
adv:yn	ouais
v:exist	c'est
adj	vrai
PCT	.
conj	quand
pro	quelqu'un
conj	et
co	ben
pro:subj&MASC	il
PCT	.
pro:subj&MASC	il
v:aux	être
v-PP	handicaper
PCT	.
pro:subj&MASC	il
v:mdl	pouvoir
adv:neg	pas
v-INF	parler
prep:art	par
n	exemple
PCT	.
adv:yn	oui
PCT	.
pro:subj&MASC	il
v:exist	être
n	vivant
adv	mais
PCT	.
adv:yn	ouais
pro:subj&MASC	il
v	parler
PCT	.
conj	mais
pro:subj	tu
v:exist	c'est
conj	qu'
pro:subj&MASC	il
v:exist	il+y+a^v:exist|y+a
PCT	.
pro:subj	on
v:mdl	pouvoir
v-INF	parler
co	euh
prep	avec
det&PL	des
n	mot
PCT	.
conj	mais
co	euh
pro:subj	on
v:mdl	pouvoir
conj	aussi
v-INF	parler
prep	avec
det&PL	des
n	geste
PCT	.
?	***
PCT	.
adv:place	voilà
adv	donc
co	euh
PCT	.
v:exist	c'est
adv	plutôt
pro:subj	on
v	communiquer
PCT	.
?	***
PCT	.
adv:yn	ouais
conj	et
?	***
PCT	.
conj	parce
conj	que
det&MASC&SING	le
n	langage
PCT	.
adv	finalement
co	euh
v:exist	il+y+a
PCT	.
det&PL	les
n	enfant
co	euh
pro:int	qui
v:exist	être
?	sourds–muets
pro:subj&MASC	ils
v:poss	avoir
det&MASC&SING	un
co	hum
det&MASC&SING	un
det&MASC&SING	un
n	langage
prep	à
pro&MASC&PL	eux
PCT	.
pro:rel	qu'
prep	avec
det&PL	des
n	signe
conj	et
pro:subj&MASC	il
v:exist	être
adv	aussi
n	compliqué
conj	que
det&MASC&SING	le
det:poss	notre
?	ouai
PCT	.
adv:yn	ouais
PCT	.
adv:place	voilà
conj	donc
co	euh
pro:subj&MASC	il
v-PASS	dire^v|dire
adv	n'importe+quoi
PCT	.
n:prop	Simon
PCT	.
adv:yn	ouais
PCT	.
pro:subj&MASC	il
v-PASS	dire^v|dire
pro:subj&FEM	elle
v	parler
adv:neg	pas
PCT	.
pro:subj&FEM	elle
v	exister
adv:neg	pas
PCT	.
conj	donc
pro:subj	nous
pro:subj	on
v:aux	avoir
adv	déjà
adj	découvert
conj	que
?	*
adv	ben
PCT	.
v-INF	exister
v:exist	c'est
adv:neg	pas
adv	seulement
v-INF	parler
PCT	.
pro:subj	on
v	exister
prep	sans
v-INF	parler
PCT	.
conj	et
adv:place	après
pro:subj&FEM	elle
v	parler
prep	de
det:poss&PL	ses
n	rêve
PCT	.
conj	alors+que
?	est–ce
?	co–
adv:int	comment
pro:subj&FEM	elle
v:mdl	savoir
conj	qu'
pro:subj&FEM	elle
pro:subj&FEM	elle
v	exister
PCT	.
co	hein
PCT	?
pro:subj&FEM	elle
v:aux	avoir
v-PP	donner
det&MASC&SING	un
adj	autre
n	argument
PCT	.
co	hein
n:prop	Elfie
PCT	?
PCT	.
conj	parce
conj	qu'
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
conj	qu'
pro:subj&FEM	elle
PCT	?
v-IMPF	penser
PCT	.
adv:yn	ouais
PCT	.
co	hum
PCT	.
pro:dem&SING	ce/ces
adv:int	est+ce+que
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
adv	alors
prep	à
det:poss	votre
n	avis
PCT	.
?	est–ce
prep	que
det:poss&MASC&SING	son
n	argument
v:exist	être
n	bon
PCT	?
PCT	.
co	euh
co	ah
adv:yn	oui
PCT	.
adv:yn	oui
conj	et
adv:yn	non
PCT	.
adv:yn	ouais
?	vas–y
PCT	.
conj	parce
conj	que
PCT	.
det:gen&MASC	tout
pro:rel	ce+que
pro:subj	on
v:mdllex	venir
prep	de
v-INF	dire
PCT	.
v:exist	c'est
conj	aussi
det&MASC&SING	un
n	argument
PCT	.
pro:rel	qu'
pro:subj&MASC	il
v:mdl	falloir
v-INF	prendre
?	***
PCT	.
adv:yn	oui
PCT	.
pro:rel	qu'
?	est–ce
conj	qu'
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
PCT	.
conj	et
conj	qu'
?	est–ce
conj	qu'
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
PCT	.
v:exist	c'est
adj	juste
PCT	.
pro:subj&FEM	elle
v	penser
prep	comme
pro	tout+le+monde
PCT	.
co	hum
PCT	.
conj	et
pro:subj	nous
pro:subj	on
adv	tout+à+l'heure
PCT	.
pro:subj	on
v:mdl	aller
pro:subj	on
v:mdl	aller
pro:subj	on
v:mdl	aller
v-INF	revenir
prep	sur
pro:int	ce+que
pro:subj	vous
v:poss	avoir
?	di
PCT	.
adv	effectivement
pro:subj	vous
v:aux	avoir
v-PP	dire
PCT	.
co	euh
pro:subj	on
?	p–
pro:subj	on
v	parler
PCT	.
co	hum
PCT	.
pro:subj	on
v	respirer
co	hein
PCT	?
conj	donc
co	euh
pro:dem	ça
det:dem&MASC&SING	ce
v:exist	être
det&PL	des
n	chose
pro:rel	qui
v	vivre
PCT	.
conj	et
pro:subj&FEM	elle
v-PASS	dire^v|dire
PCT	.
pro&SING	moi
pro:subj	je
v:mdl	savoir
conj	que
pro:subj	je
v	exister
adv	parce
conj	que
pro:subj	je
v	penser
PCT	.
adv	alors
?	est–ce
conj	qu'
pro:subj&MASC	il
v:exist	il+y+a^v:exist|y+a
det&PL	des
n	chose
conj	ou
det&PL	des
PCT	.
conj	ou
det:gen	quelque
n	chose
pro:subj	on
v:mdl	aller
v-INF	dire
PCT	.
pro:int	qui
v	exister
conj	mais
pro:rel	qui
adv:neg	ne
v	penser
adv:neg	pas
PCT	?
PCT	.
adv:yn	oui
det&PL	les
n	arbre
PCT	.
adv:yn	ouais
adv:yn	ouais
det&PL	les
n	arbre
adv:yn	ouais
PCT	.
?	est–ce
conj	qu'
pro:subj&MASC	il
v:exist	il+y+en+a^v:exist|y+en+a
prep:art	de
pro	autres
PCT	?
PCT	.
pro:int	qui
v	exister
adv	ben
PCT	.
v:aux	c'est
v-PP	obliger
PCT	.
conj	que
det:dem&MASC&SING	ce
v:exist	être
det:gen	quelque
n	chose
prep:art	de
n	vivant
PCT	.
co	ah
co	ben
PCT	.
pro:subj	on
v:mdllex	venir
prep	de
v-INF	dire
conj	que
pro:subj	on
v:exist	être
n	vivant
conj	si
pro:subj	on
v	exister
PCT	.
co	ah
v:exist	c'est
adj	vrai
co	ah
PCT	.
co	euh
PCT	.
adv:yn	oui
det&PL	les
n	arbre
PCT	.
?	est–ce
conj	que
pro:subj	vous
v	penser
conj	que
det&PL	les
n&SING-PL	animal^n|animal
pro:subj&MASC	ils
v	penser
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	.
det&PL	les
n&SING-PL	animal^n|animal
v:exist	être
adj	vivant
PCT	.
adv:yn	ouais
PCT	.
co	ah
adv	mais
adv	tout
?	c–
PCT	.
det:gen&MASC	tout
pro:rel	ce+qui
v&PASS	vivre^v|voir
adv:neg	ne
v	penser
adv:neg	pas
PCT	.
adv:yn	oui
PCT	.
pro:subj	on
v:aux	avoir
v-PP	dire
PCT	.
det&PL	les
n	arbre
pro:subj&MASC	ils
v	penser
adv:neg	pas
PCT	.
co	hum
PCT	.
conj	donc
n:prop	Elfie
PCT	.
pro:subj&FEM	elle
v:exist	être
adj	convaincu
conj	qu'
pro:subj&FEM	elle
v	penser
PCT	.
conj	et
pro:subj&FEM	elle
v-PASS	dire^v|dire
conj	qu'
pro:subj&FEM	elle
v	penser
adv	même
PCT	?
conj	quand
pro:subj&FEM	elle
PCT	?
v	dormir
PCT	.
v	dormir
PCT	.
adv:yn	oui
PCT	.
co	ben
adv:yn	oui
conj	quand
pro:subj	on
v:mdllex	faire
det&PL	des
n	rêve
pro:subj	on
PCT	.
adv:yn	ouais
PCT	.
v:poss	avoir
det:poss&MASC&SING	son
n	cerveau
?	q–
pro:rel	qui
v	penser
PCT	.
pro:int	qui
v	penser
adv:yn	ouais
PCT	.
pro:dem	ça
pro:subj	vous
v	arriver
adv	souvent
prep	de
v:mdllex-INF	faire
det&PL	des
n	rêve
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
conj	et
pro:subj	vous
pro:subj	vous
pro:y	en
v	rappeler
PCT	?
PCT	.
adv:yn	oui
PCT	.
det&PL	les
n	matin
PCT	?
co	euh
adv:neg	pas
adv	tout+le+temps
adv:yn	ouais
PCT	.
pro:subj	vous
v:mdl	savoir
adv:int	pourquoi
PCT	.
pro:subj	on
pro:refl	se
v	réveiller
adv:neg	pas
adv	tout+le+temps
PCT	?
adv:yn	oui
conj	parce
conj	que
v:exist	c'est
co	hum
PCT	.
prep	comme
det&MASC&SING	un
n	train
pro:rel	où
pro:subj	on
v	dormir
PCT	.
pro:subj	on
v:mdllex	faire
det&PL	des
n	rêve
conj	et
v:exist	c'est
co	euh
PCT	.
conj	quand
pro:subj	on
pro:refl	se
v	réveiller
PCT	.
co	ben
co	euh
?	c–
adv:place	là
det&MASC&SING	le
n	train
prep	comme
co	euh
det&MASC&SING	le
n	train
PCT	.
pro:subj&MASC	il
v:aux	être
v-PP	passer
PCT	.
pro:subj	on
pro:refl	se
pro:y	en
v	souvenir
adv:neg	plus
PCT	.
adv:yn	ouais
co	ah
adv:yn	ouais
v:exist&IMPF	c'est
det&MASC&SING	le
PCT	.
?	j–
?	j–
pro:subj	je
v	connaître
det&SING	le/la
n	histoire
det&MASC&SING	du
n	train
PCT	.
v:exist	c'est
conj	parce
conj	que
PCT	.
pro:y	en
v:mdllex	faire
det:poss	notre
n	sommeil
pro:subj&MASC	il
v:exist	être
?	i–
?	i–
pro:subj&MASC	il
v:exist	il+y+a^v:exist|y+a
adv:neg	plus
PCT	.
pro:subj&MASC	il
v:aux	être
v-PP	composer
prep	de
det:gen	plusieurs
n	moment
PCT	.
co	hum
PCT	.
conj	et
v:exist	il+y+a
det&MASC&SING	un
n	moment
pro:rel	où
pro:subj	on
v	dormir
PCT	.
pro:int	où
pro:subj	on
v	rêver
PCT	.
adv	enfin
pro:subj	je
v-PASS	dire^v|dire
adv	n'importe+quoi
PCT	.
pro:int	où
pro:subj	on
v	rêver
PCT	.
conj	et
conj	si
pro:subj	vous
pro:subj	vous
v	réveiller
PCT	.
n	juste
prep	à
det:dem&MASC&SING	ce
?	moment–là
PCT	.
adv	juste
adv:place	après
PCT	.
prep:art	avant+de
v-INF	commencer
prep	de
det&SING	le/la
adj	autre
n	côté
PCT	.
pro:subj&MASC	il
pro:refl	se
v	passer
adv:neg	pas
