quatrième	ADJ	quatrième
cherche	VER:pres	chercher
des	DET:ind	un
chaussettes	NOM	chaussette
propres	ADJ	propre
et	KON	et
il	PRO:cls	il
a	AUX:pres	avoir
trouvé	VER:pper	trouver
une	DET:ind	un
paire	NOM	paire
de	PRP	de
chaussettes	NOM	chaussette
rouges	ADJ	rouge
pas	ADV	pas
vert	ADJ	vert
non	FNO	non
pas	ADV	pas
vert	ADJ	vert
comme	KON	comme
sa	DET:pos	son
culotte	NOM	culotte
et	KON	et
pas	ADV	pas
vert	ADJ	vert
comme	KON	comme
euh	INT	euh
comme	KON	comme
/euh	MLT	<unknown>
son/	MLT	<unknown>
maillot	NOM	maillot
oui	FNO	oui
son	DET:pos	son
maillot	NOM	maillot
est	VER:pres	être
vert	ADJ	vert
et	KON	et
blanc	ADJ	blanc
mais	KON	mais
il	PRO:cls	il
a	AUX:pres	avoir
trouvé	VER:pper	trouver
pas	ADV	pas
des	DET:ind	un
chaussettes	NOM	chaussette
vertes	ADJ	vert
mais	KON	mais
des	DET:ind	un
chaussettes	NOM	chaussette
rouges	ADJ	rouge
ils	PRO:cls	il
sont	AUX:pres	être
habillés	VER:pper	habiller
ils	PRO:cls	il
boivent	VER:pres	boire
leur	DET:pos	leur
chocolat	NOM	chocolat
Anaïs	NAM	<unknown>
et	KON	et
Ludovic	NAM	<unknown>
sont	VER:pres	être
hab-	TRC	<unknown>
chaud	ADJ	chaud
oui	FNO	oui
et	KON	et
pourquoi	PRO:int	pourquoi
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	NUM	@card@
deux	NUM	@card@
ben	INT	ben
là	ADV	là
on	PRO:cls	on
/est	MLT	<unknown>
était/	MLT	<unknown>
dans	PRP	dans
la	DET:def	le
page	NOM	page
combien	PRO:int	combien
.	NOM:sig	<unknown>
quatre	NUM	@card@
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
page	NOM	page
cinq	NUM	@card@
cinq	NUM	@card@
et	KON	et
l'	DET:def	le
autre	ADJ	autre
.	NOM	<unknown>
ah	INT	ah
ben	INT	ben
la	DET:def	le
page	NOM	page
un	NUM	@card@
deux	NUM	@card@
un	NUM	@card@
deux	NUM	@card@
trois	NUM	@card@
quatre	NUM	@card@
et	KON	et
cinq	NUM	@card@
donc	ADV	donc
là	ADV	là
on	PRO:cls	on
raconte	VER:pres	raconter
la	DET:def	le
page	NOM	page
cinq	NUM	@card@
donc	ADV	donc
Ludovic	NAM	<unknown>
et	KON	et
Anaïs	NAM	<unknown>
se	PRO:clo	se
sont	AUX:pres	être
habillés	VER:pper	habiller
et	KON	et
ils	PRO:cls	il
boivent	VER:pres	boire
leur	DET:pos	leur
chocolat	NOM	chocolat
chaud	ADJ	chaud
dans	PRP	dans
la	DET:def	le
cuisine	NOM	cuisine
euh	INT	euh
Anaïs	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
met	VER:pres	mettre
du	DET:par	du
dentifrice	NOM	dentifrice
parle	VER:pres	parler
bien	ADV	bien
fort	ADJ	fort
je	PRO:cls	je
t'	PRO:clo	te
entends	VER:pres	entendre
pas	ADV	pas
Anaïs	NAM	<unknown>
met	VER:pres	mettre
du	DET:par	du
dentifrice	NOM	dentifrice
sur	PRP	sur
oui	FNO	oui
sa	DET:pos	son
brosse	NOM	brosse
à	PRP	à
dents	NOM	dent
oui	FNO	oui
sa	DET:pos	son
maman	NOM	maman
se	PRO:clo	se
l-	TRC	l-
se	PRO:clo	se
lave	VER:pres	laver
les	DET:def	le
mains	NOM	main
oui	FNO	oui
et	KON	et
Ludovic	NAM	<unknown>
fait	VER:pres	faire
des	DET:ind	un
grimaces	NOM	grimace
à	PRP	à
la	DET:def	le
xxx	NOM	<unknown>
oui	FNO	oui
Anaïs	NAM	<unknown>
met	VER:pres	mettre
du	DET:par	du
dentifrice	NOM	dentifrice
sur	PRP	sur
sa	DET:pos	son
brosse	NOM	brosse
à	PRP	à
dents	NOM	dent
pendant	PRP	pendant
que	KON	que
sa	DET:pos	son
maman	NOM	maman
se	PRO:clo	se
lave	VER:pres	laver
les	DET:def	le
mains	NOM	main
et	KON	et
que	KON	que
Ludovic	NAM	<unknown>
fait	VER:pres	faire
des	DET:ind	un
grimaces	NOM	grimace
devant	PRP	devant
la	DET:def	le
glace	NOM	glace
eh	INT	eh
tu	PRO:cls	tu
as	AUX:pres	avoir
pas	ADV	pas
raconté	VER:pper	raconter
cette	DET:dem	ce
page	NOM	page
alors	ADV	alors
la	DET:def	le
page	NOM	page
là	ADV	là
tu	PRO:cls	tu
me	PRO:clo	me
l'	PRO:clo	le
as	AUX:pres	avoir
pas	ADV	pas
racontée	VER:pper	raconter
je	PRO:cls	je
l'	PRO:clo	le
avais	AUX:impf	avoir
oubliée	VER:pper	oublier
oh	INT	oh
tu	PRO:cls	tu
re-	TRC	re-
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
lequel	PRO:rel	lequel
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
page	NOM	page
sept	NUM	@card@
et	KON	et
tu	PRO:cls	tu
tu	PRO:cls	tu
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
comme	KON	comme
ça	PRO:cls	ça
.	VER:cond	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
ça	PRO:ton	ça
le	DET:def	le
sept	NUM	@card@
alors	ADV	alors
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
la	DET:def	le
page	NOM	page
sept	NUM	@card@
.	NOM	<unknown>
Ludovic	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
regarde	VER:impe	regarder
regarde	VER:impe	regarder
Anaïs	NAM	<unknown>
j'	PRO:cls	je
ai	AUX:pres	avoir
déjà	ADV	déjà
mis	VER:pper	mettre
mon	DET:pos	mon
manteau	NOM	manteau
oui	FNO	oui
Ludovic	NAM	<unknown>
dit	VER:pper	dire
à	PRP	à
Anaïs	NAM	<unknown>
regarde	VER:impe	regarder
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
déjà	ADV	déjà
mis	VER:pper	mettre
mon	DET:pos	mon
manteau	NOM	manteau
Anaïs	NAM	<unknown>
a	AUX:pres	avoir
mis	VER:pper	mettre
dans	PRP	dans
son	DET:pos	son
sac	NOM	sac
un	DET:ind	un
un	DET:ind	un
dessin	NOM	dessin
dessin	NOM	dessin
pour	PRP	pour
Ludovic	NAM	<unknown>
non	FNO	non
pour	PRP	pour
son	DET:pos	son
copain	NOM	copain
Karim	NAM	<unknown>
elle	PRO:cls	elle
a	AUX:pres	avoir
mis	VER:pper	mettre
un	DET:ind	un
dessin	NOM	dessin
dans	PRP	dans
son	DET:pos	son
sac	NOM	sac
pour	PRP	pour
son	DET:pos	son
copain	NOM	copain
xxx	NOM	<unknown>
dring	NOM	<unknown>
dring	NOM	<unknown>
dring	NOM	<unknown>
dring	NOM	<unknown>
c'	PRO:cls	ce
est	AUX:pres	être
écrit	VER:pper	écrire
là	ADV	là
on	PRO:cls	on
est	VER:pres	être
à	PRP	à
la	DET:def	le
six	NUM	@card@
non	FNO	non
la	DET:def	le
page	NOM	page
huit	NUM	@card@
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
dernière	ADJ	dernier
page	NOM	page
la	DET:def	le
page	NOM	page
huit	NUM	@card@
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
six	NUM	@card@
non	FNO	non
la	DET:def	le
six	NUM	@card@
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
déjà	ADV	déjà
racontée	VER:pper	raconter
on	PRO:cls	on
a	VER:pres	avoir
après	ADV	après
la	DET:def	le
six	NUM	@card@
y	PRO:clo	y
avait	VER:impf	avoir
la	DET:def	le
sept	NUM	@card@
et	KON	et
après	ADV	après
la	DET:def	le
sept	NUM	@card@
y	PRO:clo	y
a	VER:pres	avoir
la	DET:def	le
huit	NUM	@card@
hein	INT	hein
?	NAM	<unknown>
et	KON	et
là	ADV	là
dring	NOM	<unknown>
oui	FNO	oui
je	PRO:cls	je
vais	VER:pres	aller
regarde	VER:impe	regarder
regarde	VER:impe	regarder
moi	PRO:ton	moi
attends	VER:impe	attendre
je	PRO:cls	je
je	PRO:cls	je
.	VER:cond	<unknown>
je	PRO:cls	je
.	VER:cond	<unknown>
Karim	NOM:sig	<unknown>
a	AUX:pres	avoir
sonné	VER:pper	sonner
à	PRP	à
la	DET:def	le
porte	NOM	porte
il	PRO:cls	il
vient	VER:pres	venir
chercher	VER:infi	chercher
son	DET:pos	son
copain	NOM	copain
ses	DET:pos	son
copains	NOM	copain
-vous	PRO:clo	vous
dépêchez	VER:impe	dépêcher
les	DET:def	le
tout-mous	NOM	<unknown>
vous	PRO:cls	vous
allez	VER:pres	aller
arriver	VER:infi	arriver
en	PRP	en
retard	NOM	retard
oui	FNO	oui
Karim	NAM	<unknown>
dit	VER:pper	dire
-vous	PRO:clo	vous
dépêchez	VER:impe	dépêcher
les	DET:def	le
tout-mous	NOM	<unknown>
on	PRO:cls	on
va	VER:pres	aller
arriver	VER:infi	arriver
en	PRP	en
retard	NOM	retard
à	PRP	à
l'	DET:def	le
école	NOM	école
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
as	AUX:pres	avoir
fait	VER:pper	faire
ça	PRO:ton	ça
.	NAM	<unknown>
voilà	FNO	voilà
on	PRO:cls	on
a	AUX:pres	avoir
fini	VER:pper	finir
.	NAM	<unknown>
oui	FNO	oui
.	NAM	<unknown>
ben	INT	ben
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
toutes	DET:pre	tout
les	DET:def	le
histoires	NOM	histoire
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
dame	NOM	dame
qui	PRO:rel	qui
a	AUX:pres	avoir
écrit	VER:pper	écrire
le	DET:def	le
livre	NOM	livre
qui	PRO:rel	qui
a	AUX:pres	avoir
dit	VER:pper	dire
pourquoi	PRO:int	pourquoi
elle	PRO:cls	elle
a	AUX:pres	avoir
écrit	VER:pper	écrire
toutes	DET:pre	tout
ces	DET:dem	ce
histoires	NOM	histoire
la	DET:def	le
prochaine	ADJ	prochain
fois	NOM	fois
nous	PRO:ton	nous
on	PRO:cls	on
va	VER:pres	aller
lire	VER:infi	lire
et	KON	et
raconter	VER:infi	raconter
je	PRO:cls	je
vais	VER:pres	aller
lire	VER:infi	lire
te	PRO:clo	te
lire	VER:infi	lire
une	DET:ind	un
nouvelle	ADJ	nouveau
histoire	NOM	histoire
et	KON	et
tu	PRO:cls	tu
vas	VER:pres	aller
me	PRO:clo	me
la	PRO:clo	le
raconter	VER:infi	raconter
/ça	MLT	<unknown>
ce/	MLT	<unknown>
sera	AUX:futu	être
une	DET:ind	un
nouvelle	ADJ	nouveau
histoire	NOM	histoire
et	KON	et
tu	PRO:cls	tu
.	VER:cond	<unknown>
.	NAM	<unknown>
