depuis	ADV	depuis
non	FNO	non
ça	PRO:cls	ça
a	AUX:pres	avoir
augmenté	VER:pper	augmenter
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
dix-sept	NUM	@card@
maintenant	ADV	maintenant
ah	INT	ah
ouais	FNO	ouais
dix-sept	NUM	@card@
stationnement	NOM	stationnement
tu	PRO:cls	tu
vois	VER:pres	voir
donc	ADV	donc
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
ça	PRO:cls	ça
va	VER:pres	aller
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
non	FNO	non
plus	ADV	plus
excès	NOM	excès
de	PRP	de
vitesse	NOM	vitesse
euh	INT	euh
oui	FNO	oui
parce	TRC	parce
que	KON	que
là	ADV	là
je	PRO:cls	je
me	PRO:clo	me
serais	AUX:cond	être
fait	VER:pres	faire
tuer	VER:infi	tuer
tu	PRO:cls	tu
vois	VER:pres	voir
mais	KON	mais
euh	INT	euh
et	KON	et
du	PRP:det	du
coup	NOM	coup
je	PRO:cls	je
regarde	VER:pres	regarder
c'	PRO:cls	ce
est	AUX:pres	être
marqué	VER:pper	marquer
parking	NOM	parking
André	ADJ	<unknown>
Malraux	NOM	<unknown>
je	PRO:cls	je
dis	VER:pres	dire
mais	KON	mais
euh	INT	euh
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
plus	ADV	plus
à	PRP	à
Malraux	NOM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
enfin	ADV	enfin
déjà	ADV	déjà
je	PRO:cls	je
me	PRO:clo	me
demandais	VER:impf	demander
si	KON	si
c'	PRO:cls	ce
était	VER:impf	être
parking	NOM	parking
André	ADJ	<unknown>
Malraux	NOM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
à	PRP	à
à	PRP	à
côté	NOM	côté
de	PRP	de
l'	DET:def	le
épinette	NOM	épinette
ou	KON	ou
soit	KON	soit
tu	PRO:cls	tu
sais	VER:pres	savoir
devant	ADV	devant
là	ADV	là
hum	FNO	hum
oui	FNO	oui
mais	KON	mais
dans	PRP	dans
les	DET:def	le
deux	NUM	@card@
cas	NOM	cas
mais	KON	mais
euh	INT	euh
je	PRO:cls	je
me	PRO:clo	me
gare	VER:pres	garer
plus	ADV	plus
là-bas	ADV	là-bas
enfin	ADV	enfin
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
euh	INT	euh
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
moi	PRO:ton	moi
j'	PRO:cls	je
avais	AUX:impf	avoir
lu	VER:pper	lire
g-	TRC	g-
genre	NOM	genre
vite	ADV	vite
fait	VER:pper	faire
euh	INT	euh
parking	NOM	parking
André	ADJ	<unknown>
Malraux	NOM	<unknown>
ouais	FNO	ouais
tu	PRO:cls	tu
vois	VER:pres	voir
enfin	ADV	enfin
même	ADV	même
mes	DET:pos	mon
parents	NOM	parent
ils	PRO:cls	il
ont	AUX:pres	avoir
vu	VER:pper	voir
ça	PRO:ton	ça
ils	PRO:cls	il
avaient	AUX:impf	avoir
pas	ADV	pas
vu	VER:pper	voir
oui	FNO	oui
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
pas	ADV	pas
posés	VER:pper	poser
la	DET:def	le
question	NOM	question
ouais	FNO	ouais
ils	PRO:cls	il
se	PRO:clo	se
sont	VER:pres	être
ils	PRO:cls	il
se	PRO:clo	se
sont	AUX:pres	être
dit	VER:pper	dire
euh	INT	euh
là-bas	ADV	là-bas
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
dix	NUM	@card@
ah	INT	ah
mais	KON	mais
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
un	DET:ind	un
André	ADJ	<unknown>
Malraux	NOM	<unknown>
à	PRP	à
Nancy	NAM	Nancy
non	FNO	non
même	ADV	même
pas	ADV	pas
parce	TRC	parce
que	KON	que
euh	INT	euh
et	KON	et
xxx	NOM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
dix-sept	NUM	@card@
euh	INT	euh
dix	NUM	@card@
sept	NUM	@card@
octobre	NOM	octobre
non	FNO	non
le	DET:def	le
dix	NUM	@card@
octobre	NOM	octobre
à	PRP	à
dix-sept	NUM	@card@
heures	NOM	heure
vingt-trois	ADJ	<unknown>
et	KON	et
ma	DET:pos	mon
mère	NOM	mère
elle	PRO:cls	elle
a	AUX:pres	avoir
recherché	VER:pper	rechercher
et	KON	et
le	DET:def	le
dix-sept	NUM	@card@
octobre	NOM	octobre
euh	INT	euh
le	DET:def	le
dix	NUM	@card@
octobre	NOM	octobre
j'	PRO:cls	je
étais	VER:impf	être
euh	INT	euh
mes	DET:pos	mon
parents	NOM	parent
ils	PRO:cls	il
sont	AUX:pres	être
venus	VER:pper	venir
me	PRO:clo	me
chercher	VER:infi	chercher
à	PRP	à
Epinal	NAM	Epinal
à	PRP	à
la	DET:def	le
gare	NOM	gare
à	PRP	à
quinze	NUM	@card@
heures	NOM	heure
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
allés	VER:pper	aller
à	PRP	à
Carrefour	NOM	carrefour
euh	INT	euh
avec	PRP	avec
leur	DET:pos	leur
voiture	NOM	voiture
hein	INT	hein
pas	ADV	pas
avec	PRP	avec
la	DET:def	le
mienne	PRO:pos	mien
hein	INT	hein
avec	PRP	avec
leur	DET:pos	leur
voiture	NOM	voiture
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
on	PRO:cls	on
est	AUX:pres	être
allés	VER:pper	aller
à	PRP	à
Carrefour	NOM	carrefour
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
revenus	VER:pper	revenir
ici	ADV	ici
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
chercher	VER:infi	chercher
ma	DET:pos	mon
dernière	ADJ	dernier
paie	NOM	paie
euh	INT	euh
au	PRP:det	au
Mac	NOM	mac
Do	NOM	do
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
passés	VER:pper	passer
à	PRP	à
Norauto	NOM	<unknown>
machin	NOM	machin
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
allés	VER:pper	aller
à	PRP	à
à	PRP	à
Intersport	NOM	<unknown>
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
plein	ADV	plein
de	PRP	de
trucs	NOM	truc
tu	PRO:cls	tu
vois	VER:pres	voir
l'	DET:def	le
aprem	NOM:trc	après-midi
là	ADV	là
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
seulement	ADV	seulement
rentrés	VER:pper	rentrer
chez	PRP	chez
moi	PRO:ton	moi
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
puis	KON	puis
on	PRO:cls	on
a	AUX:pres	avoir
regardé	VER:pper	regarder
un	DET:ind	un
le	DET:def	le
ticket	NOM	ticket
de	PRP	de
caisse	NOM	caisse
de	PRP	de
de	PRP	de
tu	PRO:cls	tu
sais	VER:pres	savoir
de	PRP	de
Norauto	NOM	<unknown>
là	ADV	là
oui	FNO	oui
pour	PRP	pour
voir	VER:infi	voir
à	PRP	à
quelle	DET:int	quel
heure	NOM	heure
euh	INT	euh
à	PRP	à
quelle	DET:int	quel
heure	NOM	heure
à	PRP	à
quelle	DET:int	quel
heure	NOM	heure
on	PRO:cls	on
est	AUX:pres	être
passés	VER:pper	passer
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
à	PRP	à
dix-sept	NUM	@card@
heures	NOM	heure
dix	NUM	@card@
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
oui	FNO	oui
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
impossible	ADJ	impossible
si	KON	si
vous	PRO:cls	vous
êtes	AUX:pres	être
allés	VER:pper	aller
après	ADV	après
à	PRP	à
et	KON	et
moi	PRO:ton	moi
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
impossible	ADJ	impossible
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
moi	PRO:ton	moi
tu	PRO:cls	tu
vois	VER:pres	voir
parce	TRC	parce
que	KON	que
après	ADV	après
on	PRO:cls	on
est	AUX:pres	être
allés	VER:pper	aller
à	PRP	à
Intersport	NOM	<unknown>
donc	ADV	donc
à	PRP	à
dix-sept	NUM	@card@
heures	NOM	heure
vingt-trois	ADJ	<unknown>
j'	PRO:cls	je
étais	VER:impf	être
forcément	ADV	forcément
à	PRP	à
Intersport	NOM	<unknown>
bah	INT	bah
le	DET:def	le
temps	NOM	temps
de	PRP	de
rentrer	VER:infi	rentrer
pour	PRP	pour
retrouver	VER:infi	retrouver
ta	DET:pos	ton
voiture	NOM	voiture
en	PRP	en
plus	ADV	plus
et	KON	et
puis	KON	puis
le	DET:def	le
temps	NOM	temps
d'	PRP	un
aller	VER:infi	aller
à	PRP	à
Malraux	NOM	<unknown>
enfin	ADV	enfin
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
donc	ADV	donc
c'	PRO:cls	ce
était	VER:impf	être
improbable	ADJ	improbable
que	KON	que
ça	PRO:cls	ça
soit	VER:subp	être
moi	PRO:ton	moi
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
puis	KON	puis
on	PRO:cls	on
était	VER:impf	être
certains	PRO:ind	certains
tu	PRO:cls	tu
vois	VER:pres	voir
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
jour	NOM	jour
là	ADV	là
et	KON	et
tout	PRO:ind	tout
et	KON	et
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
euh	INT	euh
on	PRO:cls	on
va	VER:pres	aller
euh	INT	euh
bah	INT	bah
on	PRO:cls	on
va	VER:pres	aller
au	PRP:det	au
commissariat	NOM	commissariat
à	PRP	à
Remiremont	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
voir	VER:infi	voir
un	DET:ind	un
peu	NOM	peu
bah	INT	bah
voilà	FNO	voilà
ouais	FNO	ouais
tu	PRO:cls	tu
vois	VER:pres	voir
mon	DET:pos	mon
père	NOM	père
il	PRO:cls	il
explique	VER:pres	expliquer
la	DET:def	le
situation	NOM	situation
il	PRO:cls	il
dit	VER:pres	dire
ouais	FNO	ouais
euh	INT	euh
le	DET:def	le
problème	NOM	problème
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
de	PRP	de
payer	VER:infi	payer
et	KON	et
tout	PRO:ind	tout
mais	KON	mais
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
comprend	VER:pres	comprendre
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
pouvait	VER:impf	pouvoir
pas	ADV	pas
être	VER:infi	être
moi	PRO:ton	moi
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
sais	VER:pres	savoir
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
au	PRP:det	au
tennis	NOM	tennis
à	PRP	à
vingt	NUM	@card@
heures	NOM	heure
le	DET:def	le
soir	NOM	soir
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
côté	NOM	côté
de	PRP	de
l'	DET:def	le
épinette	NOM	épinette
et	KON	et
bah	INT	bah
oauis	NOM	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
payant	ADJ	payant
enfin	ADV	enfin
oui	FNO	oui
et	KON	et
puis	KON	puis
je	PRO:cls	je
me	PRO:clo	me
gare	VER:pres	garer
à	PRP	à
l'	DET:def	le
intérieur	NOM	intérieur
du	PRP:det	du
tennis	NOM	tennis
ça	PRO:cls	ça
peut	VER:pres	pouvoir
pas	ADV	pas
être	VER:infi	être
le	DET:def	le
parking	NOM	parking
André	ADJ	<unknown>
Malraux	NOM	<unknown>
bah	INT	bah
et	KON	et
puis	KON	puis
même	ADV	même
euh	INT	euh
à	PRP	à
dix-sept	NUM	@card@
heures	NOM	heure
c'	PRO:cls	ce
est	AUX:pres	être
/passé	VER:pper	<unknown>
pas	ADV	pas
ça/	MLT	<unknown>
puis	KON	puis
et	KON	et
puis	KON	puis
c'	PRO:cls	ce
est	VER:pres	être
puis	KON	puis
c'	PRO:cls	ce
est	VER:pres	être
gratuit	ADJ	gratuit
enfin	ADV	enfin
tu	PRO:cls	tu
vois	VER:pres	voir
oui	FNO	oui
et	KON	et
euh	INT	euh
et	KON	et
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
en	PRO:clo	en
fait	VER:pres	faire
nous	PRO:ton	nous
on	PRO:cls	on
avait	AUX:impf	avoir
mal	ADV	mal
lu	VER:pper	lire
enfin	ADV	enfin
tu	PRO:cls	tu
sais	VER:pres	savoir
sur	PRP	sur
la	DET:def	le
contravention	NOM	contravention
là	ADV	là
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	AUX:pres	être
marqué	VER:pper	marquer
parking	NOM	parking
André	ADJ	<unknown>
Malraux	NOM	<unknown>
ouais	FNO	ouais
mais	KON	mais
nous	PRO:ton	nous
on	PRO:cls	on
a	VER:pres	avoir
-on	PRO:cls	on
r	VER:futu	<unknown>
a	VER:pres	avoir
on	PRO:cls	on
était	AUX:impf	être
bornés	VER:pper	borner
sur	PRP	sur
ça	PRO:ton	ça
tu	PRO:cls	tu
vois	VER:pres	voir
on	PRO:cls	on
a	AUX:pres	avoir
pas	ADV	pas
regardé	VER:pper	regarder
autre	ADJ	autre
chose	NOM	chose
et	KON	et
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
était	VER:impf	être
parking	NOM	parking
André	ADJ	<unknown>
Malraux	NOM	<unknown>
à	PRP	à
Ouilles	VER:pres	ouiller
dans	PRP	dans
les	DET:def	le
Yvelines	NOM	<unknown>
s'	PRO:clo	se
il-te-plaît	VER:pres	<unknown>
dans	PRP	dans
le	DET:def	le
soixante-dix-huit	NUM	@card@
bah	INT	bah
encore	ADV	encore
pire	ADV	pire
bah	INT	bah
oui	FNO	oui
encore	ADV	encore
pire	ADV	pire
puis	KON	puis
je	PRO:cls	je
l-	TRC	l-
le	DET:def	le
brigadier	NOM	brigadier
là	ADV	là
je	PRO:cls	je
le	PRO:clo	le
regarde	VER:pres	regarder
je	PRO:cls	je
lui	PRO:clo	lui
dis	VER:pres	dire
mais	KON	mais
dans	PRP	dans
les	DET:def	le
Yvelines	NOM:sig	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
/suis	MLT	<unknown>
vais/	MLT	<unknown>
jamais	ADV	jamais
/allée	VER:pper	<unknown>
aller/	MLT	<unknown>
dans	PRP	dans
les	DET:def	le
Yvelines	NOM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
donc	ADV	donc
il	PRO:clsi	il
m'	PRO:clo	me
a	VER:pres	avoir
f-	TRC	f-
il	PRO:clsi	il
nous	PRO:clo	nous
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
tu	PRO:cls	tu
sais	VER:pres	savoir
nous	PRO:ton	nous
on	PRO:cls	on
le	PRO:clo	le
connait	VER:impf	<unknown>
un	DET:ind	un
peu	NOM	peu
c'	PRO:cls	ce
est	VER:pres	être
tu	PRO:cls	tu
sais	VER:pres	savoir
le	DET:def	le
père	NOM	père
à	PRP	à
¤Pren¤	NAM	<unknown>
le	DET:def	le
copain	NOM	copain
à	PRP	à
¤Pren¤	NAM	<unknown>
ah	INT	ah
¤Pren¤	NAM	<unknown>
¤N¤	NAM	¤N¤
ah	INT	ah
oui	FNO	oui
ouais	FNO	ouais
ils	PRO:cls	il
habitent	VER:pres	habiter
euh	INT	euh
par	PRP	par
là	ADV	là
non	FNO	non
enfin	ADV	enfin
ils	PRO:cls	il
habitent	VER:pres	habiter
ici	ADV	ici
ouais	FNO	ouais
bah	INT	bah
là	ADV	là
haut	ADJ	haut
là	ADV	là
ouais	FNO	ouais
et	KON	et
et	KON	et
du	PRP:det	du
coup	NOM	coup
il	PRO:cls	il
faisait	VER:impf	faire
du	PRP:det	du
foot	NOM	<unknown>
avec	PRP	avec
mon	DET:pos	mon
frère	NOM	frère
on	PRO:cls	on
le	PRO:clo	le
connaisait	VER:impf	<unknown>
euh	INT	euh
on	PRO:cls	on
le	PRO:clo	le
connaisait	VER:impf	<unknown>
un	DET:ind	un
peu	NOM	peu
tu	PRO:cls	tu
vois	VER:pres	voir
donc	ADV	donc
il	PRO:clsi	il
nous	PRO:clo	nous
croyait	VER:impf	croire
enfin	ADV	enfin
tu	PRO:cls	tu
vois	VER:pres	voir
normal	ADJ	normal
et	KON	et
puis	KON	puis
il	PRO:cls	il
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
bah	INT	bah
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
toi	PRO:ton	toi
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
se	PRO:clo	se
trimballe	VER:pres	<unknown>
avec	PRP	avec
ta	DET:pos	ton
plaque	NOM	plaque
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
doublette	NOM	doublette
quoi	INT	quoi
tu	PRO:cls	tu
vois	VER:pres	voir
oh	INT	oh
putain	INT	putain
c'	PRO:cls	ce
est	VER:pres	être
chaud	ADJ	chaud
bah	INT	bah
oui	FNO	oui
et	KON	et
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
il	PRO:clsi	il
nous	PRO:clo	nous
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
faut	VER:pres	falloir
faut	VER:pres	falloir
aller	VER:infi	aller
porter	VER:infi	porter
euh	INT	euh
plainte	VER:pper	plaindre
plainte	NOM	plainte
et	KON	et
tout	PRO:ind	tout
faut	VER:pres	falloir
déposer	VER:infi	déposer
plainte	VER:pper	plaindre
machin	NOM	machin
oh	INT	oh
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
est	AUX:pres	être
allés	VER:pper	aller
dans	PRP	dans
son	DET:pos	son
bureau	NOM	bureau
pendant	PRP	pendant
une	DET:ind	un
heure	NOM	heure
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
il	PRO:cls	il
a	AUX:pres	avoir
posé	VER:pper	poser
des	DET:ind	un
questions	NOM	question
et	KON	et
tout	PRO:ind	tout
bah	INT	bah
euh	INT	euh
même	ADV	même
pas	ADV	pas
enfin	ADV	enfin
tu	PRO:cls	tu
vois	VER:pres	voir
au	PRP:det	au
début	NOM	début
le	DET:def	le
temps	NOM	temps
de	PRP	de
remplir	VER:infi	remplir
le	DET:def	le
temps	NOM	temps
de	PRP	de
donner	VER:infi	donner
les	DET:def	le
papiers	NOM	papier
d-	TRC	d-
donner	VER:infi	donner
la	DET:def	le
contravention	NOM	contravention
le	DET:def	le
temps	NOM	temps
de	PRP	de
donner	VER:infi	donner
les	DET:def	le
papiers	NOM	papier
de	PRP	de
la	DET:def	le
voiture	NOM	voiture
ma	DET:pos	mon
carte	NOM	carte
d'	PRP	un
identité	NOM	identité
na	VER:impe	<unknown>
na	VER:impe	<unknown>
na	VER:impe	<unknown>
d'	PRP	un
expliquer	VER:infi	expliquer
un	DET:ind	un
peu	NOM	peu
la	DET:def	le
la	DET:def	le
situation	NOM	situation
situation	NOM	situation
parce	TRC	parce
que	KON	que
après	ADV	après
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
normalement	ADV	normalement
quand	KON	quand
euh	INT	euh
quand	KON	quand
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
il	PRO:cls	il
décrit	VER:pres	décrire
euh	INT	euh
tu	PRO:cls	tu
sais	VER:pres	savoir
le	DET:def	le
nom	NOM	nom
de	PRP	de
la	DET:def	le
voiture	NOM	voiture
machin	NOM	machin
et	KON	et
tout	PRO:ind	tout
et	KON	et
après	ADV	après
quand	KON	quand
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
qui	PRO:rel	qui
doit	VER:pres	devoir
parler	VER:infi	parler
tu	PRO:cls	tu
sais	VER:pres	savoir
dans	PRP	dans
le	DET:def	le
procès	NOM	procès
verbal	ADJ	verbal
machin	NOM	machin
normalement	ADV	normalement
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
qui	PRO:rel	qui
doit	VER:pres	devoir
raconter	VER:infi	raconter
mon	DET:pos	mon
histoire	NOM	histoire
machin	NOM	machin
alors	ADV	alors
que	KON	que
lui	PRO:ton	lui
euh	INT	euh
on	PRO:cls	on
lui	PRO:clo	lui
a	VER:pres	avoir
on	PRO:cls	on
lui	PRO:clo	lui
a	VER:pres	avoir
un	DET:ind	un
peu	NOM	peu
raconté	VER:pper	raconter
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
qui	PRO:rel	qui
écrivait	VER:impf	écrire
je	PRO:cls	je
me	PRO:clo	me
suis	VER:pres	être
euh	INT	euh
rendue	VER:pper	rendre
euh	INT	euh
ouais	FNO	ouais
machin	NOM	machin
au	PRP:det	au
commissariat	NOM	commissariat
na	ADJ	<unknown>
na	NOM	<unknown>
na	ADJ	<unknown>
et	KON	et
euh	INT	euh
mais	KON	mais
après	ADV	après
je	PRO:cls	je
pense	VER:pres	penser
il	PRO:cls	il
sait	VER:pres	savoir
aussi	ADV	aussi
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
faut	VER:pres	falloir
mettre	VER:infi	mettre
bah	INT	bah
oui	FNO	oui
dedans	ADV	dedans
hein	INT	hein
donc	ADV	donc
euh	INT	euh
bah	INT	bah
oui	FNO	oui
voilà	FNO	voilà
tu	PRO:cls	tu
sais	VER:pres	savoir
i-	TRC	i-
il	PRO:cls	il
disait	VER:impf	dire
à	PRP	à
voix	NOM	voix
haute	ADJ	haut
et	KON	et
tout	PRO:ind	tout
puis	KON	puis
nous	PRO:ton	nous
on	PRO:cls	on
disait	VER:impf	dire
oui	FNO	oui
ou	KON	ou
non	FNO	non
enfin	ADV	enfin
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
était	VER:impf	être
ouais	FNO	ouais
puis	KON	puis
mon	DET:pos	mon
père	NOM	père
qui	PRO:rel	qui
me	PRO:clo	me
dit	VER:pres	dire
ouais	FNO	ouais
normalement	ADV	normalement
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
