a-	TRC	a-
je	PRO:cls	je
pense	VER:pres	penser
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
fatigue	NOM	fatigue
hein	INT	hein
ouais	FNO	ouais
bah	INT	bah
l'	DET:def	le
article	NOM	article
euh	INT	euh
à	PRP	à
dix-huit	NUM	@card@
heures	NOM	heure
han	ADJ	<unknown>
non	FNO	non
mais	KON	mais
je	PRO:cls	je
dormais	VER:impf	dormir
ah	INT	ah
bah	INT	bah
ça	PRO:ton	ça
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
m'	PRO:clo	me
est	AUX:pres	être
arrivé	VER:pper	arriver
aussi	ADV	aussi
ça	PRO:cls	ça
faisait	VER:impf	faire
deux	NUM	@card@
heures	NOM	heure
là	ADV	là
han	NOM	<unknown>
d'	PRP	un
avant	NOM	avant
mais	KON	mais
non	FNO	non
mais	KON	mais
en	PRP	en
.	NAM	<unknown>
han	NOM	<unknown>
mais	KON	mais
à	PRP	à
un	DET:ind	un
moment	NOM	moment
ah	INT	ah
oui	FNO	oui
avec	PRP	avec
¤N¤	NAM	¤N¤
xxx	NOM	<unknown>
à	PRP	à
un	DET:ind	un
moment	NOM	moment
je	PRO:cls	je
commence	VER:pres	commencer
à	PRP	à
je	PRO:cls	je
commence	VER:pres	commencer
à	PRP	à
lire	VER:infi	lire
et	KON	et
tout	PRO:ind	tout
puis	KON	puis
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
presque	ADV	presque
endor-	VER:pper	<unknown>
endormie	VER:pper	se endormir
et	KON	et
à	PRP	à
un	DET:ind	un
moment	NOM	moment
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
sursautée	VER:pper	sursauter
tu	PRO:cls	tu
vois	VER:pres	voir
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
me	PRO:clo	me
fait	VER:pres	faire
ça	PRO:ton	ça
des	DET:ind	un
fois	NOM	fois
des	PRP:det	du
fois	NOM	fois
je	PRO:cls	je
m'	PRO:clo	me
endors	VER:pres	se endormir
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
d'	PRP	un
un	DET:ind	un
coup	NOM	coup
elle	PRO:cls	elle
me	PRO:clo	me
fait	VER:pres	faire
elle	PRO:cls	elle
han	VER:cond	<unknown>
me	PRO:clo	me
pousse	VER:pres	pousser
d'	PRP	un
un	DET:ind	un
coup	NOM	coup
et	KON	et
ça	PRO:cls	ça
me	PRO:clo	me
réveille	VER:pres	réveiller
ça	PRO:cls	ça
fait	VER:pres	faire
peur	NOM	peur
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
horrible	ADJ	horrible
ouais	FNO	ouais
non	FNO	non
mais	KON	mais
en	PRP	en
plus	ADV	plus
il	PRO:cls	il
faisait	VER:impf	faire
chaud	ADJ	chaud
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
j'	PRO:cls	je
aurais	AUX:cond	avoir
fait	VER:pper	faire
une	DET:ind	un
sieste	NOM	sieste
mais	KON	mais
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
rien	PRO:ind	rien
fait	VER:pper	faire
en	PRO:clo	en
fait	VER:pres	faire
non	FNO	non
cet	DET:dem	ce
aprem	NOM:trc	après-midi
on	PRO:cls	on
n'	ADV	ne
a	AUX:pres	avoir
rien	PRO:ind	rien
fait	VER:pper	faire
nous	PRO:ton	nous
n'	ADV	ne
avons	AUX:pres	avoir
rien	PRO:ind	rien
fait	VER:pper	faire
en	PRP	en
anglais	NOM	anglais
on	PRO:cls	on
va	VER:pres	aller
pas	ADV	pas
faire	VER:infi	faire
grand-chose	NOM	<unknown>
non	FNO	non
plus	ADV	plus
ouais	FNO	ouais
bah	INT	bah
oui	FNO	oui
juste	ADV	juste
pour	PRP	pour
dire	VER:infi	dire
on	PRO:cls	on
y	PRO:clo	y
va	VER:pres	aller
on	PRO:cls	on
y	PRO:clo	y
va	VER:pres	aller
en	PRP	en
anglais	NOM	anglais
pourquoi	PRO:int	pourquoi
on	PRO:cls	on
n'	ADV	ne
irait	VER:cond	aller
pas	ADV	pas
à	PRP	à
la	DET:def	le
bu	VER:pper	boire
bosser	VER:infi	bosser
l'	DET:def	le
anglais	NOM	anglais
nous-mêmes	PRO:ton	nous-mêmes
ouais	FNO	ouais
j'	PRO:cls	je
avoue	VER:pres	avouer
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
qu'	KON	que
on	PRO:cls	on
s'	PRO:clo	se
ennuie	VER:pres	ennuyer
en	PRP	en
anglais	NOM	anglais
mais	KON	mais
si	KON	si
elle	PRO:cls	elle
parle	VER:pres	parler
de	PRP	de
l'	DET:def	le
examen	NOM	examen
ouais	FNO	ouais
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
y	PRO:clo	y
aller	VER:infi	aller
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
elle	PRO:ton	elle
qui	PRO:rel	qui
nous	PRO:clo	nous
donne	VER:pres	donner
les	DET:def	le
dates	NOM	date
bah	INT	bah
oui	FNO	oui
hum	FNO	hum
elle	PRO:cls	elle
nous	PRO:clo	nous
donne	VER:pres	donner
notre	DET:pos	notre
date	NOM	date
de	PRP	de
passage	NOM	passage
hum	FNO	hum
hum	FNO	hum
minute	NOM	minute
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
deux	NUM	@card@
minutes	NOM	minute
hein	INT	hein
ça	PRO:cls	ça
va	VER:pres	aller
je	PRO:cls	je
te	PRO:clo	te
parlais	VER:impf	parler
euh	INT	euh
sur	PRP	sur
Facebook	NAM	Facebook
euh	INT	euh
hum	FNO	hum
pendant	PRP	pendant
le	DET:def	le
cours	NOM	cours
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
là	ADV	là
toi	PRO:ton	toi
tu	PRO:cls	tu
es	VER:pres	être
là-bas	ADV	là-bas
ouais	FNO	ouais
oui	FNO	oui
même	ADV	même
pas	ADV	pas
un	DET:ind	un
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
¤Pren¤	NAM	<unknown>
qui	PRO:rel	qui
me	PRO:clo	me
parle	VER:pres	parler
bah	INT	bah
écoute	VER:impe	écouter
j'	PRO:cls	je
aurais	AUX:cond	avoir
dit	VER:pper	dire
ça	PRO:ton	ça
à	PRP	à
voix	NOM	voix
haute	ADJ	haut
ça	PRO:cls	ça
aurait	AUX:cond	avoir
été	VER:pper	être
un	DET:ind	un
peu	NOM	peu
gênant	ADJ	gênant
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
m'	PRO:clo	me
aurait	AUX:cond	avoir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
entendu	VER:pper	entendre
là	ADV	là
au	PRP:det	au
moins	ADV	moins
personne	PRO:ind	personne
n'	ADV	ne
a	AUX:pres	avoir
calé	VER:pper	caler
que	KON	que
je	PRO:cls	je
parlais	VER:impf	parler
à	PRP	à
¤Pren¤	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
envie	NOM	envie
d'	PRP	un
aller	VER:infi	aller
en	PRP	en
anglais	NOM	anglais
toi	PRO:ton	toi
non	FNO	non
mais	KON	mais
personne	PRO:ind	personne
n'	ADV	ne
a	VER:pres	avoir
envie	NOM	envie
d'	PRP	un
aller	VER:infi	aller
en	PRP	en
anglais	NOM	anglais
tu	PRO:cls	tu
vois	VER:pres	voir
a-	TRC	a-
après	ADV	après
tu	PRO:cls	tu
vois	VER:pres	voir
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
question	NOM	question
pertinente	ADJ	pertinent
j'	PRO:cls	je
y	PRO:clo	y
vais	VER:pres	aller
en	PRP	en
anglais	NOM	anglais
moi	PRO:ton	moi
je	PRO:cls	je
trouve	VER:pres	trouver
oui	FNO	oui
voilà	FNO	voilà
ben	INT	ben
étant	VER:ppre	être
donné	VER:pper	donner
qu'	KON	que
elle	PRO:cls	elle
émarge	VER:pres	émarger
j'	PRO:cls	je
hésitais	VER:impf	hésiter
entre	PRP	entre
y	PRO:clo	y
aller	VER:infi	aller
et	KON	et
ne	ADV	ne
pas	ADV	pas
y	PRO:clo	y
aller	VER:infi	aller
et	KON	et
ben	INT	ben
euh	INT	euh
ouais	FNO	ouais
ce	DET:dem	ce
soir	NOM	soir
je	PRO:cls	je
mange	VER:pres	manger
des	DET:ind	un
lasagnes	NOM	lasagne
ça	PRO:cls	ça
me	PRO:clo	me
donne	VER:pres	donner
déjà	ADV	déjà
faim	NOM	faim
hum	FNO	hum
mais	KON	mais
non	FNO	non
moi	PRO:ton	moi
aussi	ADV	aussi
hein	INT	hein
je	PRO:cls	je
bouffe	VER:pres	bouffer
des	DET:ind	un
xxx	NOM	<unknown>
lasagnes	NOM	lasagne
j'	PRO:cls	je
adore	VER:pres	adorer
je	PRO:cls	je
vais	VER:pres	aller
m'	PRO:clo	me
en	PRO:clo	en
refaire	VER:infi	refaire
et	KON	et
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
un	DET:ind	un
tiramisu	NOM	<unknown>
à	PRP	à
midi	NOM	midi
hum	FNO	hum
et	KON	et
un	DET:ind	un
gâteau	NOM	gâteau
au	PRP:det	au
chocolat	NOM	chocolat
tu	PRO:cls	tu
as	AUX:pres	avoir
eu	VER:pper	avoir
le	DET:def	le
temps	NOM	temps
de	PRP	de
faire	VER:infi	faire
ça	PRO:ton	ça
ouais	FNO	ouais
hum	FNO	hum
genre	NOM	genre
il	PRO:clsi	il
restait	VER:impf	rester
xxx	NOM	<unknown>
xxx	NOM	<unknown>
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
le	DET:def	le
tiramisu	NOM	<unknown>
mais	KON	mais
faut	VER:pres	falloir
pas	ADV	pas
mettre	VER:infi	mettre
trop	ADV	trop
de	PRP	de
café	NOM	café
ouais	FNO	ouais
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
qui	PRO:rel	qui
l'	PRO:clo	le
ai	AUX:pres	avoir
fait	VER:pper	faire
alors	ADV	alors
j'	PRO:cls	je
en	PRO:clo	en
mets	VER:pres	mettre
pas	ADV	pas
trop	ADV	trop
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
essayé	VER:pper	essayer
tu	PRO:cls	tu
sais	VER:pres	savoir
avec	PRP	avec
quoi	INT	quoi
ça	PRO:cls	ça
doit	VER:pres	devoir
être	VER:infi	être
bon	INT	bon
avec	PRP	avec
avec	PRP	avec
du	DET:par	du
cacao	NOM	cacao
mais	KON	mais
tu	PRO:cls	tu
peux	VER:pres	pouvoir
ou	KON	ou
du	DET:par	du
non	FNO	non
mais	KON	mais
tu	PRO:cls	tu
fais	VER:pres	faire
avec	PRP	avec
un	DET:ind	un
tu	PRO:cls	tu
tu	PRO:cls	tu
mets	VER:pres	mettre
de	PRP	de
l'	DET:def	le
eau	NOM	eau
mélangée	VER:pper	mélanger
avec	PRP	avec
du	DET:par	du
sucre	NOM	sucre
ou	KON	ou
un	DET:ind	un
sirop	NOM	sirop
tu	PRO:cls	tu
vois	VER:pres	voir
ou	KON	ou
sirop	NOM	sirop
d'	PRP	un
une	DET:ind	un
boîte	NOM	boîte
de	PRP	de
fruits	NOM	fruit
ça	PRO:cls	ça
marche	VER:pres	marcher
aussi	ADV	aussi
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
pour	PRP	pour
humecter	VER:infi	humecter
les	DET:def	le
les	DET:def	le
boudoirs	NOM	boudoir
tu	PRO:cls	tu
vois	VER:pres	voir
hum	FNO	hum
hum	FNO	hum
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
besoin	NOM	besoin
ouais	FNO	ouais
forcément	ADV	forcément
de	PRP	de
prendre	VER:infi	prendre
du	PRP:det	du
café	NOM	café
oui	FNO	oui
tant	ADV	tant
que	KON	que
c'	PRO:cls	ce
est	AUX:pres	être
bien	ADV	bien
fait	VER:pper	faire
alors	ADV	alors
euh	INT	euh
la	DET:def	le
recette	NOM	recette
du	PRP:det	du
tiramsu	NOM	<unknown>
elle	PRO:cls	elle
la	PRO:clo	le
connait	VER:impf	<unknown>
par	PRP	par
coeur	NOM	coeur
à	PRP	à
force	NOM	force
de	PRP	de
le	PRO:clo	le
faire	VER:infi	faire
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
alors	ADV	alors
tu	PRO:cls	tu
mélanges	VER:pres	mélanger
ouais	FNO	ouais
trois	NUM	@card@
oeufs	NOM	oeuf
cinq	NUM	@card@
cents	NUM	@card@
grammes	NOM	gramme
de	PRP	de
mascarpone	NOM	<unknown>
cent	NUM	@card@
grammes	NOM	gramme
de	PRP	de
sucre	NOM	sucre
un	DET:ind	un
sachet	NOM	sachet
de	PRP	de
sucre	NOM	sucre
vanillé	ADJ	vanillé
tu	PRO:cls	tu
as	VER:pres	avoir
besoin	NOM	besoin
d'	PRP	un
une	DET:ind	un
tasse	NOM	tasse
de	PRP	de
café	NOM	café
pour	PRP	pour
tes	DET:pos	ton
boudoirs	NOM	boudoir
et	KON	et
du	PRP:det	du
cacao	NOM	cacao
pour	PRP	pour
parsemer	VER:infi	parsemer
le	DET:def	le
tiramisu	NOM	<unknown>
du	PRP:det	du
cacao	NOM	cacao
pour	PRP	pour
parsemer	VER:infi	parsemer
le	DET:def	le
tir-	NOM	<unknown>
avec	PRP	avec
son	DET:pos	son
petit	ADJ	petit
tamis	NOM	tamis
et	KON	et
j'	PRO:cls	je
ai	VER:pres	avoir
ma	DET:pos	mon
copine	NOM	copine
la	DET:def	le
dernière	ADJ	dernier
fois	NOM	fois
je	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
chez	PRP	chez
elle	PRO:ton	elle
e-	TRC	e-
elle	PRO:ton	elle
euh	INT	euh
elle	PRO:cls	elle
é-	TRC	é-
hum	FNO	hum
elle	PRO:cls	elle
égoutait	VER:impf	<unknown>
ses	DET:pos	son
pâtes	NOM	pâte
dans	PRP	dans
un	DET:ind	un
tamis	NOM	tamis
non	FNO	non
elle	PRO:cls	elle
n'	ADV	ne
avait	VER:impf	avoir
pas	ADV	pas
de	PRP	de
passoire	NOM	passoire
elle	PRO:cls	elle
ne	ADV	ne
savait	VER:impf	savoir
pas	ADV	pas
où	PRO:int	où
elle	PRO:cls	elle
était	VER:impf	être
mais	KON	mais
dans	PRP	dans
un	DET:ind	un
tamis	NOM	tamis
qu'	KON	que
elle	PRO:cls	elle
a	AUX:pres	avoir
mis	VER:pper	mettre
ses	DET:pos	son
pâtes	NOM	pâte
ah	INT	ah
et	KON	et
il	PRO:cls	il
était	VER:impf	être
propre	ADJ	propre
oui	FNO	oui
il	PRO:cls	il
était	VER:impf	être
propre	ADJ	propre
ah	INT	ah
ouais	FNO	ouais
mais	KON	mais
bon	INT	bon
tu	PRO:cls	tu
imagines	VER:pres	imaginer
le	DET:def	le
tamis	NOM	tamis
ça	PRO:cls	ça
sert	VER:pres	servir
à	PRP	à
autre	ADJ	autre
chose	NOM	chose
hum	FNO	hum
moi	PRO:ton	moi
ça	PRO:cls	ça
m'	PRO:clo	me
a	AUX:pres	avoir
surprise	VER:pper	surprendre
hum	FNO	hum
mais	KON	mais
non	FNO	non
mais	KON	mais
pas	ADV	pas
un	DET:ind	un
tamis	NOM	tamis
de	PRP	de
bricolage	NOM	bricolage
ah	INT	ah
bon	INT	bon
bah	INT	bah
un	DET:ind	un
tamis	NOM	tamis
bah	INT	bah
pour	PRP	pour
euh	INT	euh
pour	PRP	pour
la	DET:def	le
cuisine	NOM	cuisine
pour	PRP	pour
vider	VER:infi	vider
de	PRP	de
la	DET:def	le
farine	NOM	farine
un	DET:ind	un
tout	ADV	tout
petit	ADJ	petit
tu	PRO:cls	tu
vois	VER:pres	voir
tu	PRO:cls	tu
pour	PRP	pour
la	DET:def	le
nourriture	NOM	nourriture
han	NOM	<unknown>
mon	DET:pos	mon
dieu	NOM	dieu
elle	PRO:cls	elle
a	AUX:pres	avoir
cru	VER:pper	croire
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
pâte	NOM	pâte
l'	DET:def	le
une	NUM	@card@
après	ADV	après
l'	DET:def	le
autre	ADJ	autre
mais	KON	mais
elle	PRO:ton	elle
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
il	PRO:clsi	il
était	VER:impf	être
propre	ADJ	propre
à	PRP	à
à	PRP	à
quoi	INT	quoi
tu	PRO:cls	tu
pensais	VER:impf	penser
à	PRP	à
un	DET:ind	un
truc	NOM	truc
de	PRP	de
bricolage	NOM	bricolage
un	DET:ind	un
truc	NOM	truc
pour	PRP	pour
mettre	VER:infi	mettre
le	DET:def	le
sable	NOM	sable
oui	FNO	oui
voilà	FNO	voilà
alors	ADV	alors
un	DET:ind	un
truc	NOM	truc
de	PRP	de
bricolage	NOM	bricolage
xxx	NOM	<unknown>
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
du	PRP:det	du
sable	NOM	sable
avant	ADV	avant
dedans	ADV	dedans
et	KON	et
puis	KON	puis
elle	PRO:ton	elle
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
si	KON	si
il	PRO:cls	il
est	VER:pres	être
propre	ADJ	propre
ton	DET:pos	ton
tamis	NOM	tamis
de	PRP	de
bricolage	NOM	bricolage
si	KON	si
elle	PRO:cls	elle
peut	VER:pres	pouvoir
mettre	VER:infi	mettre
des	DET:ind	un
pâtes	NOM	pâte
han	ADJ	<unknown>
oh	INT	oh
non	FNO	non
¤Pren¤	NAM	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pire	ADV	pire
que	KON	que
de	PRP	de
faire	VER:infi	faire
là	ADV	là
quand	KON	quand
même	ADV	même
pas	ADV	pas
par	PRP	par
exemple	NOM	exemple
des	PRP:det	du
pâtes	NOM	pâte
bouilloire	NOM	bouilloire
des	PRP:det	du
pâtes	NOM	pâte
dans	PRP	dans
la	DET:def	le
bouilloire	NOM	bouilloire
oh	INT	oh
bah	INT	bah
bah	INT	bah
en	PRP	en
cité	NOM	cité
u	ADJ	<unknown>
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
plein	ADV	plein
hein	INT	hein
ah	INT	ah
ouah	INT	ouah
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
dégueux	ADJ	<unknown>
mais	KON	mais
ça	PRO:cls	ça
marche	VER:pres	marcher
au	PRP:det	au
moins	ADV	moins
ben	INT	ben
oui	FNO	oui
bah	INT	bah
oui	FNO	oui
parce	TRC	parce
que	KON	que
la	DET:def	le
bouilloire	NOM	bouilloire
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
l'	DET:def	le
eau	NOM	eau
qui	PRO:rel	qui
boue	NOM	boue
donc	ADV	donc
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
ah	INT	ah
bon	INT	bon
mais	KON	mais
si	KON	si
non	FNO	non
mais	KON	mais
¤Pren¤	NAM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
maligne	ADJ	malin
cette	DET:dem	ce
¤Pren¤	NAM	<unknown>
non	FNO	non
mais	KON	mais
attend	VER:pres	attendre
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
dégueu	NOM	<unknown>
aussi	ADV	aussi
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
horrible	ADJ	horrible
bah	INT	bah
moi	PRO:ton	moi
euh	INT	euh
imagine	VER:impe	imaginer
le	DET:def	le
calcaire	NOM	calcaire
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
dans	PRP	dans
la	DET:def	le
bouilloire	NOM	bouilloire
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
à	PRP	à
la	DET:def	le
fac	NOM:trc	faculté
de	PRP	de
biologie	NOM	biologie
ah	INT	ah
ils	PRO:cls	il
fermaient	VER:impf	fermer
la	DET:def	le
la	DET:def	le
xxx	NOM	<unknown>
euh	INT	euh
comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
oh	INT	oh
putain	INT	putain
c'	PRO:cls	ce
est	VER:pres	être
sale	ADJ	sale
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
mille	NUM	@card@
euros	NOM	euro
ouais	FNO	ouais
oui	FNO	oui
j'	PRO:cls	je
aurai	VER:futu	avoir
une	DET:ind	un
résidence	NOM	résidence
xxx	NOM	<unknown>
et	KON	et
j'	PRO:cls	je
aurai	VER:futu	avoir
un	DET:ind	un
studio	NOM	studio
et	KON	et
ouais	FNO	ouais
ouais	FNO	ouais
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
sûr	ADJ	sûr
encore	ADV	encore
après	ADV	après
euh	INT	euh
à	PRP	à
montpellier	NOM	<unknown>
à	PRP	à
montpellier	NOM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
fait	VER:pper	faire
la	DET:def	le
demande	NOM	demande
là	ADV	là
tu	PRO:cls	tu
as	AUX:pres	avoir
fait	VER:pper	faire
la	DET:def	le
demande	NOM	demande
au	PRP:det	au
minimum	NOM	minimum
j'	PRO:cls	je
aurai	VER:futu	avoir
vingt	NUM	@card@
mètres	NOM	mètre
carré	VER:pper	carrer
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
partir	VER:infi	partir
du	PRP:det	du
quinze	NUM	@card@
janvier	NOM	janvier
tu	PRO:cls	tu
vas	VER:pres	aller
faire	VER:infi	faire
la	DET:def	le
demande	NOM	demande
oui	FNO	oui
l'	DET:def	le
année	NOM	année
prochaine	ADJ	prochain
je	PRO:cls	je
serai	VER:futu	être
au	PRP:det	au
soleil	NOM	soleil
mais	KON	mais
tu	PRO:cls	tu
connais	VER:pres	connaître
quelqu'un	PRO:ind	quelqu'un
à	PRP	à
montpellier	NOM	<unknown>
j'	PRO:cls	je
espère	VER:pres	espérer
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
xxx	NOM	<unknown>
bah	INT	bah
j'	PRO:cls	je
ai	VER:pres	avoir
ma	DET:pos	mon
tatie	NOM	<unknown>
et	KON	et
mon	DET:pos	mon
grand-père	NOM	<unknown>
ah	INT	ah
d'	PRP	un
accord	NOM	accord
qui	PRO:rel	qui
habitent	VER:pres	habiter
là-bas	ADV	là-bas
mais	KON	mais
euh	INT	euh
je	PRO:cls	je
les	PRO:clo	le
vois	VER:pres	voir
de	PRP	de
juste	ADV	juste
les	DET:def	le
étés	NOM	été
ma	DET:pos	mon
mère	NOM	mère
et	KON	et
mon	DET:pos	mon
frère	NOM	frère
vont	VER:pres	aller
me	PRO:clo	me
rejoindre	VER:infi	rejoindre
et	KON	et
pourquoi	PRO:int	pourquoi
montpellier	NOM	<unknown>
bah	INT	bah
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
ville	NOM	ville
que	KON	que
je	PRO:cls	je
préfère	VER:pres	préférer
depuis	ADV	depuis
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
petite	ADJ	petit
et	KON	et
que	KON	que
bah	INT	bah
faut	VER:pres	falloir
choisir	VER:infi	choisir
où	PRO:int	où
passer	VER:infi	passer
le	DET:def	le
concours	NOM	concours
d'	PRP	un
instit	NOM	<unknown>
et	KON	et
que	KON	que
je	PRO:cls	je
préfère	VER:pres	préférer
