hé	INT	hé
xxx	NOM	<unknown>
ouais	FNO	ouais
pas	ADV	pas
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
si	KON	si
tu	PRO:cls	tu
vois	VER:pres	voir
eh	INT	eh
ben	INT	ben
elle	PRO:ton	elle
tu	PRO:cls	tu
vois	VER:pres	voir
quand	KON	quand
quand	KON	quand
il	PRO:cls	il
prend	VER:pres	prendre
des	DET:ind	un
mains	NOM	main
méchamment	ADV	méchamment
là	ADV	là
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
contente	ADJ	content
quand	KON	quand
il	PRO:cls	il
prend	VER:pres	prendre
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
quand	KON	quand
on	PRO:cls	on
prend	VER:pres	prendre
méchamment	ADV	méchamment
des	DET:ind	un
mains	NOM	main
à	PRP	à
à	PRP	à
elle	PRO:ton	elle
là	ADV	là
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
contente	ADJ	content
quand	KON	quand
tu	PRO:cls	tu
prends	VER:pres	prendre
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
méchamment	ADV	méchamment
des	DET:ind	un
mains	NOM	main
ah	INT	ah
quand	KON	quand
tu	PRO:cls	tu
prends	VER:pres	prendre
quelque	ADJ	<unknown>
chose	NOM	chose
méchamment	ADV	méchamment
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
oui	FNO	oui
quand	KON	quand
tu	PRO:cls	tu
tu	PRO:cls	tu
arraches	VER:pres	arracher
quelque	ADJ	<unknown>
chose	NOM	chose
des	PRP:det	du
mains	NOM	main
.	NAM	<unknown>
ouais	FNO	ouais
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
normal	ADJ	normal
il	PRO:cls	il
faut	VER:pres	falloir
être	VER:infi	être
gentil	ADJ	gentil
faut	VER:pres	falloir
demander	VER:infi	demander
faut	VER:pres	falloir
être	AUX:infi	être
poli	VER:pper	polir
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
normal	ADJ	normal
mais	KON	mais
j'	PRO:cls	je
aime	VER:pres	aimer
que	KON	que
des	DET:ind	un
fois	NOM	fois
bien	ADV	bien
xxx	NOM	<unknown>
ah	INT	ah
bon	INT	bon
?	NAM	<unknown>
ah	INT	ah
ben	INT	ben
dis-donc	NOM	<unknown>
hum	FNO	hum
tu	PRO:cls	tu
fais	VER:pres	faire
quoi	INT	quoi
là	ADV	là
.	VER:simp	<unknown>
je	PRO:cls	je
colorie	VER:pres	colorier
hum	FNO	hum
tu	PRO:cls	tu
colories	VER:pres	colorier
le	DET:def	le
bec	NOM	bec
?	NAM	<unknown>
le	DET:def	le
museau	NOM	museau
.	NAM	<unknown>
et	KON	et
là	ADV	là
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
content	ADJ	content
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
content	ADJ	content
quoi	INT	quoi
.	NAM	<unknown>
hum	FNO	hum
l'	DET:def	le
autre	ADJ	autre
parce	TRC	parce
que	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
il	PRO:clsi	il
aime	VER:pres	aimer
pas	ADV	pas
trop	ADV	trop
Tic	NOM	tic
Tic	NOM	tic
et	KON	et
Tac	NOM	tac
et	KON	et
euh	INT	euh
hum	FNO	hum
et	KON	et
voilà	FNO	voilà
il	PRO:cls	il
veut	VER:pres	vouloir
leur	PRO:clo	lui
faire	VER:infi	faire
du	PRP:det	du
mal	NOM	mal
il	PRO:cls	il
est	VER:pres	être
méchant	ADJ	méchant
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
qu'	KON	que
il	PRO:cls	il
crie	VER:pres	crier
très	ADV	très
méchamment	ADV	méchamment
hum	FNO	hum
et	KON	et
ben	INT	ben
moi	PRO:ton	moi
si	KON	si
si	KON	si
si	KON	si
il	PRO:cls	il
fait	VER:pres	faire
ça	PRO:ton	ça
mon	DET:pos	mon
poisson	NOM	poisson
à	PRP	à
quelqu'un	PRO:ind	quelqu'un
moi	PRO:ton	moi
moi	PRO:ton	moi
je	PRO:cls	je
lui	PRO:clo	lui
donne	VER:pres	donner
un	DET:ind	un
coup	NOM	coup
de	PRP	de
pied	NOM	pied
tu	PRO:cls	tu
donnes	VER:pres	donner
un	DET:ind	un
coup	NOM	coup
de	PRP	de
pied	NOM	pied
si	KON	si
quelqu'un	PRO:ind	quelqu'un
touche	VER:pres	toucher
à	PRP	à
ton	DET:pos	ton
poisson	NOM	poisson
.	NAM	<unknown>
ouais	FNO	ouais
euh	INT	euh
ouais	FNO	ouais
ou	KON	ou
ou	KON	ou
sinon	ADV	sinon
ou	KON	ou
sinon	ADV	sinon
si	KON	si
il	PRO:cls	il
fait	VER:pres	faire
du	DET:par	du
mal	NOM	mal
xxx	NOM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
prends	VER:pres	prendre
le	DET:def	le
fusil	NOM	fusil
de	PRP	de
Papa	NOM	papa
et	KON	et
je	PRO:cls	je
le	PRO:clo	le
tue	VER:pres	tuer
oh	INT	oh
voilà	FNO	voilà
hein	INT	hein
.	NAM	<unknown>
quand	KON	quand
même	ADV	même
pas	ADV	pas
quand	KON	quand
même	ADV	même
ben	INT	ben
si	KON	si
oh	INT	oh
ben	INT	ben
non	FNO	non
xxx	NOM	<unknown>
xxx	NOM	<unknown>
non	FNO	non
tu	PRO:cls	tu
tu	PRO:cls	tu
dis	VER:pres	dire
oui	FNO	oui
touches	VER:pres	toucher
pas	ADV	pas
à	PRP	à
mon	DET:pos	mon
poisson	NOM	poisson
mais	KON	mais
bon	INT	bon
non	FNO	non
je	PRO:cls	je
le	PRO:clo	le
tuerai	VER:futu	tuer
oh	INT	oh
la	DET:def	le
la	DET:def	le
tu	PRO:cls	tu
es	VER:pres	être
violente	ADJ	violent
Laureen	NOM	<unknown>
on	PRO:cls	on
jouera	VER:futu	jouer
après	ADV	après
.	VER:simp	<unknown>
hein	INT	hein
.	NAM	<unknown>
on	PRO:cls	on
jouera	VER:futu	jouer
après	ADV	après
.	VER:simp	<unknown>
quand	KON	quand
tu	PRO:cls	tu
as	AUX:pres	avoir
fini	VER:pper	finir
hum	FNO	hum
de	PRP	de
colorier	VER:infi	colorier
.	NAM	<unknown>
tu	PRO:cls	tu
finis	VER:pres	finir
de	PRP	de
colorier	VER:infi	colorier
et	KON	et
puis	KON	puis
on	PRO:cls	on
joue	VER:pres	jouer
à	PRP	à
ça	PRO:ton	ça
après	ADV	après
.	VER:simp	<unknown>
ouais	FNO	ouais
d'	PRP	un
accord	NOM	accord
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
ces	DET:dem	ce
c'	PRO:cls	ce
est	VER:pres	être
ces	DET:dem	ce
trois	NUM	@card@
couleurs	NOM	couleur
que	KON	que
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
plus	ADV	plus
que	KON	que
trois	NUM	@card@
hein	INT	hein
.	NAM	<unknown>
non	FNO	non
euh	INT	euh
euh	INT	euh
hum	FNO	hum
non	FNO	non
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
tu	PRO:cls	tu
cherches	VER:pres	chercher
.	NAM	<unknown>
tu	PRO:cls	tu
peux	VER:pres	pouvoir
m'	PRO:clo	me
attraper	VER:infi	attraper
lui	PRO:ton	lui
là	ADV	là
.	VER:simp	<unknown>
mais	KON	mais
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
l'	PRO:clo	le
attraper	VER:infi	attraper
?	NAM	<unknown>
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
l'	PRO:clo	le
attraper	VER:infi	attraper
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
parce	TRC	parce
que	KON	que
quoi	INT	quoi
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
hop	INT	hop
merci	FNO	merci
.	NAM	<unknown>
.	NAM	<unknown>
mieux	ADV	mieux
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
xxx	NOM	<unknown>
tes	DET:pos	ton
enfants	NOM	enfant
?	NAM	<unknown>
hein	INT	hein
.	VER:impe	<unknown>
tes	DET:pos	ton
quoi	INT	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
tes	DET:pos	ton
enfants	NOM	enfant
.	NAM	<unknown>
ah	INT	ah
mais	KON	mais
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
d'	PRP	un
enfant	NOM	enfant
Laureen	ADJ	<unknown>
alors	ADV	alors
pour-	VER:simp	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
qui	PRO:rel	qui
a	AUX:pres	avoir
colorié	VER:pper	colorier
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
hum	FNO	hum
ça	PRO:cls	ça
devait	VER:impf	devoir
être	VER:infi	être
ma	DET:pos	mon
soeur	NOM	soeur
ouais	FNO	ouais
parce	TRC	parce
que	PRO:rel	que
en	PRO:clo	en
fait	VER:pres	faire
ce	DET:dem	ce
livre	NOM	livre
là	ADV	là
euh	INT	euh
hum	FNO	hum
c'	PRO:cls	ce
était	VER:impf	être
à	PRP	à
moi	PRO:ton	moi
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
petite	ADJ	petit
oui	FNO	oui
et	KON	et
puis	KON	puis
euh	INT	euh
ma	DET:pos	mon
soeur	NOM	soeur
a	AUX:pres	avoir
dû	VER:pper	devoir
colorier	VER:infi	colorier
dessus	ADV	dessus
aussi	ADV	aussi
alors	ADV	alors
moi	PRO:ton	moi
je	PRO:cls	je
colorie	VER:pres	colorier
dessus	ADV	dessus
ben	INT	ben
voilà	FNO	voilà
tu	PRO:cls	tu
vois	VER:pres	voir
il	PRO:cls	il
est	VER:pres	être
très	ADV	très
méchant	ADJ	méchant
hum	FNO	hum
pourquoi	PRO:int	pourquoi
il	PRO:cls	il
aime	VER:pres	aimer
pas	ADV	pas
beaucoup	ADV	beaucoup
Tic	NOM	tic
et	KON	et
Tac	NOM	tac
.	NAM	<unknown>
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
lire	VER:infi	lire
là	ADV	là
pourquoi	PRO:int	pourquoi
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
c'	PRO:cls	ce
est	AUX:pres	être
marqué	VER:pper	marquer
Laureen	NAM	<unknown>
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
parce	TRC	parce
que	KON	que
voilà	FNO	voilà
Tic	NOM	tic
et	KON	et
Tac	NOM	tac
ils	PRO:cls	il
font	VER:pres	faire
plein	ADV	plein
de	PRP	de
de	PRP	de
bêtises	NOM	bêtise
autour	ADV	autour
de	PRP	de
sa	DET:pos	son
maison	NOM	maison
et	KON	et
hum	FNO	hum
puis	KON	puis
ben	INT	ben
ça	PRO:cls	ça
l'	PRO:clo	le
énerve	VER:pres	énerver
donc	ADV	donc
voilà	FNO	voilà
hop	INT	hop
une	DET:ind	un
autre	ADJ	autre
couleur	NOM	couleur
.	NAM	<unknown>
ah	INT	ah
oui	FNO	oui
toutes	DET:pre	tout
les	DET:def	le
couleurs	NOM	couleur
que	KON	que
je	PRO:cls	je
cherchais	VER:impf	chercher
oh	INT	oh
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
qui	PRO:rel	qui
a	AUX:pres	avoir
perdu	VER:pper	perdre
son	DET:pos	son
bouchon	NOM	bouchon
hum	FNO	hum
où	PRO:int	où
il	PRO:cls	il
est	VER:pres	être
?	NAM	<unknown>
où	PRO:rel	où
il	PRO:clsi	il
est	VER:pres	être
.	ADJ	<unknown>
xxx	NOM	<unknown>
ça	PRO:cls	ça
peut	VER:pres	pouvoir
pas	ADV	pas
être	VER:infi	être
tiens	INT	tiens
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
possible	ADJ	possible
xxx	NOM	<unknown>
tiens	INT	tiens
-le	PRO:clo	le
mets	VER:impe	mettre
-le	PRO:clo	le
mets	VER:impe	mettre
moi	PRO:ton	moi
je	PRO:cls	je
vais	VER:pres	aller
colorier	VER:infi	colorier
Tic	NOM	tic
et	KON	et
Tac	NOM	tac
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
Tic	NOM	tic
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
en	PRP	en
premier	ADJ	premier
je	PRO:cls	je
vais	VER:pres	aller
colorier	VER:infi	colorier
Tic	NOM	tic
et	KON	et
à	PRP	à
l'	DET:def	le
école	NOM	école
tu	PRO:cls	tu
fais	VER:pres	faire
du	DET:par	du
coloriage	NOM	coloriage
.	NAM	<unknown>
non	FNO	non
jamais	ADV	jamais
jamais	ADV	jamais
.	VER:simp	<unknown>
la	DET:def	le
maîtresse	NOM	maîtresse
elle	PRO:cls	elle
veut	VER:pres	vouloir
pas	ADV	pas
mais	KON	mais
tu	PRO:cls	tu
fais	VER:pres	faire
quoi	INT	quoi
alors	ADV	alors
.	VER:simp	<unknown>
et	KON	et
ben	INT	ben
elle	PRO:ton	elle
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
xxx	NOM	<unknown>
arrêter	VER:infi	arrêter
arrêter	VER:infi	arrêter
de	PRP	de
jouer	VER:infi	jouer
arrêter	VER:infi	arrêter
arrêter	VER:infi	arrêter
mais	KON	mais
on	PRO:cls	on
sait	VER:pres	savoir
pas	ADV	pas
quoi	PRO:int	quoi
faire	VER:infi	faire
après	ADV	après
hein	INT	hein
.	NAM	<unknown>
elle	PRO:cls	elle
s'	PRO:clo	se
énerve	VER:pres	énerver
.	NAM	<unknown>
ben	INT	ben
oui	FNO	oui
euh	INT	euh
elle	PRO:cls	elle
veut	VER:pres	vouloir
pas	ADV	pas
qu'	KON	que
on	PRO:cls	on
joue	VER:pres	jouer
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
jouets	NOM	jouet
ben	INT	ben
dis-donc	NOM	<unknown>
ben	INT	ben
alors	ADV	alors
tu	PRO:cls	tu
fais	VER:pres	faire
quoi	PRO:int	quoi
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
bon	INT	bon
tu	PRO:cls	tu
fais	VER:pres	faire
quand	KON	quand
même	ADV	même
quelque	ADJ	<unknown>
chose	NOM	chose
.	NAM	<unknown>
ben	INT	ben
non	FNO	non
tu	PRO:cls	tu
chantes	VER:pres	chanter
.	NAM	<unknown>
je	PRO:cls	je
fais	VER:pres	faire
rien	PRO:ind	rien
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
chansons	NOM	chanson
.	NAM	<unknown>
non	FNO	non
non	FNO	non
.	NAM	<unknown>
on	PRO:cls	on
fait	VER:pres	faire
rien	PRO:ind	rien
on	PRO:cls	on
attend	VER:pres	attendre
sur	PRP	sur
le	DET:def	le
banc	NOM	banc
nous	PRO:ton	nous
on	PRO:cls	on
s'	PRO:clo	se
énerve	VER:pres	énerver
après	ADV	après
hein	INT	hein
.	NAM	<unknown>
ah	INT	ah
ben	INT	ben
oui	FNO	oui
on	PRO:cls	on
s'	PRO:clo	se
énerve	VER:pres	énerver
parce	TRC	parce
que	KON	que
nous	PRO:ton	nous
on	PRO:cls	on
veut	VER:pres	vouloir
jouer	VER:infi	jouer
qu'	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
même	ADV	même
pas	ADV	pas
jouer	VER:infi	jouer
là-haut	ADV	là-haut
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
jouets	NOM	jouet
au-dessus	ADV	au-dessus
hum	FNO	hum
hum	FNO	hum
elle	PRO:ton	elle
vous	PRO:cls	vous
fait	VER:pres	faire
travailler	VER:infi	travailler
.	NAM	<unknown>
euh	INT	euh
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
ben	INT	ben
elle	PRO:cls	elle
vous	PRO:clo	vous
fait	VER:pres	faire
faire	VER:infi	faire
quoi	INT	quoi
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
elle	PRO:cls	elle
nous	PRO:clo	nous
laisse	VER:pres	laisser
sur	PRP	sur
le	DET:def	le
banc	NOM	banc
vous	PRO:cls	vous
faites	VER:pres	faire
rien	PRO:ind	rien
.	NOM:sig	<unknown>
ben	INT	ben
oui	FNO	oui
qui	PRO:rel	qui
attend	VER:pres	attendre
on	PRO:cls	on
attend	VER:pres	attendre
que	KON	que
les	DET:def	le
copains	NOM	copain
viennent	VER:pres	venir
xxx	NOM	<unknown>
on	PRO:cls	on
s'	PRO:clo	se
énerve	VER:pres	énerver
on	PRO:cls	on
s'	PRO:clo	se
énerve	VER:pres	énerver
parce	TRC	parce
que	KON	que
la	DET:def	le
journée	NOM	journée
on	PRO:cls	on
veut	VER:pres	vouloir
jouer	VER:infi	jouer
euh	INT	euh
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
marre	ADV	marre
à	PRP	à
la	DET:def	le
fin	NOM	fin
et	KON	et
ben	INT	ben
dites-donc	NOM	<unknown>
et	KON	et
vous	PRO:cls	vous
faites	VER:pres	faire
des	DET:ind	un
sorties	NOM	sortie
.	NAM	<unknown>
quoi	INT	quoi
.	NAM	<unknown>
vous	PRO:cls	vous
faites	VER:pres	faire
des	DET:ind	un
sorties	NOM	sortie
avec	PRP	avec
l'	DET:def	le
école	NOM	école
.	NAM	<unknown>
ben	INT	ben
non	FNO	non
même	ADV	même
pas	ADV	pas
même	ADV	même
pas	ADV	pas
tu	PRO:cls	tu
as	AUX:pres	avoir
pas	ADV	pas
fait	VER:pper	faire
une	DET:ind	un
seule	ADJ	seul
sortie	NOM	sortie
avec	PRP	avec
l'	DET:def	le
école	NOM	école
.	NAM	<unknown>
ben	INT	ben
non	FNO	non
non	FNO	non
.	NAM	<unknown>
ah	INT	ah
si	KON	si
ah	INT	ah
ben	INT	ben
alors	ADV	alors
mais	KON	mais
mais	KON	mais
elle	PRO:ton	elle
après	ADV	après
on	PRO:cls	on
retourne	VER:pres	retourner
tout	PRO:ind	tout
de	PRP	de
suite	NOM	suite
sur	PRP	sur
le	DET:def	le
banc	NOM	banc
on	PRO:cls	on
fait	VER:pres	faire
même	ADV	même
pas	ADV	pas
de	PRP	de
travail	NOM	travail
sur	PRP	sur
le	DET:def	le
banc	NOM	banc
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
grand	ADJ	grand
banc	NOM	banc
alors	ADV	alors
pour	PRP	pour
mettre	VER:infi	mettre
toute	DET:pre	tout
la	DET:def	le
classe	NOM	classe
ben	INT	ben
oui	FNO	oui
et	KON	et
le	DET:def	le
banc	NOM	banc
il	PRO:cls	il
est	VER:pres	être
où	PRO:int	où
?	NOM:sig	<unknown>
dans	PRP	dans
la	DET:def	le
classe	NOM	classe
?	NAM	<unknown>
ouais	FNO	ouais
.	NAM	<unknown>
oh	INT	oh
mais	KON	mais
demain	ADV	demain
tu	PRO:cls	tu
sais	VER:pres	savoir
et	KON	et
ben	INT	ben
pour	PRP	pour
aller	VER:infi	aller
à	PRP	à
l'	DET:def	le
école	NOM	école
je	PRO:cls	je
te	PRO:clo	te
reverrai	VER:futu	revoir
plus	ADV	plus
tu	PRO:cls	tu
.	VER:cond	<unknown>
quand	KON	quand
quand	KON	quand
c-	TRC	c-
déjà	ADV	déjà
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
anniversaire	NOM	anniversaire
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
Noël	NAM	Noël
après	ADV	après
je	PRO:cls	je
vais	VER:pres	aller
à	PRP	à
l'	DET:def	le
école	NOM	école
et	KON	et
je	PRO:cls	je
xxx	NOM	<unknown>
plus	ADV	plus
et	KON	et
je	PRO:cls	je
te	PRO:clo	te
revois	VER:pres	revoir
plus	ADV	plus
moi	PRO:ton	moi
tu	PRO:cls	tu
vas	VER:pres	aller
plus	ADV	plus
me	PRO:clo	me
revoir	VER:infi	revoir
.	NAM	<unknown>
non	FNO	non
mais	KON	mais
si	KON	si
je	PRO:cls	je
vais	VER:pres	aller
venir	VER:infi	venir
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
mais	KON	mais
non	FNO	non
te	PRO:clo	te
voir	VER:infi	voir
tu	PRO:cls	tu
pourras	VER:futu	pouvoir
pas	ADV	pas
pourquoi	PRO:int	pourquoi
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
.	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
je	PRO:cls	je
dormira	VER:futu	dormir
cinq	NUM	@card@
jours	NOM	jour
là-bas	ADV	là-bas
à	PRP	à
l'	DET:def	le
école	NOM	école
?	NAM	<unknown>
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
et	KON	et
ce	PRO:cls	ce
sera	VER:futu	être
très	ADV	très
long	ADJ	long
hum	FNO	hum
hum	FNO	hum
mais	KON	mais
mon	DET:pos	mon
école	NOM	école
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
très	ADV	très
loin	ADV	loin
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
côté	NOM	côté
de	PRP	de
chez	PRP	chez
toi	PRO:ton	toi
ah	INT	ah
ouais	FNO	ouais
mais	KON	mais
tu	PRO:cls	tu
vois	VER:pres	voir
mais	KON	mais
on	PRO:cls	on
va	VER:pres	aller
partir	VER:infi	partir
très	ADV	très
loin	ADV	loin
très	ADV	très
loin	ADV	loin
il	PRO:clsi	il
faudra	VER:futu	falloir
marcher	VER:infi	marcher
marcher	VER:infi	marcher
marcher	VER:infi	marcher
ça	PRO:cls	ça
sera	VER:futu	être
long	ADJ	long
loin	ADV	loin
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
ton	DET:pos	ton
anniversaire	NOM	anniversaire
.	NAM	<unknown>
euh	INT	euh
déjà	ADV	déjà
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
anniversaire	NOM	anniversaire
après	ADV	après
c'	PRO:cls	ce
est	VER:pres	être
Noël	NAM	Noël
eh	INT	eh
ben	INT	ben
dis-donc	NOM	<unknown>
tu	PRO:cls	tu
vas	VER:pres	aller
être	AUX:infi	être
gâtée	VER:pper	gâter
hein	INT	hein
.	NAM	<unknown>
ouais	FNO	ouais
mais	KON	mais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
si	KON	si
on	PRO:cls	on
est	VER:pres	être
très	ADV	très
sage	ADJ	sage
ah	INT	ah
ben	INT	ben
bien	ADV	bien
xxx	NOM	<unknown>
sûr	ADJ	sûr
hein	INT	hein
.	NAM	<unknown>
