donc	ADV	donc
va	VER:pres	aller
que	KON	que
jusqu'	PRP	jusque
au	PRP:det	au
trente	NUM	@card@
je	PRO:cls	je
crois	VER:pres	croire
la	DET:def	le
promo	NOM:trc	promotion
elle	PRO:cls	elle
a	VER:pres	avoir
elle	PRO:cls	elle
est	VER:pres	être
que	KON	que
s-	TRC	s-
que	KON	que
sur	PRP	sur
quelques	DET:ind	quelque
jours	NOM	jour
alors	ADV	alors
elle	PRO:cls	elle
est	AUX:pres	être
allée	VER:pper	aller
chercher	VER:infi	chercher
la	DET:def	le
pub	NOM:trc	publicité
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
ah	INT	ah
ben	INT	ben
effectivement	ADV	effectivement
vous	PRO:cls	vous
avez	VER:pres	avoir
raison	NOM	raison
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
ben	INT	ben
écoutez	VER:impe	écouter
passez	VER:impe	passer
voir	VER:infi	voir
en	PRP	en
caisse	NOM	caisse
vous	PRO:cls	vous
verrez	VER:futu	voir
bien	ADV	bien
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
le	DET:def	le
panier	NOM	panier
à	PRP	à
linge	NOM	linge
hein	INT	hein
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
trois	NUM	@card@
cinquante	NUM	@card@
et	KON	et
il	PRO:cls	il
passait	VER:impf	passer
à	PRP	à
deux	NUM	@card@
quatre-vingt	NUM	@card@
dix-neuf	NUM	@card@
c'	PRO:cls	ce
est	VER:pres	être
de	PRP	de
ah	INT	ah
ouais	FNO	ouais
et	KON	et
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
rare	ADJ	rare
que	KON	que
tu	PRO:cls	tu
en	PRO:clo	en
trouves	VER:pres	trouver
à	PRP	à
ce	DET:dem	ce
-la	NOM:sig	<unknown>
prix	NOM	prix
moi	PRO:ton	moi
je	PRO:cls	je
trouve	VER:pres	trouver
ils	PRO:cls	il
sont	VER:pres	être
chers	ADJ	cher
hum	FNO	hum
hum	FNO	hum
les	DET:def	le
paniers	NOM	panier
à	PRP	à
linge	NOM	linge
et	KON	et
moi	PRO:ton	moi
je	PRO:cls	je
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
un	DET:ind	un
qui	PRO:rel	qui
est	VER:pres	être
complètement	ADV	complètement
foutu	ADJ	foutu
ah	INT	ah
ben	INT	ben
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
trois	NUM	@card@
soixante-dix	NUM	@card@
¤Pren¤	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
ce	DET:dem	ce
style-là	NOM	<unknown>
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pratiquement	ADV	pratiquement
le	DET:def	le
même	ADJ	même
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
celui-là	PRO:dem	celui-là
en	PRP	en
fait	NOM	fait
hein	INT	hein
ouais	FNO	ouais
mais	KON	mais
sauf	PRP	sauf
qu'	KON	que
il	PRO:cls	il
est	VER:pres	être
beige	ADJ	beige
hum	FNO	hum
hum	FNO	hum
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
peu	NOM	peu
dans	PRP	dans
les	DET:def	le
tons	NOM	ton
euh	INT	euh
brun	ADJ	brun
euh	INT	euh
taupe	NOM	taupe
taupe	NOM	taupe
ouais	FNO	ouais
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
les	DET:def	le
tapis	NOM	tapis
de	PRP	de
bain	NOM	bain
là	ADV	là
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
jaune	NOM	jaune
hein	INT	hein
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
sale	ADJ	sale
ah	INT	ah
oui	FNO	oui
ouais	FNO	ouais
ouais	FNO	ouais
tu	PRO:cls	tu
vois	VER:pres	voir
la	DET:def	le
moindre	ADJ	moindre
trace	NOM	trace
euh	INT	euh
bon	INT	bon
même	ADV	même
si	KON	si
tu	PRO:cls	tu
les	PRO:clo	le
laves	VER:pres	laver
régulièrement	ADV	régulièrement
quand	KON	quand
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
foncé	ADJ	foncé
tu	PRO:cls	tu
vois	VER:pres	voir
aussi	ADV	aussi
euh	INT	euh
tu	PRO:cls	tu
as	VER:pres	avoir
toujours	ADV	toujours
des	DET:ind	un
m-	TRC	m-
des	DET:ind	un
petits	ADJ	petit
trucs	NOM	truc
moumoutes	NOM	moumoute
comme	KON	comme
ça	PRO:ton	ça
oh	INT	oh
la	DET:def	le
la	DET:def	le
la	DET:def	le
la	DET:def	le
oui	FNO	oui
et	KON	et
ben	INT	ben
elle	PRO:ton	elle
je	PRO:cls	je
lui	PRO:clo	lui
ai	AUX:pres	avoir
acheté	VER:pper	acheter
un	DET:ind	un
noir	ADJ	noir
moi	PRO:ton	moi
je	PRO:cls	je
ouais	FNO	ouais
han	NOM	<unknown>
oh	INT	oh
la	DET:def	le
la	DET:def	le
ouais	FNO	ouais
c'	PRO:cls	ce
était	VER:impf	être
horrible	ADJ	horrible
ouais	FNO	ouais
écoute	VER:impe	écouter
euh	INT	euh
je	PRO:cls	je
l'	PRO:clo	le
avais	AUX:impf	avoir
pris	VER:pper	prendre
au	PRP:det	au
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
le	PRO:clo	le
garder	VER:infi	garder
hein	INT	hein
nan	NOM	<unknown>
je	PRO:cls	je
lui	PRO:clo	lui
avais	AUX:impf	avoir
pris	VER:pper	prendre
au	PRP:det	au
¤S¤	NAM	<unknown>
maintenant	ADV	maintenant
je	PRO:cls	je
l'	PRO:clo	le
ai	VER:pres	avoir
à	PRP	à
la	DET:def	le
cave	NOM	cave
mais	KON	mais
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
eu	VER:pper	avoir
un	DET:ind	un
noir	ADJ	noir
quadrillé	ADJ	quadrillé
b-	TRC	b-
blanc	ADJ	blanc
noir	ADJ	noir
et	KON	et
blanc	ADJ	blanc
ben	INT	ben
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
noir	ADJ	noir
quadrillé	ADJ	quadrillé
blanc	ADJ	blanc
aussi	ADV	aussi
ouais	FNO	ouais
elle	PRO:ton	elle
aussi	ADV	aussi
ah	INT	ah
bah	INT	bah
oui	FNO	oui
ah	INT	ah
un	DET:ind	un
petit	ADJ	petit
carré	NOM	carré
ouais	FNO	ouais
ouais	FNO	ouais
oui	FNO	oui
mais	KON	mais
j'	PRO:cls	je
ai	AUX:pres	avoir
vu	VER:pper	voir
aussi	ADV	aussi
han	ADJ	<unknown>
il	PRO:cls	il
est	VER:pres	être
sale	ADJ	sale
mais	KON	mais
il	PRO:cls	il
était	VER:impf	être
sale	ADJ	sale
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
alors	ADV	alors
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
ouais	FNO	ouais
ouais	FNO	ouais
alors	ADV	alors
je	PRO:cls	je
lui	PRO:clo	lui
ai	AUX:pres	avoir
donné	VER:pper	donner
un	DET:ind	un
des	DET:ind	un
miens	NOM	mien
alors	ADV	alors
hein	INT	hein
parce	TRC	parce
que	KON	que
hum	FNO	hum
hum	FNO	hum
brun	ADJ	brun
et	KON	et
beige	ADJ	beige
alors	ADV	alors
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
toute	ADV	tout
seule	ADJ	seul
à	PRP	à
la	DET:def	le
chambre	NOM	chambre
hein	INT	hein
mais	KON	mais
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
tout	ADV	tout
sale	ADJ	sale
ouais	FNO	ouais
mais	KON	mais
les	DET:def	le
cheveux	NOM	cheveu
et	KON	et
et	KON	et
tout	DET:pre	tout
ça	PRO:ton	ça
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
hum	FNO	hum
hum	FNO	hum
ouais	FNO	ouais
et	KON	et
alors	ADV	alors
euh	INT	euh
mon	DET:pos	mon
plus	ADV	plus
gros	ADJ	gros
problème	NOM	problème
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
euh	INT	euh
mais	KON	mais
maintenant	ADV	maintenant
j'	PRO:cls	je
ai	AUX:pres	avoir
trouvé	VER:pper	trouver
un	DET:ind	un
truc	NOM	truc
sur	PRP	sur
ma	DET:pos	mon
machine	NOM	machine
à	PRP	à
laver	VER:infi	laver
t'	PRO:clo	te
as	VER:pres	avoir
un	NUM	@card@
quinze	NUM	@card@
minutes	NOM	minute
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
ouais	FNO	ouais
mais	KON	mais
regarde	VER:impe	regarder
tu	PRO:cls	tu
as	VER:pres	avoir
un	NUM	@card@
quinze	NUM	@card@
minutes	NOM	minute
ouais	FNO	ouais
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
tu	PRO:cls	tu
les	PRO:clo	le
laves	VER:pres	laver
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
et	KON	et
à	PRP	à
la	DET:def	le
place	NOM	place
de	PRP	de
les	PRO:clo	le
laver	VER:infi	laver
pendant	PRP	pendant
une	DET:ind	un
heure	NOM	heure
alors	ADV	alors
que	KON	que
euh	INT	euh
hum	FNO	hum
hum	FNO	hum
euh	INT	euh
en	PRP	en
quinze	NUM	@card@
minutes	NOM	minute
tu	PRO:cls	tu
les	PRO:clo	le
mets	VER:pres	mettre
à	PRP	à
trente	NUM	@card@
et	KON	et
tu	PRO:cls	tu
et	KON	et
puis	KON	puis
c'	PRO:cls	ce
est	VER:pres	être
propre	ADJ	propre
mouais	FNO	mouais
oui	FNO	oui
oui	FNO	oui
ouais	FNO	ouais
ouais	FNO	ouais
ah	INT	ah
ben	INT	ben
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
mis	VER:pper	mettre
mon	DET:pos	mon
quinze	NUM	@card@
minutes	NOM	minute
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
et	KON	et
ben	INT	ben
comme	KON	comme
ça	PRO:ton	ça
je	PRO:cls	je
le	PRO:clo	le
laverai	VER:futu	laver
peut-être	ADV	peut-être
plus	ADV	plus
souvent	ADV	souvent
quoi	INT	quoi
plus	ADV	plus
souvent	ADV	souvent
encore	ADV	encore
parce	TRC	parce
que	KON	que
écoute	VER:impe	écouter
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
euh	INT	euh
hum	FNO	hum
hum	FNO	hum
le	DET:def	le
jaune	NOM	jaune
là	ADV	là
alors	ADV	alors
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
tu	PRO:cls	tu
vois	VER:pres	voir
euh	INT	euh
mais	KON	mais
j'	PRO:cls	je
aimerais	VER:cond	aimer
bien	ADV	bien
m'	PRO:clo	me
acheter	VER:infi	acheter
une	DET:ind	un
fois	NOM	fois
des	PRP:det	du
tout	ADV	tout
gros	ADJ	gros
comme	KON	comme
ça	PRO:ton	ça
mais	KON	mais
faudra	VER:futu	falloir
que	KON	que
je	PRO:cls	je
vois	VER:pres	voir
là	ADV	là
une	DET:ind	un
belle	ADJ	beau
couleur	NOM	couleur
euh	INT	euh
ouais	FNO	ouais
ça	PRO:ton	ça
ça	PRO:ton	ça
ouais	FNO	ouais
ouais	FNO	ouais
ouais	FNO	ouais
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
déjà	ADV	déjà
eu	VER:pper	avoir
une	DET:ind	un
paire	NOM	paire
de	PRP	de
tapis	NOM	tapis
de	PRP	de
salle	NOM	salle
de	PRP	de
bain	NOM	bain
aussi	ADV	aussi
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
déjà	ADV	déjà
changé	VER:pper	changer
une	DET:ind	un
paire	NOM	paire
de	PRP	de
fois	NOM	fois
hein	INT	hein
hmm	NOM	<unknown>
ouais	FNO	ouais
mais	KON	mais
tu	PRO:cls	tu
devrais	VER:cond	devoir
changer	VER:infi	changer
de	PRP	de
nouveau	ADJ	nouveau
oui	FNO	oui
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
sont	VER:pres	être
p-	TRC	p-
pas	ADV	pas
terribles	ADJ	terrible
ceux-là	PRO:dem	celui-là
non	FNO	non
plus	ADV	plus
mais	KON	mais
en	PRP	en
fait	NOM	fait
tu	PRO:cls	tu
devrais	VER:cond	devoir
changer	VER:infi	changer
de	PRP	de
salle	NOM	salle
de	PRP	de
bain	NOM	bain
tout	ADV	tout
court	ADJ	court
oui	FNO	oui
mais	KON	mais
ça	PRO:cls	ça
viendra	VER:futu	venir
ça	PRO:cls	ça
viendra	VER:futu	venir
mais	KON	mais
bon	INT	bon
euh	INT	euh
parce	TRC	parce
que	KON	que
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
belle	ADJ	beau
hein	INT	hein
elle	PRO:cls	elle
fait	VER:pres	faire
tr-	TRC	tr-
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
belle	ADJ	beau
ah	INT	ah
ben	INT	ben
et	KON	et
nan	NOM	<unknown>
mais	KON	mais
elle	PRO:cls	elle
fait	VER:pres	faire
vieille	ADJ	vieux
hein	INT	hein
par	PRP	par
rapport	NOM	rapport
au	PRP:det	au
reste	NOM	reste
de	PRP	de
la	DET:def	le
maison	NOM	maison
maintenant	ADV	maintenant
ah	INT	ah
ben	INT	ben
oui	FNO	oui
mais	KON	mais
à	PRP	à
l'	DET:def	le
époque	NOM	époque
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
magnifique	ADJ	magnifique
q-	NOM	<unknown>
quand	KON	quand
j'	PRO:cls	je
suis	AUX:pres	être
allée	VER:pper	aller
au	PRP:det	au
¤S¤	NAM	<unknown>
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
vu	VER:pper	voir
cette	DET:dem	ce
baignoire	NOM	baignoire
ronde	ADJ	rond
avec	PRP	avec
tous	DET:pre	tout
les	DET:def	le
robinets	NOM	robinet
euh	INT	euh
dorés	ADJ	doré
là	ADV	là
hum	FNO	hum
hum	FNO	hum
ça	PRO:cls	ça
faisait	VER:impf	faire
tellement	ADV	tellement
beau	ADJ	beau
j'	PRO:cls	je
aurais	AUX:cond	avoir
jamais	ADV	jamais
dû	VER:pper	devoir
aller	VER:infi	aller
à	PRP	à
ce	PRO:dem	ce
¤S¤	NAM	<unknown>
non	FNO	non
moi	PRO:ton	moi
aussi	ADV	aussi
xxx	NOM	<unknown>
et	KON	et
xxx	NOM	<unknown>
des	PRP:det	du
robinets	NOM	robinet
on	PRO:cls	on
en	PRO:clo	en
avait	AUX:impf	avoir
déjà	ADV	déjà
changé	VER:pper	changer
qui	PRO:rel	qui
étaient	AUX:impf	être
piqués	VER:pper	piquer
on	PRO:cls	on
en	PRO:clo	en
a	VER:pres	avoir
encore	ADV	encore
un	DET:ind	un
tout	ADV	tout
neuf	ADJ	neuf
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
remis	VER:pper	remettre
tu	PRO:cls	tu
sais	VER:pres	savoir
il	PRO:clsi	il
nous	PRO:clo	nous
l'	PRO:clo	le
avait	VER:impf	avoir
euh	INT	euh
donné	VER:pper	donner
pour	PRP	pour
la	DET:def	le
salle	NOM	salle
de	PRP	de
bain	NOM	bain
il	PRO:clsi	il
nous	PRO:clo	nous
l'	PRO:clo	le
avait	AUX:impf	avoir
échangé	VER:pper	échanger
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
l'	DET:def	le
eau	NOM	eau
trop	ADV	trop
calcaire	ADJ	calcaire
hein	INT	hein
ouais	FNO	ouais
oui	FNO	oui
oui	FNO	oui
ouais	FNO	ouais
ouais	FNO	ouais
chez	PRP	chez
vous	PRO:ton	vous
ouais	FNO	ouais
et	KON	et
alors	ADV	alors
euh	INT	euh
hum	FNO	hum
euh	INT	euh
et	KON	et
dans	PRP	dans
la	DET:def	le
douche	NOM	douche
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
combien	PRO:int	combien
de	PRP	de
mitigeurs	NOM	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
avait	VER:impf	avoir
déjà	ADV	déjà
nous	PRO:ton	nous
on	PRO:cls	on
en	PRO:clo	en
avait	VER:impf	avoir
déjà	ADV	déjà
au	PRP:det	au
moins	ADV	moins
quatre	NUM	@card@
cinq	NUM	@card@
ouais	FNO	ouais
thermostatique	ADJ	thermostatique
déjà	ADV	déjà
deux	NUM	@card@
sûr	ADJ	sûr
oh	INT	oh
même	ADV	même
plus	ADV	plus
que	KON	que
cinq	NUM	@card@
et	KON	et
j'	PRO:cls	je
al-	TRC	al-
on	PRO:cls	on
avait	VER:impf	avoir
le	DET:def	le
doré	NOM	doré
hum	FNO	hum
hum	FNO	hum
on	PRO:cls	on
l'	PRO:clo	le
a	VER:pres	avoir
ils	PRO:cls	il
nous	PRO:clo	nous
l'	PRO:clo	le
ont	AUX:pres	avoir
remplacé	VER:pper	remplacer
on	PRO:cls	on
a	AUX:pres	avoir
remis	VER:pper	remettre
un	DET:ind	un
doré	NOM	doré
après	ADV	après
on	PRO:cls	on
avait	VER:impf	avoir
un	DET:ind	un
mitigeur	NOM	<unknown>
après	ADV	après
on	PRO:cls	on
avait	VER:impf	avoir
non	FNO	non
après	ADV	après
on	PRO:cls	on
en	PRO:clo	en
avait	VER:impf	avoir
un	DET:ind	un
thermostatique	ADJ	thermostatique
aussi	ADV	aussi
un	DET:ind	un
xxx	NOM	<unknown>
la	DET:def	le
fois	NOM	fois
là	ADV	là
hum	FNO	hum
hum	FNO	hum
après	ADV	après
on	PRO:cls	on
avait	VER:impf	avoir
un	DET:ind	un
mitigeur	NOM	<unknown>
après	ADV	après
on	PRO:cls	on
avait	VER:impf	avoir
un	DET:ind	un
thermostatique	ADJ	thermostatique
et	KON	et
maintenant	ADV	maintenant
on	PRO:cls	on
a	VER:pres	avoir
un	DET:ind	un
autre	ADJ	autre
thermostatique	ADJ	thermostatique
aussi	ADV	aussi
mais	KON	mais
euh	INT	euh
avec	PRP	avec
un	DET:ind	un
loquet	NOM	loquet
sur	PRP	sur
le	DET:def	le
côté	NOM	côté
nan	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
thermos-	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
mitigeur	NOM	<unknown>
aussi	ADV	aussi
mais	KON	mais
avec	PRP	avec
un	DET:ind	un
loquet	NOM	loquet
sur	PRP	sur
le	DET:def	le
côté	NOM	côté
un	DET:ind	un
un	DET:ind	un
truc	NOM	truc
que	KON	que
tu	PRO:cls	tu
hum	FNO	hum
nan	NOM	<unknown>
une	DET:ind	un
espèce	NOM	espèce
de	PRP	de
barre	NOM	barre
comme	KON	comme
ça	PRO:ton	ça
euh	INT	euh
barre	NOM	barre
comme	KON	comme
ça	PRO:ton	ça
ah	INT	ah
ouais	FNO	ouais
et	KON	et
euh	INT	euh
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
xxx	NOM	<unknown>
oh	INT	oh
mais	KON	mais
il	PRO:cls	il
est	VER:pres	être
chiant	ADJ	chiant
celui-là	PRO:dem	celui-là
je	PRO:cls	je
veux	VER:pres	vouloir
plus	ADV	plus
de	PRP	de
thermostatique	ADJ	thermostatique
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
parce	TRC	parce
que	KON	que
quand	KON	quand
bon	INT	bon
maintenant	ADV	maintenant
ça	PRO:cls	ça
va	VER:pres	aller
avec	PRP	avec
le	DET:def	le
chauffe-eau	NOM	<unknown>
électrique	ADJ	électrique
mais	KON	mais
quand	KON	quand
on	PRO:cls	on
avait	VER:impf	avoir
sur	PRP	sur
la	DET:def	le
chaudière	NOM	chaudière
et	KON	et
quand	KON	quand
la	DET:def	le
chaudière	NOM	chaudière
était	VER:impf	être
pas	ADV	pas
très	ADV	très
haute	ADJ	haut
ouais	FNO	ouais
alors	ADV	alors
quand	KON	quand
tu	PRO:cls	tu
mettais	VER:impf	mettre
le	DET:def	le
thermostatique	ADJ	thermostatique
sur	PRP	sur
euh	INT	euh
fallait	VER:impf	falloir
le	PRO:clo	le
mettre	VER:infi	mettre
à	PRP	à
fond	NOM	fond
ah	INT	ah
pour	PRP	pour
ouais	FNO	ouais
et	KON	et
puis	KON	puis
l'	DET:def	le
eau	NOM	eau
elle	PRO:cls	elle
était	VER:impf	être
pas	ADV	pas
très	ADV	très
chaude	ADJ	chaud
à	PRP	à
la	DET:def	le
chaudière	NOM	chaudière
ça	PRO:cls	ça
marche	VER:pres	marcher
parce	TRC	parce
que	KON	que
euh	INT	euh
tu	PRO:cls	tu
mettais	VER:impf	mettre
les	DET:def	le
degrès	NOM	<unknown>
tu	PRO:cls	tu
avais	VER:impf	avoir
pas	ADV	pas
l'	DET:def	le
eau	NOM	eau
qui	PRO:rel	qui
xxx	NOM	<unknown>
hum	FNO	hum
hum	FNO	hum
oui	FNO	oui
tu	PRO:cls	tu
avais	VER:impf	avoir
pas	ADV	pas
de	PRP	de
degrès	NOM	<unknown>
ouais	FNO	ouais
hum	FNO	hum
hum	FNO	hum
et	KON	et
alors	ADV	alors
que	KON	que
le	DET:def	le
mitigeur	NOM	<unknown>
tu	PRO:cls	tu
le	PRO:clo	le
mettais	VER:impf	mettre
à	PRP	à
fond	NOM	fond
c'	PRO:cls	ce
était	VER:impf	être
mieux	ADV	mieux
ouais	FNO	ouais
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
.	NAM	<unknown>
