ben	INT	ben
qu'	KON	que
on	PRO:cls	on
déménage	VER:pres	déménager
à	PRP	à
¤T¤	NAM	¤T¤
c'	PRO:cls	ce
était	VER:impf	être
un	DET:ind	un
mauvais	ADJ	mauvais
père	NOM	père
non	FNO	non
plus	ADV	plus
j'	PRO:cls	je
étais	VER:impf	être
un	DET:ind	un
petit	ADJ	petit
enfant	NOM	enfant
roi	NOM	roi
tu	PRO:cls	tu
sais	VER:pres	savoir
il	PRO:clsi	il
m'	PRO:clo	me
achetait	VER:impf	acheter
des	DET:ind	un
cassettes	NOM	cassette
j'	PRO:cls	je
en	PRO:clo	en
avais	VER:impf	avoir
au	PRP:det	au
moins	ADV	moins
trois	NUM	@card@
cent	NUM	@card@
à	PRP	à
l'	DET:def	le
époque	NOM	époque
j'	PRO:cls	je
achetais	VER:impf	acheter
j'	PRO:cls	je
avais	VER:impf	avoir
toujours	ADV	toujours
les	DET:def	le
les	DET:def	le
jouets	NOM	jouet
à	PRP	à
.	NAM	<unknown>
euh	INT	euh
ainsi	ADV	ainsi
de	PRP	de
suite	NOM	suite
quand	KON	quand
je	PRO:cls	je
regardais	VER:impf	regarder
quand	KON	quand
je	PRO:cls	je
regarde	VER:pres	regarder
maintenant	ADV	maintenant
la	DET:def	le
collection	NOM	collection
de	PRP	de
cassettes	NOM	cassette
que	KON	que
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
a	VER:pres	avoir
petit	ADJ	petit
regarde	VER:pres	regarder
euh	INT	euh
par	PRP	par
rapport	NOM	rapport
à	PRP	à
la	DET:def	le
tienne	PRO:pos	tien
tu	PRO:cls	tu
vois	VER:pres	voir
les	DET:def	le
cassettes	NOM	cassette
là	ADV	là
hum	FNO	hum
moi	PRO:ton	moi
rien	PRO:ind	rien
que	KON	que
pour	PRP	pour
moi	PRO:ton	moi
que	KON	que
les	DET:def	le
miennes	PRO:pos	mien
pas	ADV	pas
les	DET:def	le
siennes	NOM	sienne
hein	INT	hein
hein	INT	hein
moi	PRO:ton	moi
que	KON	que
les	DET:def	le
miennes	PRO:pos	mien
j'	PRO:cls	je
en	PRO:clo	en
avais	VER:impf	avoir
au	PRP:det	au
moins	ADV	moins
trois	NUM	@card@
ou	KON	ou
quatre	NUM	@card@
cinq	NUM	@card@
même	ADV	même
cinq	NUM	@card@
fois	NOM	fois
plus	ADV	plus
lui	PRO:ton	lui
il	PRO:cls	il
avait	VER:impf	avoir
genre	NOM	genre
une	DET:ind	un
armoire	NOM	armoire
euh	INT	euh
deux	NUM	@card@
fois	NOM	fois
l'	DET:def	le
armoire	NOM	armoire
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
dans	PRP	dans
le	DET:def	le
salon	NOM	salon
remplie	VER:pres	remplier
de	PRP	de
cassettes	NOM	cassette
et	KON	et
puis	KON	puis
on	PRO:cls	on
en	PRO:clo	en
louait	VER:impf	louer
et	KON	et
ainsi	ADV	ainsi
de	PRP	de
suite	NOM	suite
donc	ADV	donc
euh	INT	euh
et	KON	et
puis	KON	puis
plus	ADV	plus
d'	PRP	un
une	DET:ind	un
fois	NOM	fois
dans	PRP	dans
le	DET:def	le
film	NOM	film
il	PRO:clsi	il
se	PRO:clo	se
posait	VER:impf	poser
euh	INT	euh
il	PRO:clsi	il
se	PRO:clo	se
posait	VER:impf	poser
il	PRO:cls	il
il	PRO:cls	il
on	PRO:cls	on
regardait	VER:impf	regarder
les	DET:def	le
films	NOM	film
ensemble	ADV	ensemble
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
encore	ADV	encore
d'	PRP	un
avoir	AUX:infi	avoir
regardé	VER:pper	regarder
Hook	NOM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
le	DET:def	le
film	NOM	film
que	KON	que
tu	PRO:cls	tu
peux	VER:pres	pouvoir
pas	ADV	pas
blairer	VER:infi	blairer
avec	PRP	avec
Pete-	NOM	<unknown>
avec	PRP	avec
le	DET:def	le
Peter	NAM	<unknown>
Pan	NOM	pan
avec	PRP	avec
lui	PRO:ton	lui
non	FNO	non
ça	PRO:ton	ça
j'	PRO:cls	je
aime	VER:pres	aimer
pas	ADV	pas
on	PRO:cls	on
avait	VER:impf	avoir
même	ADV	même
l'	DET:def	le
affiche	NOM	affiche
en	PRP	en
grand	ADJ	grand
au-dessus	ADV	au-dessus
derrière	PRP	derrière
le	DET:def	le
canapé	NOM	canapé
ouais	FNO	ouais
non	FNO	non
bah	INT	bah
oh	INT	oh
non	FNO	non
je	PRO:cls	je
j'	PRO:cls	je
ai	AUX:pres	avoir
jamais	ADV	jamais
eu	VER:pper	avoir
trop	ADV	trop
à	PRP	à
me	PRO:clo	me
plaindre	VER:infi	plaindre
à	PRP	à
cinq	NUM	@card@
ans	NOM	an
j'	PRO:cls	je
avais	AUX:impf	avoir
eu	VER:pper	avoir
une	DET:ind	un
déjà	ADV	déjà
une	DET:ind	un
console	NOM	console
à	PRP	à
l'	DET:def	le
époque	NOM	époque
euh	INT	euh
ça	PRO:cls	ça
de-	TRC	de-
valait	VER:impf	valoir
quand	KON	quand
même	ADV	même
pas	ADV	pas
mal	ADV	mal
de	PRP	de
ronds	NOM	rond
le	DET:def	le
machin	NOM	machin
là	ADV	là
et	KON	et
puis	KON	puis
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
tous	DET:pre	tout
les	DET:def	le
gosses	NOM	gosse
bon	INT	bon
maintenant	ADV	maintenant
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
contraire	NOM	contraire
ben	INT	ben
maintenant	ADV	maintenant
tout	DET:pre	tout
le	DET:def	le
mon-	TRC	mon-
ils	PRO:cls	il
en	PRO:clo	en
ont	AUX:pres	avoir
tous	PRO:ind	tout
une	DET:ind	un
Sega	NOM	<unknown>
la	DET:def	le
Mega	NOM	<unknown>
drive	NOM	drive
je	PRO:cls	je
crois	VER:pres	croire
qu'	KON	que
à	PRP	à
l'	DET:def	le
époque	NOM	époque
euh	INT	euh
ça	PRO:cls	ça
était	VER:impf	être
encore	ADV	encore
hyper	ADV	hyper
récent	ADJ	récent
donc	ADV	donc
euh	INT	euh
elle	PRO:cls	elle
vallait	VER:impf	<unknown>
pas	ADV	pas
mal	ADV	mal
de	PRP	de
tunes	NOM	tune
hein	INT	hein
le	DET:def	le
¤Pren¤	NAM	<unknown>
et	KON	et
le	DET:def	le
¤Pren	NOM	<unknown>
euh	INT	euh
ils	PRO:cls	il
ont	AUX:pres	avoir
eu	VER:pper	avoir
leur	DET:pos	leur
console	NOM	console
un	DET:ind	un
an	NOM	an
plus	ADV	plus
tard	ADV	tard
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
la	DET:def	le
génération	NOM	génération
d'	PRP	un
avant	NOM	avant
donc	ADV	donc
un	DET:ind	un
peu	NOM	peu
moins	ADV	moins
cher	ADJ	cher
quoi	INT	quoi
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
eu	VER:pper	avoir
trop	ADV	trop
à	PRP	à
me	PRO:clo	me
plaindre	VER:infi	plaindre
là	ADV	là
dessus	ADV	dessus
non	FNO	non
plus	ADV	plus
hein	INT	hein
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
eu	VER:pper	avoir
toujours	ADV	toujours
eu	VER:pper	avoir
pas	ADV	pas
mal	ADV	mal
de	PRP	de
cadeaux	NOM	cadeau
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
toujours	ADV	toujours
des	DET:ind	un
mouv-	TRC	<unknown>
des	DET:ind	un
moments	NOM	moment
aussi	ADV	aussi
vu	VER:pper	voir
que	KON	que
lui	PRO:ton	lui
il	PRO:cls	il
était	VER:impf	être
fan	NOM	fan
de	PRP	de
moto	NOM	moto
euh	INT	euh
j'	PRO:cls	je
avais	VER:impf	avoir
mon	DET:pos	mon
petit	ADJ	petit
casque	NOM	casque
à	PRP	à
moi	PRO:ton	moi
et	KON	et
puis	KON	puis
je	PRO:cls	je
me	PRO:clo	me
mettais	VER:impf	mettre
derrière	ADV	derrière
lui	PRO:ton	lui
le	DET:def	le
truc	NOM	truc
qui	PRO:rel	qui
était	VER:impf	être
chelou	ADJ	<unknown>
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
aimais	VER:impf	aimer
bien	ADV	bien
être	VER:infi	être
avec	PRP	avec
lui	PRO:ton	lui
mais	KON	mais
ben	INT	ben
je	PRO:cls	je
j'	PRO:cls	je
avais	VER:impf	avoir
un	DET:ind	un
peu	NOM	peu
les	DET:def	le
boules	NOM	boule
moi	PRO:ton	moi
sur	PRP	sur
la	DET:def	le
moto	NOM	moto
tu	PRO:cls	tu
sais	VER:pres	savoir
tout	ADV	tout
seul	ADJ	seul
à	PRP	à
t'	PRO:clo	te
agripper	VER:infi	agripper
j'	PRO:cls	je
avais	VER:impf	avoir
toujours	ADV	toujours
peur	NOM	peur
de	PRP	de
reculer	VER:infi	reculer
et	KON	et
puis	KON	puis
de	PRP	de
tomber	VER:infi	tomber
donc	ADV	donc
non	FNO	non
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
après	ADV	après
quand	KON	quand
on	PRO:cls	on
a	AUX:pres	avoir
déménagé	VER:pper	déménager
à	PRP	à
¤T¤	NAM	¤T¤
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ce	PRO:dem	ce
qui	PRO:rel	qui
lui	PRO:clo	lui
a	AUX:pres	avoir
pris	VER:pper	prendre
trop	ADV	trop
près	ADV	près
de	PRP	de
l'	DET:def	le
Allemagne	NAM	Allemagne
ça	PRO:cls	ça
doit	VER:pres	devoir
être	VER:infi	être
ça	PRO:ton	ça
les	DET:def	le
Allemands	NOM	allemand
aiment	VER:pres	aimer
pas	ADV	pas
les	DET:def	le
Français	NOM	français
xxx	NOM	<unknown>
ben	INT	ben
non	FNO	non
non	FNO	non
mais	KON	mais
euh	INT	euh
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
il	PRO:cls	il
est	AUX:pres	être
devenu	VER:pper	devenir
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
con	ADJ	con
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelle	VER:pres	rappeler
encore	ADV	encore
qu'	KON	que
il	PRO:cls	il
engueulait	VER:impf	engueuler
ma	DET:pos	mon
mère	NOM	mère
pour	PRP	pour
des	DET:ind	un
conneries	NOM	connerie
euh	INT	euh
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelle	VER:pres	rappeler
encore	ADV	encore
d'	PRP	un
une	DET:ind	un
engueulade	NOM	engueulade
où	PRO:rel	où
j'	PRO:cls	je
ai	AUX:pres	avoir
cru	VER:pper	croire
qu'	KON	que
il	PRO:cls	il
allait	VER:impf	aller
lui	PRO:clo	lui
en	PRO:clo	en
mettre	VER:infi	mettre
une	DET:ind	un
juste	ADJ	juste
parce	TRC	parce
que	KON	que
il	PRO:cls	il
est	AUX:pres	être
rentré	VER:pper	rentrer
et	KON	et
que	KON	que
le	DET:def	le
poulet	NOM	poulet
était	VER:impf	être
pas	ADV	pas
chaud	ADJ	chaud
était	VER:impf	être
froid	ADJ	froid
vive	NOM	vive
le	DET:def	le
père	NOM	père
quoi	INT	quoi
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
aussi	ADV	aussi
un	DET:ind	un
coup	NOM	coup
où	PRO:rel	où
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
foutu	VER:pper	foutre
une	DET:ind	un
telle	PRO:dem	tel
une	DET:ind	un
grande	ADJ	grand
une	DET:ind	un
telle	DET:dem	tel
mandale	NOM	<unknown>
que	KON	que
je	PRO:cls	je
suis	AUX:pres	être
pas	ADV	pas
allé	VER:pper	aller
à	PRP	à
l'	DET:def	le
école	NOM	école
pendant	PRP	pendant
deux	NUM	@card@
jours	NOM	jour
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
avais	VER:impf	avoir
la	DET:def	le
marque	NOM	marque
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelle	VER:pres	rappeler
aussi	ADV	aussi
qu'	KON	que
il	PRO:clsi	il
me	PRO:clo	me
marchait	VER:impf	marcher
sur	PRP	sur
les	DET:def	le
pieds	NOM	pied
avec	PRP	avec
ses	DET:pos	son
Rangers	NOM	ranger
si	KON	si
j'	PRO:cls	je
avais	VER:impf	avoir
pas	ADV	pas
mes	DET:pos	mon
patins	NOM	patin
avec	PRP	avec
sa	DET:pos	son
phrase	NOM	phrase
à	PRP	à
la	DET:def	le
con	NOM	con
euh	INT	euh
ça	PRO:cls	ça
ferait	VER:cond	faire
moins	ADV	moins
mal	ADV	mal
si	KON	si
tu	PRO:cls	tu
avais	VER:impf	avoir
tes	DET:pos	ton
patins	NOM	patin
ah	INT	ah
tu	PRO:cls	tu
fais	VER:pres	faire
quatre	NUM	@card@
vingt	NUM	@card@
kilos	NOM	kilo
mon	DET:pos	mon
bonhomme	NOM	bonhomme
avec	PRP	avec
tes	DET:pos	ton
Rangers	NOM	ranger
je	PRO:cls	je
suis	VER:pres	être
pas	ADV	pas
sûr	ADJ	sûr
que	KON	que
qu'	KON	que
une	DET:ind	un
petite	ADJ	petit
merde	NOM	merde
euh	INT	euh
en	PRP	en
patin	NOM	patin
achetée	VER:pper	acheter
à	PRP	à
la	DET:def	le
Halle	NOM	halle
aux	PRP:det	au
chaussures	NOM	chaussure
ça	PRO:cls	ça
aurait	AUX:cond	avoir
amorti	VER:pper	amortir
le	DET:def	le
choc	NOM	choc
mais	KON	mais
bon	INT	bon
non	FNO	non
bah	INT	bah
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
partir	VER:infi	partir
du	PRP:det	du
moment	NOM	moment
où	PRO:rel	où
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
ma	DET:pos	mon
soeur	NOM	soeur
qui	PRO:rel	qui
est	AUX:pres	être
arrivée	VER:pper	arriver
il	PRO:clsi	il
devait	VER:impf	devoir
s'	PRO:clo	se
occuper	VER:infi	occuper
de	PRP	de
deux	NUM	@card@
enfants	NOM	enfant
et	KON	et
puis	KON	puis
voilà	FNO	voilà
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
euh	INT	euh
à	PRP	à
nouveau	ADJ	nouveau
redevenir	VER:infi	redevenir
père	NOM	père
d'	PRP	un
un	DET:ind	un
tu	PRO:cls	tu
sais	VER:pres	savoir
d'	PRP	un
un	DET:ind	un
bébé	NOM	bébé
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
toujours	ADV	toujours
un	DET:ind	un
peu	NOM	peu
un	DET:ind	un
moment	NOM	moment
de	PRP	de
stress	NOM	stress
un	DET:ind	un
moment	NOM	moment
de	PRP	de
rigolade	NOM	rigolade
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
peut-être	ADV	peut-être
qu'	KON	que
il	PRO:cls	il
voulait	VER:impf	vouloir
pas	ADV	pas
pas	ADV	pas
de	PRP	de
filles	NOM	fille
peut	VER:pres	pouvoir
être	VER:infi	être
qu'	KON	que
il	PRO:cls	il
voulait	VER:impf	vouloir
que	KON	que
des	DET:ind	un
garçons	NOM	garçon
après	ADV	après
je	PRO:cls	je
te	PRO:clo	te
raconterai	VER:futu	raconter
euh	INT	euh
les	DET:def	le
toutes	DET:pre	tout
les	DET:def	le
conneries	NOM	connerie
qu'	KON	que
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
sorti	VER:pper	sortir
à	PRP	à
propos	NOM	propos
de	PRP	de
ma	DET:pos	mon
soeur	NOM	soeur
ça	PRO:ton	ça
ça	PRO:cls	ça
m'	PRO:clo	me
a	AUX:pres	avoir
bien	ADV	bien
fait	VER:pper	faire
rigoler	VER:infi	rigoler
quoi	INT	quoi
enfin	ADV	enfin
façon	NOM	façon
de	PRP	de
parler	VER:infi	parler
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
à	PRP	à
¤T¤	NAM	¤T¤
il	PRO:cls	il
est	AUX:pres	être
devenu	VER:pper	devenir
complètement	ADV	complètement
con	ADJ	con
j'	PRO:cls	je
ai	AUX:pres	avoir
appris	VER:pper	apprendre
plus	ADV	plus
tard	ADV	tard
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
était	AUX:impf	être
amusé	VER:pper	amuser
à	PRP	à
bon	INT	bon
à	PRP	à
draguer	VER:infi	draguer
euh	INT	euh
quasiment	ADV	quasiment
toutes	DET:pre	tout
les	DET:def	le
caissières	NOM	caissière
une	NUM	@card@
qui	PRO:rel	qui
était	VER:impf	être
une	DET:ind	un
amie	NOM	amie
euh	INT	euh
qui	PRO:rel	qui
était	AUX:impf	être
devenue	VER:pper	devenir
amie	NOM	amie
avec	PRP	avec
ma	DET:pos	mon
mère	NOM	mère
elles	PRO:cls	elle
s'	PRO:clo	se
étaient	VER:impf	être
ils	PRO:cls	il
sont	AUX:pres	être
engueulées	VER:pper	engueuler
ils	PRO:cls	il
sont	VER:pres	être
elle	PRO:cls	elle
voulait	VER:impf	vouloir
plus	ADV	plus
en	PRP	en
entendre	VER:infi	entendre
parler	VER:infi	parler
elle	PRO:cls	elle
s'	PRO:clo	se
est	VER:pres	être
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
cassée	VER:pper	casser
du	PRP:det	du
boulot	NOM	boulot
de	PRP	de
tu	PRO:cls	tu
sais	VER:pres	savoir
de	PRP	de
la	DET:def	le
station	NOM	station
service	NOM	service
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
avait	VER:impf	avoir
des	DET:ind	un
histoires	NOM	histoire
comme	KON	comme
quoi	INT	quoi
euh	INT	euh
mon	DET:pos	mon
père	NOM	père
la	PRO:clo	le
draguait	VER:impf	draguer
mon	DET:pos	mon
père	NOM	père
niait	VER:impf	nier
donc	ADV	donc
ma	DET:pos	mon
mère	NOM	mère
avait	AUX:impf	avoir
dit	VER:pper	dire
maintenant	ADV	maintenant
tu	PRO:cls	tu
te	PRO:clo	te
casses	VER:pres	casser
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
quand	KON	quand
euh	INT	euh
mon	DET:pos	mon
père	NOM	père
a	AUX:pres	avoir
demandé	VER:pper	demander
le	DET:def	le
divorce	NOM	divorce
et	KON	et
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
est	AUX:pres	être
barré	VER:pper	barrer
que	KON	que
euh	INT	euh
attends	VER:impe	attendre
j'	PRO:cls	je
éteinds	VER:futu	<unknown>
la	DET:def	le
télé	NOM:trc	télévision
euh	INT	euh
hum	FNO	hum
-y	PRO:clo	y
vas	VER:pres	aller
et	KON	et
mais	KON	mais
joues	NOM	joue
hein	INT	hein
et	KON	et
puis	KON	puis
oh	INT	oh
ben	INT	ben
là	ADV	là
je	PRO:cls	je
suis	VER:pres	être
je	PRO:cls	je
suis	AUX:pres	être
lancé	VER:pper	lancer
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
euh	INT	euh
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
disais	VER:impf	dire
ah	INT	ah
que	KON	que
on	PRO:cls	on
le	PRO:clo	le
divorce	VER:pres	divorcer
ouais	FNO	ouais
oui	FNO	oui
voilà	FNO	voilà
dès	ADV	dès
qu'	KON	que
il	PRO:cls	il
ta	DET:pos	ton
mère	NOM	mère
est	AUX:pres	être
allée	VER:pper	aller
voir	VER:infi	voir
la	DET:def	le
dame	NOM	dame
ouais	FNO	ouais
ben	INT	ben
je	PRO:cls	je
m'	PRO:clo	me
en	PRO:clo	en
rappelle	VER:pres	rappeler
le	DET:def	le
premier	ADJ	premier
soir	NOM	soir
où	PRO:rel	où
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
barrée	VER:pper	barrer
on	PRO:cls	on
est	AUX:pres	être
allé	VER:pper	aller
chez	PRP	chez
elle	PRO:ton	elle
parce	TRC	parce
que	KON	que
ma	DET:pos	mon
mère	NOM	mère
avait	AUX:impf	avoir
compris	VER:pper	comprendre
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
son	DET:pos	son
amie	NOM	amie
¤Pren¤	NAM	<unknown>
qu'	KON	que
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
¤Pren¤	NAM	<unknown>
qui	PRO:rel	qui
merdait	VER:impf	merder
mais	KON	mais
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
mon	DET:pos	mon
père	NOM	père
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
de	PRP	de
l'	PRO:clo	le
avoir	VER:infi	avoir
eu	VER:pper	avoir
au	PRP:det	au
téléphone	NOM	téléphone
aussi	ADV	aussi
il	PRO:cls	il
était	VER:impf	être
déjà	ADV	déjà
chez	PRP	chez
sa	DET:pos	son
grognasse	NOM	grognasse
tu	PRO:cls	tu
sais	VER:pres	savoir
ce	PRO:dem	ce
que	PRO:rel	que
j'	PRO:cls	je
ai	AUX:pres	avoir
dis	VER:pres	dire
petit	ADJ	petit
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
voulait	VER:impf	vouloir
me	PRO:clo	me
voir	VER:infi	voir
j'	PRO:cls	je
ai	AUX:pres	avoir
dis	VER:pres	dire
d'	PRP	un
accord	NOM	accord
je	PRO:cls	je
veux	VER:pres	vouloir
te	PRO:clo	te
voir	VER:infi	voir
mais	KON	mais
alors	ADV	alors
¤Pren¤	NAM	<unknown>
elle	PRO:cls	elle
va	VER:pres	aller
dans	PRP	dans
la	DET:def	le
cave	NOM	cave
un	DET:ind	un
peu	NOM	peu
con	ADJ	con
hein	INT	hein
ben	INT	ben
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
mieux	ADV	mieux
que	KON	que
ton	DET:pos	ton
père	NOM	père
hein	INT	hein
oh	INT	oh
euh	INT	euh
elle	PRO:cls	elle
a	VER:pres	avoir
elle	PRO:cls	elle
a	AUX:pres	avoir
pas	ADV	pas
inventé	VER:pper	inventer
le	DET:def	le
fil	NOM	fil
à	PRP	à
couper	VER:infi	couper
le	DET:def	le
beurre	NOM	beurre
hein	INT	hein
et	KON	et
puis	KON	puis
même	ADV	même
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
laissée	VER:pper	laisser
faire	VER:infi	faire
et	KON	et
puis	KON	puis
en	PRP	en
plus	ADV	plus
elle	PRO:cls	elle
a	AUX:pres	avoir
permis	VER:pper	permettre
oh	INT	oh
ben	INT	ben
elle	PRO:cls	elle
avait	VER:impf	avoir
elle	PRO:cls	elle
avait	VER:impf	avoir
pas	ADV	pas
loin	ADV	loin
des	PRP:det	du
trente	NUM	@card@
ba-	NOM	<unknown>
elle	PRO:cls	elle
devait	VER:impf	devoir
avoir	VER:infi	avoir
vingt	NUM	@card@
huit	NUM	@card@
vingt	NUM	@card@
neuf	NUM	@card@
ans	NOM	an
et	KON	et
célibataire	ADJ	célibataire
hein	INT	hein
ça	PRO:cls	ça
la	PRO:clo	le
foutait	VER:impf	foutre
mal	ADV	mal
à	PRP	à
l'	DET:def	le
époque	NOM	époque
hein	INT	hein
non	FNO	non
mais	KON	mais
même	ADV	même
donc	ADV	donc
euh	INT	euh
elle	PRO:cls	elle
était	VER:impf	être
contente	ADJ	content
de	PRP	de
récupérer	VER:infi	récupérer
un	DET:ind	un
bonhomme	NOM	bonhomme
hein	INT	hein
et	KON	et
surtout	ADV	surtout
vu	VER:pper	voir
les	DET:def	le
