eh	INT	eh
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
qu'	KON	que
on	PRO:cls	on
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
rien	PRO:ind	rien
du	PRP:det	du
tout	ADV	tout
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
juste	ADV	juste
un	DET:ind	un
.	NOM:sig	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Cars	NOM	car
et	KON	et
ça	PRO:cls	ça
raconte	VER:pres	raconter
quoi	INT	quoi
comme	KON	comme
histoire	NOM	histoire
ce	DET:dem	ce
.	NOM:sig	<unknown>
.	NOM:sig	<unknown>
ça	PRO:cls	ça
raconte	VER:pres	raconter
des	DET:ind	un
voitures	NOM	voiture
de	PRP	de
course	NOM	course
ah	INT	ah
des	DET:ind	un
voitures	NOM	voiture
de	PRP	de
course	NOM	course
des	DET:ind	un
et	KON	et
Flash	NOM	flash
McQueen	NOM	<unknown>
Flash	NOM	flash
McQueen	NOM	<unknown>
il	PRO:cls	il
dit	VER:pres	dire
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
il	PRO:cls	il
dit	VER:pres	dire
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
ouais	FNO	ouais
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
nul	ADJ	nul
c'	PRO:cls	ce
est	VER:pres	être
trop	ADV	trop
nul	ADJ	nul
.	NAM	<unknown>
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
ouais	FNO	ouais
allez	INT	allez
faut	VER:pres	falloir
raconter	VER:infi	raconter
alors	ADV	alors
-y	PRO:clo	y
vas	VER:impe	aller
-toi	PRO:clo	toi
mets	VER:impe	mettre
à	PRP	à
côté	NOM	côté
de	PRP	de
moi	PRO:ton	moi
attends	VER:pres	attendre
un	DET:ind	un
renard	NOM	renard
un	DET:ind	un
oiseau	NOM	oiseau
un	DET:ind	un
escargot	NOM	escargot
un	DET:ind	un
.	NOM:sig	<unknown>
alors	ADV	alors
un	DET:ind	un
hérisson	NOM	hérisson
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
marcher	VER:infi	marcher
il	PRO:cls	il
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
marcher	VER:infi	marcher
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
tu	PRO:cls	tu
crois	VER:pres	croire
qu'	KON	que
il	PRO:cls	il
va	VER:pres	aller
où	PRO:int	où
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
où	PRO:int	où
l'	DET:def	le
hérisson	NOM	hérisson
?	NAM	<unknown>
où	PRO:rel	où
.	VER:impf	<unknown>
il	PRO:clsi	il
se	PRO:clo	se
cache	VER:pres	cacher
.	NAM	<unknown>
un	DET:ind	un
=n=	NOM:sig	<unknown>
hibou	NOM	hibou
hum	FNO	hum
un	DET:ind	un
hibou	NOM	hibou
un	DET:ind	un
hibou	NOM	hibou
mais	KON	mais
il	PRO:cls	il
cherche	VER:pres	chercher
partout	ADV	partout
le	DET:def	le
le	DET:def	le
le	DET:def	le
hérisson	NOM	hérisson
mais	KON	mais
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
fait	VER:pres	faire
là	ADV	là
.	NOM:sig	<unknown>
je	PRO:cls	je
trouve	VER:pres	trouver
quelque	ADJ	<unknown>
chose	NOM	chose
eh	INT	eh
des	DET:ind	un
champignons	NOM	champignon
hum	FNO	hum
hum	FNO	hum
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
mangé	VER:pper	manger
des	DET:ind	un
champignons	NOM	champignon
.	NAM	<unknown>
oui	FNO	oui
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
j'	PRO:cls	je
en	PRO:clo	en
mange	VER:pres	manger
c'	PRO:cls	ce
est	VER:pres	être
toi	PRO:ton	toi
qui	PRO:rel	qui
les	PRO:clo	le
avais	AUX:impf	avoir
ramassés	VER:pper	ramasser
dans	PRP	dans
la	DET:def	le
forêt	NOM	forêt
.	NAM	<unknown>
oh	INT	oh
oui	FNO	oui
hum	FNO	hum
et	KON	et
comment	PRO:int	comment
tu	PRO:cls	tu
sais	VER:pres	savoir
ceux	PRO:dem	celui
qu'	PRO:rel	que
il	PRO:cls	il
faut	VER:pres	falloir
manger	VER:infi	manger
et	KON	et
ceux	PRO:dem	celui
qu'	PRO:rel	que
il	PRO:cls	il
faut	VER:pres	falloir
pas	ADV	pas
manger	VER:infi	manger
?	NAM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
les	PRO:clo	le
reconnaître	VER:infi	reconnaître
.	VER:infi	<unknown>
ceux-là	PRO:dem	celui-là
il	PRO:clsi	il
faut	VER:pres	falloir
pas	ADV	pas
les	PRO:clo	le
manger	VER:infi	manger
ceux-là	PRO:dem	celui-là
il	PRO:clsi	il
faut	VER:pres	falloir
les	PRO:clo	le
manger	VER:infi	manger
ah	INT	ah
oui	FNO	oui
alors	ADV	alors
là	ADV	là
tu	PRO:cls	tu
vois	VER:pres	voir
la	DET:def	le
nuit	NOM	nuit
tombe	VER:pres	tomber
sur	PRP	sur
la	DET:def	le
campagne	NOM	campagne
eh	INT	eh
ben	INT	ben
là	ADV	là
elle	PRO:cls	elle
tombe	VER:pres	tomber
pas	ADV	pas
la	DET:def	le
nuit	NOM	nuit
si	KON	si
parce	TRC	parce
que	KON	que
regarde	VER:impe	regarder
on	PRO:cls	on
voit	VER:pres	voir
le	DET:def	le
ciel	NOM	ciel
il	PRO:cls	il
est	VER:pres	être
plus	ADV	plus
foncé	ADJ	foncé
et	KON	et
la	DET:def	le
lune	NOM	lune
commence	VER:pres	commencer
à	PRP	à
apparaître	VER:infi	apparaître
tu	PRO:cls	tu
la	PRO:clo	le
vois	VER:pres	voir
entre	PRP	entre
les	DET:def	le
feuilles	NOM	feuille
.	NAM	<unknown>
oui	FNO	oui
hop	INT	hop
là	ADV	là
elle	PRO:cls	elle
est	VER:pres	être
là	ADV	là
la	DET:def	le
lune	NOM	lune
hum	FNO	hum
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
l'	DET:def	le
hérisson	NOM	hérisson
ben	INT	ben
voilà	FNO	voilà
il	PRO:clsi	il
s'	PRO:clo	se
était	AUX:impf	être
caché	VER:pper	cacher
ah	INT	ah
ça	PRO:cls	ça
pique	VER:pres	piquer
comme	KON	comme
il	PRO:cls	il
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
nuit	NOM	nuit
il	PRO:cls	il
va	VER:pres	aller
rentrer	VER:infi	rentrer
dans	PRP	dans
sa	DET:pos	son
maison	NOM	maison
mais	KON	mais
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
de	DET:ind	un
grande	ADJ	grand
maison	NOM	maison
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
maison	NOM	maison
.	NAM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
laissé	VER:pper	laisser
l-	TRC	l-
juste	ADV	juste
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
derrière	ADV	derrière
les	DET:def	le
buissons	NOM	buisson
peut-être	ADV	peut-être
sa	DET:pos	son
maison	NOM	maison
.	NAM	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
derrière	ADV	derrière
les	DET:def	le
feuilles	NOM	feuille
oui	FNO	oui
tourne	VER:pres	tourner
un	DET:ind	un
=n=	NOM:sig	<unknown>
hérisson	NOM	hérisson
qui	PRO:rel	qui
marche	VER:pres	marcher
ah	INT	ah
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
fais	VER:pres	faire
ça	PRO:cls	ça
.	VER:cond	<unknown>
parce	TRC	parce
que	KON	que
ça	PRO:cls	ça
pique	VER:pres	piquer
ça	PRO:cls	ça
pique	VER:pres	piquer
un	DET:ind	un
=n=	NOM:sig	<unknown>
hérisson	NOM	hérisson
.	NAM	<unknown>
ouais	FNO	ouais
ouh	INT	ouh
ça	PRO:cls	ça
pique	VER:pres	piquer
quand	KON	quand
on	PRO:cls	on
le	PRO:clo	le
touche	VER:pres	toucher
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
qui	PRO:rel	qui
pique	VER:pres	piquer
ah	INT	ah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
les	DET:def	le
piquants	ADJ	piquant
piquants	NOM	piquant
je	PRO:cls	je
sais	VER:pres	savoir
tournes	NOM	tourne
tiens	INT	tiens
regarde	VER:impe	regarder
comme	KON	comme
ils	PRO:cls	il
sont	VER:pres	être
grands	ADJ	grand
/ses	MLT	<unknown>
ces/	MLT	<unknown>
piquants	ADJ	piquant
ouais	FNO	ouais
en	PRP	en
plus	ADV	plus
on	PRO:cls	on
peut	VER:pres	pouvoir
me	PRO:clo	me
faire	VER:infi	faire
piquer	VER:infi	piquer
regarde	VER:impe	regarder
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
accrocher	VER:infi	accrocher
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
juste	ADV	juste
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
ac-	TRC	ac-
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
crochets	NOM	crochet
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
des	DET:ind	un
crochets	NOM	crochet
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
crochets	NOM	crochet
c'	PRO:cls	ce
est	VER:pres	être
/les	MLT	<unknown>
des/	MLT	<unknown>
piquants	NOM	piquant
qui	PRO:rel	qui
sont	AUX:pres	être
accrochés	VER:pper	accrocher
dans	PRP	dans
la	DET:def	le
peau	NOM	peau
du	PRP:det	du
hérisson	NOM	hérisson
ils	PRO:cls	il
sont	VER:pres	être
tellement	ADV	tellement
bien	ADV	bien
accrochés	VER:pper	accrocher
que	KON	que
parfois	ADV	parfois
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
ils	PRO:cls	il
tirent	VER:pres	tirer
la	PRO:clo	le
se	PRO:clo	se
dresser	VER:infi	dresser
regarde	VER:impe	regarder
ils	PRO:cls	il
tirent	VER:pres	tirer
la	DET:def	le
langue	NOM	langue
ils	PRO:cls	il
tirent	VER:pres	tirer
la	DET:def	le
langue	NOM	langue
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
bien	ADV	bien
non	FNO	non
faut	VER:pres	falloir
pas	ADV	pas
tirer	VER:infi	tirer
la	DET:def	le
langue	NOM	langue
et	KON	et
tu	PRO:cls	tu
vois	VER:pres	voir
les	DET:def	le
pattes	NOM	patte
du	PRP:det	du
hérisson	NOM	hérisson
ils	PRO:cls	il
ont	VER:pres	avoir
des	DET:ind	un
petits	ADJ	petit
coussinets	NOM	coussinet
dessous	ADV	dessous
comme	KON	comme
les	DET:def	le
les	DET:def	le
chats	NOM	chat
quoi	INT	quoi
.	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
chat	NOM	chat
dans	PRP	dans
ta	DET:pos	ton
maison	NOM	maison
.	NAM	<unknown>
non	FNO	non
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
sa	DET:pos	son
maison	NOM	maison
xxx	NOM	<unknown>
lire	VER:infi	lire
une	DET:ind	un
histoire	NOM	histoire
xxx	NOM	<unknown>
a-	TRC	a-
alors	ADV	alors
eh	INT	eh
regarde	VER:impe	regarder
ah	INT	ah
regarde	VER:impe	regarder
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
tout	DET:pre	tout
ça	PRO:ton	ça
ces	DET:dem	ce
petites	NOM	petite
bêtes	ADJ	bête
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
b-	TRC	b-
b-	TRC	b-
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
araignée	NOM	araignée
ouh	INT	ouh
tu	PRO:cls	tu
crois	VER:pres	croire
qu'	KON	que
elle	PRO:cls	elle
pique	VER:pres	piquer
cette	DET:dem	ce
araignée	NOM	araignée
.	NAM	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
tu	PRO:cls	tu
vois	VER:pres	voir
un	DET:ind	un
piquant	NOM	piquant
au-dessus	ADV	au-dessus
de	PRP	de
sa	DET:pos	son
tête	NOM	tête
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
araignée	NOM	araignée
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
une	DET:ind	un
pieuvre	NOM	pieuvre
une	DET:ind	un
araignée	NOM	araignée
en	PRP	en
plus	ADV	plus
ça	PRO:cls	ça
appuie	VER:pres	appuyer
ça	PRO:cls	ça
fait	VER:pres	faire
oh	INT	oh
pas	ADV	pas
toutes	DET:pre	tout
les	DET:def	le
araignées	NOM	araignée
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
araignées	NOM	araignée
qui	PRO:rel	qui
sont	VER:pres	être
très	ADV	très
gentilles	ADJ	gentil
regarde	VER:pres	regarder
et	KON	et
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
serpent	NOM	serpent
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
un	DET:ind	un
serpent	NOM	serpent
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
ver	NOM	ver
de	PRP	de
terre	NOM	terre
en	PRO:clo	en
fait	VER:pres	faire
un	DET:ind	un
ver	NOM	ver
de	PRP	de
terre	NOM	terre
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
peu	NOM	peu
comme	KON	comme
un	DET:ind	un
serpent	NOM	serpent
regarde	VER:pres	regarder
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
perce-oreille	NOM	<unknown>
un	DET:ind	un
perce-oreille	NOM	<unknown>
ça	PRO:cls	ça
fait	VER:pres	faire
mal	ADV	mal
un	DET:ind	un
ver	NOM	ver
et	KON	et
ça	PRO:ton	ça
tu	PRO:cls	tu
connais	VER:pres	connaître
.	ADJ	<unknown>
ça	PRO:ton	ça
de	PRP	de
terre	NOM	terre
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
un	DET:ind	un
ver	NOM	ver
de	PRP	de
terre	NOM	terre
sauf	PRP	sauf
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
pattes	NOM	patte
ça	PRO:cls	ça
s'	PRO:clo	se
appelle	VER:pres	appeler
un	DET:ind	un
mille-pattes	NOM	<unknown>
regarde	VER:pres	regarder
une	DET:ind	un
araignée	NOM	araignée
on	PRO:cls	on
dirait	VER:cond	dire
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
scarabée	NOM	scarabée
ça	PRO:cls	ça
fait	VER:pres	faire
ça	PRO:ton	ça
rien	PRO:ind	rien
du	PRP:det	du
tout	ADV	tout
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
un	DET:ind	un
escargot	NOM	escargot
ah	INT	ah
tu	PRO:cls	tu
crois	VER:pres	croire
.	NAM	<unknown>
oui	FNO	oui
les	DET:def	le
es-	TRC	es-
les	DET:def	le
escargots	NOM	escargot
ils	PRO:cls	il
ont	VER:pres	avoir
des	DET:ind	un
petites	ADJ	petit
.	NOM	<unknown>
des	PRP:det	du
oreilles	NOM	oreille
et	KON	et
les	DET:def	le
escargots	NOM	escargot
ils	PRO:cls	il
ont	VER:pres	avoir
juste	ADV	juste
une	DET:ind	un
petite	ADJ	petit
queue	NOM	queue
je	PRO:cls	je
crois	VER:pres	croire
aussi	ADV	aussi
ouais	FNO	ouais
ça	PRO:ton	ça
tu	PRO:cls	tu
as	VER:pres	avoir
raison	NOM	raison
sauf	PRP	sauf
que	KON	que
l'	DET:def	le
escargot	NOM	escargot
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
maison	NOM	maison
sur	PRP	sur
son	DET:pos	son
dos	NOM	dos
ouais	FNO	ouais
il	PRO:cls	il
a	VER:pres	avoir
une	DET:ind	un
maison	NOM	maison
sur	PRP	sur
son	DET:pos	son
dos	NOM	dos
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
il	PRO:clsi	il
l'	PRO:clo	le
a	VER:pres	avoir
sa	DET:pos	son
maison	NOM	maison
lui	PRO:clo	lui
.	VER:futu	<unknown>
ben	INT	ben
il	PRO:cls	il
ouvre	VER:pres	ouvrir
la	DET:def	le
porte	NOM	porte
eh	INT	eh
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
limace	NOM	limace
un	DET:ind	un
limace	NOM	limace
comme	KON	comme
comme	KON	comme
les	DET:def	le
oreilles	NOM	oreille
de	PRP	de
de	PRP	de
l'	DET:def	le
escargot	NOM	escargot
exactement	ADV	exactement
regarde	VER:impe	regarder
il	PRO:cls	il
sort	VER:pres	sortir
de	PRP	de
sa	DET:pos	son
maison	NOM	maison
il	PRO:cls	il
sort	VER:pres	sortir
de	PRP	de
sa	DET:pos	son
maison	NOM	maison
et	KON	et
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
où	PRO:int	où
sa	DET:pos	son
maison	NOM	maison
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
sous	PRP	sous
les	DET:def	le
radis	NOM	radis
.	NAM	<unknown>
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
/sur	MLT	<unknown>
sous/	MLT	<unknown>
les	DET:def	le
radis	NOM	radis
hein	INT	hein
peut-être	ADV	peut-être
qu'	KON	que
il	PRO:clsi	il
les	PRO:clo	le
mange	VER:pres	manger
aussi	ADV	aussi
les	DET:def	le
radis	NOM	radis
ah	INT	ah
bah	INT	bah
oui	FNO	oui
mm	NOM	<unknown>
il	PRO:cls	il
est	VER:pres	être
peut-être	ADV	peut-être
hum	FNO	hum
gourmand	ADJ	gourmand
de	PRP	de
radis	NOM	radis
lui	PRO:ton	lui
aussi	ADV	aussi
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
cailloux	NOM	caillou
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
cailloux	NOM	caillou
nan	NOM	<unknown>
en	PRP	en
fait	NOM	fait
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
comme	KON	comme
de	PRP	de
la	DET:def	le
terre	NOM	terre
regarde	VER:impe	regarder
les	DET:def	le
radis	NOM	radis
ça	PRO:cls	ça
pousse	VER:pres	pousser
dans	PRP	dans
la	DET:def	le
terre	NOM	terre
peut	VER:pres	pouvoir
être	VER:infi	être
qu'	KON	que
avec	PRP	avec
la	DET:def	le
terre	NOM	terre
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
peu	NOM	peu
de	PRP	de
cailloux	NOM	caillou
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
eh	INT	eh
regarde	VER:impe	regarder
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	AUX:pres	avoir
mangé	VER:pper	manger
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
que	KON	que
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	AUX:pres	avoir
mangé	VER:pper	manger
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
là	ADV	là
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
ver	NOM	ver
de	PRP	de
terre	NOM	terre
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
mangé	VER:pper	manger
exactement	ADV	exactement
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
et	KON	et
aussi	ADV	aussi
les	DET:def	le
limaces	NOM	limace
ça	PRO:cls	ça
mange	VER:pres	manger
les	DET:def	le
les	DET:def	le
salades	NOM	salade
Nan	ADJ	<unknown>
les	DET:def	le
vers	NOM	ver|vers
de	PRP	de
terre	NOM	terre
.	NAM	<unknown>
lombrics	NOM	lombric
hum	FNO	hum
regarde	VER:impe	regarder
un	DET:ind	un
hibou	NOM	hibou
hérisson	NOM	hérisson
un	DET:ind	un
serpent	NOM	serpent
ici	ADV	ici
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
vipère	NOM	vipère
nan	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
serpent	NOM	serpent
oui	FNO	oui
quand	KON	quand
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
serpent	NOM	serpent
euh	INT	euh
quand	KON	quand
ça	PRO:cls	ça
