corpus	NOM	corpus
qu'	KON	que
ils	PRO:cls	il
n'	ADV	ne
ont	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
elle	PRO:ton	elle
et	KON	et
puis	KON	puis
oui	FNO	oui
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
Nicolas	ADJ	<unknown>
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
Nicolas	ADJ	<unknown>
là	ADV	là
dans	PRP	dans
la-	TRC	la-
à	PRP	à
la	DET:def	le
fenêtre	NOM	fenêtre
c'	PRO:cls	ce
est	VER:pres	être
Anaïs	ADJ	<unknown>
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
Augustin	ADJ	augustin
et	KON	et
les	DET:def	le
autres	ADJ	autre
ce	PRO:cls	ce
sont	VER:pres	être
les	DET:def	le
voisins	NOM	voisin
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
Ni-	NAM	<unknown>
Nicolas	NAM	<unknown>
mh	INT	mh
et	KON	et
en	PRP	en
bas	NOM	bas
c'	PRO:cls	ce
est	VER:pres	être
Karim	NAM	<unknown>
ouais	FNO	ouais
alors	ADV	alors
tu	PRO:cls	tu
oublies	VER:pres	oublier
de	PRP	de
dire	VER:infi	dire
que	KON	que
tous	DET:pre	tout
les	DET:def	le
voisins	NOM	voisin
s'	PRO:clo	se
étaient	AUX:impf	être
mis	VER:pper	mettre
à	PRP	à
la	DET:def	le
fenêtre	NOM	fenêtre
oh	INT	oh
tous	DET:pre	tout
les	DET:def	le
habitants	NOM	habitant
tous	DET:pre	tout
les	DET:def	le
habitants	NOM	habitant
de	PRP	de
la	DET:def	le
Cité	NOM	cité
se	PRO:clo	se
se	PRO:clo	se
sont	AUX:pres	être
mis	VER:pper	mettre
à	PRP	à
la	DET:def	le
fenêtre	NOM	fenêtre
presque	ADV	presque
presque	ADV	presque
tous	DET:pre	tout
les	DET:def	le
habitants	NOM	habitant
de	PRP	de
la	DET:def	le
Cité	NOM	cité
se	PRO:clo	se
sont	AUX:pres	être
mis	VER:pper	mettre
à	PRP	à
leur	DET:pos	leur
fenêtre	NOM	fenêtre
-nêtre	NAM	<unknown>
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
se	PRO:clo	se
demande	VER:pres	demander
où	PRO:rel	où
a	AUX:pres	avoir
bien	ADV	bien
pu	VER:pper	pouvoir
passer	VER:infi	passer
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
où	PRO:int	où
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
a	AUX:pres	avoir
bien	ADV	bien
pu	VER:pper	pouvoir
se	PRO:clo	se
cacher	VER:infi	cacher
alors	ADV	alors
les	DET:def	le
enfants	NOM	enfant
commencent	VER:pres	commencer
à	PRP	à
chercher	VER:infi	chercher
pa-	TRC	pa-
décident	VER:pres	décider
de	PRP	de
chercher	VER:infi	chercher
partout	ADV	partout
ils	PRO:cls	il
commencent	VER:pres	commencer
d'	PRP	un
abord	NOM	abord
à	PRP	à
la	DET:def	le
cave	NOM	cave
ils	PRO:cls	il
commencent	VER:pres	commencer
par	PRP	par
descendre	VER:infi	descendre
à	PRP	à
la	DET:def	le
cave	NOM	cave
cave	ADJ	cave
Félix	NAM	<unknown>
le	PRO:clo	le
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
est	VER:pres	être
dans	PRP	dans
la	DET:def	le
cave	NOM	cave
cave	ADJ	cave
non	FNO	non
non	FNO	non
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
dans	PRP	dans
la	DET:def	le
cave	NOM	cave
cave	ADJ	cave
alors	ADV	alors
le	DET:def	le
Félix	NOM	<unknown>
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
fils	NOM	fil|fils
du	PRP:det	du
gardien	NOM	gardien
Félix	NAM	<unknown>
Félix	NAM	<unknown>
.	NAM	<unknown>
c'	PRO:cls	ce
est/	MLT	<unknown>
le	DET:def	le
fils	NOM	fil|fils
du	PRP:det	du
gardien	NOM	gardien
appelle	VER:pres	appeler
les	DET:def	le
enfants	NOM	enfant
il	PRO:cls	il
a	VER:pres	avoir
il	PRO:cls	il
est	VER:pres	être
très	ADV	très
très	ADV	très
vieux	ADJ	vieux
il	PRO:cls	il
a	VER:pres	avoir
quel	DET:int	quel
âge	NOM	âge
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
plus	ADV	plus
vieux	ADJ	vieux
que	KON	que
tous	DET:pre	tout
les	DET:def	le
enfants	NOM	enfant
les	DET:def	le
enfants	NOM	enfant
de	PRP	de
la	DET:def	le
cour	NOM	cour
cour	NOM	cour
il	PRO:cls	il
a	VER:pres	avoir
dix-neuf	NUM	@card@
ans	NOM	an
il	PRO:cls	il
a	VER:pres	avoir
dix-neuf	NUM	@card@
ans	NOM	an
alors	ADV	alors
il	PRO:cls	il
prend	VER:pres	prendre
sa	DET:pos	son
dans	PRP	dans
sa	DET:pos	son
poche	NOM	poche
il	PRO:cls	il
garde	VER:pres	garder
la	DET:def	le
clé	NOM	clé
du	PRP:det	du
toit	NOM	toit
qui	PRO:rel	qui
ouvre	VER:pres	ouvrir
la	DET:def	le
porte	NOM	porte
du	PRP:det	du
toit	NOM	toit
il	PRO:cls	il
garde	VER:pres	garder
la	DET:def	le
clé	NOM	clé
qui	PRO:rel	qui
ouvre	VER:pres	ouvrir
la	DET:def	le
porte	NOM	porte
du	PRP:det	du
toit	NOM	toit
ils	PRO:cls	il
sont	AUX:pres	être
arrivés	VER:pper	arriver
sur	PRP	sur
sur	PRP	sur
le	DET:def	le
toit	NOM	toit
oui	FNO	oui
Anaïs	NAM	<unknown>
.	NAM	<unknown>
Augu-	NAM	<unknown>
-stin	NAM	<unknown>
Karim	NAM	<unknown>
et	KON	et
Nicolas	NAM	<unknown>
-tin	NAM	<unknown>
-rim	NAM	<unknown>
et	KON	et
Nicolas	NAM	<unknown>
sont	AUX:pres	être
arrivés	VER:pper	arriver
et	KON	et
sur	PRP	sur
le	DET:def	le
toit	NOM	toit
toit	NOM	toit
avec	PRP	avec
Félix	NAM	<unknown>
Félix	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
petite	ADJ	petit
cabane	NOM	cabane
Nicolas	NAM	<unknown>
dit	VER:pres	dire
t-	TRC	t-
il	PRO:clsi	il
dit	VER:pres	dire
.	NAM	<unknown>
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
je	PRO:cls	je
regarde	VER:pres	regarder
dedans	ADV	dedans
je	PRO:cls	je
suis	VER:pres	être
sûr	ADJ	sûr
qu'	KON	que
il	PRO:cls	il
se	PRO:clo	se
ca-	TRC	ca-
je	PRO:cls	je
suis	VER:pres	être
sûr	ADJ	sûr
que	KON	que
mon	DET:pos	mon
chat	NOM	chat
est	VER:pres	être
dedans	ADV	dedans
oui	FNO	oui
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
je	PRO:cls	je
regarde	VER:pres	regarder
je	PRO:cls	je
suis	VER:pres	être
sûr	ADJ	sûr
que	KON	que
mon	DET:pos	mon
chat	NOM	chat
est	VER:pres	être
là-dedans	ADV	là-dedans
Nicolas	VER:simp	<unknown>
ouvre	VER:impe	ouvrir
il	PRO:cls	il
voit	VER:pres	voir
deux	NUM	@card@
gros	ADJ	gros
oeufs	NOM	oeuf
par	PRP	par
terre	NOM	terre
il	PRO:cls	il
comprend	VER:pres	comprendre
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
maison	NOM	maison
des	PRP:det	du
poules	NOM	poule
elle	PRO:cls	elle
demande	VER:pres	demander
aux	PRP:det	au
il	PRO:cls	il
demande	VER:pres	demander
aux	PRP:det	au
poules	NOM	poule
que	KON	que
hé	INT	hé
les	DET:def	le
poules	NOM	poule
vous	PRO:cls	vous
avez	AUX:pres	avoir
vu	VER:pper	voir
mon	DET:pos	mon
chat	NOM	chat
.	NAM	<unknown>
les	DET:def	le
poules	NOM	poule
ne	ADV	ne
savent	VER:pres	savoir
pas	ADV	pas
répondre	VER:infi	répondre
elles	PRO:cls	elle
disent	VER:pres	dire
elles	PRO:cls	elle
/répondent	MLT	<unknown>
répètent/	MLT	<unknown>
sans	PRP	sans
arrêt	NOM	arrêt
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
oui	FNO	oui
il	PRO:cls	il
demande	VER:pres	demander
aux	PRP:det	au
poules	NOM	poule
si	KON	si
elles	PRO:cls	elle
ont	AUX:pres	avoir
vu	VER:pper	voir
son	DET:pos	son
chat	NOM	chat
mais	KON	mais
les	DET:def	le
poules	NOM	poule
n'	ADV	ne
ont	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
en	PRP	en
tout	PRO:ind	tout
cas	NOM	cas
elles	PRO:cls	elle
ne	ADV	ne
savent	VER:pres	savoir
pas	ADV	pas
dire	VER:infi	dire
qu'	KON	que
elles	PRO:cls	elle
ont	AUX:pres	avoir
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
ou	KON	ou
pas	ADV	pas
non	FNO	non
nous	PRO:ton	nous
on	PRO:cls	on
sait	VER:pres	savoir
que	KON	que
nous	PRO:ton	nous
on	PRO:cls	on
sait	VER:pres	savoir
que	KON	que
elles	PRO:cls	elle
ont	VER:pres	avoir
nous	PRO:ton	nous
on	PRO:cls	on
sait	VER:pres	savoir
qu'	KON	que
elles	PRO:cls	elle
disent	VER:pres	dire
pas	ADV	pas
ouais	FNO	ouais
nous	PRO:ton	nous
on	PRO:cls	on
sait	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
vrai	ADJ	vrai
qu'	KON	que
elles	PRO:cls	elle
ont	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
.	NAM	<unknown>
on	PRO:cls	on
sait	VER:pres	savoir
que	KON	que
cot	VER:impe	<unknown>
cot	VER:impe	<unknown>
codec	NOM	<unknown>
ca	NOM	<unknown>
veut	VER:pres	vouloir
dire	VER:infi	dire
non	FNO	non
non	FNO	non
je	PRO:cls	je
n'	ADV	ne
ai	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
votre	DET:pos	votre
chat	NOM	chat
alors	ADV	alors
Nicolas	VER:simp	<unknown>
redescend	VER:pres	redescendre
il	PRO:cls	il
euh	INT	euh
en	PRP	en
redescendant	VER:ppre	redescendre
l'	DET:def	le
escalier	NOM	escalier
Nicolas	NAM	<unknown>
oui	FNO	oui
se	PRO:clo	se
met	VER:pres	mettre
à	PRP	à
pleurer	VER:infi	pleurer
/ouais	MLT	<unknown>
pleurer/	MLT	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
peur	NOM	peur
de	PRP	de
ne	ADV	ne
plus	ADV	plus
jamais	ADV	jamais
revoir	VER:infi	revoir
son	DET:pos	son
chat	NOM	chat
oui	FNO	oui
les	DET:def	le
voisins	NOM	voisin
essayent	VER:pres	essayer
de	PRP	de
le	DET:def	le
conso-	NOM	<unknown>
-soler	NAM	<unknown>
-ler	NAM	<unknown>
mais	KON	mais
personne	PRO:ind	personne
n'	ADV	ne
a	AUX:pres	avoir
personne	PRO:ind	personne
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
hum	FNO	hum
ma-	TRC	ma-
la	DET:def	le
maman	NOM	maman
est	VER:pres	être
devant	PRP	devant
la	DET:def	le
porte	NOM	porte
elle	PRO:cls	elle
tient	VER:pres	tenir
un	DET:ind	un
panier	NOM	panier
à	PRP	à
chat	NOM	chat
le	DET:def	le
re-	TRC	re-
le	DET:def	le
chat	NOM	chat
/peut	MLT	<unknown>
dire	VER:infi	dire
contient/	MLT	<unknown>
miaou	NOM	miaou
miaou	NOM	miaou
oui	FNO	oui
les	DET:def	le
enfants	NOM	enfant
redescendent	VER:pres	redescendre
à	PRP	à
l'	DET:def	le
étage	NOM	étage
où	PRO:rel	où
Nicolas	NAM	<unknown>
habite	VER:pres	habiter
habite	VER:pres	habiter
t-	TRC	t-
elle	PRO:cls	elle
tient	VER:pres	tenir
la	DET:def	le
maman	NOM	maman
de	PRP	de
xxx	NOM	<unknown>
Nicolas	NAM	<unknown>
tient	VER:pres	tenir
un	DET:ind	un
panier	NOM	panier
à	PRP	à
chat	NOM	chat
à	PRP	à
chat	NOM	chat
devant	PRP	devant
la	DET:def	le
porte	NOM	porte
oui	FNO	oui
et	KON	et
le	DET:def	le
panier	NOM	panier
dit	VER:pper	dire
il	PRO:clsi	il
dit	VER:pres	dire
miaou	NOM	miaou
miaou	NOM	miaou
il	PRO:cls	il
dit	VER:pres	dire
miaou	NOM	miaou
miaou	NOM	miaou
ne	ADV	ne
pleure	VER:impe	pleurer
pas	ADV	pas
Nicolas	VER:simp	<unknown>
ton	DET:pos	ton
chat	NOM	chat
est	VER:pres	être
dans	PRP	dans
le	DET:def	le
panier	NOM	panier
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
lui	PRO:clo	lui
donner	VER:infi	donner
son	DET:pos	son
yaourt	NOM	yaourt
car	NOM	car
il	PRO:cls	il
doit	VER:pres	devoir
=z=	NOM:sig	<unknown>
avoir	VER:infi	avoir
très	ADV	très
très	ADV	très
faim	NOM	faim
oui	FNO	oui
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
emmené	VER:pper	emmener
chez	PRP	chez
le	DET:def	le
vétéri-	NOM	<unknown>
-naire	ADJ	<unknown>
pour	PRP	pour
pour	PRP	pour
pour	PRP	pour
faire	VER:infi	faire
-ccin	NAM	<unknown>
-naire	NAM	<unknown>
pour	PRP	pour
faire	VER:infi	faire
son	DET:pos	son
vaccin	NOM	vaccin
et	KON	et
on	PRO:cls	on
va	VER:pres	aller
lui	PRO:clo	lui
donner	VER:infi	donner
son	DET:pos	son
yaourt	NOM	yaourt
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
sûrement	ADV	sûrement
très	ADV	très
très	ADV	très
faim	NOM	faim
son	DET:pos	son
yaourt	NOM	yaourt
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	VER:pres	avoir
sûrement	ADV	sûrement
très	ADV	très
faim	NOM	faim
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
le	PRO:clo	le
faire	VER:infi	faire
écouter	VER:infi	écouter
.	NOM:sig	<unknown>
