allez	INT	allez
une	DET:ind	un
feuille	NOM	feuille
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ma	DET:pos	mon
montre	NOM	montre
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
montre	NOM	montre
à	PRP	à
qui	PRO:rel	qui
.	VER:impf	<unknown>
à	PRP	à
moi	PRO:ton	moi
c'	PRO:cls	ce
est	VER:pres	être
ma	DET:pos	mon
montre	NOM	montre
elle	PRO:cls	elle
sonne	VER:pres	sonner
toutes	DET:pre	tout
les	DET:def	le
heures	NOM	heure
et	KON	et
elle	PRO:cls	elle
parle	VER:pres	parler
aussi	ADV	aussi
oui	FNO	oui
.	NAM	<unknown>
hum	FNO	hum
alors	ADV	alors
tu	PRO:cls	tu
sais	VER:pres	savoir
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
poupée	NOM	poupée
et	KON	et
ça	PRO:ton	ça
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
attends	VER:impe	attendre
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
radis	NOM	radis
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
alors	ADV	alors
voilà	FNO	voilà
regarde	VER:impe	regarder
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
clown	NOM	clown
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
ça	PRO:ton	ça
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	VER:pres	avoir
là	ADV	là
autour	ADV	autour
.	VER:simp	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
clown	NOM	clown
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
ruban	NOM	ruban
mais	KON	mais
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pareil	ADJ	pareil
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
ruban	NOM	ruban
et	KON	et
ça	PRO:cls	ça
.	VER:cond	<unknown>
un	DET:ind	un
chapeau	NOM	chapeau
oui	FNO	oui
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
saladier	NOM	saladier
c'	PRO:cls	ce
est	VER:pres	être
.	NAM	<unknown>
non	FNO	non
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
me	PRO:clo	me
regardes	VER:pres	regarder
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
fruits	NOM	fruit
et	KON	et
de	PRP	de
la	DET:def	le
saladier	NOM	saladier
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
salade	NOM	salade
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
chou-fleur	NOM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
ça	PRO:cls	ça
.	VER:cond	<unknown>
xxx	NOM	<unknown>
une	DET:ind	un
maison	NOM	maison
alors	ADV	alors
ah	INT	ah
regarde	VER:impe	regarder
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
beau	ADJ	beau
ça	PRO:cls	ça
regarde	VER:pres	regarder
regarde	VER:impe	regarder
.	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
tu	PRO:cls	tu
fais	VER:pres	faire
.	NAM	<unknown>
oui	FNO	oui
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
ah	INT	ah
xxx	NOM	<unknown>
regardes	VER:pres	regarder
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
arbre	NOM	arbre
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
arbre	NOM	arbre
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
comme	KON	comme
animal	NOM	animal
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
méchant	ADJ	méchant
/et	MLT	<unknown>
tout	PRO:ind	tout
.	NOM:sig	<unknown>
ça	PRO:ton	ça
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
.	NOM:sig	<unknown>
non	FNO	non
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
?	NOM:sig	<unknown>
ben	INT	ben
alors	ADV	alors
xxx	NOM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
animal	NOM	animal
ça	PRO:cls	ça
.	VER:cond	<unknown>
oui	FNO	oui
oui	FNO	oui
?	NAM	<unknown>
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
un	DET:ind	un
fruit	NOM	fruit
.	NAM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
oh	INT	oh
te	PRO:clo	te
fais	VER:pres	faire
pas	ADV	pas
mal	ADV	mal
avec	PRP	avec
la	DET:def	le
lampe	NOM	lampe
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
.	NAM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
ça	PRO:cls	ça
se	PRO:clo	se
mange	VER:pres	manger
.	NAM	<unknown>
xxx	NOM	<unknown>
ça	PRO:cls	ça
se	PRO:clo	se
mange	VER:pres	manger
.	NAM	<unknown>
non	FNO	non
ça	PRO:cls	ça
se	PRO:clo	se
pique	VER:pres	piquer
pas	ADV	pas
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
.	NAM	<unknown>
non	FNO	non
parce	TRC	parce
que	KON	que
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
mange	VER:pres	manger
pas	ADV	pas
ça	PRO:ton	ça
non	FNO	non
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	DET:ind	un
petits	ADJ	petit
xxx	NOM	<unknown>
ben	INT	ben
le	DET:def	le
chien	NOM	chien
xxx	NOM	<unknown>
le	DET:def	le
chien	NOM	chien
qui	PRO:rel	qui
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
le	DET:def	le
chien	NOM	chien
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
pêche	NOM	pêche
.	NAM	<unknown>
oui	FNO	oui
ça	PRO:cls	ça
se	PRO:clo	se
mange	VER:pres	manger
.	NAM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
non	FNO	non
ça	PRO:cls	ça
se	PRO:clo	se
boit	VER:pres	boire
ça	PRO:ton	ça
ça	PRO:cls	ça
se	PRO:clo	se
boit	VER:pres	boire
.	NAM	<unknown>
xxx	NOM	<unknown>
se	PRO:clo	se
mettre	VER:infi	mettre
dans	PRP	dans
le	DET:def	le
verre	NOM	verre
xxx	NOM	<unknown>
ah	INT	ah
du	PRP:det	du
jus	NOM	jus
de	PRP	de
pêche	NOM	pêche
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
tu	PRO:cls	tu
aimes	VER:subp	aimer
bien	ADV	bien
.	VER:simp	<unknown>
xxx	NOM	<unknown>
tu	PRO:cls	tu
aimes	VER:pres	aimer
bien	ADV	bien
le	DET:def	le
jus	NOM	jus
de	PRP	de
pêche	NOM	pêche
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
?	NAM	<unknown>
mais	KON	mais
ça	PRO:cls	ça
se	PRO:clo	se
mange	VER:pres	manger
aussi	ADV	aussi
ça	PRO:ton	ça
.	NAM	<unknown>
oui	FNO	oui
ben	INT	ben
oui	FNO	oui
tu	PRO:cls	tu
peux	VER:pres	pouvoir
le	PRO:clo	le
boire	VER:infi	boire
aussi	ADV	aussi
ah	INT	ah
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
d'	DET:ind	un
autres	ADJ	autre
derrière	NOM	derrière
je	PRO:cls	je
l'	PRO:clo	le
avais	AUX:impf	avoir
pas	ADV	pas
vu	VER:pper	voir
et	KON	et
ça	PRO:ton	ça
tu	PRO:cls	tu
joues	VER:pres	jouer
souvent	ADV	souvent
avec	PRP	avec
quand	KON	quand
tu	PRO:cls	tu
vas	VER:pres	aller
sur	PRP	sur
la	DET:def	le
plage	NOM	plage
et	KON	et
tout	PRO:ind	tout
.	NOM:sig	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
un	DET:ind	un
seau	NOM	seau
un	DET:ind	un
seau	NOM	seau
hum	FNO	hum
un	DET:ind	un
seau	NOM	seau
mais	KON	mais
le	DET:def	le
le	DET:def	le
jouet	NOM	jouet
à	PRP	à
moi	PRO:ton	moi
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
pas	ADV	pas
retrouvé	VER:pper	retrouver
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
pas	ADV	pas
retrouvé	VER:pper	retrouver
et	KON	et
tu	PRO:cls	tu
jouais	VER:impf	jouer
avec	PRP	avec
quoi	PRO:int	quoi
avec	PRP	avec
le	DET:def	le
seau	NOM	seau
.	NAM	<unknown>
ah	INT	ah
le	DET:def	le
grand	ADJ	grand
seau	NOM	seau
je	PRO:cls	je
mets	VER:pres	mettre
du	DET:par	du
sable	NOM	sable
dedans	ADV	dedans
et	KON	et
tu	PRO:cls	tu
fais	VER:pres	faire
des	DET:ind	un
châteaux	NOM	château
.	NAM	<unknown>
eh	INT	eh
oui	FNO	oui
avec	PRP	avec
une	DET:ind	un
pelle	NOM	pelle
aussi	ADV	aussi
.	VER:simp	<unknown>
beh	NOM	<unknown>
oui	FNO	oui
mais	KON	mais
je	PRO:cls	je
pas	ADV	pas
rentrer	VER:infi	rentrer
dedans	ADV	dedans
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
sable	NOM	sable
ça	PRO:cls	ça
rentre	VER:pres	rentrer
pas	ADV	pas
regarde	VER:impe	regarder
ça	PRO:ton	ça
ça	PRO:cls	ça
rentre	VER:pres	rentrer
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
table	NOM	table
un	DET:ind	un
loup	NOM	loup
hum	FNO	hum
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
dormi	VER:pper	dormir
dans	PRP	dans
une	DET:ind	un
tente	NOM	tente
.	NAM	<unknown>
euh	INT	euh
oui	FNO	oui
c'	PRO:cls	ce
était	VER:impf	être
bien	ADV	bien
.	VER:simp	<unknown>
oui	FNO	oui
oui	FNO	oui
.	VER:impe	<unknown>
regarde	VER:impe	regarder
tu	PRO:cls	tu
vas	VER:pres	aller
te	PRO:clo	te
faire	VER:infi	faire
mal	ADV	mal
aux	PRP:det	au
yeux	NOM	oeil
avec	PRP	avec
attends	VER:impe	attendre
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pareil	ADV	pareil
regarde	VER:impe	regarder
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
animal	NOM	animal
chez	PRP	chez
toi	PRO:ton	toi
.	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
animal	NOM	animal
chez	PRP	chez
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
tu	PRO:cls	tu
as	VER:pres	avoir
quoi	INT	quoi
comme	KON	comme
animal	NOM	animal
.	NAM	<unknown>
oui	FNO	oui
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
chat	NOM	chat
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
chat	NOM	chat
.	NAM	<unknown>
oui	FNO	oui
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
Rapido	NAM	<unknown>
Rapido	NAM	<unknown>
?	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
gentil	ADJ	gentil
.	NAM	<unknown>
oui	FNO	oui
il	PRO:cls	il
vient	VER:pres	venir
dormir	VER:infi	dormir
avec	PRP	avec
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
mais	KON	mais
pas	ADV	pas
avec	PRP	avec
Romain	NOM	romain
oh	INT	oh
ben	INT	ben
non	FNO	non
il	PRO:cls	il
est	VER:pres	être
petit	ADJ	petit
hein	INT	hein
encore	ADV	encore
hein	INT	hein
?	NAM	<unknown>
il	PRO:cls	il
dort	VER:pres	dormir
oui	FNO	oui
avec	PRP	avec
toi	PRO:ton	toi
aussi	ADV	aussi
.	VER:simp	<unknown>
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
faut	VER:pres	falloir
pas	ADV	pas
les	PRO:clo	le
forcer	VER:infi	forcer
le	DET:def	le
xxx	NOM	<unknown>
on	PRO:cls	on
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
de	PRP	de
faire	VER:infi	faire
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
xxx	NOM	<unknown>
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
pas	ADV	pas
emmené	VER:pper	emmener
avec	PRP	avec
toi	PRO:ton	toi
.	NAM	<unknown>
mais	KON	mais
non	FNO	non
il	PRO:cls	il
dort	VER:pres	dormir
.	NAM	<unknown>
oui	FNO	oui
à	PRP	à
la	DET:def	le
maison	NOM	maison
.	NAM	<unknown>
et	KON	et
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
mon	DET:pos	mon
Rapido	NOM:sig	<unknown>
xxx	NOM	<unknown>
à	PRP	à
Paris	NAM	Paris
je	PRO:cls	je
le	PRO:clo	le
laisse	VER:pres	laisser
pas	ADV	pas
là	ADV	là
mon	DET:pos	mon
Rapido	NOM	<unknown>
ben	INT	ben
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
toi	PRO:ton	toi
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
à	PRP	à
nous	PRO:ton	nous
hein	INT	hein
.	NAM	<unknown>
moi	PRO:ton	moi
si	KON	si
il	PRO:cls	il
reste	VER:pres	rester
là	ADV	là
xxx	NOM	<unknown>
pas	ADV	pas
après	ADV	après
je	PRO:cls	je
pou-	TRC	pou-
après	ADV	après
je	PRO:cls	je
pourrai	VER:futu	pouvoir
plus	ADV	plus
retrouver	VER:infi	retrouver
mon	DET:pos	mon
Rapido	NOM	<unknown>
mais	KON	mais
si	KON	si
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
ton	DET:pos	ton
Rapido	NOM:sig	<unknown>
hum	FNO	hum
il	PRO:cls	il
est	VER:pres	être
de	PRP	de
quelle	DET:int	quel
couleur	NOM	couleur
.	NAM	<unknown>
tout	ADV	tout
noir	ADJ	noir
tout	ADV	tout
noir	ADJ	noir
?	NAM	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
bon	INT	bon
ça	PRO:cls	ça
.	VER:cond	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
poils	NOM	poil
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
poils	NOM	poil
.	NAM	<unknown>
regarde	VER:impe	regarder
il	PRO:cls	il
est	AUX:pres	être
tout	PRO:ind	tout
mouillé	VER:pper	mouiller
ton	DET:pos	ton
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
fais	VER:pres	faire
.	NAM	<unknown>
je	PRO:cls	je
tire	VER:pres	tirer
le	DET:def	le
fil	NOM	fil
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
il	PRO:cls	il
est	VER:pres	être
pas	ADV	pas
beau	ADJ	beau
bon	INT	bon
laisse	VER:impe	laisser
je	PRO:cls	je
vais	VER:pres	aller
te	PRO:clo	te
le	PRO:clo	le
couper	VER:infi	couper
tout	ADV	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
deux	NUM	@card@
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
le	PRO:clo	le
mords	VER:pres	mordre
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
regarde	VER:impe	regarder
tu	PRO:cls	tu
vois	VER:pres	voir
regarde	VER:impe	regarder
il	PRO:cls	il
est	VER:pres	être
tout	PRO:ind	tout
dechiré	NOM	<unknown>
là	ADV	là
ouais	FNO	ouais
faudra	VER:futu	falloir
le	PRO:clo	le
recoudre	VER:infi	recoudre
hein	INT	hein
?	NAM	<unknown>
faudra	VER:futu	falloir
le	PRO:clo	le
dire	VER:infi	dire
à	PRP	à
Maman	NOM	maman
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
Maman	NOM	maman
qui	PRO:rel	qui
l'	PRO:clo	le
a	AUX:pres	avoir
fait	VER:pper	faire
ton	DET:pos	ton
.	NOM:sig	<unknown>
oui	FNO	oui
oh	INT	oh
il	PRO:cls	il
est	VER:pres	être
tout	PRO:ind	tout
dechiré	NOM	<unknown>
ben	INT	ben
oui	FNO	oui
hein	INT	hein
?	NAM	<unknown>
faudra	VER:futu	falloir
le	PRO:clo	le
dire	VER:infi	dire
à	PRP	à
Maman	NOM	maman
hein	INT	hein
d'	PRP	un
accord	NOM	accord
?	NAM	<unknown>
hum	FNO	hum
.	NAM	<unknown>
euh	INT	euh
oui	FNO	oui
oui	FNO	oui
?	NAM	<unknown>
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
ton	DET:pos	ton
chat	NOM	chat
ça	PRO:cls	ça
regarde	VER:pres	regarder
euh	INT	euh
oui	FNO	oui
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
niche	NOM	niche
du	PRP:det	du
chien	NOM	chien
hum	FNO	hum
?	NAM	<unknown>
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
cette	DET:dem	ce
voiture	NOM	voiture
.	NAM	<unknown>
il	PRO:cls	il
vient	VER:pres	venir
chercher	VER:infi	chercher
quelqu'un	PRO:ind	quelqu'un
xxx	NOM	<unknown>
il	PRO:cls	il
vient	VER:pres	venir
te	PRO:clo	te
chercher	VER:infi	chercher
il	PRO:clsi	il
vient	VER:pres	venir
te	PRO:clo	te
chercher	VER:infi	chercher
.	VER:infi	<unknown>
mais	KON	mais
mais	KON	mais
non	FNO	non
il	PRO:cls	il
va	VER:pres	aller
pas	ADV	pas
là	ADV	là
ben	INT	ben
si	KON	si
il	PRO:cls	il
va	VER:pres	aller
là	ADV	là
il	PRO:cls	il
est	VER:pres	être
juste	ADV	juste
devant	PRP	devant
la	DET:def	le
fenêtre	NOM	fenêtre
oui	FNO	oui
si	KON	si
il	PRO:cls	il
est	VER:pres	être
juste	ADV	juste
devant	PRP	devant
la	DET:def	le
fenêtre	NOM	fenêtre
tu	PRO:cls	tu
le	PRO:clo	le
vois	VER:pres	voir
pas	ADV	pas
.	NOM:sig	<unknown>
je	PRO:cls	je
vois	VER:pres	voir
pas	ADV	pas
ils	PRO:cls	il
sont	AUX:pres	être
fermés	VER:pper	fermer
les	DET:def	le
volets	NOM	volet
et	KON	et
si	KON	si
regarde	VER:impe	regarder
à	PRP	à
travers	NOM	travers
va	VER:pres	aller
voir	VER:infi	voir
lève	VER:pres	lever
le	DET:def	le
rideau	NOM	rideau
tu	PRO:cls	tu
vois	VER:pres	voir
là	ADV	là
?	NOM:sig	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
petites	ADJ	petit
fentes	NOM	fente
regarde	VER:pres	regarder
à	PRP	à
travers	NOM	travers
tu	PRO:cls	tu
vois	VER:pres	voir
.	ADJ	<unknown>
mais	KON	mais
oui	FNO	oui
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
personne	PRO:ind	personne
qui	PRO:rel	qui
vient	VER:pres	venir
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
?	NAM	<unknown>
mais	KON	mais
ça	PRO:cls	ça
va	VER:pres	aller
sonner	VER:infi	sonner
à	PRP	à
la	DET:def	le
porte	NOM	porte
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
il	PRO:clsi	il
il	PRO:clsi	il
va	VER:pres	aller
venir	VER:infi	venir
te	PRO:clo	te
chercher	VER:infi	chercher
c'	PRO:cls	ce
est	VER:pres	être
ton	DET:pos	ton
copain	NOM	copain
qui	PRO:rel	qui
vient	VER:pres	venir
te	PRO:clo	te
chercher	VER:infi	chercher
.	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
petit	ADJ	petit
copain	NOM	copain
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
ben	INT	ben
tu	PRO:cls	tu
me	PRO:clo	me
dis	VER:pres	dire
que	KON	que
tu	PRO:cls	tu
en	PRO:clo	en
as	VER:pres	avoir
un	DET:ind	un
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
lui	PRO:ton	lui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
garçon	NOM	garçon
ben	INT	ben
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
garçon	NOM	garçon
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
.	NAM	<unknown>
oh	INT	oh
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
?	NOM:sig	<unknown>
il	PRO:cls	il
est	VER:pres	être
dans	PRP	dans
ta	DET:pos	ton
classe	NOM	classe
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
à	PRP	à
coté	NOM	coté
de	PRP	de
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
en	PRP	en
plus	ADV	plus
.	VER:simp	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Rapido	ADV	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
Rapido	ADV	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
Adrien	NOM	<unknown>
ah	INT	ah
Adrien	NOM	<unknown>
il	PRO:cls	il
est	VER:pres	être
gentil	ADJ	gentil
avec	PRP	avec
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
il	PRO:cls	il
fait	VER:pres	faire
des	DET:ind	un
bêtises	NOM	bêtise
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
la	DET:def	le
maîtresse	NOM	maîtresse
elle	PRO:cls	elle
est	VER:pres	être
gentille	ADJ	gentil
avec	PRP	avec
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
on	PRO:cls	on
va	VER:pres	aller
voir	VER:infi	voir
ça	PRO:ton	ça
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
bientôt	ADV	bientôt
Noël	NAM	Noël
hein	INT	hein
.	NAM	<unknown>
xxx	NOM	<unknown>
eh	INT	eh
oui	FNO	oui
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
tu	PRO:cls	tu
as	AUX:pres	avoir
commandé	VER:pper	commander
au	PRP:det	au
Père	NOM	père
Noël	NAM	Noël
.	NAM	<unknown>
xxx	NOM	<unknown>
plein	ADV	plein
de	PRP	de
choses	NOM	chose
moi	PRO:ton	moi
xxx	NOM	<unknown>
au	PRP:det	au
Père	NOM	père
Noël	NAM	Noël
je	PRO:cls	je
lui	PRO:clo	lui
ai	AUX:pres	avoir
