on	hop
pro:int&FEM&SING	laquelle
adv	alors
det&PL	des
num	deux
PCT	?
det&PL	les
adv:place	là
adv:place	là
prep	dans
pro&FEM	toutes
PCT	.
pro:subj	tu
pro:obj&PL	les
v:mdl	vouloir
pro&FEM	toutes
adv	encore
conj	mais
pro:subj	tu
v:exist	être
pro:subj	tu
v:exist	être
PCT	.
pro:subj	tu
v:exist	être
adj	gourmand
pro&SING	toi
PCT	?
conj	mais
adv:yn	non
pro:subj	je
pro:refl	te
PCT	.
pro&SING	moi
pro:subj	je
v	préférer
?	celle–là
PCT	.
?	celle–là
adv:int	pourquoi
PCT	?
co	hum
PCT	.
prep:art	à
n	cause
det&PL	des
PCT	.
n	lance
n	missile
PCT	?
co	hum
co	hum
co	hum
PCT	.
det:gen	quelque
n	chose
pro:rel	qui
pro:refl	te
v	tenter
?	là–dedans
PCT	?
adv:yn	non
PCT	.
adv:yn	non
pro:subj	tu
v:exist	être
adv	assez
adj	difficile
PCT	.
v:exist	il+y+a
adv	rien
pro:rel	qui
pro:refl	te
v	plaire
prep	dans
pro&MASC	tout
pro:dem	ça
PCT	?
pro:subj	tu
PCT	.
co	hum
co	oh
PCT	.
pro:subj	tu
v	regarder
adv	même
adv:neg	pas
PCT	.
pro:dem	ça
adv:yn	non
co	ah
adv:yn	oui
pro:dem	ça
PCT	.
pro:dem	ça
det&FEM&SING	une
det&MASC&SING	un
n	truc
prep:art	de
?	flèchettes
PCT	?
adv:yn	oui
PCT	.
pro:subj	tu
pro:y	en
v:poss	avoir
?	déja
n	fait
PCT	?
adv:yn	non
PCT	.
adv:neg	jamais
PCT	?
PCT	.
co	oh
pro:dem	ça
v:exist	c'est
pro:int	quoi
PCT	?
co	oh
pro:subj	je
v:mdl	vouloir
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
?	***
pro:subj	tu
adv	en+même+temps
det&MASC&SING	un
adj-MASC	bagarreur
pro&SING	toi
PCT	?
pro:subj	tu
v:mdllex	vouloir
det&FEM&SING	une
n	carabin
conj	et
det&MASC&SING	un
n	pistolet
PCT	?
co	hum
conj	et
conj	aussi
adv	pour
co	euh
det&MASC&SING	le
n	pistolet
co	euh
det&PL	des
n	bonhomme
PCT	.
co	ah
adv:yn	oui
pro:subj	tu
v:mdllex	vouloir
det&PL	des
n	bonhomme
prep	pour
v-INF	tirer
adv:place	dessus
?	***
PCT	.
conj	et
pro:dem	ça
PCT	.
v:exist	c'est
pro:int	quoi
pro:dem	ça
PCT	?
co	ah
v:exist	c'est
co	euh
PCT	.
?	***
PCT	.
?	***
PCT	.
pro:subj	tu
v:mdl	vouloir
pro:dem	ça
adv	avant
PCT	?
adv:yn	non
PCT	.
prep	pour
v:mdl-INF	faire
PCT	.
?	***
PCT	.
co	hum
PCT	.
co	ben
prep	pour
v-INF	jouer
adv:place	dedans
prep	avec
pro&SING	toi
co	oh
conj	et
pro:dem	ça
PCT	.
det&MASC&SING	un
n	billard
PCT	?
co	hum
PCT	.
?	***
pro:subj	tu
pro:y	en
v:poss	avoir
adv	déjà
v-PP	jouer
prep	avec
n:prop	Philippe
?	peut–être
adv:yn	non
PCT	?
co	oh
adv:yn	non
prep	chez
n:prop	Papi
conj	et
n:prop	Mamie
PCT	.
prep	chez
n:prop	Papi
conj	et
n:prop	Mamie
PCT	?
co	hum
PCT	.
pro:subj&MASC	ils
v:aux	avoir
PCT	.
det&MASC&SING	un
n	billard
PCT	?
adv:yn	ouais
conj	mais
adv:place	après
n:prop	Mathieu
pro:subj&MASC	il
pro:obj&SING	le/la
v:aux	avoir
v-PP	reprendre
PCT	.
v:exist	c'est
pro:int	qui
n:prop	Mathieu
PCT	?
v:exist	c'est
det:poss&MASC&SING	mon
n	cousin
PCT	.
det:poss&MASC&SING	ton
n	cousin
PCT	?
adv	bon
pro:subj	on
v	reprendre
prep	depuis
det&MASC&SING	le
n	début
?	*
PCT	.
adv	bon
adv	alors
adv	finalement
conj	qu'
?	est–ce
pro:subj	tu
v:mdl	vouloir
v-INF	prendre
adv	alors
PCT	?
pro&SING	moi
adv	que
?	est–ce
conj	que
pro:subj	je
v:mdllex	vouloir
det&MASC&SING	le
adv	plus
PCT	?
pro:subj	tu
v:mdl	vouloir
PCT	.
v-INF	commencer
PCT	.
?	***
PCT	.
?	peut–être
adv	avant
PCT	.
prep	avant
det&PL	les
n:prop	Barbies
pro:subj	tu
pro:refl	te
v	souvenir
adv:neg	pas
adv	si
PCT	?
adv:yn	non
v:exist&IMPF	c'est
prep	vers
adv:place	là
n	ver^n|vers
adv:place	là
PCT	.
prep	vers
adv:place	là
PCT	?
adv:yn	ouais
n	ver^n|vers
adv:place	là
pro&SING	moi
pro:rel	ce+que
pro:subj	je
v	aimer
det&MASC&SING	le
adv:neg	plus
v:exist&IMPF	c'est
co	euh
PCT	.
?	*
PCT	.
pro:int	quoi
PCT	?
v:exist&IMPF	c'est
?	là–dedans
adv:yn	non
PCT	?
adv:yn	non
PCT	.
conj	ou
v:exist&IMPF	c'est
det&FEM&SING	la
det&FEM&SING	la
n	voiture
v-PP	télécommander
PCT	?
adv:yn	non
PCT	.
co	oh
pro:dem	ça
PCT	.
?	***
PCT	.
pro:subj	on
v:aux&IMPF	avoir
v-PP	sauter
pro&SING	moi
pro:subj	je
PCT	.
adv:yn	ouais
pro:subj	tu
v:aux&IMPF	avoir
v&PP-MASC	voir
PCT	.
v-COND	aimer
adv	bien
PCT	.
det:gen&MASC	tout
pro:dem	ça
det&PL	les
n	circuit
pro:subj	tu
pro:y	en
v:poss	avoir
det&MASC&SING	un
adv:yn	non
PCT	?
adv:yn	non
PCT	.
pro:subj	tu
v:aux	avoir
v&PP-MASC	voir
v:aux	c'est
adj	délirant
co	hein
PCT	?
adv:yn	ouais
conj	et
adv:place	là
v:exist	c'est
PCT	.
pro:int	où
?	est–ce
conj	qu'
pro:subj&MASC	il
v:exist	être
det&MASC&SING	le
n	pistolet
PCT	?
v:exist&IMPF	c'est
pro:int	quoi
co	euh
pro:subj	tu
pro:subj	tu
v:mdl	pouvoir
adv:neg	pas
pro:refl	me
pro:obj&MASC&SING	le
v-INF	dire
PCT	.
adv	plutôt
conj	qu'
pro:subj	on
pro:obj&MASC&SING	le
v	chercher
PCT	?
v:exist	c'est
det&MASC&SING	le
n	pistolet
det&FEM&SING	la
n	carabin
conj	et
det&FEM&SING	la
n	maison
prep:art	en
n	bois
PCT	.
det&MASC&SING	le
n	pistolet
det&FEM&SING	la
n	carabin
conj	et
det&FEM&SING	la
n	maison
prep:art	en
PCT	.
n	bois
PCT	?
co	hum
PCT	.
v	attendre
v&INF	voir
pro:subj	on
v:mdl	aller
v-INF	essayer
prep	de
pro:obj&PL	les
v-INF	retrouver
PCT	.
adv:yn	non
v:exist&IMPF	c'est
prep	vers
adv:place	là
n	ver^n|vers
adv:place	là
v:mdl	falloir
v-INF	retourner
prep	vers
adv:place	là
PCT	.
adv	d'accord
PCT	.
?	***
PCT	.
pro:subj	tu
v:exist	être
adv:neg	plus
v-PP	douer
conj	que
pro&SING	moi
co	hein
PCT	?
pro:subj	je
v:mdl	devoir
v-INF	dire
PCT	.
adv:place	voilà
adv:place	ici
conj	alors
pro&SING	moi
pro:subj	je
v-COND	aimer
PCT	.
pro:rel	ce+qui
pro:refl	me
v	plaire
det&MASC&SING	le
adv:neg	plus
v:exist	c'est
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
v:exist	c'est
pro:dem	ça
pro:rel	qui
pro:refl	te
v	plaire
det&MASC&SING	le
adv:neg	plus
PCT	?
co	hum
PCT	.
conj	mais
pro:subj	tu
v-COND	préférer
PCT	.
?	***
PCT	.
pro:dem	ça
PCT	.
adv:yn	ouais
conj	mais
pro:subj	tu
?	***
pro:subj	tu
v-COND	préférer
pro:rel	quoi
det&FEM&SING	la
n	carabin
conj	ou
det&MASC&SING	le
n	pistolet
PCT	?
pro&SING	moi
pro:subj	je
v-IMPF	préférer
conj	bien
co	ben
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
pro:subj	tu
v-IMPF	préférer
det&PL	les
n	deux
PCT	?
co	hum
PCT	.
conj	et
conj	si
pro:subj	tu
v:mdllex&IMPF	pouvoir
prep:art	en
n	avoir
conj	qu'
pro&MASC	un
PCT	?
PCT	.
co	ben
pro:subj	je
v-COND	aimer
adv	bien
v:poss&INF	avoir
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
conj	mais
v:exist	c'est
pro:int	quoi
?	*
PCT	?
conj	et
det&MASC&SING	un
?	bil–
pro:subj	tu
pro:refl	me
v:aux	avoir
v-PP	parler
det&MASC&SING	du
n	billard
PCT	.
n	pourquoi
adv:neg	pas
det&MASC&SING	le
?	***
det&MASC&SING	un
?	babyfoot
?	{previousLGen}
co	hein
PCT	?
adv:yn	non
v:exist	c'est
adj	nul
det&MASC&SING	le
?	babyfoot
?	{previousLGen}
PCT	.
v:exist	c'est
pro	nul
PCT	?
co	hum
PCT	.
co	euh
adv:int	pourquoi
pro:subj	tu
v	trouver
pro:subj	tu
v	trouver
pro:dem	ça
pro	nul
PCT	?
PCT	.
pro:subj	tu
v:aux	avoir
v&PP-MASC	voir
?	celui–là
pro:subj&MASC	il
pro:refl	se
v	transformer
prep:art	en
PCT	.
prep	en
pro:int	quoi
PCT	?
pro:subj&MASC	il
v:mdllex	faire
n	billard
n	table
prep:art	de
?	ping–pong
PCT	.
n	jeu
prep	de
prep:art	de
n	hockey
?	{previousLGen}
prep	sur
n	table
conj	et
n	bureau
prep	pour
v-INF	travailler
PCT	.
pro:int&MASC&SING	lequel
PCT	?
pro:int	qui
v:mdllex	faire
PCT	.
v:exist	c'est
PCT	.
pro:dem	ça
PCT	?
co	euh
co	hum
PCT	.
pro:int&MASC&SING	lequel
PCT	?
pro:dem	ça
v:mdl	devoir
v:exist&INF	être
det&MASC&SING	le
?	celui–là
PCT	.
?	celui–là
pro:subj&MASC	il
v:mdllex	faire
pro&MASC	tout
v	regarder
PCT	.
?	***
pro:subj	tu
v	voir
adv:place	ici
adv:int	comment
pro:dem	ça
pro:refl	se
v	transformer
PCT	?
co	ben
pro:subj	je
v:mdllex	vouloir
?	celui–là
PCT	.
prep	avec
det:dem&PL	ces
num	deux
adv:place	là
?	***
pro:subj	je
v:mdl	aller
v-INF	prendre
?	***
pro&SING	lui
conj	et
pro&SING	lui
PCT	.
adv:yn	oui
PCT	.
conj	et
pro&SING	lui
?	***
PCT	.
co	ben
PCT	.
adv	tant
conj	qu'
prep	à
v:mdllex-INF	faire
PCT	.
pro:subj	je
v:mdl	aller
v-INF	prendre
PCT	.
conj	que
pro:dem	ça
conj	et
adv:place	après
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
pro:subj	je
v:mdl	aller
v-INF	prendre
conj	que
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
conj	et
pro:dem	ça
adv	aussi
PCT	?
co	hum
PCT	.
pro:subj	tu
v:mdl	vouloir
adv:neg	pas
?	***
det&MASC&SING	le
n	but
prep	de
?	foot
?	{previousLGen}
PCT	?
conj	si
pro:dem	ça
PCT	.
pro:subj	tu
pro:y	en
v:mdllex	faire
det&MASC&SING	du
?	foot
?	{previousLGen}
conj	ou
adv:neg	pas
PCT	?
adv:yn	non
PCT	.
pro:subj	tu
v:mdl	faire
PCT	.
det&MASC&SING	du
n	sport
PCT	?
pro:subj	je
pro:y	en
adv:neg	ne
v:aux	avoir
adv:neg	jamais
PCT	.
v:mdllex	faire
adv:yn	non
PCT	.
pro:subj	tu
v:aux	avoir
adv:neg	jamais
v:mdllex	faire
prep	de
n	sport
PCT	?
n:prop	Manu
pro:subj&MASC	il
v:aux	avoir
adv	déjà
v:mdllex-PP	faire
pro:subj&MASC	il
pro:y	en
v:aux	avoir
v:mdllex-PP	faire
det&MASC&SING	du
n	sport
PCT	.
pro:subj&MASC	il
v:aux	avoir
v:mdllex	faire
pro:int	quoi
PCT	?
det&MASC&SING	du
n	judo
PCT	?
det&MASC&SING	du
n	judo
PCT	.
adv:yn	ouais
PCT	.
pro:subj&MASC	il
v	continuer
PCT	?
adv:yn	non
PCT	.
adv:yn	non
pro:subj&MASC	il
v:aux	avoir
v-PP	arrêter
PCT	?
adv:yn	non
conj	parce
conj	que
det&PL	les
n	maman
pro:subj&FEM	elles
v:mdl	vouloir
adv:neg	pas
conj	que
PCT	.
n:prop	Papa
conj	et
pro:dem	ça
conj	aussi
pro:subj	je
v:mdl	vouloir
PCT	.
conj	parce
conj	que
n:prop	Maman
v:mdl	vouloir
adv:neg	pas
conj	que
PCT	.
n:prop	Papa
pro:obj	me
v	aider
prep	pour
det&MASC&SING	le
n	judo
PCT	.
conj	et
pro:dem	ça
conj	aussi
pro:subj	je
v:mdl	vouloir
conj	et
pro:dem	ça
conj	aussi
pro:dem	ça
adv	aussi
PCT	.
co	hum
adv	que
?	est–ce
conj	que
pro:subj	tu
v:exist	être
n	gourmand
v:exist	c'est
adj	incroyable
PCT	.
pro:subj	je
v:aux	avoir
adv:neg	jamais
v&PP-MASC	voir
pro:dem	ça
PCT	.
conj	et
pro:dem	ça
v:exist	c'est
n	consonne
conj	et
n	voyelle
PCT	.
adv:yn	ouais
v:exist	c'est
det&PL	des
n	chiffre
conj	et
det&PL	des
n	lettre
PCT	.
pro:subj	tu
v:aux	avoir
adv	déjà
v&PP-MASC	voir
pro:dem	ça
prep	à
det&FEM&SING	la
n	télé
PCT	?
adv:yn	ouais
PCT	.
v:exist	c'est
pro	nul
PCT	.
?	***
PCT	.
pro:subj	je
v	aimer
PCT	.
adv:neg	pas
PCT	.
v:exist	c'est
PCT	.
pro	nul
PCT	?
adv:yn	ouais
v:exist	c'est
adv	un+peu
v-PP	compliquer
conj	mais
adv	enfin
v:exist	c'est
PCT	.
co	oh
conj	alors
adv:place	là
pro:subj	je
v:mdl	vouloir
pro&SING	moi
pro:subj	je
v:mdllex	vouloir
?	celui–là
PCT	.
v:exist	c'est
pro:int	quoi
PCT	?
det&MASC&SING	le
n	bleu
PCT	.
co	ciel
PCT	.
adv:int	pourquoi
co	euh
v:exist	c'est
pro:subj	tu
v	connaître
pro:dem	ça
PCT	?
pro:subj	tu
v:poss	avoir
det&PL	des
n	ami
pro:int	qui
pro:subj&MASC	le/la
v:aux	avoir
PCT	?
adv:yn	non
PCT	.
adv:int	pourquoi
PCT	?
co	ah
PCT	.
pro:subj&MASC	il
v:mdl	falloir
v:mdllex-INF	faire
det&PL	des
n	carte
PCT	.
conj	et
adj	plein
prep:art	de
n	chose
?	***
PCT	.
co	oh
pro:dem	ça
pro:subj	je
v:mdl	vouloir
adv	aussi
PCT	.
pro:subj	tu
v:mdl	vouloir
pro:dem	ça
PCT	?
PCT	.
v:exist	il+y+a
?	"Le
n:prop	Roi
n:prop	Lion"
?	"Pocahontas"
PCT	.
?	***
adv:place	là
pro:subj	je
v:mdl	savoir
adv:neg	pas
adv:place	là
?	"La
n	guerre
prep:art	des
?	étoiles"
?	***
PCT	.
adv	mais
co	euh
PCT	.
?	***
PCT	.
pro:subj	tu
v:mdl	savoir
pro:subj	tu
v:mdl	savoir
PCT	.
pro:subj	tu
v:mdllex	savoir
prep	à
pro:int	quoi
pro:dem	ça
v	servir
pro:dem	ça
PCT	?
adv:yn	non
PCT	.
pro:dem	ça
v	servir
prep	à
v:mdllex-INF	faire
det&PL	les
adj	petit
n	statuette
prep	dans
det&MASC&SING	du
det&MASC&SING	du
n	plâtre
PCT	.
co	ah
adv:yn	ouais
pro:subj	je
v:mdl	vouloir
PCT	.
prep	sur
det&MASC&SING	un
n	truc
prep:art	de
n	plâtre
PCT	.
pro:dem	ça
conj	et+puis
pro:dem	ça
PCT	.
pro:dem	ça
PCT	?
det&FEM&SING	la
?	m–
PCT	.
conj	et
pro:dem	ça
det:dem&PL	ces
PCT	.
num	deux
adv:place	là
pro:dem	ça
pro:dem	ça
PCT	.
adv:yn	ouais
conj	et
co	ben
adv:yn	oui
PCT	.
conj	et+puis
co	euh
det&MASC&SING	le
n	carabin
conj	et+puis
det&FEM&SING	la
n	maison
prep:art	en
n	bois
det&FEM&SING	la
n	carabin
PCT	.
det&FEM&SING	la
n	maison
conj	et
det&MASC&SING	le
n	carabin
conj	et
det&MASC&SING	le
n	pistolet
PCT	.
pro:subj	je
v:mdl	vouloir
conj	que
pro:dem	ça
pro&SING	moi
PCT	.
pro:subj	tu
v:mdllex	vouloir
?	***
PCT	.
co	hum
PCT	.
conj	que
pro:dem	ça
PCT	?
conj	et
pro:dem	ça
conj	et
PCT	.
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
conj	mais
pro:subj	tu
v	penser
conj	que
pro:subj	tu
v:poss	avoir
n	étai
adv	assez
adj	sage
PCT	.
det:dem&SING	cette
n	année
conj	pour+que
det&MASC&SING	le
n:prop	Père
n:prop	Noël
pro:refl	te
v	apporter
det:gen&MASC	tout
pro:dem	ça
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
pro:subj	tu
v:aux	avoir
adv:neg	pas
v:exist&PP	être
adj	sage
PCT	?
co	oh
pro:dem	ça
pro:subj	je
v-COND	aimer
conj	bien
pro:y	en
v:poss&INF	avoir
PCT	.
prep	pour
v-INF	regarder
det&PL	les
n	étoile
PCT	.
conj	et
pro:dem	ça
adv	aussi
adv	d'ailleurs
PCT	.
on	ouh
adv:place	là
v:exist	c'est
adj-MASC	dangereux
v:exist	c'est
det&FEM&SING	la
n	couture
PCT	.
v:exist	c'est
prep	de
det&FEM&SING	la
n	couture
PCT	?
adv:yn	oui
PCT	.
co	eh
co	ben
adv:neg	pas
det&MASC&SING	du
adv	tout
pro:subj	tu
v:mdl	savoir
pro:rel	ce+que
v:exist	c'est
pro:dem	ça
PCT	?
adv:yn	non
PCT	.
v:exist	c'est
det&MASC&SING	un
n	microscope
PCT	.
conj	et
pro:dem	ça
conj	aussi
pro:dem	ça
v:exist	c'est
det&MASC&SING	du
n	docteur
PCT	?
conj	et
pro:dem	ça
v:exist	c'est
det:gen&MASC	tous
det&PL	les
co	euh
pro&MASC	tous
det:gen&MASC	tous
det&PL	les
co	euh
PCT	.
adv	tout
det&PL	les
n	ustensile
pro:rel	dont
pro:subj	tu
v:poss	avoir
n	besoin
prep	pour
det&MASC&SING	le
n	microscope
PCT	.
pro:subj	tu
v:aux	avoir
co	euh
PCT	.
adv:yn	ouais
pro:subj	tu
PCT	.
v	regarder
prep	comme
pro:dem	ça
?	***
PCT	.
pro:subj	tu
v	voir
adv	tout
pro:rel	ce+qui
v:exist	il+y+a
PCT	.
prep	comme
prep	dans
n:prop	Basile
PCT	.
conj	et
v:exist	c'est
conj	pour
co	euh
PCT	.
pro:y	il+y+en
v:aux	avoir
PCT	.
prep	dans
n:prop	Basile
PCT	?
prep	dans
n:prop	Basile
det	de
?	{beginLGen}
?	"Baker
?	street"
?	{endLGen}
PCT	?
co	hum
PCT	.
det&FEM&SING	la
PCT	.
n	dessin+animé
prep	de
n:prop	Walt
n:prop	Disney
PCT	?
co	hum
pro:y	il+y+en
v:poss	avoir
pro:y	il+y+en
v:poss	avoir
?	***
PCT	.
conj	et
pro:subj&MASC	ils
v:exist	être
?	***
?	***
PCT	.
v:exist	c'est
adv:neg	pas
adv	encore
v-PP	finir
prep	de
v-INF	enregistrer
PCT	.
adv:yn	non
conj	mais
pro:subj	on
v:mdl	pouvoir
v-INF	arrêter
det:gen&FEM	toutes
n	façon
adv:place	après
PCT	.
co	ouf
PCT	.
?	***
PCT	.
?	***
PCT	.
adv:yn	non
pro:subj	je
v	attendre
conj	que
det:dem&MASC&SING	ce
v:exist	être
prep	jusqu'à
det&FEM&SING	la
n	fin
PCT	.
co	oh
co	ben
adv:yn	non
conj	parce
conj	si
pro:subj	on
v	attendre
prep	jusqu'à
det&FEM&SING	la
n	fin
PCT	.
pro:subj	on
v:mdl&FUT	devoir
v-INF	attendre
co	euh
?	peut–être
det&FEM&SING	une
n	heure
conj	et
n	demi
PCT	.
pro:subj	tu
pro:refl	te
v	rendre
v	compter
det&FEM&SING	une
n	heure
conj	et
n	demi
PCT	?
v:exist	c'est
adv	beaucoup
PCT	?
co	ah
co	ben
adv:yn	oui
adv:place	là
pro:subj	on
v:mdllex	venir
prep	de
v:mdllex-INF	faire
adj:num	cinq
n	minute
PCT	.
co	oh
pro:subj	je
v:mdl	aller
v-INF	attendre
prep	jusqu'à
n	six
PCT	.
