,sent_id,sentence,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard
24,24,"là voilà xxx pour le lit .
xxx .
voilà .",105.66,0.0,0.5,1.41,1.4,0.4,0,4.5,3.2,0th and 1st grade
25,25,on finit de mettre en place et puis après on commence ?,85.69,0.0,4.0,4.21,2.9,7.05,2,5.0,4.4,3rd and 4th grade
26,26,samuel ?,36.62,0.0,8.4,-10.61,12.0,0.05,0,0.0,0.4,-1th and 0th grade
27,27,"oui .
tiens là il y a encore un lit .",96.18,0.0,2.1,-2.3,-2.4,5.84,1,4.5,3.6,4th and 5th grade
28,28,"le papa il ...
c'est le papa qui va promener ou la maman ?",76.22,0.0,5.6,1.67,2.6,6.86,2,6.0,4.8,5th and 6th grade
29,29,tiens la maman elle a les cheveux long la maman .,86.71,0.0,3.7,3.28,1.9,5.71,1,4.5,4.0,3rd and 4th grade
30,30,"le papa .
bah déjà faut savoir que le truc il roule .",94.15,0.0,2.9,2.65,2.1,0.55,0,5.5,4.4,2nd and 3rd grade
31,31,"bah ouais c'est une poussette .
tatadata ah pardon !",63.36,0.0,6.4,10.11,8.5,7.98,2,5.0,8.2,7th and 8th grade
32,32,Viens on fait on continue de mettre tout et puis après on ira faire la promenade .,72.16,0.0,7.2,5.97,6.0,7.39,3,10.5,11.4,5th and 6th grade
33,33,"mais attend xxx oh c'est chiant .
han@o !",81.29,0.0,3.7,4.94,5.0,6.24,1,3.5,2.8,3rd and 4th grade
34,34,comment on met les bébés là dedans ?,89.75,0.0,2.5,3.26,1.6,6.24,1,3.0,2.8,2nd and 3rd grade
35,35,"ouais comme ça .
comment ça se met ?",89.75,0.0,2.5,2.44,1.6,6.24,1,3.5,2.8,2nd and 3rd grade
36,36,allez il y en a un qui est en train de tomber .,101.6,0.0,2.1,-1.76,-1.8,0.6,0,5.5,4.8,-1th and 0th grade
37,37,"là il y a encore une petite poussette pour la petite fille .
ah le landau on le met en haut le landau ?",74.53,0.0,8.3,3.54,6.9,7.6,4,12.0,8.8,7th and 8th grade
38,38,"oui .
on mettra les deux bébés dans le même landau .",86.71,0.0,3.7,4.44,3.4,7.29,2,5.0,4.0,3rd and 4th grade
39,39,"nan il y en a un qui va rentrer ...
bah ouais mais ...
alors on le met dans un lit du grand le deuxième .
oh cool !",79.94,0.0,8.3,2.04,8.0,6.14,2,15.5,11.6,7th and 8th grade
40,40,Il doit être plus grand .,100.24,0.0,0.5,0.32,-0.2,0.25,0,2.0,2.0,-1th and 0th grade
41,41,"il a de la chance //.
oh nan j'ai perdu le volant !",94.15,0.0,2.9,-0.03,1.2,5.62,1,5.5,4.4,5th and 6th grade
42,42,oh le bébé il a sursauté il a eu peur .,95.17,0.0,2.5,-2.53,-2.9,5.71,1,4.5,4.0,4th and 5th grade
43,43,"voilà .
tiens là ça à mon avis c'est pour une poupée ou un nounours on va mettre le nounours dedans ?",93.48,0.0,5.2,5.34,7.6,1.78,1,11.0,8.0,7th and 8th grade
44,44,tiens tu continues à mettre dans la maison ?,63.36,0.0,6.4,5.76,3.8,9.95,3,4.5,8.2,5th and 6th grade
45,45,"mais nan han@o ...
là c'est une chaise haute .
wahoo@o //.
oh nan elle promène les chats !",98.55,0.0,3.2,6.89,9.6,5.43,1,8.5,6.0,5th and 6th grade
46,46,garde y a pleins de chats !,99.23,0.0,0.9,-1.53,-2.0,0.3,0,2.5,2.4,0th and 1st grade
47,47,"on peut mettre les chats sinon .
y a pleins de chats .",94.15,0.0,2.9,3.17,2.5,5.62,1,5.5,4.4,2nd and 3rd grade
48,48,"tiens regarde j'ai mis j'ai mis commencé à mettre la salle à manger avec la chaise pour le bébé .
ah zut elle va pas pouvoir supporter tous les chats .
et ça ..?
^ ah ça c'est un sac .",68.78,0.0,12.6,5.41,15.8,7.62,5,21.5,15.51,15th and 16th grade
49,49,"^ et ça c'est quoi ça là ?
^ Une cheminée ?",71.82,0.0,5.2,0.65,2.0,6.01,1,5.0,3.2,4th and 5th grade
50,50,"Nan .
y a déjà une cheminée regarde .",81.29,0.0,3.7,3.26,2.3,8.5,2,3.5,2.8,3rd and 4th grade
51,51,on va mettre ça ici pour faire la cuisine .,87.72,0.0,3.3,2.23,0.9,7.59,2,4.0,3.6,3rd and 4th grade
52,52,Une poubelle une poubelle !,92.8,0.0,1.3,8.7,7.7,0.2,0,1.5,1.6,1st and 2nd grade
53,53,c'est une poubelle ?,93.81,0.0,0.9,3.43,6.8,0.15,0,1.0,1.2,0th and 1st grade
54,54,bon on va être bon //.,100.24,0.0,0.5,-5.49,-3.0,0.25,0,2.0,2.0,1st and 2nd grade
55,55,sinon ça peut aussipeut-être prêt pour la cuisine .,80.28,0.0,4.1,10.11,7.9,7.98,2,3.5,3.2,3rd and 4th grade
56,56,ah nan c'est un four !,100.24,0.0,0.5,-4.33,-3.0,0.25,0,2.0,2.0,1st and 2nd grade
57,57,avec un four voilà .,92.8,0.0,1.3,-1.46,-0.7,0.2,0,1.5,1.6,1st and 2nd grade
58,58,c'est un four regarde la plaque là haut où on met dedans le charbon .,91.11,0.0,4.0,4.11,4.1,6.59,2,6.5,5.6,3rd and 4th grade
59,59,alors vas-y mets-le dans la cuisine comme ça je vais mettre la casserole ensuite .,74.19,0.0,6.4,9.04,8.5,8.84,4,6.5,5.6,8th and 9th grade
60,60,tu mets la casserole toi ?,83.32,0.0,2.9,1.48,0.9,7.04,1,2.0,2.0,1st and 2nd grade
61,61,nan nan tu la mets dans la cheminée mets-le là !,86.71,0.0,3.7,2.12,1.5,5.71,1,4.5,4.0,3rd and 4th grade
62,62,allez hop .,77.91,0.0,2.9,-7.41,0.8,0.1,0,0.5,0.8,0th and 1st grade
63,63,Voilà .,36.62,0.0,8.4,-16.41,7.3,0.05,0,0.0,0.4,-1th and 0th grade
64,64,ça prend forme .,93.81,0.0,0.9,-2.38,0.5,0.15,0,1.0,1.2,0th and 1st grade
65,65,ça c'est quoi ?,93.81,0.0,0.9,-6.26,-1.2,0.15,0,1.0,1.2,0th and 1st grade
66,66,^ c'est pour la chaise haute ?,83.32,0.0,2.9,2.64,3.7,0.25,0,2.5,2.0,2nd and 3rd grade
67,67,"allez un chacun ...
c'est un cartable .
ah d'accord !",80.28,0.0,4.1,7.9,9.1,7.98,2,4.5,3.2,7th and 8th grade
68,68,t'es chiant Tito /.,59.97,0.0,5.6,-0.46,5.2,9.05,1,1.0,1.2,5th and 6th grade
69,69,"c'est un cartable ...
à chaque fois tu gueules .",105.66,0.0,0.5,5.76,6.1,0.4,0,4.0,3.2,0th and 1st grade
70,70,on va le mettre là sur le lit Ah nan ça ça va pas .,99.57,0.0,2.9,-2.98,-2.1,5.46,1,6.5,5.6,5th and 6th grade
71,71,"il miaule il en a il quand il en a marre il miaule ...
tiens on va mettre sur le lit le cartable hop .
ah ça tient pas .",86.37,0.0,7.9,1.92,8.3,6.15,2,15.0,10.8,7th and 8th grade
72,72,après c'est un peu énervant !,66.4,0.0,5.2,3.8,3.7,7.04,1,3.0,10.0,3rd and 4th grade
73,73,"alors t'as mis le chat là-bas .
^ voilà .",89.75,0.0,2.5,3.26,4.3,0.35,0,4.0,2.8,2nd and 3rd grade
74,74,mais nan c'est pas enervant .,66.4,0.0,5.2,3.8,3.7,7.04,1,3.0,10.0,3rd and 4th grade
75,75,le petit nounours pour la petite euh fille qui va euh promener son petit nounours .,81.63,0.0,5.6,8.05,7.4,7.54,3,7.0,6.0,5th and 6th grade
76,76,"^ ah là c'est le panier pour le chat .
tiens regarde il a un poi un panier pour le chat on va mettre les deux chats là-dedans .",78.93,0.0,8.7,4.19,9.7,6.14,2,14.5,10.4,9th and 10th grade
77,77,"un cartable .
xxx on le met ici ?",106.67,0.0,0.1,-0.06,-0.6,0.35,0,3.5,2.8,-1th and 0th grade
78,78,un cartable .,77.91,0.0,2.9,-1.61,5.5,0.1,0,0.5,0.8,0th and 1st grade
79,79,et ça ?,77.91,0.0,2.9,-19.01,-8.8,0.1,0,0.5,0.8,0th and 1st grade
80,80,"ça ça va pour la cheminée .
ah regarde !",80.28,0.0,4.1,2.1,1.4,7.98,2,4.0,3.2,3rd and 4th grade
81,81,"^ oh j'ai complétement oublié ...
ah oui c'est la chaudière !",62.34,0.0,6.8,9.31,9.8,7.59,2,6.0,8.04,7th and 8th grade
82,82,euh ffff@o nan à mon avis tu vois c'est pour faire le manger là t'as le four là pour mettre la casserole et puis là les odeurs elles vont de l'autre côté .,81.3,0.0,9.9,4.71,12.7,6.21,2,16.5,12.8,12th and 13th grade
83,83,"nan c'est en dessous ...
ah ouais .",99.23,0.0,0.9,2.37,4.3,0.3,0,3.0,2.4,2nd and 3rd grade
84,84,"tiens mets-le là mets-le à la cuisine chéri .
voilà .",79.26,0.0,4.4,6.7,6.1,5.84,1,4.5,3.6,6th and 7th grade
85,85,"ça c'est ce qu'il y avait dans les maisons avant .
voilà .",102.61,0.0,1.7,4.21,4.2,0.55,0,5.5,4.4,3rd and 4th grade
86,86,non non bah c'est pas grave on on fait comme s'il allait à l'extérieur quoi tu vois ?,88.06,0.0,5.2,4.23,5.9,6.34,2,8.0,6.8,5th and 6th grade
87,87,^ tiens mets la casserole dessus sinon on peut pas faire le manger pour la fin .,90.09,0.0,4.4,6.08,6.2,5.43,1,7.5,6.0,5th and 6th grade
88,88,"le café .
voilà .",93.81,0.0,0.9,-2.38,2.1,0.15,0,1.5,1.2,0th and 1st grade
89,89,Comme ça c'est bien ?,75.88,0.0,3.7,-1.46,0.6,7.78,1,1.5,1.6,1st and 2nd grade
90,90,"^ vas-y mets la casserole dessus .
oh bah la ptite fille elle va avec ...
qu'est-ce qu'on fait on amène euh ...
la petite fille ...
la grande euh à l'école ?",77.91,0.0,9.1,7.09,14.6,6.73,3,16.5,10.8,6th and 7th grade
91,91,"euh je promène les petits ...
non le papa il promène les petits enfants la maman elle ramène /.",71.14,0.0,7.6,7.31,8.7,7.27,3,8.5,6.8,6th and 7th grade
92,92,"on va ramener regarde on va ramener avec le papa et la maman on va ramener la grande fille à l'école comme ça ça fait la promenade pour les bébés .
allez .
tiens bébé !",63.36,0.0,12.6,6.34,14.3,7.67,5,19.0,14.41,7th and 8th grade
93,93,C'est toi qui pousse la poussette ?,90.77,0.0,2.1,5.27,4.3,6.57,1,2.5,2.4,2nd and 3rd grade
94,94,samuel ?,36.62,0.0,8.4,-10.61,12.0,0.05,0,0.0,0.4,-1th and 0th grade
95,95,ben toi xxx je fais semblant qu'elle qu'elle va à l'école /.,85.69,0.0,4.0,4.74,5.0,7.05,2,5.0,4.4,4th and 5th grade
96,96,attends on va d'abord préparer le petit déjeuner avant d'aller à l'école .,50.84,0.0,9.2,9.85,8.9,10.81,5,7.5,11.47,9th and 10th grade
97,97,"regarde il y a une tasse il y a l'eau qui qui le lait qui chauffe pour le Nesquick .
alors on va se réunir allez hop hop .",86.37,0.0,7.9,2.79,8.6,6.15,2,14.5,10.8,7th and 8th grade
98,98,"C'est ...
allez prends la grande fille donne-lui son petit dej .
mais xxx .
ouais ...
la maman elle va aller aussi boire son café le papa aussi .
xxx oh c'est chiant ça !",66.41,0.0,11.5,7.85,15.6,7.23,4,18.0,12.0,11th and 12th grade
99,99,chut@o !,36.62,0.0,8.4,-16.41,12.0,0.05,0,0.0,0.4,-1th and 0th grade
100,100,"voilà .
xxx fait .
alors ils boivent le café ...
allez vite c'est l'heure d'aller à l'école !",98.55,0.0,3.2,8.4,10.6,5.43,1,8.5,6.0,8th and 9th grade
101,101,"elle elle mange des céréales allez c'est l'heure d'aller à l'école le papa il va pousser la pousette ...
on peut commencer !",84.0,0.0,6.8,8.94,12.1,6.93,3,11.5,8.4,6th and 7th grade
102,102,alors le papa il va pousser la pousette et le papa il va tenir la main à sa petite fille .,76.56,0.0,7.6,2.73,5.1,6.21,2,10.5,8.0,7th and 8th grade
103,103,faut dire qu'on peut commencer ?,83.32,0.0,2.9,7.28,6.5,7.04,1,2.0,2.0,6th and 7th grade
104,104,allez on y va on va à l'école ?,88.74,0.0,2.9,-4.4,-4.0,6.01,1,3.5,3.2,2nd and 3rd grade
105,105,Allez c'est parti ?,59.97,0.0,5.6,1.52,5.2,9.05,1,1.0,1.2,5th and 6th grade
106,106,oui mais la caméra elle est pas en route !,104.64,0.0,0.9,1.59,0.4,0.45,0,4.0,3.6,0th and 1st grade
107,107,je sais pas ?,93.81,0.0,0.9,-8.18,-4.3,0.15,0,1.0,1.2,0th and 1st grade
108,108,si elle est en route .,100.24,0.0,0.5,-3.17,-3.0,0.25,0,2.0,2.0,1st and 2nd grade
109,109,si elle est en route quoi ?,99.23,0.0,0.9,-1.53,-2.0,0.3,0,2.5,2.4,0th and 1st grade
110,110,si elle est en route !,100.24,0.0,0.5,-3.17,-3.0,0.25,0,2.0,2.0,1st and 2nd grade
111,111,ah !,36.62,0.0,8.4,-33.81,-6.9,0.05,0,0.0,0.4,-1th and 0th grade
112,112,allez on va à l'école !,83.32,0.0,2.9,-3.17,-2.1,7.04,1,2.0,2.0,1st and 2nd grade
113,113,allez moi je pousse les bébés et toi tu tiens la main à la petite fille pour qu'on aille à l'école .,92.46,0.0,5.6,3.72,6.8,6.18,2,11.0,8.4,5th and 6th grade
114,114,"Alors ...
ah !",77.91,0.0,2.9,-7.41,7.8,0.1,0,1.0,0.8,0th and 1st grade
115,115,on est arrivés ?,59.97,0.0,5.6,-2.38,0.5,9.05,1,1.0,1.2,0th and 1st grade
116,116,"mmmh .
oui ..?
allez assis !",75.88,0.0,3.7,4.35,8.8,7.78,1,2.5,1.6,3rd and 4th grade
117,117,"allez la ma ...
qu'est-ce qu'elle fait la petite fille ?",96.18,0.0,2.1,6.7,7.7,5.84,1,4.5,3.6,4th and 5th grade
118,118,elle fait un bisous à sa maman .,89.75,0.0,2.5,-0.06,-1.2,6.24,1,3.0,2.8,2nd and 3rd grade
119,119,"un bisous à son papa aussi .
bonne journée travaille bien à l'école !",67.76,0.0,6.8,7.93,6.9,9.5,4,6.0,4.8,6th and 7th grade
120,120,"a tout à l'heure on revien te chercher pour le repas !
xxx mais j'arrive pas à ...
Hop@o !",88.06,0.0,5.2,4.58,7.3,6.34,2,9.0,6.8,6th and 7th grade
121,121,"voilà tu la mets à l'école on va dire que l'école c'est là-bas .
voilà .",91.11,0.0,4.0,3.65,5.1,5.46,1,7.0,5.6,3rd and 4th grade
122,122,"Après nous qu'est-ce qu'on fait ?
position couchée .",81.29,0.0,3.7,13.17,12.4,6.24,1,4.5,8.51,3rd and 4th grade
123,123,"mets-là debout .
ou sinon on va lui trouver eum ...
c'est pas grave on va on va aller à l'école et puis qu'est-ce qu'on fait Samuel ?",79.94,0.0,8.3,5.52,11.4,6.77,3,14.0,10.0,6th and 7th grade
124,124,on va rentrer ?,34.59,0.0,9.2,-4.29,-1.2,9.05,1,2.0,14.53,8th and 9th grade
125,125,alors tu tu prends le garçon et nous on rentre à la maison .,92.12,0.0,3.6,2.36,2.1,6.71,2,6.0,5.2,5th and 6th grade
126,126,"on va aller coucher les bébés ..?
ouais .
dans leur lit ?",95.17,0.0,2.5,5.6,5.7,5.71,1,5.5,4.0,5th and 6th grade
127,127,allez vas-y .,77.91,0.0,2.9,-4.51,5.5,0.1,0,0.5,0.8,0th and 1st grade
128,128,"il y a un bébé qui va dans le lit ...
là .
oh mais chat pouruquoi t'es tombé !
ouh là tu as vu il y en a beaucoup des chats hein !",83.33,0.0,9.1,1.29,9.3,6.18,2,17.0,12.0,8th and 9th grade
129,129,il y en a deux dans le panier un en haut !,102.61,0.0,1.7,-2.64,-2.7,0.55,0,5.0,4.4,4th and 5th grade
130,130,deux en haut !,93.81,0.0,0.9,-6.26,-2.7,0.15,0,1.0,1.2,0th and 1st grade
131,131,y en a un qui est tombé du ciel !,104.64,0.0,0.9,-4.22,-4.5,0.45,0,4.0,3.6,3rd and 4th grade
132,132,ah ouais .,77.91,0.0,2.9,-10.31,-1.7,0.1,0,0.5,0.8,0th and 1st grade
133,133,"allez celui-là on va le mettre dans le dodo là .
regarde nickel le dodo pour le bébé !",71.14,0.0,7.6,4.93,6.2,7.27,3,8.5,6.8,6th and 7th grade
134,134,eh mais il y a un chat qui est tombé !,103.63,0.0,1.3,-3.11,-3.3,0.5,0,4.5,4.0,0th and 1st grade
135,135,"nan je l'ai mis là .
un deux trois quatre .
ah ouais mais regarde ...
on va lui mettre la couverture il va faire la sieste ...
un deux trois quatre cinq wahou y en a un deux trois quatre cinq euh ...
alors qu'est-ce qu'on fait maintenant ?",60.66,0.0,15.7,7.21,21.4,7.97,6,26.0,18.51,7th and 8th grade
136,136,"Après avoir fait le le le petit dej et amené la grande à l'école il faut ..?
bah /.",88.06,0.0,5.2,2.9,5.3,6.34,2,8.5,6.8,5th and 6th grade
137,137,commencer à faire le manger .,83.32,0.0,2.9,4.96,3.7,7.04,1,2.0,2.0,1st and 2nd grade
138,138,bah il est déjà fait !,100.24,0.0,0.5,-3.17,-3.0,0.25,0,2.0,2.0,1st and 2nd grade
139,139,"il est déjà fait nan ça c'était le petit dej .
allez tchictchic@o allez j'ai fait ...
voilà le papa il prépare le manger la maman avec /.",79.94,0.0,8.3,6.91,12.2,7.4,4,14.0,10.0,6th and 7th grade
140,140,ça y est j'ai fait le mager .,106.67,0.0,0.1,-3.37,-3.2,0.35,0,3.0,2.8,-1th and 0th grade
141,141,t'as fait le manger ?,92.8,0.0,1.3,-1.46,0.6,0.2,0,1.5,1.6,1st and 2nd grade
142,142,"oui .
allez on on xxx ...
on va chercher la grande à l'école alors ?",92.12,0.0,3.6,3.7,5.0,5.5,1,7.0,5.2,3rd and 4th grade
143,143,ouais je vais la chercher toi tu reste ici le temps de préparer la dinde /.,90.09,0.0,4.4,4.57,4.9,5.43,1,8.0,8.67,4th and 5th grade
144,144,"je reste avec les bébés alors .
parce qu'ils vont pleurer tu vas même pas les entendre .
oh bah ouais après il vont pleurer !",81.97,0.0,7.5,7.72,10.9,6.15,2,14.0,10.94,7th and 8th grade
145,145,oh !,36.62,0.0,8.4,-33.81,-6.9,0.05,0,0.0,0.4,-1th and 0th grade
146,146,bah justement ils se mettent à pleurer je vais aller les chercher !,84.68,0.0,4.4,7.93,6.1,8.18,3,5.5,4.8,5th and 6th grade
147,147,"oh le bébé il pleure .
allez c'est l'heure d'aller au lit !",102.61,0.0,1.7,4.21,4.6,0.55,0,5.5,4.4,4th and 5th grade
148,148,"bah nan on va manger elle rentre de l'école .
xxx c'est l'heure de manger .
toi quand tu rentres de l'école tu vas au dodo ?",72.5,0.0,9.1,5.52,10.2,7.46,4,13.5,9.6,9th and 10th grade
149,149,"ouais .
oh bah non !",92.8,0.0,1.3,-2.91,-0.7,0.2,0,2.0,1.6,1st and 2nd grade
150,150,allez j'enlève mon sac je vais plus à l'école !,87.72,0.0,3.3,3.51,2.9,7.59,2,4.0,3.6,3rd and 4th grade
151,151,alors q'est-ce qu'elle demande q'est-ce qu'il demande le papa ?,79.26,0.0,4.4,11.22,11.3,5.84,1,4.0,3.6,3rd and 4th grade
152,152,^ comment c'était l'école ?,-24.64,0.0,17.4,11.15,16.2,19.58,3,1.5,1.2,1st and 2nd grade
153,153,ça va .,77.91,0.0,2.9,-19.01,-8.8,0.1,0,0.5,0.8,0th and 1st grade
154,154,t'as bien travaillé ?,9.21,0.0,12.7,5.35,8.3,14.31,2,2.0,14.53,12th and 13th grade
155,155,"ouii parce qu'on n'a rien fait .
oh !",106.67,0.0,0.1,1.57,2.3,0.35,0,3.5,2.8,-1th and 0th grade
156,156,t'as fait combien d'éval aujourd'hui ?,-1.29,0.0,14.7,11.92,12.2,13.36,3,4.0,18.0,12th and 13th grade
157,157,"une .
une .
trois même !",92.8,0.0,1.3,1.45,4.1,0.2,0,2.5,1.6,1st and 2nd grade
158,158,trois !,36.62,0.0,8.4,-16.41,7.3,0.05,0,0.0,0.4,-1th and 0th grade
159,159,et ça s'est bien passé ?,83.32,0.0,2.9,-2.01,-1.1,7.04,1,2.0,2.0,1st and 2nd grade
160,160,"ouais .
alors on n'a qu'une seule table haute alors on va mettre un bébé et puis il ...
l'autre il va aller sur une grande table !",79.94,0.0,8.3,5.52,10.9,6.14,2,14.0,10.0,5th and 6th grade
161,161,"et puis il rentre pas le bébé .
ah nan vas-y il rentre ...
nan mais il rentre pas .
a@o Il est gros il mange trop de légumes !",78.93,0.0,8.7,3.55,9.7,1.9,1,15.0,10.4,9th and 10th grade
162,162,on va le prendre dans les bras pour lui donner le bibi .,84.68,0.0,4.4,2.6,1.9,6.86,2,5.5,4.8,4th and 5th grade
163,163,le bibi !,77.91,0.0,2.9,-13.21,-4.0,0.1,0,0.5,0.8,0th and 1st grade
164,164,xxx regarde il est là le bibi !,89.75,0.0,2.5,-0.87,-1.9,6.24,1,3.0,2.8,2nd and 3rd grade
165,165,un biberon pas le bibi !,100.24,0.0,0.5,-0.85,-1.1,0.25,0,2.0,2.0,-1th and 0th grade
166,166,tiens c'est toi qui donne le bibi .,106.67,0.0,0.1,1.57,0.9,0.35,0,3.0,2.8,-1th and 0th grade
167,167,"allez reste debout sur ta chaise .
xxx .
ahou@o il est tombé !",85.69,0.0,4.0,6.3,5.9,5.62,1,6.0,4.4,5th and 6th grade
168,168,xxx Ahou@o !,77.91,0.0,2.9,-7.41,3.1,0.1,0,0.5,0.8,0th and 1st grade
169,169,"il a fait une roulade avant ...
voilà !",106.67,0.0,0.1,3.26,3.6,0.35,0,3.5,2.8,3rd and 4th grade
170,170,"mais c'est xxx ...
tiens on va le prendre comme ça .",95.17,0.0,2.5,2.7,3.4,5.71,1,5.0,4.0,2nd and 3rd grade
171,171,"voilà .
regarde la maman elle le prend dans les bras c'est plus facile .
regarde oh il voulait un câlin de la maman /.",82.99,0.0,7.2,6.73,10.1,6.16,2,12.5,8.8,6th and 7th grade
172,172,voilà !,36.62,0.0,8.4,-16.41,7.3,0.05,0,0.0,0.4,-1th and 0th grade
173,173,"voilà t'as réussi .
ah maintenant le deuxième bibi .
allez !",79.26,0.0,4.4,11.22,9.8,9.35,3,5.0,3.6,3rd and 4th grade
174,174,merci !,-47.99,0.0,20.2,-16.41,7.3,19.48,1,0.0,0.4,-1th and 0th grade
175,175,allez tout le monde à table on va manger !,96.18,0.0,2.1,1.59,0.4,0.45,0,4.0,3.6,-1th and 0th grade
176,176,"qu'es-ce que tu as préparé de bon maman papa ?
des épinards ...
ah des epinards c'est bon ça les épinards !",86.03,0.0,6.0,7.14,9.9,6.24,2,11.0,7.6,5th and 6th grade
177,177,"avec de la soupe carbonara .
de la soupe carbonara ?",87.72,0.0,3.3,7.39,5.6,5.84,1,4.5,3.6,5th and 6th grade
178,178,mais qu'est-ce que c'est ?,92.8,0.0,1.3,2.9,6.5,0.2,0,1.5,1.6,1st and 2nd grade
179,179,"nan .
de la sauce carbonara ?",83.32,0.0,2.9,3.8,3.7,7.04,1,2.5,2.0,2nd and 3rd grade
180,180,"ouais .
et puis quoi aussi ?",83.32,0.0,2.9,2.64,2.7,7.04,1,2.5,2.0,2nd and 3rd grade
181,181,"bah des pâtes .
ah bah oui des pâtes à la carbonara .
allez tiens !",92.12,0.0,3.6,4.57,4.6,5.5,1,7.0,5.2,4th and 5th grade
182,182,Euh mange mange mange et mange et mange !,105.66,0.0,0.5,3.55,2.0,0.4,0,3.5,3.2,3rd and 4th grade
183,183,oh bah dis donc c'est très bon ce que tu nous a préparé !,92.12,0.0,3.6,0.57,1.0,5.5,1,6.0,5.2,5th and 6th grade
184,184,allez on donne aux chats aussi !,90.77,0.0,2.1,3.35,2.0,6.57,1,2.5,2.4,2nd and 3rd grade
185,185,"mange mange mange mange ...
voilà !
et comme ça tout le monde mange !",101.6,0.0,2.1,6.95,6.9,0.6,0,6.5,4.8,6th and 7th grade
186,186,"Voilà .
la petite fille elle rentre à l'école .",71.82,0.0,5.2,6.45,5.6,9.95,3,4.0,3.2,5th and 6th grade
187,187,"bah attends maintenant je vais aller changer les bébés ...
oui mais il faut que moi j'amène ...
comme ça ils sont tout prorpres .",82.99,0.0,7.2,8.82,12.5,7.6,4,12.5,8.8,8th and 9th grade
